checkpoint,round,client_id,role,weight_space,scope,layer,n_params,clean_update_norm,poison_update_norm,bd_update_norm,stochastic_norm,cosine_poison_clean,cosine_bd_clean,conflict_ratio,conflict_n,bd_norm_frac,bd_energy_frac,occupation_abs_mean,occupation_rank_mean
r0002,2,1,benign,upload,backbone,conv2d,896,0.3375356197658058,0.3375356197658058,0.0,0.36083556300141245,1.0,,,0,,,0.00855559192963903,0.9320600333659942
r0002,2,1,benign,upload,backbone,batch_normalization,128,0.28220077984817354,0.28220077984817354,0.0,0.29843049109389574,1.0,,,0,,,0.013782890799802772,0.9521236388959501
r0002,2,1,benign,upload,backbone,conv2d_1,18496,0.5088334091276842,0.5088334091276842,0.0,0.6134787731063323,1.0000000000000002,,,0,,,0.0029113924709476538,0.8935112385987258
r0002,2,1,benign,upload,backbone,batch_normalization_1,256,1.0754900304755064,1.0754900304755064,0.0,1.2535705674786461,1.0,,,0,,,0.03337587573781775,0.9377118494769485
r0002,2,1,benign,upload,backbone,conv2d_2,73856,0.6313019385401447,0.6313019385401447,0.0,0.81329326266168,0.9999999999999999,,,0,,,0.001826853930077158,0.8424786148869869
r0002,2,1,benign,upload,backbone,batch_normalization_2,512,2.269880211867878,2.269880211867878,0.0,2.6579970104069286,1.0000000000000002,,,0,,,0.0547047611768221,0.8900847193101659
r0002,2,1,benign,upload,backbone,conv2d_3,147584,0.648164218593597,0.648164218593597,0.0,0.834536767560486,1.0000000000000002,,,0,,,0.0013325201869835814,0.7973582852113313
r0002,2,1,benign,upload,backbone,batch_normalization_3,512,1.7002382064265744,1.7002382064265744,0.0,1.9076379153521807,1.0000000000000002,,,0,,,0.04267141020451959,0.8834888709280667
r0002,2,1,benign,upload,backbone,conv2d_4,295168,0.7648703909781067,0.7648703909781067,0.0,0.9958109564667782,1.0000000000000002,,,0,,,0.0011129231208929571,0.765908656785114
r0002,2,1,benign,upload,backbone,batch_normalization_4,1024,3.776175581987997,3.776175581987997,0.0,4.980411836482481,1.0000000000000002,,,0,,,0.06283892755168097,0.8602495115156634
r0002,2,1,benign,upload,backbone,conv2d_5,590080,0.8205090607857247,0.8205090607857247,0.0,1.0485378310275537,1.0,,,0,,,0.0008441162742103901,0.7106727708089294
r0002,2,1,benign,upload,backbone,batch_normalization_5,1024,2.67480972973391,2.67480972973391,0.0,3.4610969230512443,1.0000000000000002,,,0,,,0.04724133571033917,0.8879895159799163
r0002,2,1,benign,upload,backbone,dense,4195328,0.9209724187500449,0.9209724187500449,0.0,1.1532083461424418,1.0,,,0,,,0.0003159045774017676,0.44499927915668946
r0002,2,1,benign,upload,backbone,dense_1,524800,0.48620991078978687,0.48620991078978687,0.0,0.5745013179597357,0.9999999999999999,,,0,,,0.0003658561671087802,0.4042824338088797
r0002,2,1,benign,upload,backbone,__all__,5849664,5.850465295093414,5.850465295093414,0.0,7.400249507630414,1.0,,,0,1.0,1.0,0.0004974482278674929,0.4999999999999996
r0002,2,1,benign,upload,head,dense_2,5130,0.4140214087390555,0.4140214087390555,0.0,0.04625088193397178,1.0,,,0,,,0.0028108328763393506,0.5
r0002,2,1,benign,upload,head,__all__,5130,0.4140214087390555,0.4140214087390555,0.0,0.04625088193397178,1.0,,,0,1.0,1.0,0.0028108328763393506,0.5
r0002,2,1,benign,personal,backbone,conv2d,896,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,batch_normalization,128,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,conv2d_1,18496,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,batch_normalization_1,256,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,conv2d_2,73856,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,batch_normalization_2,512,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,conv2d_3,147584,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,batch_normalization_3,512,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,conv2d_4,295168,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,batch_normalization_4,1024,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,conv2d_5,590080,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,batch_normalization_5,1024,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,dense,4195328,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,dense_1,524800,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,1,benign,personal,backbone,__all__,5849664,0.0,0.0,0.0,0.0,,,,0,1.0,1.0,0.0,0.5
r0002,2,1,benign,personal,head,dense_2,5130,0.4140214087390555,0.4140214087390555,0.0,0.04625088193397178,1.0,,,0,,,0.0028108328763393506,0.5
r0002,2,1,benign,personal,head,__all__,5130,0.4140214087390555,0.4140214087390555,0.0,0.04625088193397178,1.0,,,0,1.0,1.0,0.0028108328763393506,0.5
r0002,2,0,malicious,upload,backbone,conv2d,896,0.421046331751478,0.40358877604637783,0.47667949719762753,0.4559707008633624,0.3323158183827242,-0.6019293869749669,0.7053571428571429,896,0.01732711965711748,0.0023901703045052496,0.010734864341936268,0.9287915934026272
r0002,2,0,malicious,upload,backbone,batch_normalization,128,0.2679875146080613,0.3808270699514489,0.30901375862585007,0.26065739264803567,0.5945558904742083,-0.13450707588687863,0.609375,128,0.011232533395884375,0.0010044574269895694,0.014863691104892496,0.9389692372823444
r0002,2,0,malicious,upload,backbone,conv2d_1,18496,0.6283893303306148,0.6161070285957574,0.7712155027340789,0.7442844119585342,0.23206161717264315,-0.6294149107948991,0.7225886678200693,18496,0.028033392197183656,0.006256441719276028,0.003610536853140243,0.8883625755530836
r0002,2,0,malicious,upload,backbone,batch_normalization_1,256,1.1295249710599709,1.46378970145765,1.5237243012278898,1.3986944727042518,0.331674071981451,-0.42266431014857453,0.6640625,256,0.05538680276170429,0.024422419637472464,0.03977860931951227,0.9244202220762547
r0002,2,0,malicious,upload,backbone,conv2d_2,73856,0.791881209814776,0.7863979719950156,1.034493037705699,1.0233956049889446,0.14076783859583875,-0.6584690686461455,0.7296089688041595,73856,0.03760343114012751,0.011257217199370461,0.002290917871151986,0.8359104644822826
r0002,2,0,malicious,upload,backbone,batch_normalization_2,512,2.7911127520648016,3.09500551673059,3.4569893946866275,2.984166932942786,0.31363014121798244,-0.5265928022806651,0.66796875,512,0.1256602586166768,0.1257106279262139,0.064376988255745,0.8881139492298531
r0002,2,0,malicious,upload,backbone,conv2d_3,147584,0.817622870326234,0.8309850916702124,1.0696609832908435,1.0919503432765323,0.15812371953066012,-0.6415344931933685,0.7208911535125759,147584,0.038881772677431266,0.012035612896230148,0.0016757858223541851,0.7859042688525081
r0002,2,0,malicious,upload,backbone,batch_normalization_3,512,1.8024218941748906,1.9793812381581406,2.4721922067001367,2.3221418359380706,0.1478468422909507,-0.6107035795216651,0.712890625,512,0.0898632528412002,0.0642895472503484,0.0444564999230721,0.888018142428675
r0002,2,0,malicious,upload,backbone,conv2d_4,295168,0.9766421646450075,0.996290260996966,1.3108244554340038,1.3198185404317395,0.1172451054778746,-0.6559474873065141,0.7261186849522984,295168,0.047647973790163445,0.01807444504613648,0.0014213041933891937,0.7578106727903963
r0002,2,0,malicious,upload,backbone,batch_normalization_4,1024,4.806998392010294,4.756607456922062,6.4986763150081925,6.048124696724991,0.07653079868460469,-0.683673290178282,0.720703125,1024,0.23622442917098616,0.4442482377719545,0.07854662277604163,0.838678680713904
r0002,2,0,malicious,upload,backbone,conv2d_5,590080,1.0725066938276682,1.0745329480915227,1.4153054950158346,1.417652001394524,0.1309400189795498,-0.6583789383472033,0.7271145050069567,590079,0.0514458201111766,0.021070570130014232,0.0010995079092193897,0.7042004168961399
r0002,2,0,malicious,upload,backbone,batch_normalization_5,1024,3.584509695436731,3.521040189410086,4.72302014197348,4.443924910697411,0.11645144022233987,-0.6721291458825659,0.705078125,1024,0.17167999803654613,0.23464726505851555,0.0611249818287547,0.9071104682387259
r0002,2,0,malicious,upload,backbone,dense,4195328,1.2460711610921789,1.2315071711883203,1.6053761472668993,1.6003894414475903,0.16033107336140284,-0.6531941416073797,0.7162169538616806,4195233,0.05835481652117985,0.02710999972116279,0.0004265347549954673,0.4456621419465685
r0002,2,0,malicious,upload,backbone,dense_1,524800,0.6695589894062074,0.6583801441266697,0.8434310230890334,0.8416964295674956,0.1932717262271676,-0.6429840824189735,0.7280996251593792,521555,0.030658399082622502,0.007482987911810233,0.000513973368537624,0.41515994089250513
r0002,2,0,malicious,upload,backbone,__all__,5849664,7.369902416086336,7.533689449938261,9.750166888880718,9.092474061357423,0.14414127287600206,-0.6445004374176705,0.7191722044779257,5846323,1.0,1.0,0.0006549531812997999,0.5000000000000001
r0002,2,0,malicious,upload,head,dense_2,5130,0.44127273304814724,0.396524588368417,0.3009923617261551,0.06864509330148806,0.7468388105306167,-0.48218094315675875,0.6522417153996102,5130,1.0,1.0,0.003387468612192223,0.5
r0002,2,0,malicious,upload,head,__all__,5130,0.44127273304814724,0.396524588368417,0.3009923617261551,0.06864509330148806,0.7468388105306167,-0.48218094315675875,0.6522417153996102,5130,1.0,1.0,0.003387468612192223,0.5
r0002,2,0,malicious,personal,backbone,conv2d,896,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,batch_normalization,128,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,conv2d_1,18496,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,batch_normalization_1,256,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,conv2d_2,73856,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,batch_normalization_2,512,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,conv2d_3,147584,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,batch_normalization_3,512,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,conv2d_4,295168,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,batch_normalization_4,1024,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,conv2d_5,590080,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,batch_normalization_5,1024,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,dense,4195328,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,dense_1,524800,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0002,2,0,malicious,personal,backbone,__all__,5849664,0.0,0.0,0.0,0.0,,,,0,1.0,1.0,0.0,0.5
r0002,2,0,malicious,personal,head,dense_2,5130,0.44127273304814724,0.396524588368417,0.3009923617261551,0.06864509330148806,0.7468388105306167,-0.48218094315675875,0.6522417153996102,5130,1.0,1.0,0.003387468612192223,0.5
r0002,2,0,malicious,personal,head,__all__,5130,0.44127273304814724,0.396524588368417,0.3009923617261551,0.06864509330148806,0.7468388105306167,-0.48218094315675875,0.6522417153996102,5130,1.0,1.0,0.003387468612192223,0.5
