cell,method,defense,attack,n_edges,n_clients,edge_assignment,n_seed_files,single_seed,hhi,hhi_consistent,global_asr_mean,global_asr_min,global_asr_max,edge_asr_mean,edge_asr_min,edge_asr_max,local_benign_asr_mean,local_benign_asr_min,local_benign_asr_max,delta_hier_mean,delta_hier_min,delta_hier_max,local_amp_mean,dilution_mean,clean_edge_propagation_strength_mean,t_theta_local_benign_asr_0.5_mean,t_theta_edge_asr_0.5_mean,t_theta_global_asr_0.5_mean,clean_edge_delay_0.5_mean,clean_edge_delay_0.5_reasons,participation_total
10edge_collocated,hier_fedrep,none,badpfl,10,100,block,1,True,1.0,True,0.96,0.96,0.96,0.937,0.937,0.937,0.893,0.893,0.893,0.023299999999999876,0.023299999999999876,0.023299999999999876,0.039111111111111097,0.006000000000000005,0.8931111111111112,121.5909090909091,94.40677966101696,82.14912280701755,,contaminated_all_censored,172
10edge_distributed,hier_fedrep,none,badpfl,10,100,block,1,True,0.10000000000000003,True,0.868,0.868,0.868,0.805,0.805,0.805,0.769,0.769,0.769,0.0625,0.0625,0.0625,0.03699999999999999,0.177,,85.45454545454545,33.618421052631575,17.485380116959064,,no_clean_edge,200
10edge_mixed,hier_fedrep,none,badpfl,10,100,block,1,True,0.30000000000000004,True,0.826,0.826,0.826,0.767,0.767,0.767,0.772,0.772,0.772,0.059599999999999986,0.059599999999999986,0.059599999999999986,-0.0047000000000000045,0.10650000000000001,0.7695,88.36734693877551,72.3076923076923,30.10989010989011,77.11131992247594,,195
2edge_collocated,hier_fedrep,none,badpfl,2,100,block,1,True,1.0,True,0.99,0.99,0.99,0.982,0.982,0.982,0.957,0.957,0.957,0.007500000000000062,0.007500000000000062,0.007500000000000062,0.025000000000000022,-0.0030000000000000027,0.951,41.57534246575342,35.38461538461539,35.324675324675326,23.028789659224444,,126
2edge_distributed,hier_fedrep,none,badpfl,2,100,block,1,True,0.5,True,0.877,0.877,0.877,0.867,0.867,0.867,0.793,0.793,0.793,0.010499999999999954,0.010499999999999954,0.010499999999999954,0.07400000000000001,0.08899999999999997,,46.774193548387096,36.43884892086331,36.08196721311475,,no_clean_edge,133
3c_R1,hier_fedrep,none,badpfl,2,100,block,1,True,0.5,True,0.896,0.896,0.896,0.893,0.893,0.893,0.796,0.796,0.796,0.0030000000000000027,0.0030000000000000027,0.0030000000000000027,0.09750000000000003,0.046999999999999986,,43.291139240506325,35.48523206751055,35.44776119402985,,no_clean_edge,163
3c_R40,hier_fedrep,none,badpfl,2,100,block,1,True,0.5,True,0.946,0.946,0.946,0.928,0.928,0.928,0.869,0.869,0.869,0.018000000000000016,0.018000000000000016,0.018000000000000016,0.0595,0.044999999999999984,,58.490566037735846,,,,no_clean_edge,78
3c_R5,hier_fedrep,none,badpfl,2,100,block,1,True,0.5,True,0.869,0.869,0.869,0.858,0.858,0.858,0.773,0.773,0.773,0.011499999999999955,0.011499999999999955,0.011499999999999955,0.08500000000000002,0.09349999999999997,,46.93877551020408,35.925925925925924,35.73899371069182,,no_clean_edge,147
4edge_collocated,hier_fedrep,none,badpfl,4,100,block,1,True,1.0,True,0.93,0.93,0.93,0.846,0.846,0.846,0.835,0.835,0.835,0.08374999999999999,0.08374999999999999,0.08374999999999999,0.003999999999999948,-0.0030000000000000027,0.8196666666666667,58.214285714285715,54.64285714285714,50.78947368421053,61.48800541626432,,131
4edge_distributed,hier_fedrep,none,badpfl,4,100,block,1,True,0.26,True,0.999,0.999,0.999,0.997,0.997,0.997,0.986,0.986,0.986,0.0024999999999999467,0.0024999999999999467,0.0024999999999999467,0.010250000000000009,0.0,,22.823529411764703,7.673913043478262,8.185840707964601,,no_clean_edge,155
4edge_mixed,hier_fedrep,none,badpfl,4,100,block,1,True,0.38,True,0.996,0.996,0.996,0.996,0.996,0.996,0.965,0.965,0.965,-0.00024999999999997247,-0.00024999999999997247,-0.00024999999999997247,0.031000000000000028,0.0013333333333333346,0.971,21.95121951219512,8.240223463687151,8.25581395348837,14.750754145394527,,146
def_median_2edge_distributed,hier_fedrep,none,badpfl,2,100,block,1,True,0.5,True,0.857,0.857,0.857,0.846,0.846,0.846,0.776,0.776,0.776,0.010499999999999954,0.010499999999999954,0.010499999999999954,0.07049999999999995,0.08850000000000002,,43.56164383561644,35.32710280373832,35.0395256916996,,no_clean_edge,133
def_median_4edge_distributed,hier_fedrep,none,badpfl,4,100,block,1,True,0.26,True,0.991,0.991,0.991,0.973,0.973,0.973,0.971,0.971,0.971,0.018000000000000016,0.018000000000000016,0.018000000000000016,0.0022500000000000298,0.02049999999999999,,23.03191489361702,8.567415730337078,8.223300970873787,,no_clean_edge,159
