
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6472 | time=4.8s
  [Client  1] Round 1 | loss=1.4535 | time=6.8s
  [Client  2] Round 1 | loss=1.5436 | time=3.7s
  [Client  3] Round 1 | loss=1.5249 | time=3.6s
  [Client  4] Round 1 | loss=1.4553 | time=7.7s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5079
  [Client  0] Round 1 | loss=1.5887 | time=4.0s
  [Client  1] Round 1 | loss=1.3079 | time=6.4s
  [Client  2] Round 1 | loss=1.3266 | time=3.2s
  [Client  3] Round 1 | loss=1.4249 | time=3.2s
  [Client  4] Round 1 | loss=1.3354 | time=7.3s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.3811
  [Client  0] Round 1 | loss=1.4041 | time=4.0s
  [Client  1] Round 1 | loss=1.2197 | time=6.4s
  [Client  2] Round 1 | loss=1.1665 | time=3.3s
  [Client  3] Round 1 | loss=1.2849 | time=3.2s
  [Client  4] Round 1 | loss=1.2537 | time=7.2s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.2623
  [Client  5] Round 1 | loss=1.3412 | time=5.0s
  [Client  6] Round 1 | loss=1.4474 | time=9.3s
  [Client  7] Round 1 | loss=1.4966 | time=5.1s
  [Client  8] Round 1 | loss=1.9152 | time=4.6s
  [Client  9] Round 1 | loss=1.5647 | time=10.2s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.5354
  [Client  5] Round 1 | loss=1.2668 | time=4.5s
  [Client  6] Round 1 | loss=1.1992 | time=9.0s
  [Client  7] Round 1 | loss=1.2919 | time=4.5s
  [Client  8] Round 1 | loss=1.6916 | time=4.1s
  [Client  9] Round 1 | loss=1.3750 | time=9.7s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.3394
  [Client  5] Round 1 | loss=1.0749 | time=4.5s
  [Client  6] Round 1 | loss=1.0753 | time=9.0s
  [Client  7] Round 1 | loss=1.0568 | time=4.5s
  [Client  8] Round 1 | loss=1.4578 | time=4.1s
  [Client  9] Round 1 | loss=1.2052 | time=9.7s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.1618
[Round   1] Phase 2: Cloud aggregating...
  [Cloud] acc=0.3764 | loss=1.8240 | time=174.3s | comm=535.5MB (total=535MB)

[Round   2] Phase 1: Cloud broadcasting to 2 edges...
