
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6262 | time=3.8s
  [Client  1] Round 1 | loss=1.4370 | time=2.0s
  [Client  2] Round 1 | loss=1.4985 | time=1.4s
  [Client  3] Round 1 | loss=1.5057 | time=1.4s
  [Client  4] Round 1 | loss=1.4469 | time=2.2s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4889
  [Client  0] Round 1 | loss=1.5668 | time=0.7s
  [Client  1] Round 1 | loss=1.2994 | time=1.1s
  [Client  2] Round 1 | loss=1.3378 | time=0.6s
  [Client  3] Round 1 | loss=1.4057 | time=0.6s
  [Client  4] Round 1 | loss=1.3357 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.3742
  [Client  0] Round 1 | loss=1.4219 | time=0.7s
  [Client  1] Round 1 | loss=1.2055 | time=1.1s
  [Client  2] Round 1 | loss=1.1735 | time=0.6s
  [Client  3] Round 1 | loss=1.2822 | time=0.6s
  [Client  4] Round 1 | loss=1.2667 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.2660
  [Client  0] Round 1 | loss=1.4474 | time=0.7s
  [Client  1] Round 1 | loss=1.1444 | time=1.1s
  [Client  2] Round 1 | loss=1.0799 | time=0.6s
  [Client  3] Round 1 | loss=1.1801 | time=0.6s
  [Client  4] Round 1 | loss=1.1842 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.2031
  [Client  0] Round 1 | loss=1.2852 | time=0.7s
  [Client  1] Round 1 | loss=1.0735 | time=1.1s
  [Client  2] Round 1 | loss=0.9936 | time=0.6s
  [Client  3] Round 1 | loss=1.0970 | time=0.6s
  [Client  4] Round 1 | loss=1.0996 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.1092
  [Client  0] Round 1 | loss=1.2054 | time=0.7s
  [Client  1] Round 1 | loss=1.0282 | time=1.1s
  [Client  2] Round 1 | loss=0.9399 | time=0.6s
  [Client  3] Round 1 | loss=0.9982 | time=0.6s
  [Client  4] Round 1 | loss=1.0252 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 6 | loss=1.0411
  [Client  0] Round 1 | loss=1.1657 | time=0.7s
  [Client  1] Round 1 | loss=0.9930 | time=1.1s
  [Client  2] Round 1 | loss=0.8690 | time=0.6s
  [Client  3] Round 1 | loss=0.9534 | time=0.6s
  [Client  4] Round 1 | loss=0.9783 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.9956
  [Client  0] Round 1 | loss=1.1086 | time=0.7s
  [Client  1] Round 1 | loss=0.9537 | time=1.1s
  [Client  2] Round 1 | loss=0.8489 | time=0.6s
  [Client  3] Round 1 | loss=0.9173 | time=0.6s
  [Client  4] Round 1 | loss=0.9416 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.9571
  [Client  0] Round 1 | loss=1.0861 | time=0.7s
  [Client  1] Round 1 | loss=0.9214 | time=1.1s
  [Client  2] Round 1 | loss=0.8283 | time=0.6s
  [Client  3] Round 1 | loss=0.9081 | time=0.6s
