
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6605 | time=6.4s
  [Client  1] Round 1 | loss=1.4554 | time=9.4s
  [Client  2] Round 1 | loss=1.5432 | time=5.0s
  [Client  3] Round 1 | loss=1.5699 | time=5.0s
  [Client  4] Round 1 | loss=1.4900 | time=10.7s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5270
  [Client  0] Round 1 | loss=1.5768 | time=5.7s
  [Client  1] Round 1 | loss=1.3132 | time=9.0s
  [Client  2] Round 1 | loss=1.3571 | time=4.6s
  [Client  3] Round 1 | loss=1.3792 | time=4.5s
  [Client  4] Round 1 | loss=1.3415 | time=10.3s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.3804
  [Client  0] Round 1 | loss=1.4064 | time=5.7s
  [Client  1] Round 1 | loss=1.2073 | time=9.0s
  [Client  2] Round 1 | loss=1.1618 | time=4.6s
  [Client  3] Round 1 | loss=1.2875 | time=4.5s
  [Client  4] Round 1 | loss=1.2662 | time=10.3s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.2629
  [Client  0] Round 1 | loss=1.3762 | time=5.7s
  [Client  1] Round 1 | loss=1.1326 | time=9.0s
  [Client  2] Round 1 | loss=1.0672 | time=4.6s
  [Client  3] Round 1 | loss=1.1547 | time=4.5s
  [Client  4] Round 1 | loss=1.1478 | time=10.3s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.1720
  [Client  0] Round 1 | loss=1.2331 | time=5.6s
  [Client  1] Round 1 | loss=1.0567 | time=9.0s
  [Client  2] Round 1 | loss=0.9825 | time=4.6s
  [Client  3] Round 1 | loss=1.0305 | time=4.6s
  [Client  4] Round 1 | loss=1.0761 | time=10.3s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.0786
  [Client  0] Round 1 | loss=1.1847 | time=5.7s
  [Client  1] Round 1 | loss=1.0080 | time=9.0s
  [Client  2] Round 1 | loss=0.9138 | time=4.6s
  [Client  3] Round 1 | loss=0.9793 | time=4.5s
  [Client  4] Round 1 | loss=1.0059 | time=10.2s
  [Edge 0] G-Round 1 | E-Round 6 | loss=1.0205
  [Client  0] Round 1 | loss=1.1273 | time=5.7s
  [Client  1] Round 1 | loss=0.9849 | time=9.1s
  [Client  2] Round 1 | loss=0.8582 | time=4.5s
  [Client  3] Round 1 | loss=0.9588 | time=4.5s
  [Client  4] Round 1 | loss=0.9772 | time=10.3s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.9860
