
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6700 | time=3.0s
  [Client  1] Round 1 | loss=1.5468 | time=1.5s
  [Client  2] Round 1 | loss=1.6238 | time=1.2s
  [Client  3] Round 1 | loss=1.6449 | time=1.2s
  [Client  4] Round 1 | loss=1.5696 | time=1.7s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5975
  [Client  0] Round 1 | loss=1.7009 | time=0.4s
  [Client  1] Round 1 | loss=1.4015 | time=0.7s
  [Client  2] Round 1 | loss=1.5373 | time=0.3s
  [Client  3] Round 1 | loss=1.5422 | time=0.3s
  [Client  4] Round 1 | loss=1.4238 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.4950
  [Client  0] Round 1 | loss=1.5575 | time=0.4s
  [Client  1] Round 1 | loss=1.3957 | time=0.7s
  [Client  2] Round 1 | loss=1.4010 | time=0.3s
  [Client  3] Round 1 | loss=1.4258 | time=0.3s
  [Client  4] Round 1 | loss=1.3477 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.4129
  [Client  0] Round 1 | loss=1.4944 | time=0.4s
  [Client  1] Round 1 | loss=1.2578 | time=0.7s
  [Client  2] Round 1 | loss=1.2892 | time=0.3s
  [Client  3] Round 1 | loss=1.3743 | time=0.3s
  [Client  4] Round 1 | loss=1.3230 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.3366
  [Client  0] Round 1 | loss=1.4621 | time=0.4s
  [Client  1] Round 1 | loss=1.2499 | time=0.7s
  [Client  2] Round 1 | loss=1.2742 | time=0.3s
  [Client  3] Round 1 | loss=1.3001 | time=0.3s
  [Client  4] Round 1 | loss=1.2556 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.2970
  [Client  0] Round 1 | loss=1.4659 | time=0.4s
  [Client  1] Round 1 | loss=1.1604 | time=0.7s
  [Client  2] Round 1 | loss=1.1204 | time=0.3s
  [Client  3] Round 1 | loss=1.2138 | time=0.3s
  [Client  4] Round 1 | loss=1.2069 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 6 | loss=1.2272
  [Client  0] Round 1 | loss=1.3099 | time=0.4s
  [Client  1] Round 1 | loss=1.1235 | time=0.7s
  [Client  2] Round 1 | loss=1.0814 | time=0.3s
  [Client  3] Round 1 | loss=1.1806 | time=0.3s
  [Client  4] Round 1 | loss=1.1399 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 7 | loss=1.1615
  [Client  0] Round 1 | loss=1.2634 | time=0.4s
  [Client  1] Round 1 | loss=1.0672 | time=0.7s
