
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6497 | time=4.7s
  [Client  1] Round 1 | loss=1.5203 | time=6.7s
  [Client  2] Round 1 | loss=1.5942 | time=3.5s
  [Client  3] Round 1 | loss=1.6124 | time=3.6s
  [Client  4] Round 1 | loss=1.5211 | time=7.4s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5642
  [Client  0] Round 1 | loss=1.6801 | time=3.9s
  [Client  1] Round 1 | loss=1.3651 | time=6.3s
  [Client  2] Round 1 | loss=1.4900 | time=3.2s
  [Client  3] Round 1 | loss=1.4904 | time=3.1s
  [Client  4] Round 1 | loss=1.4064 | time=7.1s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.4635
  [Client  0] Round 1 | loss=1.5642 | time=4.0s
  [Client  1] Round 1 | loss=1.3079 | time=6.3s
  [Client  2] Round 1 | loss=1.3700 | time=3.2s
  [Client  3] Round 1 | loss=1.4004 | time=3.2s
  [Client  4] Round 1 | loss=1.3590 | time=7.1s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.3867
  [Client  0] Round 1 | loss=1.4904 | time=4.0s
  [Client  1] Round 1 | loss=1.2475 | time=6.2s
  [Client  2] Round 1 | loss=1.2905 | time=3.2s
  [Client  3] Round 1 | loss=1.3391 | time=3.2s
  [Client  4] Round 1 | loss=1.3038 | time=7.2s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.3229
  [Client  0] Round 1 | loss=1.4898 | time=4.0s
  [Client  1] Round 1 | loss=1.2128 | time=6.2s
  [Client  2] Round 1 | loss=1.1813 | time=3.2s
  [Client  3] Round 1 | loss=1.2909 | time=3.1s
  [Client  4] Round 1 | loss=1.2665 | time=7.1s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.2814
  [Client  0] Round 1 | loss=1.4843 | time=3.9s
  [Client  1] Round 1 | loss=1.1661 | time=6.3s
  [Client  2] Round 1 | loss=1.1374 | time=3.1s
  [Client  3] Round 1 | loss=1.2301 | time=3.1s
  [Client  4] Round 1 | loss=1.2183 | time=7.1s
  [Edge 0] G-Round 1 | E-Round 6 | loss=1.2396
  [Client  0] Round 1 | loss=1.3686 | time=3.9s
  [Client  1] Round 1 | loss=1.1272 | time=6.2s
  [Client  2] Round 1 | loss=1.0942 | time=3.2s
  [Client  3] Round 1 | loss=1.1702 | time=3.1s
  [Client  4] Round 1 | loss=1.1766 | time=7.1s
  [Edge 0] G-Round 1 | E-Round 7 | loss=1.1837
  [Client  0] Round 1 | loss=1.2726 | time=4.0s
  [Client  1] Round 1 | loss=1.0856 | time=6.2s
  [Client  2] Round 1 | loss=1.0161 | time=3.1s
  [Client  3] Round 1 | loss=1.0982 | time=3.1s
  [Client  4] Round 1 | loss=1.1244 | time=7.1s
  [Edge 0] G-Round 1 | E-Round 8 | loss=1.1209
  [Client  0] Round 1 | loss=1.2718 | time=4.0s
  [Client  1] Round 1 | loss=1.0468 | time=6.2s
  [Client  2] Round 1 | loss=1.0512 | time=3.2s
  [Client  3] Round 1 | loss=1.0490 | time=3.2s
  [Client  4] Round 1 | loss=1.0838 | time=7.1s
  [Edge 0] G-Round 1 | E-Round 9 | loss=1.0964
  [Client  0] Round 1 | loss=1.2099 | time=3.9s
  [Client  1] Round 1 | loss=1.0328 | time=6.3s
  [Client  2] Round 1 | loss=0.9702 | time=3.2s
  [Client  3] Round 1 | loss=1.0196 | time=3.1s
  [Client  4] Round 1 | loss=1.0509 | time=7.1s
  [Edge 0] G-Round 1 | E-Round 10 | loss=1.0577
  [Client  0] Round 1 | loss=1.1836 | time=3.9s
  [Client  1] Round 1 | loss=1.0175 | time=6.3s
  [Client  2] Round 1 | loss=0.9128 | time=3.2s
  [Client  3] Round 1 | loss=0.9987 | time=3.1s
  [Client  4] Round 1 | loss=1.0310 | time=7.2s
  [Edge 0] G-Round 1 | E-Round 11 | loss=1.0328
  [Client  0] Round 1 | loss=1.2033 | time=3.9s
  [Client  1] Round 1 | loss=0.9891 | time=6.2s
  [Client  2] Round 1 | loss=0.9095 | time=3.1s
  [Client  3] Round 1 | loss=0.9781 | time=3.1s
  [Client  4] Round 1 | loss=0.9995 | time=7.1s
