
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6896 | time=4.1s
  [Client  1] Round 1 | loss=1.5236 | time=6.0s
  [Client  2] Round 1 | loss=1.5825 | time=3.2s
  [Client  3] Round 1 | loss=1.6481 | time=3.2s
  [Client  4] Round 1 | loss=1.5689 | time=6.8s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5894
  [Client  0] Round 1 | loss=1.7257 | time=3.5s
  [Client  1] Round 1 | loss=1.3943 | time=5.6s
  [Client  2] Round 1 | loss=1.5532 | time=2.8s
  [Client  3] Round 1 | loss=1.5607 | time=2.8s
  [Client  4] Round 1 | loss=1.4176 | time=6.4s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.4999
  [Client  0] Round 1 | loss=1.5381 | time=3.5s
  [Client  1] Round 1 | loss=1.3159 | time=5.5s
  [Client  2] Round 1 | loss=1.3687 | time=2.8s
  [Client  3] Round 1 | loss=1.4017 | time=2.8s
  [Client  4] Round 1 | loss=1.3607 | time=6.3s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.3849
  [Client  0] Round 1 | loss=1.4505 | time=3.5s
  [Client  1] Round 1 | loss=1.2373 | time=5.5s
  [Client  2] Round 1 | loss=1.2771 | time=2.8s
  [Client  3] Round 1 | loss=1.3793 | time=2.8s
  [Client  4] Round 1 | loss=1.3078 | time=6.3s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.3183
  [Client  0] Round 1 | loss=1.4042 | time=3.5s
  [Client  1] Round 1 | loss=1.2121 | time=5.6s
  [Client  2] Round 1 | loss=1.1828 | time=2.8s
  [Client  3] Round 1 | loss=1.2852 | time=2.8s
  [Client  4] Round 1 | loss=1.2509 | time=6.3s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.2617
  [Client  0] Round 1 | loss=1.4480 | time=3.5s
  [Client  1] Round 1 | loss=1.1421 | time=5.6s
  [Client  2] Round 1 | loss=1.1194 | time=2.8s
  [Client  3] Round 1 | loss=1.2068 | time=2.8s
  [Client  4] Round 1 | loss=1.2056 | time=6.4s
  [Edge 0] G-Round 1 | E-Round 6 | loss=1.2179
  [Client  0] Round 1 | loss=1.2961 | time=3.5s
  [Client  1] Round 1 | loss=1.1066 | time=5.6s
  [Client  2] Round 1 | loss=1.0497 | time=2.8s
  [Client  3] Round 1 | loss=1.1307 | time=2.8s
  [Client  4] Round 1 | loss=1.1456 | time=6.4s
  [Edge 0] G-Round 1 | E-Round 7 | loss=1.1456
  [Client  0] Round 1 | loss=1.2454 | time=3.5s
  [Client  1] Round 1 | loss=1.0681 | time=5.6s
  [Client  2] Round 1 | loss=0.9799 | time=2.8s
  [Client  3] Round 1 | loss=1.0434 | time=2.8s
  [Client  4] Round 1 | loss=1.1067 | time=6.4s
  [Edge 0] G-Round 1 | E-Round 8 | loss=1.0943
