
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6693 | time=5.1s
  [Client  1] Round 1 | loss=1.5272 | time=2.9s
  [Client  2] Round 1 | loss=1.6199 | time=2.0s
  [Client  3] Round 1 | loss=1.6194 | time=2.0s
  [Client  4] Round 1 | loss=1.5553 | time=3.3s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5840
  [Client  0] Round 1 | loss=1.7326 | time=1.1s
  [Client  1] Round 1 | loss=1.3971 | time=1.7s
  [Client  2] Round 1 | loss=1.5354 | time=0.9s
  [Client  3] Round 1 | loss=1.5418 | time=0.9s
  [Client  4] Round 1 | loss=1.4189 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.4974
  [Client  0] Round 1 | loss=1.5896 | time=1.1s
  [Client  1] Round 1 | loss=1.3226 | time=1.7s
  [Client  2] Round 1 | loss=1.3383 | time=0.9s
  [Client  3] Round 1 | loss=1.3969 | time=0.9s
  [Client  4] Round 1 | loss=1.3594 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.3902
  [Client  0] Round 1 | loss=1.5178 | time=1.1s
  [Client  1] Round 1 | loss=1.2463 | time=1.8s
  [Client  2] Round 1 | loss=1.2838 | time=0.9s
  [Client  3] Round 1 | loss=1.3501 | time=0.9s
  [Client  4] Round 1 | loss=1.3078 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.3290
  [Client  0] Round 1 | loss=1.4731 | time=1.1s
  [Client  1] Round 1 | loss=1.2143 | time=1.8s
  [Client  2] Round 1 | loss=1.1843 | time=0.9s
  [Client  3] Round 1 | loss=1.2673 | time=0.9s
  [Client  4] Round 1 | loss=1.2647 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.2758
  [Client  0] Round 1 | loss=1.5171 | time=1.1s
  [Client  1] Round 1 | loss=1.1626 | time=1.7s
  [Client  2] Round 1 | loss=1.1214 | time=0.9s
  [Client  3] Round 1 | loss=1.2073 | time=0.9s
  [Client  4] Round 1 | loss=1.2087 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 6 | loss=1.2361
  [Client  0] Round 1 | loss=1.3308 | time=1.1s
  [Client  1] Round 1 | loss=1.1221 | time=1.8s
  [Client  2] Round 1 | loss=1.0628 | time=0.9s
  [Client  3] Round 1 | loss=1.1448 | time=0.9s
  [Client  4] Round 1 | loss=1.1699 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 7 | loss=1.1665
  [Client  0] Round 1 | loss=1.2814 | time=1.1s
  [Client  1] Round 1 | loss=1.0833 | time=1.8s
  [Client  2] Round 1 | loss=0.9917 | time=0.9s
  [Client  3] Round 1 | loss=1.0861 | time=0.9s
  [Client  4] Round 1 | loss=1.1253 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 8 | loss=1.1172
  [Client  0] Round 1 | loss=1.2675 | time=1.1s
  [Client  1] Round 1 | loss=1.0539 | time=1.8s
  [Client  2] Round 1 | loss=0.9924 | time=0.9s
  [Client  3] Round 1 | loss=1.0471 | time=0.9s
  [Client  4] Round 1 | loss=1.0749 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 9 | loss=1.0868
  [Client  0] Round 1 | loss=1.2245 | time=1.1s
  [Client  1] Round 1 | loss=1.0342 | time=1.8s
  [Client  2] Round 1 | loss=0.9427 | time=0.9s
  [Client  3] Round 1 | loss=1.0528 | time=0.9s
  [Client  4] Round 1 | loss=1.0601 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 10 | loss=1.0640
  [Client  0] Round 1 | loss=1.1851 | time=1.1s
  [Client  1] Round 1 | loss=1.0286 | time=1.8s
  [Client  2] Round 1 | loss=0.9258 | time=0.9s
  [Client  3] Round 1 | loss=1.0441 | time=0.9s
  [Client  4] Round 1 | loss=1.0394 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 11 | loss=1.0463
  [Client  0] Round 1 | loss=1.2370 | time=1.1s
  [Client  1] Round 1 | loss=0.9884 | time=1.8s
  [Client  2] Round 1 | loss=0.8820 | time=0.9s
  [Client  3] Round 1 | loss=1.0054 | time=0.9s
  [Client  4] Round 1 | loss=1.0210 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 12 | loss=1.0278
  [Client  0] Round 1 | loss=1.1461 | time=1.1s
  [Client  1] Round 1 | loss=0.9908 | time=1.8s
  [Client  2] Round 1 | loss=0.9026 | time=0.9s
  [Client  3] Round 1 | loss=0.9824 | time=0.9s
  [Client  4] Round 1 | loss=0.9806 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 13 | loss=1.0007
  [Client  0] Round 1 | loss=1.1597 | time=1.1s
  [Client  1] Round 1 | loss=0.9600 | time=1.8s
  [Client  2] Round 1 | loss=0.8745 | time=0.9s
  [Client  3] Round 1 | loss=0.9607 | time=0.9s
  [Client  4] Round 1 | loss=0.9683 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 14 | loss=0.9845
  [Client  0] Round 1 | loss=1.1216 | time=1.1s
  [Client  1] Round 1 | loss=0.9572 | time=1.8s
  [Client  2] Round 1 | loss=0.8894 | time=0.9s
  [Client  3] Round 1 | loss=0.9530 | time=0.9s
  [Client  4] Round 1 | loss=0.9425 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 15 | loss=0.9706
  [Client  0] Round 1 | loss=1.1409 | time=1.1s
  [Client  1] Round 1 | loss=0.9376 | time=1.8s
  [Client  2] Round 1 | loss=0.8466 | time=0.9s
  [Client  3] Round 1 | loss=0.9339 | time=0.9s
  [Client  4] Round 1 | loss=0.9194 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 16 | loss=0.9534
  [Client  0] Round 1 | loss=1.1148 | time=1.1s
  [Client  1] Round 1 | loss=0.9235 | time=1.8s
  [Client  2] Round 1 | loss=0.8435 | time=0.9s
