
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6039 | time=6.0s
  [Client  1] Round 1 | loss=1.4136 | time=4.6s
  [Client  2] Round 1 | loss=1.4901 | time=2.8s
  [Client  3] Round 1 | loss=1.5145 | time=2.8s
  [Client  4] Round 1 | loss=1.4281 | time=5.2s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4733
  [Client  0] Round 1 | loss=1.4925 | time=2.2s
  [Client  1] Round 1 | loss=1.2703 | time=3.4s
  [Client  2] Round 1 | loss=1.2763 | time=1.7s
  [Client  3] Round 1 | loss=1.3346 | time=1.7s
  [Client  4] Round 1 | loss=1.2900 | time=3.9s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.3226
  [Client  0] Round 1 | loss=1.3683 | time=2.2s
  [Client  1] Round 1 | loss=1.1699 | time=3.5s
  [Client  2] Round 1 | loss=1.0833 | time=1.8s
  [Client  3] Round 1 | loss=1.2038 | time=1.7s
  [Client  4] Round 1 | loss=1.1957 | time=4.0s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.2038
  [Client  0] Round 1 | loss=1.2435 | time=2.2s
  [Client  1] Round 1 | loss=1.0788 | time=3.5s
  [Client  2] Round 1 | loss=0.9907 | time=1.8s
  [Client  3] Round 1 | loss=1.0647 | time=1.8s
  [Client  4] Round 1 | loss=1.0997 | time=4.0s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.0990
  [Client  0] Round 1 | loss=1.1808 | time=2.2s
  [Client  1] Round 1 | loss=1.0141 | time=3.5s
  [Client  2] Round 1 | loss=0.9300 | time=1.8s
  [Client  3] Round 1 | loss=0.9753 | time=1.8s
  [Client  4] Round 1 | loss=1.0290 | time=4.0s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.0300
  [Client  0] Round 1 | loss=1.1415 | time=2.2s
  [Client  1] Round 1 | loss=0.9823 | time=3.5s
  [Client  2] Round 1 | loss=0.8586 | time=1.8s
  [Client  3] Round 1 | loss=0.9479 | time=1.8s
  [Client  4] Round 1 | loss=0.9779 | time=4.0s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.9865
  [Client  0] Round 1 | loss=1.1069 | time=2.2s
  [Client  1] Round 1 | loss=0.9322 | time=3.6s
  [Client  2] Round 1 | loss=0.8352 | time=1.8s
  [Client  3] Round 1 | loss=0.9223 | time=1.8s
  [Client  4] Round 1 | loss=0.9335 | time=4.1s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.9475
  [Client  0] Round 1 | loss=1.0666 | time=2.2s
  [Client  1] Round 1 | loss=0.8998 | time=3.6s
  [Client  2] Round 1 | loss=0.8022 | time=1.8s
  [Client  3] Round 1 | loss=0.8747 | time=1.8s
  [Client  4] Round 1 | loss=0.8882 | time=4.1s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.9078
  [Client  0] Round 1 | loss=1.0526 | time=2.3s
  [Client  1] Round 1 | loss=0.8620 | time=3.6s
  [Client  2] Round 1 | loss=0.7759 | time=1.8s
  [Client  3] Round 1 | loss=0.8284 | time=1.8s
  [Client  4] Round 1 | loss=0.8487 | time=4.1s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.8738
  [Client  0] Round 1 | loss=1.0070 | time=2.3s
  [Client  1] Round 1 | loss=0.8169 | time=3.6s
  [Client  2] Round 1 | loss=0.7452 | time=1.8s
  [Client  3] Round 1 | loss=0.8145 | time=1.8s
  [Client  4] Round 1 | loss=0.8041 | time=4.1s
  [Edge 0] G-Round 1 | E-Round 10 | loss=0.8348
  [Client  5] Round 1 | loss=1.3468 | time=4.6s
  [Client  6] Round 1 | loss=1.4034 | time=5.5s
  [Client  7] Round 1 | loss=1.4557 | time=4.3s
  [Client  8] Round 1 | loss=1.9151 | time=3.6s
  [Client  9] Round 1 | loss=1.5422 | time=6.5s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.5112
  [Client  5] Round 1 | loss=1.2136 | time=2.6s
  [Client  6] Round 1 | loss=1.1910 | time=5.1s
  [Client  7] Round 1 | loss=1.2385 | time=2.6s
  [Client  8] Round 1 | loss=1.6615 | time=2.3s
  [Client  9] Round 1 | loss=1.3430 | time=5.6s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.3082
  [Client  5] Round 1 | loss=1.0295 | time=2.6s
  [Client  6] Round 1 | loss=1.0368 | time=5.1s
  [Client  7] Round 1 | loss=1.0158 | time=2.6s
  [Client  8] Round 1 | loss=1.4135 | time=2.4s
  [Client  9] Round 1 | loss=1.1965 | time=5.6s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.1303
  [Client  5] Round 1 | loss=0.9327 | time=2.6s
  [Client  6] Round 1 | loss=0.9414 | time=5.1s
  [Client  7] Round 1 | loss=0.8966 | time=2.6s
  [Client  8] Round 1 | loss=1.3024 | time=2.4s
  [Client  9] Round 1 | loss=1.0842 | time=5.6s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.0241
  [Client  5] Round 1 | loss=0.8619 | time=2.6s
  [Client  6] Round 1 | loss=0.8454 | time=5.1s
  [Client  7] Round 1 | loss=0.7881 | time=2.6s
  [Client  8] Round 1 | loss=1.1694 | time=2.4s
  [Client  9] Round 1 | loss=0.9810 | time=5.6s
  [Edge 1] G-Round 1 | E-Round 5 | loss=0.9229
  [Client  5] Round 1 | loss=0.8176 | time=2.6s
  [Client  6] Round 1 | loss=0.7886 | time=5.1s
  [Client  7] Round 1 | loss=0.7365 | time=2.6s
  [Client  8] Round 1 | loss=1.1009 | time=2.4s
  [Client  9] Round 1 | loss=0.9355 | time=5.6s
  [Edge 1] G-Round 1 | E-Round 6 | loss=0.8706
  [Client  5] Round 1 | loss=0.7810 | time=2.6s
  [Client  6] Round 1 | loss=0.7235 | time=5.1s
  [Client  7] Round 1 | loss=0.6659 | time=2.6s
  [Client  8] Round 1 | loss=1.0241 | time=2.4s
  [Client  9] Round 1 | loss=0.8801 | time=5.6s
  [Edge 1] G-Round 1 | E-Round 7 | loss=0.8103
  [Client  5] Round 1 | loss=0.7534 | time=2.6s
  [Client  6] Round 1 | loss=0.6772 | time=5.1s
  [Client  7] Round 1 | loss=0.6490 | time=2.6s
  [Client  8] Round 1 | loss=0.9606 | time=2.4s
  [Client  9] Round 1 | loss=0.8357 | time=5.7s
  [Edge 1] G-Round 1 | E-Round 8 | loss=0.7693
  [Client  5] Round 1 | loss=0.7150 | time=2.6s
  [Client  6] Round 1 | loss=0.6207 | time=5.1s
  [Client  7] Round 1 | loss=0.5779 | time=2.6s
  [Client  8] Round 1 | loss=0.9342 | time=2.4s
  [Client  9] Round 1 | loss=0.7968 | time=5.6s
  [Edge 1] G-Round 1 | E-Round 9 | loss=0.7226
  [Client  5] Round 1 | loss=0.6861 | time=2.6s
  [Client  6] Round 1 | loss=0.5827 | time=5.1s
  [Client  7] Round 1 | loss=0.5382 | time=2.6s
  [Client  8] Round 1 | loss=0.8692 | time=2.4s
  [Client  9] Round 1 | loss=0.7338 | time=5.6s
  [Edge 1] G-Round 1 | E-Round 10 | loss=0.6745
[Round   1] Phase 2: Cloud aggregating...
  [Cloud] acc=0.5359 | loss=1.3405 | time=333.5s | comm=1706.8MB (total=1707MB)

[Round   2] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 2 | loss=0.9063 | time=2.3s
  [Client  1] Round 2 | loss=0.8051 | time=3.7s
  [Client  2] Round 2 | loss=0.7265 | time=1.9s
  [Client  3] Round 2 | loss=0.7421 | time=1.8s
  [Client  4] Round 2 | loss=0.7642 | time=4.2s
  [Edge 0] G-Round 2 | E-Round 1 | loss=0.7908
  [Client  0] Round 2 | loss=0.8298 | time=2.3s
  [Client  1] Round 2 | loss=0.7093 | time=3.7s
  [Client  2] Round 2 | loss=0.6527 | time=1.9s
  [Client  3] Round 2 | loss=0.6776 | time=1.9s
  [Client  4] Round 2 | loss=0.6934 | time=4.2s
  [Edge 0] G-Round 2 | E-Round 2 | loss=0.7128
  [Client  0] Round 2 | loss=0.8011 | time=2.3s
  [Client  1] Round 2 | loss=0.6535 | time=3.7s
  [Client  2] Round 2 | loss=0.6003 | time=1.9s
  [Client  3] Round 2 | loss=0.6125 | time=1.9s
  [Client  4] Round 2 | loss=0.6416 | time=4.2s
  [Edge 0] G-Round 2 | E-Round 3 | loss=0.6620
  [Client  0] Round 2 | loss=0.7585 | time=2.3s
  [Client  1] Round 2 | loss=0.6013 | time=3.7s
  [Client  2] Round 2 | loss=0.5534 | time=1.9s
  [Client  3] Round 2 | loss=0.5858 | time=1.9s
  [Client  4] Round 2 | loss=0.5841 | time=4.2s
  [Edge 0] G-Round 2 | E-Round 4 | loss=0.6139
  [Client  0] Round 2 | loss=0.7227 | time=2.3s
  [Client  1] Round 2 | loss=0.5541 | time=3.7s
  [Client  2] Round 2 | loss=0.5139 | time=1.9s
  [Client  3] Round 2 | loss=0.5593 | time=1.9s
  [Client  4] Round 2 | loss=0.5460 | time=4.2s
  [Edge 0] G-Round 2 | E-Round 5 | loss=0.5751
  [Client  0] Round 2 | loss=0.7079 | time=2.3s
  [Client  1] Round 2 | loss=0.5149 | time=3.7s
  [Client  2] Round 2 | loss=0.4899 | time=1.9s
  [Client  3] Round 2 | loss=0.5154 | time=1.9s
  [Client  4] Round 2 | loss=0.5001 | time=4.2s
  [Edge 0] G-Round 2 | E-Round 6 | loss=0.5394
  [Client  0] Round 2 | loss=0.6528 | time=2.3s
  [Client  1] Round 2 | loss=0.4835 | time=3.7s
  [Client  2] Round 2 | loss=0.4747 | time=1.9s
  [Client  3] Round 2 | loss=0.5003 | time=1.9s
  [Client  4] Round 2 | loss=0.4564 | time=4.2s
  [Edge 0] G-Round 2 | E-Round 7 | loss=0.5046
  [Client  0] Round 2 | loss=0.5861 | time=2.3s
  [Client  1] Round 2 | loss=0.4312 | time=3.7s
  [Client  2] Round 2 | loss=0.4327 | time=1.9s
  [Client  3] Round 2 | loss=0.4612 | time=1.9s
  [Client  4] Round 2 | loss=0.4193 | time=4.2s
  [Edge 0] G-Round 2 | E-Round 8 | loss=0.4576
  [Client  0] Round 2 | loss=0.6307 | time=2.3s
  [Client  1] Round 2 | loss=0.3896 | time=3.7s
  [Client  2] Round 2 | loss=0.4172 | time=1.9s
  [Client  3] Round 2 | loss=0.4407 | time=1.9s
  [Client  4] Round 2 | loss=0.3902 | time=4.2s
  [Edge 0] G-Round 2 | E-Round 9 | loss=0.4405
  [Client  0] Round 2 | loss=0.5435 | time=2.3s
  [Client  1] Round 2 | loss=0.3722 | time=3.7s
  [Client  2] Round 2 | loss=0.3975 | time=1.9s
  [Client  3] Round 2 | loss=0.4165 | time=1.9s
  [Client  4] Round 2 | loss=0.3486 | time=4.2s
  [Edge 0] G-Round 2 | E-Round 10 | loss=0.4029
  [Client  5] Round 2 | loss=0.7694 | time=2.6s
  [Client  6] Round 2 | loss=0.6760 | time=5.2s
  [Client  7] Round 2 | loss=0.6267 | time=2.6s
  [Client  8] Round 2 | loss=0.9434 | time=2.4s
  [Client  9] Round 2 | loss=0.8231 | time=5.7s
  [Edge 1] G-Round 2 | E-Round 1 | loss=0.7620
  [Client  5] Round 2 | loss=0.6959 | time=2.6s
  [Client  6] Round 2 | loss=0.6026 | time=5.2s
  [Client  7] Round 2 | loss=0.5650 | time=2.6s
  [Client  8] Round 2 | loss=0.8593 | time=2.4s
  [Client  9] Round 2 | loss=0.7532 | time=5.7s
  [Edge 1] G-Round 2 | E-Round 2 | loss=0.6899
  [Client  5] Round 2 | loss=0.6615 | time=2.6s
  [Client  6] Round 2 | loss=0.5463 | time=5.2s
  [Client  7] Round 2 | loss=0.5142 | time=2.6s
  [Client  8] Round 2 | loss=0.8051 | time=2.4s
  [Client  9] Round 2 | loss=0.6913 | time=5.7s
  [Edge 1] G-Round 2 | E-Round 3 | loss=0.6361
  [Client  5] Round 2 | loss=0.6315 | time=2.7s
  [Client  6] Round 2 | loss=0.4973 | time=5.2s
  [Client  7] Round 2 | loss=0.4899 | time=2.6s
  [Client  8] Round 2 | loss=0.7654 | time=2.4s
  [Client  9] Round 2 | loss=0.6384 | time=5.7s
  [Edge 1] G-Round 2 | E-Round 4 | loss=0.5933
  [Client  5] Round 2 | loss=0.6003 | time=2.6s
  [Client  6] Round 2 | loss=0.4705 | time=5.2s
  [Client  7] Round 2 | loss=0.4543 | time=2.6s
  [Client  8] Round 2 | loss=0.7082 | time=2.4s
  [Client  9] Round 2 | loss=0.5930 | time=5.7s
  [Edge 1] G-Round 2 | E-Round 5 | loss=0.5550
  [Client  5] Round 2 | loss=0.5729 | time=2.6s
  [Client  6] Round 2 | loss=0.4333 | time=5.2s
  [Client  7] Round 2 | loss=0.4309 | time=2.6s
  [Client  8] Round 2 | loss=0.6839 | time=2.4s
  [Client  9] Round 2 | loss=0.5567 | time=5.7s
  [Edge 1] G-Round 2 | E-Round 6 | loss=0.5231
  [Client  5] Round 2 | loss=0.5517 | time=2.7s
  [Client  6] Round 2 | loss=0.3932 | time=5.2s
  [Client  7] Round 2 | loss=0.4149 | time=2.6s
  [Client  8] Round 2 | loss=0.6483 | time=2.4s
  [Client  9] Round 2 | loss=0.5148 | time=5.7s
  [Edge 1] G-Round 2 | E-Round 7 | loss=0.4892
  [Client  5] Round 2 | loss=0.5340 | time=2.6s
  [Client  6] Round 2 | loss=0.3605 | time=5.2s
  [Client  7] Round 2 | loss=0.3929 | time=2.6s
  [Client  8] Round 2 | loss=0.6170 | time=2.4s
  [Client  9] Round 2 | loss=0.4719 | time=5.7s
  [Edge 1] G-Round 2 | E-Round 8 | loss=0.4572
  [Client  5] Round 2 | loss=0.5048 | time=2.7s
  [Client  6] Round 2 | loss=0.3337 | time=5.2s
  [Client  7] Round 2 | loss=0.3663 | time=2.6s
