
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.4495 | time=8.3s
  [Client  1] Round 1 | loss=1.3122 | time=8.2s
  [Client  2] Round 1 | loss=1.3626 | time=4.8s
  [Client  3] Round 1 | loss=1.3597 | time=4.7s
  [Client  4] Round 1 | loss=1.3140 | time=9.4s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.3487
  [Client  0] Round 1 | loss=1.2952 | time=4.4s
  [Client  1] Round 1 | loss=1.1318 | time=7.0s
  [Client  2] Round 1 | loss=1.0441 | time=3.6s
  [Client  3] Round 1 | loss=1.1093 | time=3.6s
  [Client  4] Round 1 | loss=1.1093 | time=8.1s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.1376
  [Client  0] Round 1 | loss=1.1230 | time=4.5s
  [Client  1] Round 1 | loss=0.9621 | time=7.1s
  [Client  2] Round 1 | loss=0.8699 | time=3.6s
  [Client  3] Round 1 | loss=0.9088 | time=3.6s
  [Client  4] Round 1 | loss=0.9477 | time=8.1s
  [Edge 0] G-Round 1 | E-Round 3 | loss=0.9652
  [Client  0] Round 1 | loss=1.0170 | time=4.5s
  [Client  1] Round 1 | loss=0.8571 | time=7.1s
  [Client  2] Round 1 | loss=0.7587 | time=3.6s
  [Client  3] Round 1 | loss=0.8058 | time=3.6s
  [Client  4] Round 1 | loss=0.8235 | time=8.2s
  [Edge 0] G-Round 1 | E-Round 4 | loss=0.8537
  [Client  0] Round 1 | loss=0.9465 | time=4.5s
  [Client  1] Round 1 | loss=0.7406 | time=7.2s
  [Client  2] Round 1 | loss=0.6705 | time=3.6s
  [Client  3] Round 1 | loss=0.7233 | time=3.6s
  [Client  4] Round 1 | loss=0.7203 | time=8.2s
  [Edge 0] G-Round 1 | E-Round 5 | loss=0.7572
  [Client  0] Round 1 | loss=0.8335 | time=4.5s
  [Client  1] Round 1 | loss=0.6440 | time=7.2s
  [Client  2] Round 1 | loss=0.5989 | time=3.6s
  [Client  3] Round 1 | loss=0.6274 | time=3.6s
  [Client  4] Round 1 | loss=0.6252 | time=8.2s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.6617
  [Client  0] Round 1 | loss=0.7436 | time=4.5s
  [Client  1] Round 1 | loss=0.5410 | time=7.2s
  [Client  2] Round 1 | loss=0.5177 | time=3.6s
  [Client  3] Round 1 | loss=0.5505 | time=3.6s
  [Client  4] Round 1 | loss=0.5303 | time=8.2s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.5697
  [Client  0] Round 1 | loss=0.6889 | time=4.5s
  [Client  1] Round 1 | loss=0.4691 | time=7.2s
  [Client  2] Round 1 | loss=0.4444 | time=3.6s
  [Client  3] Round 1 | loss=0.4815 | time=3.6s
  [Client  4] Round 1 | loss=0.4488 | time=8.2s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.4980
  [Client  0] Round 1 | loss=0.5819 | time=4.5s
  [Client  1] Round 1 | loss=0.3939 | time=7.2s
  [Client  2] Round 1 | loss=0.3948 | time=3.6s
  [Client  3] Round 1 | loss=0.4212 | time=3.6s
  [Client  4] Round 1 | loss=0.3859 | time=8.2s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.4266
  [Client  0] Round 1 | loss=0.5366 | time=4.5s
  [Client  1] Round 1 | loss=0.3257 | time=7.2s
  [Client  2] Round 1 | loss=0.3522 | time=3.7s
  [Client  3] Round 1 | loss=0.3771 | time=3.6s
  [Client  4] Round 1 | loss=0.3194 | time=8.2s
  [Edge 0] G-Round 1 | E-Round 10 | loss=0.3693
  [Client  5] Round 1 | loss=1.2743 | time=7.3s
  [Client  6] Round 1 | loss=1.2227 | time=10.6s
  [Client  7] Round 1 | loss=1.2611 | time=6.9s
  [Client  8] Round 1 | loss=1.7287 | time=6.0s
  [Client  9] Round 1 | loss=1.3932 | time=12.1s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.3531
  [Client  5] Round 1 | loss=0.9738 | time=5.2s
  [Client  6] Round 1 | loss=0.9363 | time=10.1s
  [Client  7] Round 1 | loss=0.9495 | time=5.1s
  [Client  8] Round 1 | loss=1.3415 | time=4.7s
  [Client  9] Round 1 | loss=1.1026 | time=11.1s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.0468
  [Client  5] Round 1 | loss=0.8133 | time=5.2s
  [Client  6] Round 1 | loss=0.7643 | time=10.1s
  [Client  7] Round 1 | loss=0.7226 | time=5.1s
  [Client  8] Round 1 | loss=1.0814 | time=4.7s
  [Client  9] Round 1 | loss=0.9295 | time=11.0s
  [Edge 1] G-Round 1 | E-Round 3 | loss=0.8569
  [Client  5] Round 1 | loss=0.7186 | time=5.2s
  [Client  6] Round 1 | loss=0.6440 | time=10.0s
  [Client  7] Round 1 | loss=0.6007 | time=5.1s
  [Client  8] Round 1 | loss=0.9193 | time=4.6s
  [Client  9] Round 1 | loss=0.8170 | time=11.0s
  [Edge 1] G-Round 1 | E-Round 4 | loss=0.7371
  [Client  5] Round 1 | loss=0.6353 | time=5.1s
  [Client  6] Round 1 | loss=0.5292 | time=10.0s
  [Client  7] Round 1 | loss=0.5118 | time=5.1s
  [Client  8] Round 1 | loss=0.7849 | time=4.7s
  [Client  9] Round 1 | loss=0.7032 | time=11.0s
  [Edge 1] G-Round 1 | E-Round 5 | loss=0.6282
  [Client  5] Round 1 | loss=0.5610 | time=5.2s
  [Client  6] Round 1 | loss=0.4454 | time=10.0s
  [Client  7] Round 1 | loss=0.4385 | time=5.1s
  [Client  8] Round 1 | loss=0.6724 | time=4.7s
  [Client  9] Round 1 | loss=0.6000 | time=11.0s
  [Edge 1] G-Round 1 | E-Round 6 | loss=0.5377
  [Client  5] Round 1 | loss=0.5037 | time=5.2s
  [Client  6] Round 1 | loss=0.3698 | time=10.1s
  [Client  7] Round 1 | loss=0.3695 | time=5.1s
  [Client  8] Round 1 | loss=0.5868 | time=4.7s
  [Client  9] Round 1 | loss=0.5062 | time=11.0s
  [Edge 1] G-Round 1 | E-Round 7 | loss=0.4588
  [Client  5] Round 1 | loss=0.4484 | time=5.2s
  [Client  6] Round 1 | loss=0.3114 | time=10.0s
  [Client  7] Round 1 | loss=0.3261 | time=5.1s
  [Client  8] Round 1 | loss=0.5186 | time=4.7s
  [Client  9] Round 1 | loss=0.4301 | time=11.1s
  [Edge 1] G-Round 1 | E-Round 8 | loss=0.3963
  [Client  5] Round 1 | loss=0.4037 | time=5.2s
  [Client  6] Round 1 | loss=0.2580 | time=10.0s
  [Client  7] Round 1 | loss=0.2939 | time=5.1s
  [Client  8] Round 1 | loss=0.4576 | time=4.7s
  [Client  9] Round 1 | loss=0.3626 | time=11.0s
  [Edge 1] G-Round 1 | E-Round 9 | loss=0.3418
  [Client  5] Round 1 | loss=0.3646 | time=5.2s
