
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.3555 | time=11.1s
  [Client  1] Round 1 | loss=1.1982 | time=13.0s
  [Client  2] Round 1 | loss=1.1434 | time=7.2s
  [Client  3] Round 1 | loss=1.2597 | time=7.1s
  [Client  4] Round 1 | loss=1.2041 | time=14.9s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.2271
  [Client  0] Round 1 | loss=1.1109 | time=7.6s
  [Client  1] Round 1 | loss=0.9638 | time=12.1s
  [Client  2] Round 1 | loss=0.8714 | time=6.1s
  [Client  3] Round 1 | loss=0.9212 | time=6.1s
  [Client  4] Round 1 | loss=0.9403 | time=13.7s
  [Edge 0] G-Round 1 | E-Round 2 | loss=0.9632
  [Client  0] Round 1 | loss=0.9285 | time=7.8s
  [Client  1] Round 1 | loss=0.7594 | time=12.1s
  [Client  2] Round 1 | loss=0.6889 | time=6.1s
  [Client  3] Round 1 | loss=0.7424 | time=6.1s
  [Client  4] Round 1 | loss=0.7342 | time=13.8s
  [Edge 0] G-Round 1 | E-Round 3 | loss=0.7683
  [Client  0] Round 1 | loss=0.7550 | time=7.6s
  [Client  1] Round 1 | loss=0.5795 | time=12.1s
  [Client  2] Round 1 | loss=0.5380 | time=6.1s
  [Client  3] Round 1 | loss=0.5776 | time=6.1s
  [Client  4] Round 1 | loss=0.5571 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 4 | loss=0.5962
  [Client  0] Round 1 | loss=0.6036 | time=7.7s
  [Client  1] Round 1 | loss=0.4287 | time=12.1s
  [Client  2] Round 1 | loss=0.4025 | time=6.1s
  [Client  3] Round 1 | loss=0.4474 | time=6.1s
  [Client  4] Round 1 | loss=0.4115 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 5 | loss=0.4517
  [Client  0] Round 1 | loss=0.4843 | time=7.7s
  [Client  1] Round 1 | loss=0.3153 | time=12.2s
  [Client  2] Round 1 | loss=0.3136 | time=6.2s
  [Client  3] Round 1 | loss=0.3484 | time=6.1s
  [Client  4] Round 1 | loss=0.3083 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.3455
  [Client  0] Round 1 | loss=0.4180 | time=7.7s
  [Client  1] Round 1 | loss=0.2445 | time=12.2s
  [Client  2] Round 1 | loss=0.2587 | time=6.2s
  [Client  3] Round 1 | loss=0.2835 | time=6.1s
  [Client  4] Round 1 | loss=0.2315 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.2766
  [Client  0] Round 1 | loss=0.3427 | time=7.7s
  [Client  1] Round 1 | loss=0.1910 | time=12.2s
  [Client  2] Round 1 | loss=0.2152 | time=6.2s
  [Client  3] Round 1 | loss=0.2444 | time=6.1s
  [Client  4] Round 1 | loss=0.1818 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.2239
  [Client  0] Round 1 | loss=0.2780 | time=7.7s
  [Client  1] Round 1 | loss=0.1537 | time=12.2s
  [Client  2] Round 1 | loss=0.1823 | time=6.2s
  [Client  3] Round 1 | loss=0.2142 | time=6.1s
  [Client  4] Round 1 | loss=0.1509 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.1854
