
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.7334 | time=5.0s
  [Client  1] Round 1 | loss=1.5464 | time=2.9s
  [Client  2] Round 1 | loss=1.6326 | time=2.0s
  [Client  3] Round 1 | loss=1.6923 | time=1.9s
  [Client  4] Round 1 | loss=1.6005 | time=3.2s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.6248
  [Client  0] Round 1 | loss=1.7140 | time=1.1s
  [Client  1] Round 1 | loss=1.4176 | time=1.7s
  [Client  2] Round 1 | loss=1.5566 | time=0.9s
  [Client  3] Round 1 | loss=1.5459 | time=0.9s
  [Client  4] Round 1 | loss=1.4293 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.5062
  [Client  0] Round 1 | loss=1.5759 | time=1.1s
  [Client  1] Round 1 | loss=1.3414 | time=1.7s
  [Client  2] Round 1 | loss=1.3790 | time=0.9s
  [Client  3] Round 1 | loss=1.4193 | time=0.9s
  [Client  4] Round 1 | loss=1.3748 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.4060
  [Client  0] Round 1 | loss=1.4948 | time=1.1s
  [Client  1] Round 1 | loss=1.2494 | time=1.7s
  [Client  2] Round 1 | loss=1.2733 | time=0.9s
  [Client  3] Round 1 | loss=1.3605 | time=0.9s
  [Client  4] Round 1 | loss=1.3115 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.3271
  [Client  0] Round 1 | loss=1.5044 | time=1.1s
  [Client  1] Round 1 | loss=1.2068 | time=1.7s
  [Client  2] Round 1 | loss=1.1667 | time=0.9s
  [Client  3] Round 1 | loss=1.3162 | time=0.9s
  [Client  4] Round 1 | loss=1.2538 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.2798
  [Client  0] Round 1 | loss=1.4479 | time=1.1s
  [Client  1] Round 1 | loss=1.1491 | time=1.7s
  [Client  2] Round 1 | loss=1.1284 | time=0.9s
  [Client  3] Round 1 | loss=1.2218 | time=0.9s
  [Client  4] Round 1 | loss=1.2090 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 6 | loss=1.2239
  [Client  0] Round 1 | loss=1.3312 | time=1.1s
  [Client  1] Round 1 | loss=1.1117 | time=1.7s
  [Client  2] Round 1 | loss=1.0541 | time=0.9s
  [Client  3] Round 1 | loss=1.1489 | time=0.9s
  [Client  4] Round 1 | loss=1.1450 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 7 | loss=1.1556
  [Client  0] Round 1 | loss=1.2745 | time=1.1s
  [Client  1] Round 1 | loss=1.0700 | time=1.7s
  [Client  2] Round 1 | loss=0.9979 | time=0.9s
  [Client  3] Round 1 | loss=1.0757 | time=0.9s
  [Client  4] Round 1 | loss=1.1076 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 8 | loss=1.1066
  [Client  0] Round 1 | loss=1.2891 | time=1.1s
  [Client  1] Round 1 | loss=1.0309 | time=1.8s
  [Client  2] Round 1 | loss=0.9727 | time=0.9s
  [Client  3] Round 1 | loss=1.0268 | time=0.9s
  [Client  4] Round 1 | loss=1.0677 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 9 | loss=1.0768
  [Client  0] Round 1 | loss=1.2132 | time=1.1s
  [Client  1] Round 1 | loss=1.0235 | time=1.8s
  [Client  2] Round 1 | loss=0.9291 | time=0.9s
  [Client  3] Round 1 | loss=1.0122 | time=0.9s
  [Client  4] Round 1 | loss=1.0499 | time=2.0s
  [Edge 0] G-Round 1 | E-Round 10 | loss=1.0490
