
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.7776 | time=4.3s
  [Client  1] Round 1 | loss=1.5865 | time=2.3s
  [Client  2] Round 1 | loss=1.7064 | time=1.7s
  [Client  3] Round 1 | loss=1.7640 | time=1.6s
  [Client  4] Round 1 | loss=1.6397 | time=2.6s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.6740
  [Client  0] Round 1 | loss=1.8160 | time=0.7s
  [Client  1] Round 1 | loss=1.4297 | time=1.1s
  [Client  2] Round 1 | loss=1.6171 | time=0.6s
  [Client  3] Round 1 | loss=1.6337 | time=0.6s
  [Client  4] Round 1 | loss=1.4804 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.5616
  [Client  0] Round 1 | loss=1.6524 | time=0.7s
  [Client  1] Round 1 | loss=1.4784 | time=1.1s
  [Client  2] Round 1 | loss=1.6194 | time=0.6s
  [Client  3] Round 1 | loss=1.4574 | time=0.6s
  [Client  4] Round 1 | loss=1.4228 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.5067
  [Client  0] Round 1 | loss=1.6859 | time=0.7s
  [Client  1] Round 1 | loss=1.3430 | time=1.1s
  [Client  2] Round 1 | loss=1.4490 | time=0.6s
  [Client  3] Round 1 | loss=1.5292 | time=0.6s
  [Client  4] Round 1 | loss=1.4386 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.4680
  [Client  0] Round 1 | loss=1.5662 | time=0.7s
  [Client  1] Round 1 | loss=1.3919 | time=1.1s
  [Client  2] Round 1 | loss=1.5092 | time=0.6s
  [Client  3] Round 1 | loss=1.4580 | time=0.6s
  [Client  4] Round 1 | loss=1.4008 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.4481
  [Client  0] Round 1 | loss=1.6186 | time=0.7s
  [Client  1] Round 1 | loss=1.2657 | time=1.1s
  [Client  2] Round 1 | loss=1.3391 | time=0.6s
  [Client  3] Round 1 | loss=1.4368 | time=0.6s
  [Client  4] Round 1 | loss=1.4156 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 6 | loss=1.4024
  [Client  0] Round 1 | loss=1.5182 | time=0.7s
  [Client  1] Round 1 | loss=1.3222 | time=1.1s
  [Client  2] Round 1 | loss=1.3395 | time=0.6s
  [Client  3] Round 1 | loss=1.3653 | time=0.6s
  [Client  4] Round 1 | loss=1.3184 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 7 | loss=1.3618
  [Client  0] Round 1 | loss=1.5413 | time=0.7s
  [Client  1] Round 1 | loss=1.2386 | time=1.1s
  [Client  2] Round 1 | loss=1.2943 | time=0.6s
  [Client  3] Round 1 | loss=1.3303 | time=0.6s
  [Client  4] Round 1 | loss=1.3023 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 8 | loss=1.3280
  [Client  0] Round 1 | loss=1.5296 | time=0.7s
  [Client  1] Round 1 | loss=1.2540 | time=1.1s
  [Client  2] Round 1 | loss=1.2504 | time=0.6s
  [Client  3] Round 1 | loss=1.2912 | time=0.6s
  [Client  4] Round 1 | loss=1.2654 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 9 | loss=1.3079
  [Client  0] Round 1 | loss=1.4859 | time=0.7s
  [Client  1] Round 1 | loss=1.1762 | time=1.1s
  [Client  2] Round 1 | loss=1.1718 | time=0.6s
  [Client  3] Round 1 | loss=1.2745 | time=0.6s
  [Client  4] Round 1 | loss=1.2377 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 10 | loss=1.2589
  [Client  0] Round 1 | loss=1.4331 | time=0.7s
  [Client  1] Round 1 | loss=1.1645 | time=1.1s
  [Client  2] Round 1 | loss=1.1385 | time=0.6s
  [Client  3] Round 1 | loss=1.1922 | time=0.6s
  [Client  4] Round 1 | loss=1.2129 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 11 | loss=1.2241
  [Client  0] Round 1 | loss=1.3129 | time=0.7s
  [Client  1] Round 1 | loss=1.1515 | time=1.1s
  [Client  2] Round 1 | loss=1.1362 | time=0.6s
  [Client  3] Round 1 | loss=1.1914 | time=0.6s
  [Client  4] Round 1 | loss=1.1629 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 12 | loss=1.1851
  [Client  0] Round 1 | loss=1.3420 | time=0.7s
  [Client  1] Round 1 | loss=1.1023 | time=1.1s
  [Client  2] Round 1 | loss=1.0617 | time=0.6s
  [Client  3] Round 1 | loss=1.1222 | time=0.6s
  [Client  4] Round 1 | loss=1.1636 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 13 | loss=1.1581
  [Client  0] Round 1 | loss=1.3082 | time=0.7s
  [Client  1] Round 1 | loss=1.0797 | time=1.1s
  [Client  2] Round 1 | loss=1.0234 | time=0.6s
  [Client  3] Round 1 | loss=1.1077 | time=0.6s
  [Client  4] Round 1 | loss=1.1267 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 14 | loss=1.1282
  [Client  0] Round 1 | loss=1.2656 | time=0.7s
  [Client  1] Round 1 | loss=1.0889 | time=1.1s
  [Client  2] Round 1 | loss=0.9855 | time=0.6s
  [Client  3] Round 1 | loss=1.0745 | time=0.6s
  [Client  4] Round 1 | loss=1.1029 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 15 | loss=1.1069
  [Client  0] Round 1 | loss=1.2366 | time=0.7s
  [Client  1] Round 1 | loss=1.0684 | time=1.1s
  [Client  2] Round 1 | loss=0.9600 | time=0.6s
  [Client  3] Round 1 | loss=1.0646 | time=0.6s
  [Client  4] Round 1 | loss=1.0736 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 16 | loss=1.0831
  [Client  0] Round 1 | loss=1.2672 | time=0.7s
  [Client  1] Round 1 | loss=1.0426 | time=1.1s
  [Client  2] Round 1 | loss=0.9447 | time=0.6s
  [Client  3] Round 1 | loss=1.0448 | time=0.6s
  [Client  4] Round 1 | loss=1.0689 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 17 | loss=1.0752
  [Client  0] Round 1 | loss=1.2345 | time=0.7s
  [Client  1] Round 1 | loss=1.0162 | time=1.1s
  [Client  2] Round 1 | loss=0.9337 | time=0.6s
  [Client  3] Round 1 | loss=1.0419 | time=0.6s
  [Client  4] Round 1 | loss=1.0352 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 18 | loss=1.0508
  [Client  0] Round 1 | loss=1.1963 | time=0.7s
  [Client  1] Round 1 | loss=1.0186 | time=1.2s
  [Client  2] Round 1 | loss=0.9320 | time=0.6s
  [Client  3] Round 1 | loss=0.9911 | time=0.6s
  [Client  4] Round 1 | loss=1.0258 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 19 | loss=1.0352
  [Client  0] Round 1 | loss=1.1770 | time=0.7s
  [Client  1] Round 1 | loss=1.0021 | time=1.2s
  [Client  2] Round 1 | loss=0.9473 | time=0.6s
  [Client  3] Round 1 | loss=1.0157 | time=0.6s
  [Client  4] Round 1 | loss=1.0155 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 20 | loss=1.0298
  [Client  0] Round 1 | loss=1.1668 | time=0.7s
  [Client  1] Round 1 | loss=0.9932 | time=1.2s
  [Client  2] Round 1 | loss=0.9084 | time=0.6s
  [Client  3] Round 1 | loss=0.9804 | time=0.6s
  [Client  4] Round 1 | loss=0.9871 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 21 | loss=1.0073
  [Client  0] Round 1 | loss=1.1712 | time=0.7s
  [Client  1] Round 1 | loss=0.9906 | time=1.2s
  [Client  2] Round 1 | loss=0.9006 | time=0.6s
  [Client  3] Round 1 | loss=0.9723 | time=0.6s
  [Client  4] Round 1 | loss=0.9605 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 22 | loss=0.9972
  [Client  0] Round 1 | loss=1.1321 | time=0.7s
  [Client  1] Round 1 | loss=0.9666 | time=1.2s
  [Client  2] Round 1 | loss=0.8814 | time=0.6s
  [Client  3] Round 1 | loss=0.9388 | time=0.6s
  [Client  4] Round 1 | loss=0.9682 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 23 | loss=0.9796
  [Client  0] Round 1 | loss=1.1482 | time=0.7s
  [Client  1] Round 1 | loss=0.9379 | time=1.2s
  [Client  2] Round 1 | loss=0.8669 | time=0.6s
  [Client  3] Round 1 | loss=0.9532 | time=0.6s
  [Client  4] Round 1 | loss=0.9386 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 24 | loss=0.9657
  [Client  0] Round 1 | loss=1.1232 | time=0.7s
  [Client  1] Round 1 | loss=0.9400 | time=1.2s
  [Client  2] Round 1 | loss=0.8497 | time=0.6s
  [Client  3] Round 1 | loss=0.9204 | time=0.6s
  [Client  4] Round 1 | loss=0.9243 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 25 | loss=0.9512
  [Client  0] Round 1 | loss=1.1388 | time=0.7s
  [Client  1] Round 1 | loss=0.9202 | time=1.2s
  [Client  2] Round 1 | loss=0.8520 | time=0.6s
  [Client  3] Round 1 | loss=0.9038 | time=0.6s
  [Client  4] Round 1 | loss=0.9050 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 26 | loss=0.9408
  [Client  0] Round 1 | loss=1.1207 | time=0.7s
  [Client  1] Round 1 | loss=0.9104 | time=1.2s
  [Client  2] Round 1 | loss=0.8669 | time=0.6s
  [Client  3] Round 1 | loss=0.8949 | time=0.6s
  [Client  4] Round 1 | loss=0.8902 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 27 | loss=0.9315
  [Client  0] Round 1 | loss=1.1235 | time=0.7s
  [Client  1] Round 1 | loss=0.9039 | time=1.2s
  [Client  2] Round 1 | loss=0.8436 | time=0.6s
  [Client  3] Round 1 | loss=0.8531 | time=0.6s
  [Client  4] Round 1 | loss=0.9050 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 28 | loss=0.9261
  [Client  0] Round 1 | loss=1.0985 | time=0.7s
  [Client  1] Round 1 | loss=0.8978 | time=1.2s
  [Client  2] Round 1 | loss=0.8280 | time=0.6s
  [Client  3] Round 1 | loss=0.8917 | time=0.6s
  [Client  4] Round 1 | loss=0.8609 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 29 | loss=0.9100
  [Client  0] Round 1 | loss=1.0687 | time=0.7s
  [Client  1] Round 1 | loss=0.8724 | time=1.2s
  [Client  2] Round 1 | loss=0.8139 | time=0.6s
  [Client  3] Round 1 | loss=0.8935 | time=0.6s
  [Client  4] Round 1 | loss=0.8702 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 30 | loss=0.8995
  [Client  5] Round 1 | loss=1.4820 | time=2.7s
  [Client  6] Round 1 | loss=1.5849 | time=2.4s
  [Client  7] Round 1 | loss=1.6729 | time=2.5s
  [Client  8] Round 1 | loss=2.0675 | time=2.0s
  [Client  9] Round 1 | loss=1.7585 | time=2.8s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.6981
  [Client  5] Round 1 | loss=1.4423 | time=0.8s
  [Client  6] Round 1 | loss=1.4876 | time=1.6s
  [Client  7] Round 1 | loss=1.6413 | time=0.8s
  [Client  8] Round 1 | loss=1.9099 | time=0.8s
  [Client  9] Round 1 | loss=1.6352 | time=1.8s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.6026
  [Client  5] Round 1 | loss=1.3630 | time=0.8s
  [Client  6] Round 1 | loss=1.4441 | time=1.6s
  [Client  7] Round 1 | loss=1.4631 | time=0.8s
  [Client  8] Round 1 | loss=1.7751 | time=0.8s
  [Client  9] Round 1 | loss=1.5164 | time=1.8s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.5000
  [Client  5] Round 1 | loss=1.3308 | time=0.8s
  [Client  6] Round 1 | loss=1.3167 | time=1.6s
  [Client  7] Round 1 | loss=1.3981 | time=0.8s
  [Client  8] Round 1 | loss=1.6992 | time=0.8s
  [Client  9] Round 1 | loss=1.4873 | time=1.8s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.4319
  [Client  5] Round 1 | loss=1.2353 | time=0.8s
  [Client  6] Round 1 | loss=1.2847 | time=1.6s
  [Client  7] Round 1 | loss=1.3086 | time=0.8s
  [Client  8] Round 1 | loss=1.6499 | time=0.8s
  [Client  9] Round 1 | loss=1.4113 | time=1.8s
  [Edge 1] G-Round 1 | E-Round 5 | loss=1.3669
  [Client  5] Round 1 | loss=1.2496 | time=0.8s
  [Client  6] Round 1 | loss=1.2240 | time=1.6s
  [Client  7] Round 1 | loss=1.2215 | time=0.8s
  [Client  8] Round 1 | loss=1.5892 | time=0.8s
  [Client  9] Round 1 | loss=1.3496 | time=1.8s
  [Edge 1] G-Round 1 | E-Round 6 | loss=1.3129
  [Client  5] Round 1 | loss=1.1412 | time=0.8s
  [Client  6] Round 1 | loss=1.1519 | time=1.6s
  [Client  7] Round 1 | loss=1.1543 | time=0.8s
  [Client  8] Round 1 | loss=1.5166 | time=0.8s
  [Client  9] Round 1 | loss=1.3007 | time=1.8s
  [Edge 1] G-Round 1 | E-Round 7 | loss=1.2433
  [Client  5] Round 1 | loss=1.0835 | time=0.8s
  [Client  6] Round 1 | loss=1.0839 | time=1.6s
  [Client  7] Round 1 | loss=1.1112 | time=0.8s
  [Client  8] Round 1 | loss=1.4510 | time=0.8s
  [Client  9] Round 1 | loss=1.2394 | time=1.8s
  [Edge 1] G-Round 1 | E-Round 8 | loss=1.1827
  [Client  5] Round 1 | loss=1.0511 | time=0.8s
  [Client  6] Round 1 | loss=1.0487 | time=1.6s
  [Client  7] Round 1 | loss=1.0114 | time=0.8s
  [Client  8] Round 1 | loss=1.3947 | time=0.8s
  [Client  9] Round 1 | loss=1.1765 | time=1.8s
  [Edge 1] G-Round 1 | E-Round 9 | loss=1.1276
  [Client  5] Round 1 | loss=0.9853 | time=0.8s
  [Client  6] Round 1 | loss=1.0141 | time=1.6s
  [Client  7] Round 1 | loss=0.9669 | time=0.8s
  [Client  8] Round 1 | loss=1.3964 | time=0.8s
  [Client  9] Round 1 | loss=1.1464 | time=1.8s
  [Edge 1] G-Round 1 | E-Round 10 | loss=1.0931
  [Client  5] Round 1 | loss=0.9912 | time=0.8s
