
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.5686 | time=3.5s
  [Client  1] Round 1 | loss=1.4062 | time=2.2s
  [Client  2] Round 1 | loss=1.4615 | time=1.6s
  [Client  3] Round 1 | loss=1.4686 | time=1.5s
  [Client  4] Round 1 | loss=1.3891 | time=2.5s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4438
  [Client  0] Round 1 | loss=1.4800 | time=0.9s
  [Client  1] Round 1 | loss=1.2515 | time=1.3s
  [Client  2] Round 1 | loss=1.2726 | time=0.7s
  [Client  3] Round 1 | loss=1.3161 | time=0.7s
  [Client  4] Round 1 | loss=1.2695 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.3065
  [Client  0] Round 1 | loss=1.3476 | time=0.8s
  [Client  1] Round 1 | loss=1.1463 | time=1.3s
  [Client  2] Round 1 | loss=1.0890 | time=0.7s
  [Client  3] Round 1 | loss=1.1678 | time=0.7s
  [Client  4] Round 1 | loss=1.1435 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1743
  [Client  0] Round 1 | loss=1.2114 | time=0.8s
  [Client  1] Round 1 | loss=1.0499 | time=1.3s
  [Client  2] Round 1 | loss=0.9490 | time=0.7s
  [Client  3] Round 1 | loss=1.0466 | time=0.7s
  [Client  4] Round 1 | loss=1.0524 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.0637
  [Client  0] Round 1 | loss=1.1397 | time=0.8s
  [Client  1] Round 1 | loss=0.9830 | time=1.3s
  [Client  2] Round 1 | loss=0.9118 | time=0.7s
  [Client  3] Round 1 | loss=0.9425 | time=0.7s
  [Client  4] Round 1 | loss=0.9827 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 5 | loss=0.9942
  [Client  5] Round 1 | loss=1.3146 | time=2.3s
  [Client  6] Round 1 | loss=1.3569 | time=2.3s
  [Client  7] Round 1 | loss=1.4055 | time=2.0s
  [Client  8] Round 1 | loss=1.8253 | time=1.8s
  [Client  9] Round 1 | loss=1.5034 | time=2.8s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.4631
  [Client  5] Round 1 | loss=1.1499 | time=1.0s
  [Client  6] Round 1 | loss=1.1403 | time=1.9s
  [Client  7] Round 1 | loss=1.1418 | time=0.9s
  [Client  8] Round 1 | loss=1.5973 | time=0.9s
  [Client  9] Round 1 | loss=1.2838 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.2448
  [Client  5] Round 1 | loss=0.9763 | time=1.0s
  [Client  6] Round 1 | loss=0.9876 | time=1.9s
  [Client  7] Round 1 | loss=0.9495 | time=0.9s
  [Client  8] Round 1 | loss=1.3524 | time=0.9s
  [Client  9] Round 1 | loss=1.1303 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.0714
  [Client  5] Round 1 | loss=0.8788 | time=1.0s
  [Client  6] Round 1 | loss=0.8915 | time=1.8s
  [Client  7] Round 1 | loss=0.8350 | time=0.9s
  [Client  8] Round 1 | loss=1.2363 | time=0.9s
  [Client  9] Round 1 | loss=1.0347 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 4 | loss=0.9700
  [Client  5] Round 1 | loss=0.8301 | time=1.0s
  [Client  6] Round 1 | loss=0.8070 | time=1.8s
  [Client  7] Round 1 | loss=0.7439 | time=0.9s
  [Client  8] Round 1 | loss=1.1154 | time=0.9s
  [Client  9] Round 1 | loss=0.9589 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 5 | loss=0.8877
[Round   1] Phase 2: Cloud aggregating...
  [Cloud] acc=0.4790 | loss=1.4783 | time=71.0s | comm=870.1MB (total=870MB)

[Round   2] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 2 | loss=1.0077 | time=0.8s
  [Client  1] Round 2 | loss=0.9345 | time=1.3s
  [Client  2] Round 2 | loss=0.8253 | time=0.7s
  [Client  3] Round 2 | loss=0.8575 | time=0.7s
  [Client  4] Round 2 | loss=0.8897 | time=1.5s
  [Edge 0] G-Round 2 | E-Round 1 | loss=0.9084
  [Client  0] Round 2 | loss=0.9720 | time=0.8s
  [Client  1] Round 2 | loss=0.8391 | time=1.3s
  [Client  2] Round 2 | loss=0.7404 | time=0.7s
  [Client  3] Round 2 | loss=0.7807 | time=0.7s
  [Client  4] Round 2 | loss=0.8319 | time=1.5s
  [Edge 0] G-Round 2 | E-Round 2 | loss=0.8382
  [Client  0] Round 2 | loss=0.9135 | time=0.8s
  [Client  1] Round 2 | loss=0.7791 | time=1.3s
  [Client  2] Round 2 | loss=0.7150 | time=0.7s
  [Client  3] Round 2 | loss=0.7352 | time=0.7s
  [Client  4] Round 2 | loss=0.7650 | time=1.5s
  [Edge 0] G-Round 2 | E-Round 3 | loss=0.7829
  [Client  0] Round 2 | loss=0.9072 | time=0.8s
  [Client  1] Round 2 | loss=0.7201 | time=1.3s
  [Client  2] Round 2 | loss=0.6379 | time=0.7s
  [Client  3] Round 2 | loss=0.6873 | time=0.7s
  [Client  4] Round 2 | loss=0.7124 | time=1.5s
  [Edge 0] G-Round 2 | E-Round 4 | loss=0.7337
  [Client  0] Round 2 | loss=0.8728 | time=0.8s
  [Client  1] Round 2 | loss=0.6711 | time=1.3s
  [Client  2] Round 2 | loss=0.6140 | time=0.7s
  [Client  3] Round 2 | loss=0.6538 | time=0.7s
  [Client  4] Round 2 | loss=0.6554 | time=1.5s
  [Edge 0] G-Round 2 | E-Round 5 | loss=0.6901
  [Client  5] Round 2 | loss=0.8811 | time=1.0s
  [Client  6] Round 2 | loss=0.8344 | time=1.9s
  [Client  7] Round 2 | loss=0.7469 | time=0.9s
  [Client  8] Round 2 | loss=1.1202 | time=0.9s
  [Client  9] Round 2 | loss=0.9784 | time=2.0s
  [Edge 1] G-Round 2 | E-Round 1 | loss=0.9096
  [Client  5] Round 2 | loss=0.7890 | time=1.0s
  [Client  6] Round 2 | loss=0.7571 | time=1.8s
  [Client  7] Round 2 | loss=0.6801 | time=0.9s
  [Client  8] Round 2 | loss=1.0529 | time=0.9s
  [Client  9] Round 2 | loss=0.8917 | time=2.0s
  [Edge 1] G-Round 2 | E-Round 2 | loss=0.8301
  [Client  5] Round 2 | loss=0.7600 | time=0.9s
  [Client  6] Round 2 | loss=0.6860 | time=1.8s
  [Client  7] Round 2 | loss=0.6391 | time=0.9s
  [Client  8] Round 2 | loss=0.9462 | time=0.9s
  [Client  9] Round 2 | loss=0.8408 | time=2.0s
  [Edge 1] G-Round 2 | E-Round 3 | loss=0.7709
  [Client  5] Round 2 | loss=0.7180 | time=0.9s
  [Client  6] Round 2 | loss=0.6319 | time=1.8s
  [Client  7] Round 2 | loss=0.5854 | time=0.9s
  [Client  8] Round 2 | loss=0.8977 | time=0.9s
  [Client  9] Round 2 | loss=0.7965 | time=2.0s
  [Edge 1] G-Round 2 | E-Round 4 | loss=0.7224
  [Client  5] Round 2 | loss=0.6884 | time=0.9s
  [Client  6] Round 2 | loss=0.5774 | time=1.8s
  [Client  7] Round 2 | loss=0.5452 | time=0.9s
  [Client  8] Round 2 | loss=0.8657 | time=0.9s
  [Client  9] Round 2 | loss=0.7455 | time=2.0s
  [Edge 1] G-Round 2 | E-Round 5 | loss=0.6775
[Round   2] Phase 2: Cloud aggregating...
  [Cloud] acc=0.6044 | loss=1.0899 | time=59.6s | comm=870.1MB (total=1740MB)

[Round   3] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 3 | loss=0.7665 | time=0.8s
  [Client  1] Round 3 | loss=0.6786 | time=1.3s
  [Client  2] Round 3 | loss=0.6042 | time=0.7s
  [Client  3] Round 3 | loss=0.6153 | time=0.7s
