
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.5940 | time=3.4s
  [Client  1] Round 1 | loss=1.4097 | time=2.2s
  [Client  2] Round 1 | loss=1.4944 | time=1.5s
  [Client  3] Round 1 | loss=1.5008 | time=1.5s
  [Client  4] Round 1 | loss=1.4151 | time=2.5s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4655
  [Client  0] Round 1 | loss=1.4991 | time=0.9s
  [Client  1] Round 1 | loss=1.2599 | time=1.3s
  [Client  2] Round 1 | loss=1.3201 | time=0.7s
  [Client  3] Round 1 | loss=1.3384 | time=0.7s
  [Client  4] Round 1 | loss=1.2873 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.3266
  [Client  0] Round 1 | loss=1.4358 | time=0.9s
  [Client  1] Round 1 | loss=1.1822 | time=1.3s
  [Client  2] Round 1 | loss=1.1480 | time=0.7s
  [Client  3] Round 1 | loss=1.2311 | time=0.7s
  [Client  4] Round 1 | loss=1.2002 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.2319
  [Client  0] Round 1 | loss=1.2980 | time=0.9s
  [Client  1] Round 1 | loss=1.0855 | time=1.3s
  [Client  2] Round 1 | loss=1.0312 | time=0.7s
  [Client  3] Round 1 | loss=1.1060 | time=0.7s
  [Client  4] Round 1 | loss=1.1042 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.1221
  [Client  0] Round 1 | loss=1.1933 | time=0.9s
  [Client  1] Round 1 | loss=1.0043 | time=1.3s
  [Client  2] Round 1 | loss=0.9311 | time=0.7s
  [Client  3] Round 1 | loss=0.9840 | time=0.7s
  [Client  4] Round 1 | loss=1.0140 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.0263
  [Client  0] Round 1 | loss=1.1349 | time=0.8s
  [Client  1] Round 1 | loss=0.9628 | time=1.3s
  [Client  2] Round 1 | loss=0.8424 | time=0.7s
  [Client  3] Round 1 | loss=0.9260 | time=0.7s
  [Client  4] Round 1 | loss=0.9600 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.9697
  [Client  0] Round 1 | loss=1.0668 | time=0.8s
  [Client  1] Round 1 | loss=0.9144 | time=1.3s
  [Client  2] Round 1 | loss=0.8152 | time=0.7s
  [Client  3] Round 1 | loss=0.8927 | time=0.7s
  [Client  4] Round 1 | loss=0.9001 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.9194
  [Client  0] Round 1 | loss=1.0302 | time=0.8s
  [Client  1] Round 1 | loss=0.8757 | time=1.3s
  [Client  2] Round 1 | loss=0.7777 | time=0.7s
  [Client  3] Round 1 | loss=0.8494 | time=0.7s
  [Client  4] Round 1 | loss=0.8485 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.8767
  [Client  0] Round 1 | loss=1.0175 | time=0.8s
  [Client  1] Round 1 | loss=0.8222 | time=1.3s
  [Client  2] Round 1 | loss=0.7394 | time=0.7s
  [Client  3] Round 1 | loss=0.7896 | time=0.7s
  [Client  4] Round 1 | loss=0.8012 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.8330
  [Client  0] Round 1 | loss=0.9643 | time=0.8s
  [Client  1] Round 1 | loss=0.7697 | time=1.3s
  [Client  2] Round 1 | loss=0.7034 | time=0.7s
  [Client  3] Round 1 | loss=0.7664 | time=0.7s
  [Client  4] Round 1 | loss=0.7500 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 10 | loss=0.7869
  [Client  5] Round 1 | loss=1.3370 | time=2.3s
  [Client  6] Round 1 | loss=1.3895 | time=2.3s
  [Client  7] Round 1 | loss=1.4581 | time=2.0s
  [Client  8] Round 1 | loss=1.8637 | time=1.8s
  [Client  9] Round 1 | loss=1.5378 | time=2.8s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.4983
  [Client  5] Round 1 | loss=1.2232 | time=1.0s
  [Client  6] Round 1 | loss=1.1867 | time=1.9s
  [Client  7] Round 1 | loss=1.1954 | time=0.9s
  [Client  8] Round 1 | loss=1.6352 | time=0.9s
  [Client  9] Round 1 | loss=1.3372 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.2971
  [Client  5] Round 1 | loss=1.0349 | time=1.0s
  [Client  6] Round 1 | loss=1.0227 | time=1.9s
  [Client  7] Round 1 | loss=1.0022 | time=0.9s
  [Client  8] Round 1 | loss=1.4018 | time=0.9s
  [Client  9] Round 1 | loss=1.1704 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.1157
  [Client  5] Round 1 | loss=0.9009 | time=1.0s
  [Client  6] Round 1 | loss=0.9055 | time=1.9s
  [Client  7] Round 1 | loss=0.8503 | time=0.9s
  [Client  8] Round 1 | loss=1.2496 | time=0.9s
  [Client  9] Round 1 | loss=1.0539 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 4 | loss=0.9869
  [Client  5] Round 1 | loss=0.8432 | time=1.0s
  [Client  6] Round 1 | loss=0.8125 | time=1.9s
  [Client  7] Round 1 | loss=0.7545 | time=0.9s
  [Client  8] Round 1 | loss=1.1365 | time=0.9s
  [Client  9] Round 1 | loss=0.9704 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 5 | loss=0.8989
  [Client  5] Round 1 | loss=0.8047 | time=0.9s
  [Client  6] Round 1 | loss=0.7608 | time=1.8s
  [Client  7] Round 1 | loss=0.7032 | time=0.9s
  [Client  8] Round 1 | loss=1.0630 | time=0.9s
  [Client  9] Round 1 | loss=0.9127 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 6 | loss=0.8444
  [Client  5] Round 1 | loss=0.7686 | time=0.9s
  [Client  6] Round 1 | loss=0.6984 | time=1.8s
  [Client  7] Round 1 | loss=0.6485 | time=0.9s
  [Client  8] Round 1 | loss=0.9742 | time=0.9s
  [Client  9] Round 1 | loss=0.8703 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 7 | loss=0.7896
  [Client  5] Round 1 | loss=0.7303 | time=0.9s
  [Client  6] Round 1 | loss=0.6464 | time=1.8s
  [Client  7] Round 1 | loss=0.6287 | time=0.9s
  [Client  8] Round 1 | loss=0.9201 | time=0.9s
  [Client  9] Round 1 | loss=0.8135 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 8 | loss=0.7424
  [Client  5] Round 1 | loss=0.6910 | time=0.9s
  [Client  6] Round 1 | loss=0.5974 | time=1.8s
  [Client  7] Round 1 | loss=0.5602 | time=0.9s
  [Client  8] Round 1 | loss=0.8830 | time=0.9s
  [Client  9] Round 1 | loss=0.7634 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 9 | loss=0.6933
  [Client  5] Round 1 | loss=0.6692 | time=0.9s
  [Client  6] Round 1 | loss=0.5534 | time=1.8s
  [Client  7] Round 1 | loss=0.5282 | time=0.9s
  [Client  8] Round 1 | loss=0.8247 | time=0.9s
  [Client  9] Round 1 | loss=0.7255 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 10 | loss=0.6542
[Round   1] Phase 2: Cloud aggregating...
  [Cloud] acc=0.5724 | loss=1.2665 | time=130.2s | comm=1706.8MB (total=1707MB)

[Round   2] Phase 1: Cloud broadcasting to 2 edges...
