
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6085 | time=3.4s
  [Client  1] Round 1 | loss=1.3942 | time=2.2s
  [Client  2] Round 1 | loss=1.5015 | time=1.5s
  [Client  3] Round 1 | loss=1.4741 | time=1.5s
  [Client  4] Round 1 | loss=1.4028 | time=2.5s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4575
  [Client  0] Round 1 | loss=1.4789 | time=0.8s
  [Client  1] Round 1 | loss=1.2585 | time=1.3s
  [Client  2] Round 1 | loss=1.2646 | time=0.7s
  [Client  3] Round 1 | loss=1.3261 | time=0.7s
  [Client  4] Round 1 | loss=1.2619 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.3061
  [Client  0] Round 1 | loss=1.4034 | time=0.8s
  [Client  1] Round 1 | loss=1.1498 | time=1.3s
  [Client  2] Round 1 | loss=1.0678 | time=0.7s
  [Client  3] Round 1 | loss=1.1804 | time=0.7s
  [Client  4] Round 1 | loss=1.1423 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1829
  [Client  0] Round 1 | loss=1.2240 | time=0.8s
  [Client  1] Round 1 | loss=1.0670 | time=1.3s
  [Client  2] Round 1 | loss=0.9599 | time=0.7s
  [Client  3] Round 1 | loss=1.0408 | time=0.7s
  [Client  4] Round 1 | loss=1.0541 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.0715
  [Client  0] Round 1 | loss=1.1480 | time=0.8s
  [Client  1] Round 1 | loss=0.9914 | time=1.3s
  [Client  2] Round 1 | loss=0.8925 | time=0.7s
  [Client  3] Round 1 | loss=0.9513 | time=0.7s
  [Client  4] Round 1 | loss=0.9825 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 5 | loss=0.9963
  [Client  0] Round 1 | loss=1.1108 | time=0.8s
  [Client  1] Round 1 | loss=0.9581 | time=1.3s
  [Client  2] Round 1 | loss=0.8185 | time=0.7s
  [Client  3] Round 1 | loss=0.9095 | time=0.7s
  [Client  4] Round 1 | loss=0.9277 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.9493
  [Client  0] Round 1 | loss=1.0676 | time=0.8s
  [Client  1] Round 1 | loss=0.9005 | time=1.3s
  [Client  2] Round 1 | loss=0.7998 | time=0.7s
  [Client  3] Round 1 | loss=0.8784 | time=0.7s
  [Client  4] Round 1 | loss=0.8753 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.9044
  [Client  0] Round 1 | loss=1.0129 | time=0.8s
  [Client  1] Round 1 | loss=0.8586 | time=1.3s
  [Client  2] Round 1 | loss=0.7780 | time=0.7s
  [Client  3] Round 1 | loss=0.8255 | time=0.7s
  [Client  4] Round 1 | loss=0.8250 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.8591
  [Client  0] Round 1 | loss=1.0110 | time=0.8s
  [Client  1] Round 1 | loss=0.8075 | time=1.3s
  [Client  2] Round 1 | loss=0.7303 | time=0.7s
  [Client  3] Round 1 | loss=0.7793 | time=0.7s
  [Client  4] Round 1 | loss=0.7765 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.8180
  [Client  0] Round 1 | loss=0.9764 | time=0.8s
  [Client  1] Round 1 | loss=0.7571 | time=1.3s
  [Client  2] Round 1 | loss=0.6929 | time=0.7s
  [Client  3] Round 1 | loss=0.7625 | time=0.7s
  [Client  4] Round 1 | loss=0.7332 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 10 | loss=0.7786
  [Client  0] Round 1 | loss=0.9145 | time=0.8s
  [Client  1] Round 1 | loss=0.7261 | time=1.3s
  [Client  2] Round 1 | loss=0.6630 | time=0.7s
  [Client  3] Round 1 | loss=0.7138 | time=0.7s
  [Client  4] Round 1 | loss=0.6860 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 11 | loss=0.7354
  [Client  0] Round 1 | loss=0.8742 | time=0.8s
  [Client  1] Round 1 | loss=0.6737 | time=1.3s
  [Client  2] Round 1 | loss=0.6372 | time=0.7s
  [Client  3] Round 1 | loss=0.6821 | time=0.7s
  [Client  4] Round 1 | loss=0.6474 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 12 | loss=0.6954
  [Client  0] Round 1 | loss=0.8357 | time=0.8s
  [Client  1] Round 1 | loss=0.6306 | time=1.3s
  [Client  2] Round 1 | loss=0.6023 | time=0.7s
  [Client  3] Round 1 | loss=0.6592 | time=0.7s
  [Client  4] Round 1 | loss=0.6118 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 13 | loss=0.6592
  [Client  0] Round 1 | loss=0.8178 | time=0.8s
  [Client  1] Round 1 | loss=0.5971 | time=1.3s
  [Client  2] Round 1 | loss=0.5810 | time=0.7s
