
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.5700 | time=3.7s
  [Client  1] Round 1 | loss=1.3961 | time=2.2s
  [Client  2] Round 1 | loss=1.4644 | time=1.5s
  [Client  3] Round 1 | loss=1.4874 | time=1.5s
  [Client  4] Round 1 | loss=1.4174 | time=2.5s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4528
  [Client  0] Round 1 | loss=1.4878 | time=0.8s
  [Client  1] Round 1 | loss=1.2525 | time=1.3s
  [Client  2] Round 1 | loss=1.2629 | time=0.7s
  [Client  3] Round 1 | loss=1.3368 | time=0.7s
  [Client  4] Round 1 | loss=1.2922 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.3163
  [Client  0] Round 1 | loss=1.3817 | time=0.8s
  [Client  1] Round 1 | loss=1.1668 | time=1.3s
  [Client  2] Round 1 | loss=1.0750 | time=0.7s
  [Client  3] Round 1 | loss=1.2007 | time=0.7s
  [Client  4] Round 1 | loss=1.1605 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1930
  [Client  0] Round 1 | loss=1.2335 | time=0.8s
  [Client  1] Round 1 | loss=1.0576 | time=1.3s
  [Client  2] Round 1 | loss=0.9548 | time=0.7s
  [Client  3] Round 1 | loss=1.0429 | time=0.7s
  [Client  4] Round 1 | loss=1.0652 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.0736
  [Client  0] Round 1 | loss=1.1581 | time=0.8s
  [Client  1] Round 1 | loss=0.9979 | time=1.3s
  [Client  2] Round 1 | loss=0.9099 | time=0.7s
  [Client  3] Round 1 | loss=0.9590 | time=0.7s
  [Client  4] Round 1 | loss=0.9951 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.0069
  [Client  0] Round 1 | loss=1.1266 | time=0.8s
  [Client  1] Round 1 | loss=0.9565 | time=1.3s
  [Client  2] Round 1 | loss=0.8285 | time=0.7s
  [Client  3] Round 1 | loss=0.9332 | time=0.7s
  [Client  4] Round 1 | loss=0.9493 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.9625
  [Client  0] Round 1 | loss=1.0737 | time=0.8s
  [Client  1] Round 1 | loss=0.9038 | time=1.3s
  [Client  2] Round 1 | loss=0.8082 | time=0.7s
  [Client  3] Round 1 | loss=0.8904 | time=0.7s
  [Client  4] Round 1 | loss=0.9018 | time=1.5s
