
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6167 | time=3.4s
  [Client  1] Round 1 | loss=1.4025 | time=2.2s
  [Client  2] Round 1 | loss=1.4727 | time=1.5s
  [Client  3] Round 1 | loss=1.5190 | time=1.5s
  [Client  4] Round 1 | loss=1.4582 | time=2.5s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4799
  [Client  0] Round 1 | loss=1.4741 | time=0.8s
  [Client  1] Round 1 | loss=1.2570 | time=1.3s
  [Client  2] Round 1 | loss=1.2713 | time=0.7s
  [Client  3] Round 1 | loss=1.3102 | time=0.7s
  [Client  4] Round 1 | loss=1.2850 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.3107
  [Client  0] Round 1 | loss=1.3394 | time=0.8s
  [Client  1] Round 1 | loss=1.1500 | time=1.3s
  [Client  2] Round 1 | loss=1.0564 | time=0.7s
  [Client  3] Round 1 | loss=1.1954 | time=0.7s
  [Client  4] Round 1 | loss=1.1620 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1788
  [Client  0] Round 1 | loss=1.2031 | time=0.8s
  [Client  1] Round 1 | loss=1.0508 | time=1.3s
  [Client  2] Round 1 | loss=0.9494 | time=0.7s
  [Client  3] Round 1 | loss=1.0382 | time=0.7s
  [Client  4] Round 1 | loss=1.0699 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.0668
  [Client  0] Round 1 | loss=1.1426 | time=0.8s
  [Client  1] Round 1 | loss=0.9813 | time=1.3s
  [Client  2] Round 1 | loss=0.8928 | time=0.7s
  [Client  3] Round 1 | loss=0.9487 | time=0.7s
  [Client  4] Round 1 | loss=0.9976 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 5 | loss=0.9970
  [Client  0] Round 1 | loss=1.1165 | time=0.8s
  [Client  1] Round 1 | loss=0.9476 | time=1.3s
  [Client  2] Round 1 | loss=0.8280 | time=0.7s
  [Client  3] Round 1 | loss=0.9127 | time=0.7s
  [Client  4] Round 1 | loss=0.9500 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.9560
  [Client  0] Round 1 | loss=1.0668 | time=0.8s
  [Client  1] Round 1 | loss=0.8995 | time=1.3s
  [Client  2] Round 1 | loss=0.7892 | time=0.7s
  [Client  3] Round 1 | loss=0.8838 | time=0.7s
  [Client  4] Round 1 | loss=0.9007 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.9110
  [Client  0] Round 1 | loss=1.0251 | time=0.8s
  [Client  1] Round 1 | loss=0.8577 | time=1.3s
  [Client  2] Round 1 | loss=0.7633 | time=0.7s
  [Client  3] Round 1 | loss=0.8391 | time=0.7s
  [Client  4] Round 1 | loss=0.8637 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.8724
  [Client  0] Round 1 | loss=1.0317 | time=0.8s
  [Client  1] Round 1 | loss=0.8206 | time=1.3s
  [Client  2] Round 1 | loss=0.7325 | time=0.7s
  [Client  3] Round 1 | loss=0.7876 | time=0.7s
  [Client  4] Round 1 | loss=0.8282 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.8420
  [Client  0] Round 1 | loss=0.9717 | time=0.8s
  [Client  1] Round 1 | loss=0.7862 | time=1.3s
  [Client  2] Round 1 | loss=0.7109 | time=0.7s
  [Client  3] Round 1 | loss=0.7934 | time=0.7s
  [Client  4] Round 1 | loss=0.7840 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 10 | loss=0.8074
  [Client  0] Round 1 | loss=0.9501 | time=0.8s
  [Client  1] Round 1 | loss=0.7472 | time=1.3s
  [Client  2] Round 1 | loss=0.6865 | time=0.7s
  [Client  3] Round 1 | loss=0.7366 | time=0.7s
  [Client  4] Round 1 | loss=0.7389 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 11 | loss=0.7691
  [Client  0] Round 1 | loss=0.9122 | time=0.8s
  [Client  1] Round 1 | loss=0.7110 | time=1.3s
  [Client  2] Round 1 | loss=0.6602 | time=0.7s
  [Client  3] Round 1 | loss=0.7158 | time=0.7s
  [Client  4] Round 1 | loss=0.7014 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 12 | loss=0.7355
  [Client  0] Round 1 | loss=0.8668 | time=0.8s
  [Client  1] Round 1 | loss=0.6745 | time=1.3s
  [Client  2] Round 1 | loss=0.6242 | time=0.7s
  [Client  3] Round 1 | loss=0.6680 | time=0.7s
  [Client  4] Round 1 | loss=0.6715 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 13 | loss=0.6981
  [Client  0] Round 1 | loss=0.8615 | time=0.8s
  [Client  1] Round 1 | loss=0.6367 | time=1.3s
  [Client  2] Round 1 | loss=0.5937 | time=0.7s
  [Client  3] Round 1 | loss=0.6327 | time=0.7s
  [Client  4] Round 1 | loss=0.6175 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 14 | loss=0.6622
  [Client  0] Round 1 | loss=0.8059 | time=0.8s
  [Client  1] Round 1 | loss=0.5910 | time=1.3s
  [Client  2] Round 1 | loss=0.5530 | time=0.7s
  [Client  3] Round 1 | loss=0.6167 | time=0.7s
  [Client  4] Round 1 | loss=0.5816 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 15 | loss=0.6223
  [Client  0] Round 1 | loss=0.7908 | time=0.8s
  [Client  1] Round 1 | loss=0.5515 | time=1.3s
  [Client  2] Round 1 | loss=0.5277 | time=0.7s
  [Client  3] Round 1 | loss=0.5869 | time=0.7s
  [Client  4] Round 1 | loss=0.5435 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 16 | loss=0.5905
  [Client  0] Round 1 | loss=0.7162 | time=0.8s
  [Client  1] Round 1 | loss=0.5307 | time=1.3s
  [Client  2] Round 1 | loss=0.5087 | time=0.7s
  [Client  3] Round 1 | loss=0.5621 | time=0.7s
  [Client  4] Round 1 | loss=0.5065 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 17 | loss=0.5556
  [Client  0] Round 1 | loss=0.7190 | time=0.8s
  [Client  1] Round 1 | loss=0.4821 | time=1.3s
  [Client  2] Round 1 | loss=0.4750 | time=0.7s
  [Client  3] Round 1 | loss=0.5280 | time=0.7s
  [Client  4] Round 1 | loss=0.4711 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 18 | loss=0.5234
  [Client  0] Round 1 | loss=0.7038 | time=0.8s
  [Client  1] Round 1 | loss=0.4390 | time=1.3s
  [Client  2] Round 1 | loss=0.4726 | time=0.7s
  [Client  3] Round 1 | loss=0.5150 | time=0.7s
  [Client  4] Round 1 | loss=0.4358 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 19 | loss=0.4968
  [Client  0] Round 1 | loss=0.6434 | time=0.8s
  [Client  1] Round 1 | loss=0.4149 | time=1.3s
  [Client  2] Round 1 | loss=0.4403 | time=0.7s
  [Client  3] Round 1 | loss=0.4843 | time=0.7s
  [Client  4] Round 1 | loss=0.4032 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 20 | loss=0.4621
  [Client  0] Round 1 | loss=0.6403 | time=0.8s
  [Client  1] Round 1 | loss=0.3903 | time=1.3s
  [Client  2] Round 1 | loss=0.4194 | time=0.7s
  [Client  3] Round 1 | loss=0.4625 | time=0.7s
  [Client  4] Round 1 | loss=0.3758 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 21 | loss=0.4411
  [Client  0] Round 1 | loss=0.6157 | time=0.8s
  [Client  1] Round 1 | loss=0.3667 | time=1.3s
  [Client  2] Round 1 | loss=0.3994 | time=0.7s
  [Client  3] Round 1 | loss=0.4338 | time=0.7s
  [Client  4] Round 1 | loss=0.3460 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 22 | loss=0.4153
  [Client  0] Round 1 | loss=0.5749 | time=0.8s
  [Client  1] Round 1 | loss=0.3306 | time=1.3s
  [Client  2] Round 1 | loss=0.3871 | time=0.7s
  [Client  3] Round 1 | loss=0.4210 | time=0.7s
  [Client  4] Round 1 | loss=0.3223 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 23 | loss=0.3884
  [Client  0] Round 1 | loss=0.5765 | time=0.8s
  [Client  1] Round 1 | loss=0.3231 | time=1.3s
  [Client  2] Round 1 | loss=0.3797 | time=0.7s
  [Client  3] Round 1 | loss=0.3996 | time=0.7s
  [Client  4] Round 1 | loss=0.3038 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 24 | loss=0.3773
  [Client  0] Round 1 | loss=0.5443 | time=0.8s
  [Client  1] Round 1 | loss=0.2974 | time=1.3s
  [Client  2] Round 1 | loss=0.3490 | time=0.7s
  [Client  3] Round 1 | loss=0.3962 | time=0.7s
  [Client  4] Round 1 | loss=0.2785 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 25 | loss=0.3529
  [Client  0] Round 1 | loss=0.4986 | time=0.8s
  [Client  1] Round 1 | loss=0.2737 | time=1.3s
  [Client  2] Round 1 | loss=0.3394 | time=0.7s
  [Client  3] Round 1 | loss=0.3685 | time=0.7s
  [Client  4] Round 1 | loss=0.2634 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 26 | loss=0.3295
  [Client  0] Round 1 | loss=0.4776 | time=0.8s
  [Client  1] Round 1 | loss=0.2637 | time=1.3s
  [Client  2] Round 1 | loss=0.3180 | time=0.7s
  [Client  3] Round 1 | loss=0.3464 | time=0.7s
  [Client  4] Round 1 | loss=0.2403 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 27 | loss=0.3106
  [Client  0] Round 1 | loss=0.4770 | time=0.8s
  [Client  1] Round 1 | loss=0.2352 | time=1.3s
  [Client  2] Round 1 | loss=0.3064 | time=0.7s
  [Client  3] Round 1 | loss=0.3381 | time=0.7s
  [Client  4] Round 1 | loss=0.2248 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 28 | loss=0.2956
  [Client  0] Round 1 | loss=0.4157 | time=0.8s
  [Client  1] Round 1 | loss=0.2280 | time=1.3s
  [Client  2] Round 1 | loss=0.3016 | time=0.7s
  [Client  3] Round 1 | loss=0.3231 | time=0.7s
  [Client  4] Round 1 | loss=0.2157 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 29 | loss=0.2781
  [Client  0] Round 1 | loss=0.4270 | time=0.8s
  [Client  1] Round 1 | loss=0.2087 | time=1.3s
  [Client  2] Round 1 | loss=0.2907 | time=0.7s
  [Client  3] Round 1 | loss=0.3378 | time=0.7s
  [Client  4] Round 1 | loss=0.1962 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 30 | loss=0.2694
  [Client  0] Round 1 | loss=0.4346 | time=0.8s
  [Client  1] Round 1 | loss=0.1952 | time=1.3s
  [Client  2] Round 1 | loss=0.2682 | time=0.7s
  [Client  3] Round 1 | loss=0.2895 | time=0.7s
  [Client  4] Round 1 | loss=0.1856 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 31 | loss=0.2545
  [Client  0] Round 1 | loss=0.3954 | time=0.8s
  [Client  1] Round 1 | loss=0.1909 | time=1.3s
  [Client  2] Round 1 | loss=0.2724 | time=0.7s
  [Client  3] Round 1 | loss=0.2888 | time=0.7s
  [Client  4] Round 1 | loss=0.1762 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 32 | loss=0.2445
  [Client  0] Round 1 | loss=0.4011 | time=0.8s
  [Client  1] Round 1 | loss=0.1782 | time=1.3s
  [Client  2] Round 1 | loss=0.2611 | time=0.7s
  [Client  3] Round 1 | loss=0.2834 | time=0.7s
  [Client  4] Round 1 | loss=0.1614 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 33 | loss=0.2354
  [Client  0] Round 1 | loss=0.3790 | time=0.8s
  [Client  1] Round 1 | loss=0.1681 | time=1.3s
  [Client  2] Round 1 | loss=0.2525 | time=0.7s
  [Client  3] Round 1 | loss=0.2609 | time=0.7s
