
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6179 | time=3.4s
  [Client  1] Round 1 | loss=1.4191 | time=2.2s
  [Client  2] Round 1 | loss=1.5088 | time=1.5s
  [Client  3] Round 1 | loss=1.4987 | time=1.5s
  [Client  4] Round 1 | loss=1.4418 | time=2.5s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4817
  [Client  0] Round 1 | loss=1.4647 | time=0.8s
  [Client  1] Round 1 | loss=1.2732 | time=1.3s
  [Client  2] Round 1 | loss=1.2742 | time=0.7s
  [Client  3] Round 1 | loss=1.3320 | time=0.7s
  [Client  4] Round 1 | loss=1.3000 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.3212
  [Client  0] Round 1 | loss=1.3691 | time=0.8s
  [Client  1] Round 1 | loss=1.1718 | time=1.3s
  [Client  2] Round 1 | loss=1.0994 | time=0.7s
  [Client  3] Round 1 | loss=1.2155 | time=0.7s
  [Client  4] Round 1 | loss=1.1913 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.2067
  [Client  0] Round 1 | loss=1.2638 | time=0.8s
  [Client  1] Round 1 | loss=1.0748 | time=1.3s
  [Client  2] Round 1 | loss=0.9775 | time=0.7s
  [Client  3] Round 1 | loss=1.0658 | time=0.7s
  [Client  4] Round 1 | loss=1.0817 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.0942
  [Client  0] Round 1 | loss=1.1531 | time=0.8s
  [Client  1] Round 1 | loss=1.0029 | time=1.3s
  [Client  2] Round 1 | loss=0.9178 | time=0.7s
  [Client  3] Round 1 | loss=0.9579 | time=0.7s
  [Client  4] Round 1 | loss=1.0036 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.0108
  [Client  0] Round 1 | loss=1.1283 | time=0.8s
  [Client  1] Round 1 | loss=0.9679 | time=1.3s
  [Client  2] Round 1 | loss=0.8437 | time=0.7s
  [Client  3] Round 1 | loss=0.9270 | time=0.7s
  [Client  4] Round 1 | loss=0.9556 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.9689
  [Client  0] Round 1 | loss=1.0782 | time=0.8s
  [Client  1] Round 1 | loss=0.9190 | time=1.3s
  [Client  2] Round 1 | loss=0.8097 | time=0.7s
  [Client  3] Round 1 | loss=0.8992 | time=0.7s
  [Client  4] Round 1 | loss=0.9009 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.9229
  [Client  0] Round 1 | loss=1.0299 | time=0.8s
  [Client  1] Round 1 | loss=0.8771 | time=1.3s
  [Client  2] Round 1 | loss=0.7894 | time=0.7s
  [Client  3] Round 1 | loss=0.8540 | time=0.7s
  [Client  4] Round 1 | loss=0.8660 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.8845
  [Client  0] Round 1 | loss=1.0073 | time=0.8s
  [Client  1] Round 1 | loss=0.8413 | time=1.3s
  [Client  2] Round 1 | loss=0.7516 | time=0.7s
  [Client  3] Round 1 | loss=0.8025 | time=0.7s
  [Client  4] Round 1 | loss=0.8266 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.8474
  [Client  0] Round 1 | loss=0.9857 | time=0.8s
