
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6249 | time=3.4s
  [Client  1] Round 1 | loss=1.4215 | time=2.2s
  [Client  2] Round 1 | loss=1.5065 | time=1.5s
  [Client  3] Round 1 | loss=1.4839 | time=1.5s
  [Client  4] Round 1 | loss=1.4301 | time=2.5s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4777
  [Client  0] Round 1 | loss=1.5031 | time=0.8s
  [Client  1] Round 1 | loss=1.2719 | time=1.3s
  [Client  2] Round 1 | loss=1.2845 | time=0.7s
  [Client  3] Round 1 | loss=1.3509 | time=0.7s
  [Client  4] Round 1 | loss=1.2951 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.3297
  [Client  0] Round 1 | loss=1.3697 | time=0.8s
  [Client  1] Round 1 | loss=1.1551 | time=1.3s
  [Client  2] Round 1 | loss=1.0716 | time=0.7s
  [Client  3] Round 1 | loss=1.2081 | time=0.7s
  [Client  4] Round 1 | loss=1.1644 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1896
  [Client  0] Round 1 | loss=1.2313 | time=0.8s
  [Client  1] Round 1 | loss=1.0615 | time=1.3s
  [Client  2] Round 1 | loss=0.9575 | time=0.7s
  [Client  3] Round 1 | loss=1.0399 | time=0.7s
  [Client  4] Round 1 | loss=1.0593 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.0724
  [Client  0] Round 1 | loss=1.1552 | time=0.8s
  [Client  1] Round 1 | loss=0.9892 | time=1.3s
  [Client  2] Round 1 | loss=0.8990 | time=0.7s
  [Client  3] Round 1 | loss=0.9389 | time=0.7s
  [Client  4] Round 1 | loss=0.9884 | time=1.5s
  [Edge 0] G-Round 1 | E-Round 5 | loss=0.9980
  [Client  5] Round 1 | loss=1.3382 | time=2.3s
  [Client  6] Round 1 | loss=1.4139 | time=2.3s
  [Client  7] Round 1 | loss=1.4176 | time=2.0s
  [Client  8] Round 1 | loss=1.8966 | time=1.8s
  [Client  9] Round 1 | loss=1.5595 | time=2.8s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.5104
  [Client  5] Round 1 | loss=1.1997 | time=1.0s
  [Client  6] Round 1 | loss=1.1699 | time=1.8s
  [Client  7] Round 1 | loss=1.1704 | time=0.9s
  [Client  8] Round 1 | loss=1.6363 | time=0.9s
  [Client  9] Round 1 | loss=1.3087 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.2769
  [Client  5] Round 1 | loss=1.0013 | time=0.9s
  [Client  6] Round 1 | loss=0.9994 | time=1.8s
  [Client  7] Round 1 | loss=0.9557 | time=0.9s
  [Client  8] Round 1 | loss=1.3582 | time=0.9s
  [Client  9] Round 1 | loss=1.1471 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.0850
  [Client  5] Round 1 | loss=0.8869 | time=0.9s
  [Client  6] Round 1 | loss=0.9066 | time=1.8s
  [Client  7] Round 1 | loss=0.8444 | time=0.9s
  [Client  8] Round 1 | loss=1.2477 | time=0.9s
  [Client  9] Round 1 | loss=1.0560 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 4 | loss=0.9847
  [Client  5] Round 1 | loss=0.8377 | time=0.9s
  [Client  6] Round 1 | loss=0.8203 | time=1.8s
  [Client  7] Round 1 | loss=0.7536 | time=0.9s
  [Client  8] Round 1 | loss=1.1274 | time=0.9s
  [Client  9] Round 1 | loss=0.9612 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 5 | loss=0.8961
[Round   1] Phase 2: Cloud aggregating...
  [Cloud] acc=0.4707 | loss=1.5138 | time=70.3s | comm=870.1MB (total=870MB)

[Round   2] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 2 | loss=1.0554 | time=0.8s
  [Client  1] Round 2 | loss=0.9548 | time=1.3s
  [Client  2] Round 2 | loss=0.8373 | time=0.7s
  [Client  3] Round 2 | loss=0.8709 | time=0.7s
  [Client  4] Round 2 | loss=0.9030 | time=1.5s
  [Edge 0] G-Round 2 | E-Round 1 | loss=0.9291
  [Client  0] Round 2 | loss=0.9681 | time=0.8s
  [Client  1] Round 2 | loss=0.8522 | time=1.3s
  [Client  2] Round 2 | loss=0.7645 | time=0.7s
  [Client  3] Round 2 | loss=0.8125 | time=0.7s
  [Client  4] Round 2 | loss=0.8435 | time=1.5s
  [Edge 0] G-Round 2 | E-Round 2 | loss=0.8519
  [Client  0] Round 2 | loss=0.9242 | time=0.8s
  [Client  1] Round 2 | loss=0.7847 | time=1.3s
  [Client  2] Round 2 | loss=0.7080 | time=0.7s
  [Client  3] Round 2 | loss=0.7455 | time=0.7s
  [Client  4] Round 2 | loss=0.7795 | time=1.5s
  [Edge 0] G-Round 2 | E-Round 3 | loss=0.7909
  [Client  0] Round 2 | loss=0.9290 | time=0.8s
  [Client  1] Round 2 | loss=0.7302 | time=1.3s
  [Client  2] Round 2 | loss=0.6656 | time=0.7s
  [Client  3] Round 2 | loss=0.6944 | time=0.7s
  [Client  4] Round 2 | loss=0.7207 | time=1.5s
  [Edge 0] G-Round 2 | E-Round 4 | loss=0.7471
  [Client  0] Round 2 | loss=0.8762 | time=0.8s
  [Client  1] Round 2 | loss=0.6806 | time=1.3s
  [Client  2] Round 2 | loss=0.6257 | time=0.7s
  [Client  3] Round 2 | loss=0.6619 | time=0.7s
  [Client  4] Round 2 | loss=0.6688 | time=1.5s
  [Edge 0] G-Round 2 | E-Round 5 | loss=0.6999
  [Client  5] Round 2 | loss=0.8943 | time=0.9s
  [Client  6] Round 2 | loss=0.8499 | time=1.8s
  [Client  7] Round 2 | loss=0.7683 | time=0.9s
  [Client  8] Round 2 | loss=1.1393 | time=0.9s
  [Client  9] Round 2 | loss=0.9950 | time=2.0s
  [Edge 1] G-Round 2 | E-Round 1 | loss=0.9265
  [Client  5] Round 2 | loss=0.8090 | time=0.9s
  [Client  6] Round 2 | loss=0.7586 | time=1.8s
  [Client  7] Round 2 | loss=0.6909 | time=0.9s
  [Client  8] Round 2 | loss=1.0550 | time=0.9s
  [Client  9] Round 2 | loss=0.9081 | time=2.0s
  [Edge 1] G-Round 2 | E-Round 2 | loss=0.8402
  [Client  5] Round 2 | loss=0.7602 | time=0.9s
  [Client  6] Round 2 | loss=0.6951 | time=1.8s
  [Client  7] Round 2 | loss=0.6567 | time=0.9s
  [Client  8] Round 2 | loss=0.9733 | time=0.9s
  [Client  9] Round 2 | loss=0.8467 | time=2.0s
  [Edge 1] G-Round 2 | E-Round 3 | loss=0.7813
  [Client  5] Round 2 | loss=0.7213 | time=0.9s
  [Client  6] Round 2 | loss=0.6396 | time=1.8s
  [Client  7] Round 2 | loss=0.5874 | time=0.9s
  [Client  8] Round 2 | loss=0.9337 | time=0.9s
  [Client  9] Round 2 | loss=0.7998 | time=2.0s
  [Edge 1] G-Round 2 | E-Round 4 | loss=0.7309
  [Client  5] Round 2 | loss=0.6911 | time=0.9s
  [Client  6] Round 2 | loss=0.5908 | time=1.8s
  [Client  7] Round 2 | loss=0.5536 | time=0.9s
  [Client  8] Round 2 | loss=0.8670 | time=0.9s
  [Client  9] Round 2 | loss=0.7535 | time=2.0s
  [Edge 1] G-Round 2 | E-Round 5 | loss=0.6854
[Round   2] Phase 2: Cloud aggregating...
  [Cloud] acc=0.6021 | loss=1.1001 | time=59.0s | comm=870.1MB (total=1740MB)

[Round   3] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 3 | loss=0.7822 | time=0.8s
  [Client  1] Round 3 | loss=0.6889 | time=1.3s
  [Client  2] Round 3 | loss=0.6268 | time=0.7s
  [Client  3] Round 3 | loss=0.6313 | time=0.7s
  [Client  4] Round 3 | loss=0.6577 | time=1.5s
  [Edge 0] G-Round 3 | E-Round 1 | loss=0.6791
  [Client  0] Round 3 | loss=0.7404 | time=0.8s
  [Client  1] Round 3 | loss=0.6119 | time=1.3s
  [Client  2] Round 3 | loss=0.5637 | time=0.7s
  [Client  3] Round 3 | loss=0.5902 | time=0.7s
  [Client  4] Round 3 | loss=0.6084 | time=1.5s
  [Edge 0] G-Round 3 | E-Round 2 | loss=0.6230
  [Client  0] Round 3 | loss=0.7165 | time=0.8s
  [Client  1] Round 3 | loss=0.5677 | time=1.3s
  [Client  2] Round 3 | loss=0.5300 | time=0.7s
  [Client  3] Round 3 | loss=0.5508 | time=0.7s
  [Client  4] Round 3 | loss=0.5621 | time=1.5s
  [Edge 0] G-Round 3 | E-Round 3 | loss=0.5836
  [Client  0] Round 3 | loss=0.6924 | time=0.8s
  [Client  1] Round 3 | loss=0.5208 | time=1.3s
  [Client  2] Round 3 | loss=0.4805 | time=0.7s
  [Client  3] Round 3 | loss=0.5189 | time=0.7s
  [Client  4] Round 3 | loss=0.5114 | time=1.5s
  [Edge 0] G-Round 3 | E-Round 4 | loss=0.5410
  [Client  0] Round 3 | loss=0.6747 | time=0.8s
  [Client  1] Round 3 | loss=0.4908 | time=1.3s
  [Client  2] Round 3 | loss=0.4490 | time=0.7s
  [Client  3] Round 3 | loss=0.4998 | time=0.7s
  [Client  4] Round 3 | loss=0.4747 | time=1.5s
  [Edge 0] G-Round 3 | E-Round 5 | loss=0.5123
  [Client  5] Round 3 | loss=0.6820 | time=0.9s
  [Client  6] Round 3 | loss=0.5991 | time=1.8s
  [Client  7] Round 3 | loss=0.5430 | time=0.9s
  [Client  8] Round 3 | loss=0.8331 | time=0.9s
  [Client  9] Round 3 | loss=0.7495 | time=2.0s
  [Edge 1] G-Round 3 | E-Round 1 | loss=0.6793
  [Client  5] Round 3 | loss=0.6465 | time=0.9s
  [Client  6] Round 3 | loss=0.5534 | time=1.8s
  [Client  7] Round 3 | loss=0.5092 | time=0.9s
  [Client  8] Round 3 | loss=0.7831 | time=0.9s
  [Client  9] Round 3 | loss=0.7036 | time=2.0s
  [Edge 1] G-Round 3 | E-Round 2 | loss=0.6361
  [Client  5] Round 3 | loss=0.6302 | time=0.9s
  [Client  6] Round 3 | loss=0.5059 | time=1.8s
  [Client  7] Round 3 | loss=0.4751 | time=0.9s
  [Client  8] Round 3 | loss=0.7296 | time=0.9s
  [Client  9] Round 3 | loss=0.6495 | time=2.0s
  [Edge 1] G-Round 3 | E-Round 3 | loss=0.5922
  [Client  5] Round 3 | loss=0.5962 | time=0.9s
  [Client  6] Round 3 | loss=0.4654 | time=1.8s
  [Client  7] Round 3 | loss=0.4509 | time=0.9s
  [Client  8] Round 3 | loss=0.7086 | time=0.8s
  [Client  9] Round 3 | loss=0.5990 | time=2.0s
  [Edge 1] G-Round 3 | E-Round 4 | loss=0.5544
  [Client  5] Round 3 | loss=0.5758 | time=0.9s
  [Client  6] Round 3 | loss=0.4394 | time=1.8s
  [Client  7] Round 3 | loss=0.4230 | time=0.9s
  [Client  8] Round 3 | loss=0.6624 | time=0.9s
  [Client  9] Round 3 | loss=0.5610 | time=2.0s
  [Edge 1] G-Round 3 | E-Round 5 | loss=0.5227
[Round   3] Phase 2: Cloud aggregating...
  [Cloud] acc=0.6573 | loss=0.9500 | time=58.9s | comm=870.1MB (total=2610MB)

[Round   4] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 4 | loss=0.6482 | time=0.8s
  [Client  1] Round 4 | loss=0.5357 | time=1.3s
  [Client  2] Round 4 | loss=0.4941 | time=0.7s
  [Client  3] Round 4 | loss=0.5035 | time=0.7s
  [Client  4] Round 4 | loss=0.5034 | time=1.5s
  [Edge 0] G-Round 4 | E-Round 1 | loss=0.5349
  [Client  0] Round 4 | loss=0.6379 | time=0.8s
  [Client  1] Round 4 | loss=0.4773 | time=1.3s
  [Client  2] Round 4 | loss=0.4489 | time=0.7s
  [Client  3] Round 4 | loss=0.4642 | time=0.7s
  [Client  4] Round 4 | loss=0.4554 | time=1.5s
  [Edge 0] G-Round 4 | E-Round 2 | loss=0.4919
  [Client  0] Round 4 | loss=0.5685 | time=0.8s
  [Client  1] Round 4 | loss=0.4308 | time=1.3s
  [Client  2] Round 4 | loss=0.4090 | time=0.7s
  [Client  3] Round 4 | loss=0.4405 | time=0.7s
  [Client  4] Round 4 | loss=0.4094 | time=1.5s
  [Edge 0] G-Round 4 | E-Round 3 | loss=0.4457
  [Client  0] Round 4 | loss=0.5902 | time=0.8s
  [Client  1] Round 4 | loss=0.3869 | time=1.3s
  [Client  2] Round 4 | loss=0.4037 | time=0.7s
  [Client  3] Round 4 | loss=0.4188 | time=0.7s
  [Client  4] Round 4 | loss=0.3747 | time=1.5s
  [Edge 0] G-Round 4 | E-Round 4 | loss=0.4236
  [Client  0] Round 4 | loss=0.5276 | time=0.8s
  [Client  1] Round 4 | loss=0.3590 | time=1.3s
  [Client  2] Round 4 | loss=0.3723 | time=0.7s
  [Client  3] Round 4 | loss=0.3914 | time=0.7s
  [Client  4] Round 4 | loss=0.3423 | time=1.5s
  [Edge 0] G-Round 4 | E-Round 5 | loss=0.3882
  [Client  5] Round 4 | loss=0.6011 | time=0.9s
  [Client  6] Round 4 | loss=0.4593 | time=1.8s
  [Client  7] Round 4 | loss=0.4223 | time=0.9s
  [Client  8] Round 4 | loss=0.6656 | time=0.8s
  [Client  9] Round 4 | loss=0.5835 | time=2.0s
  [Edge 1] G-Round 4 | E-Round 1 | loss=0.5391
  [Client  5] Round 4 | loss=0.5440 | time=0.9s
  [Client  6] Round 4 | loss=0.4236 | time=1.8s
  [Client  7] Round 4 | loss=0.4022 | time=0.9s
  [Client  8] Round 4 | loss=0.6320 | time=0.8s
  [Client  9] Round 4 | loss=0.5454 | time=2.0s
  [Edge 1] G-Round 4 | E-Round 2 | loss=0.5021
  [Client  5] Round 4 | loss=0.5265 | time=0.9s
  [Client  6] Round 4 | loss=0.3764 | time=1.8s
  [Client  7] Round 4 | loss=0.3803 | time=0.9s
  [Client  8] Round 4 | loss=0.6008 | time=0.8s
  [Client  9] Round 4 | loss=0.4942 | time=2.0s
  [Edge 1] G-Round 4 | E-Round 3 | loss=0.4635
  [Client  5] Round 4 | loss=0.5039 | time=0.9s
  [Client  6] Round 4 | loss=0.3525 | time=1.8s
  [Client  7] Round 4 | loss=0.3572 | time=0.9s
  [Client  8] Round 4 | loss=0.5785 | time=0.8s
  [Client  9] Round 4 | loss=0.4438 | time=2.0s
  [Edge 1] G-Round 4 | E-Round 4 | loss=0.4320
  [Client  5] Round 4 | loss=0.4943 | time=0.9s
  [Client  6] Round 4 | loss=0.3195 | time=1.8s
  [Client  7] Round 4 | loss=0.3432 | time=0.9s
  [Client  8] Round 4 | loss=0.5490 | time=0.8s
  [Client  9] Round 4 | loss=0.4271 | time=2.0s
  [Edge 1] G-Round 4 | E-Round 5 | loss=0.4105
[Round   4] Phase 2: Cloud aggregating...
  [Cloud] acc=0.6884 | loss=0.8823 | time=58.8s | comm=870.1MB (total=3480MB)

[Round   5] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 5 | loss=0.5764 | time=0.8s
  [Client  1] Round 5 | loss=0.4341 | time=1.3s
  [Client  2] Round 5 | loss=0.4154 | time=0.7s
  [Client  3] Round 5 | loss=0.4315 | time=0.7s
  [Client  4] Round 5 | loss=0.4000 | time=1.5s
  [Edge 0] G-Round 5 | E-Round 1 | loss=0.4447
  [Client  0] Round 5 | loss=0.5192 | time=0.8s
  [Client  1] Round 5 | loss=0.3683 | time=1.3s
  [Client  2] Round 5 | loss=0.3755 | time=0.7s
  [Client  3] Round 5 | loss=0.3869 | time=0.7s
  [Client  4] Round 5 | loss=0.3505 | time=1.5s
  [Edge 0] G-Round 5 | E-Round 2 | loss=0.3915
  [Client  0] Round 5 | loss=0.4866 | time=0.8s
  [Client  1] Round 5 | loss=0.3359 | time=1.3s
  [Client  2] Round 5 | loss=0.3476 | time=0.7s
