
====================================================
 Centralized Training Start
====================================================
  [Epoch   1/600] train_loss=2.0467 | test_loss=1.7269 | test_acc=0.4001 | time=5.4s
  [Epoch   2/600] train_loss=1.6624 | test_loss=1.4973 | test_acc=0.4722 | time=2.1s
  [Epoch   3/600] train_loss=1.4925 | test_loss=1.3652 | test_acc=0.5205 | time=2.1s
  [Epoch   4/600] train_loss=1.3765 | test_loss=1.2570 | test_acc=0.5514 | time=2.2s
  [Epoch   5/600] train_loss=1.2772 | test_loss=1.1392 | test_acc=0.6041 | time=2.1s
  [Epoch   6/600] train_loss=1.1954 | test_loss=1.0992 | test_acc=0.6145 | time=2.1s
  [Epoch   7/600] train_loss=1.1203 | test_loss=1.0036 | test_acc=0.6539 | time=2.1s
  [Epoch   8/600] train_loss=1.0536 | test_loss=0.9730 | test_acc=0.6580 | time=2.2s
  [Epoch   9/600] train_loss=0.9994 | test_loss=0.9176 | test_acc=0.6809 | time=2.2s
  [Epoch  10/600] train_loss=0.9602 | test_loss=0.9126 | test_acc=0.6819 | time=2.1s
  [Epoch  11/600] train_loss=0.9157 | test_loss=0.8561 | test_acc=0.7045 | time=2.1s
  [Epoch  12/600] train_loss=0.8729 | test_loss=0.8156 | test_acc=0.7186 | time=2.1s
  [Epoch  13/600] train_loss=0.8358 | test_loss=0.7981 | test_acc=0.7246 | time=2.1s
  [Epoch  14/600] train_loss=0.8029 | test_loss=0.7711 | test_acc=0.7334 | time=2.2s
  [Epoch  15/600] train_loss=0.7736 | test_loss=0.7654 | test_acc=0.7322 | time=2.1s
  [Epoch  16/600] train_loss=0.7426 | test_loss=0.7550 | test_acc=0.7358 | time=2.1s
  [Epoch  17/600] train_loss=0.7112 | test_loss=0.7434 | test_acc=0.7422 | time=2.2s
  [Epoch  18/600] train_loss=0.6939 | test_loss=0.7112 | test_acc=0.7511 | time=2.1s
  [Epoch  19/600] train_loss=0.6646 | test_loss=0.7110 | test_acc=0.7489 | time=2.1s
  [Epoch  20/600] train_loss=0.6420 | test_loss=0.6918 | test_acc=0.7606 | time=2.1s
  [Epoch  21/600] train_loss=0.6197 | test_loss=0.6809 | test_acc=0.7618 | time=2.1s
  [Epoch  22/600] train_loss=0.5910 | test_loss=0.6798 | test_acc=0.7692 | time=2.1s
  [Epoch  23/600] train_loss=0.5790 | test_loss=0.6584 | test_acc=0.7733 | time=2.2s
  [Epoch  24/600] train_loss=0.5597 | test_loss=0.6546 | test_acc=0.7723 | time=2.1s
  [Epoch  25/600] train_loss=0.5362 | test_loss=0.6709 | test_acc=0.7700 | time=2.1s
  [Epoch  26/600] train_loss=0.5213 | test_loss=0.6497 | test_acc=0.7736 | time=2.1s
  [Epoch  27/600] train_loss=0.5078 | test_loss=0.6467 | test_acc=0.7794 | time=2.1s
  [Epoch  28/600] train_loss=0.4861 | test_loss=0.6588 | test_acc=0.7748 | time=2.1s
  [Epoch  29/600] train_loss=0.4666 | test_loss=0.6473 | test_acc=0.7785 | time=2.1s
  [Epoch  30/600] train_loss=0.4558 | test_loss=0.6470 | test_acc=0.7809 | time=2.1s
  [Epoch  31/600] train_loss=0.4401 | test_loss=0.6610 | test_acc=0.7817 | time=2.1s
  [Epoch  32/600] train_loss=0.4235 | test_loss=0.6513 | test_acc=0.7819 | time=2.1s
  [Epoch  33/600] train_loss=0.4109 | test_loss=0.6563 | test_acc=0.7837 | time=2.1s
  [Epoch  34/600] train_loss=0.3928 | test_loss=0.6439 | test_acc=0.7832 | time=2.2s
  [Epoch  35/600] train_loss=0.3853 | test_loss=0.6464 | test_acc=0.7848 | time=2.1s
  [Epoch  36/600] train_loss=0.3731 | test_loss=0.6671 | test_acc=0.7838 | time=2.1s
  [Epoch  37/600] train_loss=0.3638 | test_loss=0.6738 | test_acc=0.7791 | time=2.1s
  [Epoch  38/600] train_loss=0.3496 | test_loss=0.6562 | test_acc=0.7858 | time=2.1s
  [Epoch  39/600] train_loss=0.3416 | test_loss=0.6589 | test_acc=0.7876 | time=2.1s
  [Epoch  40/600] train_loss=0.3223 | test_loss=0.6661 | test_acc=0.7891 | time=2.1s
  [Epoch  41/600] train_loss=0.3199 | test_loss=0.6611 | test_acc=0.7876 | time=2.1s
  [Epoch  42/600] train_loss=0.3084 | test_loss=0.6606 | test_acc=0.7877 | time=2.1s
  [Epoch  43/600] train_loss=0.3018 | test_loss=0.6611 | test_acc=0.7925 | time=2.1s
  [Epoch  44/600] train_loss=0.2880 | test_loss=0.6705 | test_acc=0.7905 | time=2.1s
  [Epoch  45/600] train_loss=0.2862 | test_loss=0.6799 | test_acc=0.7897 | time=2.1s
  [Epoch  46/600] train_loss=0.2803 | test_loss=0.7005 | test_acc=0.7904 | time=2.1s
  [Epoch  47/600] train_loss=0.2754 | test_loss=0.7032 | test_acc=0.7823 | time=2.1s
  [Epoch  48/600] train_loss=0.2624 | test_loss=0.6944 | test_acc=0.7945 | time=2.1s
  [Epoch  49/600] train_loss=0.2618 | test_loss=0.6869 | test_acc=0.7900 | time=2.1s
  [Epoch  50/600] train_loss=0.2563 | test_loss=0.7178 | test_acc=0.7904 | time=2.1s
  [Epoch  51/600] train_loss=0.2448 | test_loss=0.7058 | test_acc=0.7910 | time=2.1s
  [Epoch  52/600] train_loss=0.2463 | test_loss=0.7300 | test_acc=0.7905 | time=2.1s
  [Epoch  53/600] train_loss=0.2357 | test_loss=0.7136 | test_acc=0.7917 | time=2.1s
  [Epoch  54/600] train_loss=0.2330 | test_loss=0.7091 | test_acc=0.7953 | time=2.1s
  [Epoch  55/600] train_loss=0.2232 | test_loss=0.7352 | test_acc=0.7864 | time=2.2s
  [Epoch  56/600] train_loss=0.2157 | test_loss=0.7384 | test_acc=0.7916 | time=2.1s
