
====================================================
 Centralized Training Start
====================================================
  [Epoch   1/600] train_loss=3.8813 | test_loss=3.8090 | test_acc=0.1000 | time=10.8s
  [Epoch   2/600] train_loss=3.8126 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch   3/600] train_loss=3.8090 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch   4/600] train_loss=3.8126 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch   5/600] train_loss=3.8097 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch   6/600] train_loss=3.8097 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch   7/600] train_loss=3.8097 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch   8/600] train_loss=3.8090 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch   9/600] train_loss=3.8090 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  10/600] train_loss=3.8097 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  11/600] train_loss=3.8083 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  12/600] train_loss=3.8090 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  13/600] train_loss=3.8112 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  14/600] train_loss=3.8097 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  15/600] train_loss=3.8126 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  16/600] train_loss=3.8133 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  17/600] train_loss=3.8104 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  18/600] train_loss=3.8090 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  19/600] train_loss=3.8083 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  20/600] train_loss=3.8104 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  21/600] train_loss=3.8069 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  22/600] train_loss=3.8097 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  23/600] train_loss=3.8062 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  24/600] train_loss=3.8114 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  25/600] train_loss=3.8095 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  26/600] train_loss=3.8090 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  27/600] train_loss=3.8083 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  28/600] train_loss=3.8104 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  29/600] train_loss=3.8062 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
  [Epoch  30/600] train_loss=3.8126 | test_loss=3.8090 | test_acc=0.1000 | time=4.5s
