
====================================================
 Centralized Training Start
====================================================
  [Epoch   1/600] train_loss=1.4285 | test_loss=1.2074 | test_acc=0.5682 | time=10.7s
  [Epoch   2/600] train_loss=0.9613 | test_loss=1.1091 | test_acc=0.6153 | time=5.3s
  [Epoch   3/600] train_loss=0.7520 | test_loss=0.8587 | test_acc=0.7032 | time=5.3s
  [Epoch   4/600] train_loss=0.6284 | test_loss=0.7719 | test_acc=0.7324 | time=5.3s
  [Epoch   5/600] train_loss=0.5342 | test_loss=0.8429 | test_acc=0.7211 | time=5.3s
  [Epoch   6/600] train_loss=0.4599 | test_loss=0.6530 | test_acc=0.7808 | time=5.3s
  [Epoch   7/600] train_loss=0.3949 | test_loss=0.7454 | test_acc=0.7546 | time=5.3s
  [Epoch   8/600] train_loss=0.3412 | test_loss=0.5942 | test_acc=0.8065 | time=5.3s
  [Epoch   9/600] train_loss=0.2923 | test_loss=0.6092 | test_acc=0.8094 | time=5.3s
  [Epoch  10/600] train_loss=0.2448 | test_loss=0.6207 | test_acc=0.8032 | time=5.3s
  [Epoch  11/600] train_loss=0.2100 | test_loss=0.7346 | test_acc=0.7908 | time=5.3s
  [Epoch  12/600] train_loss=0.1649 | test_loss=0.6934 | test_acc=0.8028 | time=5.3s
  [Epoch  13/600] train_loss=0.1477 | test_loss=0.6735 | test_acc=0.8149 | time=5.3s
  [Epoch  14/600] train_loss=0.1237 | test_loss=0.7537 | test_acc=0.8040 | time=5.3s
  [Epoch  15/600] train_loss=0.1070 | test_loss=0.7807 | test_acc=0.8079 | time=5.3s
  [Epoch  16/600] train_loss=0.0887 | test_loss=0.7400 | test_acc=0.8193 | time=5.3s
  [Epoch  17/600] train_loss=0.0837 | test_loss=0.7996 | test_acc=0.8100 | time=5.3s
  [Epoch  18/600] train_loss=0.0706 | test_loss=0.8090 | test_acc=0.8149 | time=5.3s
  [Epoch  19/600] train_loss=0.0657 | test_loss=0.8388 | test_acc=0.8154 | time=5.3s
  [Epoch  20/600] train_loss=0.0638 | test_loss=0.7818 | test_acc=0.8302 | time=5.3s
  [Epoch  21/600] train_loss=0.0557 | test_loss=0.7719 | test_acc=0.8248 | time=5.3s
  [Epoch  22/600] train_loss=0.0474 | test_loss=0.8183 | test_acc=0.8241 | time=5.3s
  [Epoch  23/600] train_loss=0.0408 | test_loss=0.8382 | test_acc=0.8250 | time=5.3s
  [Epoch  24/600] train_loss=0.0412 | test_loss=1.1040 | test_acc=0.7878 | time=5.3s
  [Epoch  25/600] train_loss=0.0378 | test_loss=0.8082 | test_acc=0.8324 | time=5.3s
  [Epoch  26/600] train_loss=0.0283 | test_loss=0.7923 | test_acc=0.8329 | time=5.3s
  [Epoch  27/600] train_loss=0.0298 | test_loss=0.8700 | test_acc=0.8280 | time=5.3s
  [Epoch  28/600] train_loss=0.0315 | test_loss=0.8941 | test_acc=0.8205 | time=5.3s
  [Epoch  29/600] train_loss=0.0260 | test_loss=0.8150 | test_acc=0.8337 | time=5.3s
  [Epoch  30/600] train_loss=0.0261 | test_loss=0.8764 | test_acc=0.8365 | time=5.3s
  [Epoch  31/600] train_loss=0.0229 | test_loss=0.8353 | test_acc=0.8410 | time=5.3s
  [Epoch  32/600] train_loss=0.0219 | test_loss=0.8730 | test_acc=0.8372 | time=5.3s
  [Epoch  33/600] train_loss=0.0185 | test_loss=0.8875 | test_acc=0.8397 | time=5.3s
  [Epoch  34/600] train_loss=0.0225 | test_loss=0.8797 | test_acc=0.8346 | time=5.3s
  [Epoch  35/600] train_loss=0.0176 | test_loss=0.9090 | test_acc=0.8363 | time=5.3s
  [Epoch  36/600] train_loss=0.0216 | test_loss=0.8974 | test_acc=0.8346 | time=5.3s
  [Epoch  37/600] train_loss=0.0236 | test_loss=0.8673 | test_acc=0.8366 | time=5.3s
  [Epoch  38/600] train_loss=0.0150 | test_loss=0.9247 | test_acc=0.8356 | time=5.3s
  [Epoch  39/600] train_loss=0.0155 | test_loss=0.9229 | test_acc=0.8367 | time=5.3s
  [Epoch  40/600] train_loss=0.0119 | test_loss=0.8696 | test_acc=0.8423 | time=5.3s
  [Epoch  41/600] train_loss=0.0155 | test_loss=0.8967 | test_acc=0.8408 | time=5.3s
  [Epoch  42/600] train_loss=0.0162 | test_loss=0.8822 | test_acc=0.8418 | time=5.3s
  [Epoch  43/600] train_loss=0.0149 | test_loss=0.9163 | test_acc=0.8348 | time=5.3s
  [Epoch  44/600] train_loss=0.0137 | test_loss=0.8943 | test_acc=0.8368 | time=5.3s
  [Epoch  45/600] train_loss=0.0116 | test_loss=0.9011 | test_acc=0.8400 | time=5.3s
  [Epoch  46/600] train_loss=0.0092 | test_loss=0.9103 | test_acc=0.8460 | time=5.3s
  [Epoch  47/600] train_loss=0.0088 | test_loss=0.9513 | test_acc=0.8396 | time=5.3s
  [Epoch  48/600] train_loss=0.0104 | test_loss=0.8764 | test_acc=0.8493 | time=5.3s
  [Epoch  49/600] train_loss=0.0098 | test_loss=0.9532 | test_acc=0.8408 | time=5.3s
  [Epoch  50/600] train_loss=0.0107 | test_loss=0.9528 | test_acc=0.8394 | time=5.3s
  [Epoch  51/600] train_loss=0.0074 | test_loss=0.9714 | test_acc=0.8366 | time=5.3s
  [Epoch  52/600] train_loss=0.0075 | test_loss=0.9207 | test_acc=0.8478 | time=5.3s
  [Epoch  53/600] train_loss=0.0083 | test_loss=0.9901 | test_acc=0.8374 | time=5.3s
  [Epoch  54/600] train_loss=0.0079 | test_loss=0.9408 | test_acc=0.8468 | time=5.3s
  [Epoch  55/600] train_loss=0.0090 | test_loss=0.9788 | test_acc=0.8382 | time=5.3s
  [Epoch  56/600] train_loss=0.0067 | test_loss=0.9905 | test_acc=0.8389 | time=5.3s
  [Epoch  57/600] train_loss=0.0058 | test_loss=0.9908 | test_acc=0.8417 | time=5.3s
  [Epoch  58/600] train_loss=0.0086 | test_loss=0.9947 | test_acc=0.8363 | time=5.3s
  [Epoch  59/600] train_loss=0.0132 | test_loss=0.9728 | test_acc=0.8360 | time=5.3s
  [Epoch  60/600] train_loss=0.0094 | test_loss=0.9697 | test_acc=0.8391 | time=5.3s
  [Epoch  61/600] train_loss=0.0083 | test_loss=0.9615 | test_acc=0.8384 | time=5.3s
  [Epoch  62/600] train_loss=0.0073 | test_loss=1.0028 | test_acc=0.8382 | time=5.3s
  [Epoch  63/600] train_loss=0.0067 | test_loss=0.9409 | test_acc=0.8472 | time=5.3s
  [Epoch  64/600] train_loss=0.0072 | test_loss=0.9758 | test_acc=0.8437 | time=5.3s
  [Epoch  65/600] train_loss=0.0053 | test_loss=0.9788 | test_acc=0.8414 | time=5.3s
  [Epoch  66/600] train_loss=0.0065 | test_loss=0.9889 | test_acc=0.8416 | time=5.3s
  [Epoch  67/600] train_loss=0.0065 | test_loss=1.0788 | test_acc=0.8335 | time=5.3s
  [Epoch  68/600] train_loss=0.0073 | test_loss=0.9891 | test_acc=0.8371 | time=5.3s
  [Epoch  69/600] train_loss=0.0068 | test_loss=0.9633 | test_acc=0.8450 | time=5.3s
  [Epoch  70/600] train_loss=0.0053 | test_loss=0.9838 | test_acc=0.8437 | time=5.3s
  [Epoch  71/600] train_loss=0.0063 | test_loss=1.0026 | test_acc=0.8440 | time=5.3s
  [Epoch  72/600] train_loss=0.0045 | test_loss=0.9577 | test_acc=0.8460 | time=5.3s
  [Epoch  73/600] train_loss=0.0062 | test_loss=0.9964 | test_acc=0.8436 | time=5.3s
  [Epoch  74/600] train_loss=0.0043 | test_loss=1.0637 | test_acc=0.8365 | time=5.3s
  [Epoch  75/600] train_loss=0.0039 | test_loss=1.0449 | test_acc=0.8427 | time=5.3s
  [Epoch  76/600] train_loss=0.0059 | test_loss=0.9842 | test_acc=0.8452 | time=5.3s
  [Epoch  77/600] train_loss=0.0038 | test_loss=0.9867 | test_acc=0.8459 | time=5.3s
  [Epoch  78/600] train_loss=0.0059 | test_loss=0.9761 | test_acc=0.8462 | time=5.3s
  [Epoch  79/600] train_loss=0.0039 | test_loss=0.9463 | test_acc=0.8507 | time=5.3s
  [Epoch  80/600] train_loss=0.0038 | test_loss=1.0264 | test_acc=0.8403 | time=5.3s
  [Epoch  81/600] train_loss=0.0055 | test_loss=1.0256 | test_acc=0.8411 | time=5.3s
  [Epoch  82/600] train_loss=0.0073 | test_loss=0.9607 | test_acc=0.8468 | time=5.3s
  [Epoch  83/600] train_loss=0.0033 | test_loss=1.0188 | test_acc=0.8448 | time=5.3s
  [Epoch  84/600] train_loss=0.0046 | test_loss=0.9996 | test_acc=0.8476 | time=5.3s
  [Epoch  85/600] train_loss=0.0045 | test_loss=1.0216 | test_acc=0.8377 | time=5.3s
  [Epoch  86/600] train_loss=0.0042 | test_loss=0.9872 | test_acc=0.8434 | time=5.3s
  [Epoch  87/600] train_loss=0.0038 | test_loss=1.0096 | test_acc=0.8441 | time=5.3s
  [Epoch  88/600] train_loss=0.0044 | test_loss=0.9943 | test_acc=0.8432 | time=5.3s
  [Epoch  89/600] train_loss=0.0032 | test_loss=1.0252 | test_acc=0.8458 | time=5.3s
  [Epoch  90/600] train_loss=0.0040 | test_loss=1.0332 | test_acc=0.8434 | time=5.3s
  [Epoch  91/600] train_loss=0.0036 | test_loss=1.0894 | test_acc=0.8405 | time=5.3s
  [Epoch  92/600] train_loss=0.0028 | test_loss=1.0272 | test_acc=0.8510 | time=5.3s
  [Epoch  93/600] train_loss=0.0041 | test_loss=1.0209 | test_acc=0.8445 | time=5.3s
  [Epoch  94/600] train_loss=0.0041 | test_loss=1.0590 | test_acc=0.8434 | time=5.3s
  [Epoch  95/600] train_loss=0.0054 | test_loss=0.9949 | test_acc=0.8482 | time=5.3s
  [Epoch  96/600] train_loss=0.0037 | test_loss=1.0115 | test_acc=0.8449 | time=5.3s
  [Epoch  97/600] train_loss=0.0035 | test_loss=1.0111 | test_acc=0.8523 | time=5.3s
  [Epoch  98/600] train_loss=0.0029 | test_loss=1.0061 | test_acc=0.8541 | time=5.3s
  [Epoch  99/600] train_loss=0.0060 | test_loss=0.9931 | test_acc=0.8461 | time=5.3s
  [Epoch 100/600] train_loss=0.0038 | test_loss=1.0118 | test_acc=0.8502 | time=5.3s
  [Epoch 101/600] train_loss=0.0038 | test_loss=1.0565 | test_acc=0.8433 | time=5.3s
  [Epoch 102/600] train_loss=0.0026 | test_loss=1.0380 | test_acc=0.8477 | time=5.3s
  [Epoch 103/600] train_loss=0.0025 | test_loss=1.0229 | test_acc=0.8513 | time=5.3s
  [Epoch 104/600] train_loss=0.0032 | test_loss=1.0862 | test_acc=0.8472 | time=5.3s
  [Epoch 105/600] train_loss=0.0029 | test_loss=1.0053 | test_acc=0.8477 | time=5.3s
  [Epoch 106/600] train_loss=0.0020 | test_loss=1.0140 | test_acc=0.8512 | time=5.3s
  [Epoch 107/600] train_loss=0.0039 | test_loss=1.0534 | test_acc=0.8435 | time=5.3s
  [Epoch 108/600] train_loss=0.0037 | test_loss=1.0762 | test_acc=0.8447 | time=5.3s
  [Epoch 109/600] train_loss=0.0040 | test_loss=1.0533 | test_acc=0.8404 | time=5.3s
  [Epoch 110/600] train_loss=0.0022 | test_loss=1.0536 | test_acc=0.8461 | time=5.3s
  [Epoch 111/600] train_loss=0.0040 | test_loss=1.0852 | test_acc=0.8378 | time=5.3s
  [Epoch 112/600] train_loss=0.0036 | test_loss=1.0814 | test_acc=0.8439 | time=5.3s
  [Epoch 113/600] train_loss=0.0031 | test_loss=1.0212 | test_acc=0.8436 | time=5.3s
  [Epoch 114/600] train_loss=0.0025 | test_loss=1.0606 | test_acc=0.8466 | time=5.3s
  [Epoch 115/600] train_loss=0.0028 | test_loss=1.1256 | test_acc=0.8383 | time=5.3s
  [Epoch 116/600] train_loss=0.0035 | test_loss=1.1273 | test_acc=0.8385 | time=5.3s
  [Epoch 117/600] train_loss=0.0028 | test_loss=1.0682 | test_acc=0.8418 | time=5.3s
  [Epoch 118/600] train_loss=0.0022 | test_loss=1.0520 | test_acc=0.8483 | time=5.3s
  [Epoch 119/600] train_loss=0.0028 | test_loss=1.0976 | test_acc=0.8430 | time=5.3s
  [Epoch 120/600] train_loss=0.0034 | test_loss=1.0832 | test_acc=0.8455 | time=5.3s
  [Epoch 121/600] train_loss=0.0029 | test_loss=1.0170 | test_acc=0.8483 | time=5.3s
  [Epoch 122/600] train_loss=0.0032 | test_loss=1.0426 | test_acc=0.8469 | time=5.3s
