
====================================================
 Centralized Training Start
====================================================
  [Epoch   1/600] train_loss=1.5626 | test_loss=1.2012 | test_acc=0.5738 | time=18.7s
  [Epoch   2/600] train_loss=1.0152 | test_loss=0.9169 | test_acc=0.6818 | time=15.6s
  [Epoch   3/600] train_loss=0.7706 | test_loss=0.7168 | test_acc=0.7604 | time=15.5s
  [Epoch   4/600] train_loss=0.6188 | test_loss=0.6555 | test_acc=0.7792 | time=15.7s
  [Epoch   5/600] train_loss=0.4980 | test_loss=0.5981 | test_acc=0.8050 | time=15.7s
  [Epoch   6/600] train_loss=0.4037 | test_loss=0.5432 | test_acc=0.8274 | time=15.6s
  [Epoch   7/600] train_loss=0.3320 | test_loss=0.6158 | test_acc=0.8067 | time=15.5s
  [Epoch   8/600] train_loss=0.2720 | test_loss=0.5582 | test_acc=0.8301 | time=15.5s
  [Epoch   9/600] train_loss=0.2193 | test_loss=0.5818 | test_acc=0.8354 | time=15.5s
  [Epoch  10/600] train_loss=0.1783 | test_loss=0.5796 | test_acc=0.8367 | time=15.7s
  [Epoch  11/600] train_loss=0.1458 | test_loss=0.6571 | test_acc=0.8326 | time=15.5s
  [Epoch  12/600] train_loss=0.1266 | test_loss=0.6565 | test_acc=0.8358 | time=15.6s
  [Epoch  13/600] train_loss=0.1021 | test_loss=0.7617 | test_acc=0.8197 | time=15.5s
  [Epoch  14/600] train_loss=0.0864 | test_loss=0.6831 | test_acc=0.8314 | time=15.5s
  [Epoch  15/600] train_loss=0.0703 | test_loss=0.7229 | test_acc=0.8417 | time=15.7s
  [Epoch  16/600] train_loss=0.0628 | test_loss=0.7222 | test_acc=0.8433 | time=15.6s
  [Epoch  17/600] train_loss=0.0573 | test_loss=0.7667 | test_acc=0.8430 | time=15.6s
  [Epoch  18/600] train_loss=0.0514 | test_loss=0.7087 | test_acc=0.8484 | time=15.6s
  [Epoch  19/600] train_loss=0.0454 | test_loss=0.7609 | test_acc=0.8465 | time=15.6s
  [Epoch  20/600] train_loss=0.0376 | test_loss=0.8057 | test_acc=0.8466 | time=15.6s
  [Epoch  21/600] train_loss=0.0339 | test_loss=0.7802 | test_acc=0.8528 | time=15.7s
  [Epoch  22/600] train_loss=0.0293 | test_loss=0.8118 | test_acc=0.8441 | time=15.7s
  [Epoch  23/600] train_loss=0.0298 | test_loss=0.8183 | test_acc=0.8483 | time=15.6s
  [Epoch  24/600] train_loss=0.0269 | test_loss=0.8021 | test_acc=0.8545 | time=15.5s
  [Epoch  25/600] train_loss=0.0228 | test_loss=0.8999 | test_acc=0.8466 | time=15.6s
  [Epoch  26/600] train_loss=0.0204 | test_loss=0.8407 | test_acc=0.8564 | time=15.6s
  [Epoch  27/600] train_loss=0.0255 | test_loss=0.8224 | test_acc=0.8500 | time=15.5s
  [Epoch  28/600] train_loss=0.0200 | test_loss=0.8636 | test_acc=0.8499 | time=15.6s
  [Epoch  29/600] train_loss=0.0171 | test_loss=0.8184 | test_acc=0.8557 | time=15.6s
  [Epoch  30/600] train_loss=0.0161 | test_loss=0.8339 | test_acc=0.8564 | time=15.5s
  [Epoch  31/600] train_loss=0.0151 | test_loss=0.8669 | test_acc=0.8542 | time=15.6s
  [Epoch  32/600] train_loss=0.0125 | test_loss=0.9001 | test_acc=0.8544 | time=15.6s
  [Epoch  33/600] train_loss=0.0116 | test_loss=0.8710 | test_acc=0.8548 | time=15.5s
  [Epoch  34/600] train_loss=0.0118 | test_loss=0.9111 | test_acc=0.8565 | time=15.6s
  [Epoch  35/600] train_loss=0.0083 | test_loss=0.9109 | test_acc=0.8522 | time=15.5s
  [Epoch  36/600] train_loss=0.0091 | test_loss=0.9160 | test_acc=0.8581 | time=15.6s
  [Epoch  37/600] train_loss=0.0097 | test_loss=0.9017 | test_acc=0.8582 | time=15.6s
  [Epoch  38/600] train_loss=0.0098 | test_loss=0.9471 | test_acc=0.8561 | time=15.6s
  [Epoch  39/600] train_loss=0.0073 | test_loss=0.9390 | test_acc=0.8560 | time=15.5s
  [Epoch  40/600] train_loss=0.0084 | test_loss=0.9547 | test_acc=0.8566 | time=15.6s
  [Epoch  41/600] train_loss=0.0088 | test_loss=0.9739 | test_acc=0.8533 | time=15.6s
  [Epoch  42/600] train_loss=0.0068 | test_loss=0.9083 | test_acc=0.8613 | time=15.5s
  [Epoch  43/600] train_loss=0.0067 | test_loss=0.9602 | test_acc=0.8578 | time=15.6s
  [Epoch  44/600] train_loss=0.0073 | test_loss=0.9551 | test_acc=0.8592 | time=15.7s
  [Epoch  45/600] train_loss=0.0077 | test_loss=0.9552 | test_acc=0.8581 | time=15.6s
  [Epoch  46/600] train_loss=0.0051 | test_loss=0.9223 | test_acc=0.8626 | time=15.5s
  [Epoch  47/600] train_loss=0.0058 | test_loss=0.9380 | test_acc=0.8605 | time=15.5s
  [Epoch  48/600] train_loss=0.0047 | test_loss=0.9806 | test_acc=0.8592 | time=15.7s
  [Epoch  49/600] train_loss=0.0035 | test_loss=0.9947 | test_acc=0.8576 | time=15.5s
  [Epoch  50/600] train_loss=0.0045 | test_loss=0.9737 | test_acc=0.8605 | time=15.6s
  [Epoch  51/600] train_loss=0.0036 | test_loss=0.9997 | test_acc=0.8588 | time=15.6s
  [Epoch  52/600] train_loss=0.0029 | test_loss=0.9902 | test_acc=0.8646 | time=15.6s
  [Epoch  53/600] train_loss=0.0040 | test_loss=1.0006 | test_acc=0.8627 | time=15.5s
  [Epoch  54/600] train_loss=0.0043 | test_loss=0.9888 | test_acc=0.8600 | time=15.6s
  [Epoch  55/600] train_loss=0.0055 | test_loss=1.0005 | test_acc=0.8591 | time=15.7s
  [Epoch  56/600] train_loss=0.0055 | test_loss=0.9412 | test_acc=0.8638 | time=15.6s
  [Epoch  57/600] train_loss=0.0024 | test_loss=0.9697 | test_acc=0.8620 | time=15.5s
  [Epoch  58/600] train_loss=0.0026 | test_loss=1.0302 | test_acc=0.8598 | time=15.6s
  [Epoch  59/600] train_loss=0.0019 | test_loss=1.0194 | test_acc=0.8631 | time=15.7s
  [Epoch  60/600] train_loss=0.0033 | test_loss=0.9809 | test_acc=0.8619 | time=15.5s
  [Epoch  61/600] train_loss=0.0026 | test_loss=0.9960 | test_acc=0.8622 | time=15.6s
  [Epoch  62/600] train_loss=0.0027 | test_loss=1.0201 | test_acc=0.8616 | time=15.7s
  [Epoch  63/600] train_loss=0.0021 | test_loss=1.0159 | test_acc=0.8622 | time=15.6s
  [Epoch  64/600] train_loss=0.0025 | test_loss=1.0151 | test_acc=0.8616 | time=15.6s
  [Epoch  65/600] train_loss=0.0027 | test_loss=0.9945 | test_acc=0.8658 | time=15.6s
  [Epoch  66/600] train_loss=0.0016 | test_loss=1.0086 | test_acc=0.8644 | time=15.5s
  [Epoch  67/600] train_loss=0.0021 | test_loss=0.9824 | test_acc=0.8642 | time=15.6s
  [Epoch  68/600] train_loss=0.0017 | test_loss=1.0122 | test_acc=0.8655 | time=15.7s
  [Epoch  69/600] train_loss=0.0016 | test_loss=1.0114 | test_acc=0.8647 | time=15.7s
  [Epoch  70/600] train_loss=0.0018 | test_loss=1.0321 | test_acc=0.8649 | time=15.6s
  [Epoch  71/600] train_loss=0.0021 | test_loss=1.1016 | test_acc=0.8605 | time=15.5s
  [Epoch  72/600] train_loss=0.0029 | test_loss=1.0442 | test_acc=0.8667 | time=15.5s
  [Epoch  73/600] train_loss=0.0018 | test_loss=1.0412 | test_acc=0.8664 | time=15.5s
  [Epoch  74/600] train_loss=0.0015 | test_loss=1.0455 | test_acc=0.8614 | time=15.4s
  [Epoch  75/600] train_loss=0.0021 | test_loss=1.0267 | test_acc=0.8654 | time=15.4s
  [Epoch  76/600] train_loss=0.0014 | test_loss=1.0709 | test_acc=0.8612 | time=15.3s
  [Epoch  77/600] train_loss=0.0018 | test_loss=1.0707 | test_acc=0.8609 | time=15.2s
