
====================================================
 Centralized Training Start
====================================================
  [Epoch   1/200] train_loss=1.4143 | test_loss=1.0798 | test_acc=0.6052 | time=10.8s
  [Epoch   2/200] train_loss=0.9621 | test_loss=0.9588 | test_acc=0.6578 | time=5.3s
  [Epoch   3/200] train_loss=0.7572 | test_loss=0.8674 | test_acc=0.7010 | time=5.3s
  [Epoch   4/200] train_loss=0.6340 | test_loss=0.9431 | test_acc=0.6832 | time=5.4s
  [Epoch   5/200] train_loss=0.5392 | test_loss=0.6862 | test_acc=0.7621 | time=5.4s
  [Epoch   6/200] train_loss=0.4620 | test_loss=0.7367 | test_acc=0.7560 | time=5.3s
  [Epoch   7/200] train_loss=0.3918 | test_loss=0.6650 | test_acc=0.7807 | time=5.3s
  [Epoch   8/200] train_loss=0.3424 | test_loss=0.6487 | test_acc=0.7926 | time=5.4s
  [Epoch   9/200] train_loss=0.2845 | test_loss=0.6927 | test_acc=0.7927 | time=5.4s
  [Epoch  10/200] train_loss=0.2412 | test_loss=0.6469 | test_acc=0.8008 | time=5.3s
  [Epoch  11/200] train_loss=0.2117 | test_loss=0.7390 | test_acc=0.7920 | time=5.4s
  [Epoch  12/200] train_loss=0.1607 | test_loss=0.6876 | test_acc=0.8090 | time=5.3s
  [Epoch  13/200] train_loss=0.1366 | test_loss=0.6590 | test_acc=0.8187 | time=5.4s
  [Epoch  14/200] train_loss=0.1147 | test_loss=0.7213 | test_acc=0.8160 | time=5.4s
  [Epoch  15/200] train_loss=0.0941 | test_loss=0.9333 | test_acc=0.7895 | time=5.4s
  [Epoch  16/200] train_loss=0.0897 | test_loss=0.8305 | test_acc=0.8050 | time=5.3s
  [Epoch  17/200] train_loss=0.0790 | test_loss=0.7590 | test_acc=0.8231 | time=5.4s
  [Epoch  18/200] train_loss=0.0659 | test_loss=0.7282 | test_acc=0.8210 | time=5.4s
  [Epoch  19/200] train_loss=0.0580 | test_loss=0.8178 | test_acc=0.8149 | time=5.3s
  [Epoch  20/200] train_loss=0.0527 | test_loss=0.8212 | test_acc=0.8197 | time=5.4s
  [Epoch  21/200] train_loss=0.0437 | test_loss=0.8320 | test_acc=0.8237 | time=5.4s
  [Epoch  22/200] train_loss=0.0398 | test_loss=0.8922 | test_acc=0.8125 | time=5.4s
  [Epoch  23/200] train_loss=0.0371 | test_loss=0.7977 | test_acc=0.8304 | time=5.4s
  [Epoch  24/200] train_loss=0.0358 | test_loss=0.9561 | test_acc=0.8106 | time=5.4s
  [Epoch  25/200] train_loss=0.0297 | test_loss=0.8344 | test_acc=0.8285 | time=5.4s
  [Epoch  26/200] train_loss=0.0252 | test_loss=0.8009 | test_acc=0.8405 | time=5.4s
  [Epoch  27/200] train_loss=0.0219 | test_loss=0.9237 | test_acc=0.8237 | time=5.4s
  [Epoch  28/200] train_loss=0.0251 | test_loss=0.8399 | test_acc=0.8382 | time=5.4s
  [Epoch  29/200] train_loss=0.0200 | test_loss=0.8307 | test_acc=0.8364 | time=5.4s
  [Epoch  30/200] train_loss=0.0188 | test_loss=0.8529 | test_acc=0.8348 | time=5.4s
  [Epoch  31/200] train_loss=0.0154 | test_loss=0.8923 | test_acc=0.8372 | time=5.4s
  [Epoch  32/200] train_loss=0.0151 | test_loss=0.8956 | test_acc=0.8384 | time=5.4s
  [Epoch  33/200] train_loss=0.0171 | test_loss=0.9067 | test_acc=0.8343 | time=5.4s
  [Epoch  34/200] train_loss=0.0156 | test_loss=0.8764 | test_acc=0.8368 | time=5.4s
  [Epoch  35/200] train_loss=0.0217 | test_loss=0.8439 | test_acc=0.8396 | time=5.4s
  [Epoch  36/200] train_loss=0.0156 | test_loss=0.8717 | test_acc=0.8404 | time=5.4s
  [Epoch  37/200] train_loss=0.0120 | test_loss=0.8919 | test_acc=0.8403 | time=5.3s
  [Epoch  38/200] train_loss=0.0108 | test_loss=0.9112 | test_acc=0.8396 | time=5.4s
  [Epoch  39/200] train_loss=0.0120 | test_loss=0.8924 | test_acc=0.8397 | time=5.4s
  [Epoch  40/200] train_loss=0.0113 | test_loss=0.8989 | test_acc=0.8375 | time=5.4s
  [Epoch  41/200] train_loss=0.0097 | test_loss=0.9020 | test_acc=0.8399 | time=5.4s
  [Epoch  42/200] train_loss=0.0071 | test_loss=0.9367 | test_acc=0.8410 | time=5.4s
  [Epoch  43/200] train_loss=0.0074 | test_loss=0.9393 | test_acc=0.8405 | time=5.4s
  [Epoch  44/200] train_loss=0.0053 | test_loss=0.9429 | test_acc=0.8383 | time=5.4s
  [Epoch  45/200] train_loss=0.0083 | test_loss=0.9446 | test_acc=0.8412 | time=5.4s
  [Epoch  46/200] train_loss=0.0064 | test_loss=0.9019 | test_acc=0.8451 | time=5.4s
  [Epoch  47/200] train_loss=0.0043 | test_loss=0.9543 | test_acc=0.8440 | time=5.4s
  [Epoch  48/200] train_loss=0.0052 | test_loss=0.9873 | test_acc=0.8385 | time=5.4s
  [Epoch  49/200] train_loss=0.0038 | test_loss=0.9760 | test_acc=0.8428 | time=5.4s
  [Epoch  50/200] train_loss=0.0040 | test_loss=0.9946 | test_acc=0.8426 | time=5.4s
  [Epoch  51/200] train_loss=0.0033 | test_loss=0.9850 | test_acc=0.8456 | time=5.4s
  [Epoch  52/200] train_loss=0.0045 | test_loss=0.9893 | test_acc=0.8428 | time=5.4s
  [Epoch  53/200] train_loss=0.0040 | test_loss=0.9715 | test_acc=0.8457 | time=5.4s
  [Epoch  54/200] train_loss=0.0038 | test_loss=0.9840 | test_acc=0.8407 | time=5.4s
  [Epoch  55/200] train_loss=0.0045 | test_loss=0.9755 | test_acc=0.8431 | time=5.4s
  [Epoch  56/200] train_loss=0.0039 | test_loss=0.9709 | test_acc=0.8431 | time=5.4s
  [Epoch  57/200] train_loss=0.0048 | test_loss=0.9368 | test_acc=0.8469 | time=5.4s
  [Epoch  58/200] train_loss=0.0047 | test_loss=1.0099 | test_acc=0.8444 | time=5.4s
  [Epoch  59/200] train_loss=0.0033 | test_loss=1.0246 | test_acc=0.8417 | time=5.4s
  [Epoch  60/200] train_loss=0.0032 | test_loss=0.9632 | test_acc=0.8445 | time=5.4s
  [Epoch  61/200] train_loss=0.0029 | test_loss=0.9770 | test_acc=0.8467 | time=5.4s
  [Epoch  62/200] train_loss=0.0024 | test_loss=0.9758 | test_acc=0.8453 | time=5.4s
  [Epoch  63/200] train_loss=0.0027 | test_loss=0.9930 | test_acc=0.8453 | time=5.4s
  [Epoch  64/200] train_loss=0.0019 | test_loss=0.9782 | test_acc=0.8492 | time=5.4s
  [Epoch  65/200] train_loss=0.0025 | test_loss=0.9884 | test_acc=0.8461 | time=5.4s
  [Epoch  66/200] train_loss=0.0017 | test_loss=0.9964 | test_acc=0.8478 | time=5.4s
  [Epoch  67/200] train_loss=0.0021 | test_loss=1.0113 | test_acc=0.8412 | time=5.4s
  [Epoch  68/200] train_loss=0.0035 | test_loss=0.9961 | test_acc=0.8467 | time=5.4s
  [Epoch  69/200] train_loss=0.0022 | test_loss=0.9919 | test_acc=0.8478 | time=5.4s
