
====================================================
 Centralized Training Start
====================================================
  [Epoch   1/200] train_loss=2.0368 | test_loss=1.7282 | test_acc=0.3537 | time=55.6s
  [Epoch   2/200] train_loss=1.6574 | test_loss=1.5364 | test_acc=0.4346 | time=36.4s
  [Epoch   3/200] train_loss=1.4797 | test_loss=1.4261 | test_acc=0.4768 | time=36.5s
  [Epoch   4/200] train_loss=1.3525 | test_loss=1.2721 | test_acc=0.5385 | time=36.5s
  [Epoch   5/200] train_loss=1.2448 | test_loss=1.2497 | test_acc=0.5387 | time=36.5s
  [Epoch   6/200] train_loss=1.1511 | test_loss=1.0868 | test_acc=0.6053 | time=36.5s
  [Epoch   7/200] train_loss=1.0656 | test_loss=1.0400 | test_acc=0.6208 | time=36.4s
  [Epoch   8/200] train_loss=0.9891 | test_loss=0.9682 | test_acc=0.6533 | time=36.4s
  [Epoch   9/200] train_loss=0.9182 | test_loss=0.9512 | test_acc=0.6557 | time=36.3s
  [Epoch  10/200] train_loss=0.8896 | test_loss=1.0330 | test_acc=0.6376 | time=36.4s
  [Epoch  11/200] train_loss=0.8395 | test_loss=0.9842 | test_acc=0.6474 | time=36.4s
  [Epoch  12/200] train_loss=0.8092 | test_loss=0.8057 | test_acc=0.7113 | time=36.4s
  [Epoch  13/200] train_loss=0.7585 | test_loss=0.7644 | test_acc=0.7285 | time=36.4s
  [Epoch  14/200] train_loss=0.7327 | test_loss=0.8301 | test_acc=0.7095 | time=36.3s
  [Epoch  15/200] train_loss=0.7081 | test_loss=0.7531 | test_acc=0.7364 | time=36.3s
  [Epoch  16/200] train_loss=0.6835 | test_loss=0.7592 | test_acc=0.7376 | time=36.3s
  [Epoch  17/200] train_loss=0.6522 | test_loss=0.6690 | test_acc=0.7657 | time=36.2s
  [Epoch  18/200] train_loss=0.6344 | test_loss=0.7143 | test_acc=0.7537 | time=36.3s
  [Epoch  19/200] train_loss=0.6049 | test_loss=0.7580 | test_acc=0.7345 | time=36.3s
  [Epoch  20/200] train_loss=0.5742 | test_loss=0.6252 | test_acc=0.7812 | time=36.2s
  [Epoch  21/200] train_loss=0.5544 | test_loss=0.6659 | test_acc=0.7658 | time=36.2s
  [Epoch  22/200] train_loss=0.5280 | test_loss=0.6038 | test_acc=0.7930 | time=36.5s
  [Epoch  23/200] train_loss=0.5106 | test_loss=0.6161 | test_acc=0.7888 | time=36.3s
  [Epoch  24/200] train_loss=0.4922 | test_loss=0.6445 | test_acc=0.7748 | time=36.3s
  [Epoch  25/200] train_loss=0.4716 | test_loss=0.6963 | test_acc=0.7655 | time=36.3s
  [Epoch  26/200] train_loss=0.4665 | test_loss=0.5750 | test_acc=0.8044 | time=36.3s
  [Epoch  27/200] train_loss=0.4399 | test_loss=0.5380 | test_acc=0.8187 | time=36.4s
  [Epoch  28/200] train_loss=0.4137 | test_loss=0.6456 | test_acc=0.7913 | time=36.3s
  [Epoch  29/200] train_loss=0.4011 | test_loss=0.5520 | test_acc=0.8149 | time=36.4s
  [Epoch  30/200] train_loss=0.4086 | test_loss=0.5251 | test_acc=0.8217 | time=36.4s
  [Epoch  31/200] train_loss=0.3787 | test_loss=0.5957 | test_acc=0.8090 | time=36.4s
  [Epoch  32/200] train_loss=0.3596 | test_loss=0.5636 | test_acc=0.8135 | time=36.4s
  [Epoch  33/200] train_loss=0.3453 | test_loss=0.5756 | test_acc=0.8141 | time=36.3s
  [Epoch  34/200] train_loss=0.3489 | test_loss=0.4767 | test_acc=0.8440 | time=36.4s
  [Epoch  35/200] train_loss=0.3288 | test_loss=0.4921 | test_acc=0.8415 | time=36.4s
  [Epoch  36/200] train_loss=0.3157 | test_loss=0.5446 | test_acc=0.8241 | time=36.4s
  [Epoch  37/200] train_loss=0.3145 | test_loss=0.5817 | test_acc=0.8163 | time=36.5s
  [Epoch  38/200] train_loss=0.3014 | test_loss=0.4682 | test_acc=0.8448 | time=36.5s
  [Epoch  39/200] train_loss=0.2786 | test_loss=0.5922 | test_acc=0.8114 | time=36.4s
  [Epoch  40/200] train_loss=0.2786 | test_loss=0.5792 | test_acc=0.8262 | time=36.4s
  [Epoch  41/200] train_loss=0.2640 | test_loss=0.4894 | test_acc=0.8455 | time=36.4s
  [Epoch  42/200] train_loss=0.2610 | test_loss=0.4963 | test_acc=0.8467 | time=36.4s
  [Epoch  43/200] train_loss=0.2409 | test_loss=0.5724 | test_acc=0.8246 | time=36.4s
  [Epoch  44/200] train_loss=0.2429 | test_loss=0.5134 | test_acc=0.8386 | time=36.4s
  [Epoch  45/200] train_loss=0.2295 | test_loss=0.5926 | test_acc=0.8247 | time=36.4s
  [Epoch  46/200] train_loss=0.2146 | test_loss=0.5074 | test_acc=0.8478 | time=36.4s
  [Epoch  47/200] train_loss=0.1979 | test_loss=0.4963 | test_acc=0.8514 | time=36.5s
  [Epoch  48/200] train_loss=0.1990 | test_loss=0.4881 | test_acc=0.8555 | time=36.4s
  [Epoch  49/200] train_loss=0.1821 | test_loss=0.5023 | test_acc=0.8495 | time=36.4s
  [Epoch  50/200] train_loss=0.1777 | test_loss=0.5458 | test_acc=0.8407 | time=36.4s
  [Epoch  51/200] train_loss=0.1778 | test_loss=0.5506 | test_acc=0.8450 | time=36.4s
  [Epoch  52/200] train_loss=0.1657 | test_loss=0.5104 | test_acc=0.8515 | time=36.4s
  [Epoch  53/200] train_loss=0.1554 | test_loss=0.5211 | test_acc=0.8510 | time=36.4s
