
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.5647 | time=33.1s
  [Client  1] Round 1 | loss=1.2796 | time=35.6s
  [Client  2] Round 1 | loss=1.3824 | time=26.0s
  [Client  3] Round 1 | loss=1.4049 | time=25.4s
  [Client  4] Round 1 | loss=1.3356 | time=39.6s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.3745
  [Client  0] Round 1 | loss=1.4584 | time=12.3s
  [Client  1] Round 1 | loss=1.2859 | time=19.4s
  [Client  2] Round 1 | loss=1.2477 | time=9.8s
  [Client  3] Round 1 | loss=1.2093 | time=9.7s
  [Client  4] Round 1 | loss=1.1417 | time=22.1s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.2559
  [Client  0] Round 1 | loss=1.4116 | time=12.3s
  [Client  1] Round 1 | loss=1.1331 | time=19.4s
  [Client  2] Round 1 | loss=1.0495 | time=9.8s
  [Client  3] Round 1 | loss=1.1362 | time=9.7s
  [Client  4] Round 1 | loss=1.1091 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1616
  [Client  0] Round 1 | loss=1.2227 | time=12.3s
  [Client  1] Round 1 | loss=1.0883 | time=19.4s
  [Client  2] Round 1 | loss=1.0126 | time=9.8s
  [Client  3] Round 1 | loss=1.0259 | time=9.8s
  [Client  4] Round 1 | loss=1.0051 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.0672
  [Client  0] Round 1 | loss=1.2009 | time=12.3s
  [Client  1] Round 1 | loss=0.9993 | time=19.4s
  [Client  2] Round 1 | loss=0.9195 | time=9.8s
  [Client  3] Round 1 | loss=0.9625 | time=9.8s
  [Client  4] Round 1 | loss=0.9452 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.0011
  [Client  0] Round 1 | loss=1.1268 | time=12.3s
  [Client  1] Round 1 | loss=0.9475 | time=19.4s
  [Client  2] Round 1 | loss=0.8710 | time=9.8s
  [Client  3] Round 1 | loss=0.8906 | time=9.8s
  [Client  4] Round 1 | loss=0.8970 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.9444
  [Client  0] Round 1 | loss=1.1093 | time=12.3s
  [Client  1] Round 1 | loss=0.9159 | time=19.4s
  [Client  2] Round 1 | loss=0.8279 | time=9.8s
  [Client  3] Round 1 | loss=0.8957 | time=9.8s
  [Client  4] Round 1 | loss=0.8681 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.9193
  [Client  0] Round 1 | loss=1.0439 | time=12.3s
  [Client  1] Round 1 | loss=0.8683 | time=19.5s
  [Client  2] Round 1 | loss=0.7685 | time=9.8s
  [Client  3] Round 1 | loss=0.8299 | time=9.8s
  [Client  4] Round 1 | loss=0.8213 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.8650
  [Client  0] Round 1 | loss=1.0409 | time=12.3s
  [Client  1] Round 1 | loss=0.8095 | time=19.4s
  [Client  2] Round 1 | loss=0.7270 | time=9.8s
  [Client  3] Round 1 | loss=0.7692 | time=9.8s
  [Client  4] Round 1 | loss=0.7532 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.8148
  [Client  0] Round 1 | loss=0.9992 | time=12.3s
  [Client  1] Round 1 | loss=0.7607 | time=19.4s
  [Client  2] Round 1 | loss=0.7116 | time=9.8s
  [Client  3] Round 1 | loss=0.7594 | time=9.8s
  [Client  4] Round 1 | loss=0.7153 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 10 | loss=0.7801
  [Client  5] Round 1 | loss=1.2853 | time=33.1s
  [Client  6] Round 1 | loss=1.3605 | time=37.9s
  [Client  7] Round 1 | loss=1.4158 | time=32.1s
  [Client  8] Round 1 | loss=1.7004 | time=29.2s
  [Client  9] Round 1 | loss=1.4541 | time=44.5s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.4301
  [Client  5] Round 1 | loss=1.0744 | time=13.9s
  [Client  6] Round 1 | loss=1.1387 | time=26.9s
  [Client  7] Round 1 | loss=1.1648 | time=13.8s
  [Client  8] Round 1 | loss=1.5827 | time=12.5s
  [Client  9] Round 1 | loss=1.2325 | time=29.8s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.2192
  [Client  5] Round 1 | loss=0.9757 | time=14.0s
  [Client  6] Round 1 | loss=1.0061 | time=27.1s
  [Client  7] Round 1 | loss=0.9759 | time=13.9s
  [Client  8] Round 1 | loss=1.3407 | time=12.6s
  [Client  9] Round 1 | loss=1.1185 | time=29.9s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.0750
  [Client  5] Round 1 | loss=0.8597 | time=14.0s
  [Client  6] Round 1 | loss=0.9099 | time=27.2s
