
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.5925 | time=32.9s
  [Client  1] Round 1 | loss=1.3367 | time=35.9s
  [Client  2] Round 1 | loss=1.4311 | time=26.4s
  [Client  3] Round 1 | loss=1.3963 | time=25.5s
  [Client  4] Round 1 | loss=1.2687 | time=39.8s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.3794
  [Client  0] Round 1 | loss=1.4941 | time=12.3s
  [Client  1] Round 1 | loss=1.1970 | time=19.4s
  [Client  2] Round 1 | loss=1.1384 | time=9.9s
  [Client  3] Round 1 | loss=1.2557 | time=9.8s
  [Client  4] Round 1 | loss=1.1879 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.2438
  [Client  0] Round 1 | loss=1.3776 | time=12.4s
  [Client  1] Round 1 | loss=1.1823 | time=19.5s
  [Client  2] Round 1 | loss=1.1270 | time=9.9s
  [Client  3] Round 1 | loss=1.1275 | time=9.8s
  [Client  4] Round 1 | loss=1.0986 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1749
  [Client  0] Round 1 | loss=1.3158 | time=12.4s
  [Client  1] Round 1 | loss=1.1010 | time=19.5s
  [Client  2] Round 1 | loss=0.9886 | time=9.9s
  [Client  3] Round 1 | loss=1.0571 | time=9.9s
  [Client  4] Round 1 | loss=1.0598 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.1035
  [Client  0] Round 1 | loss=1.2092 | time=12.4s
  [Client  1] Round 1 | loss=1.0650 | time=19.5s
  [Client  2] Round 1 | loss=1.0099 | time=9.9s
  [Client  3] Round 1 | loss=1.0111 | time=9.9s
  [Client  4] Round 1 | loss=0.9976 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.0542
  [Client  0] Round 1 | loss=1.2125 | time=12.4s
  [Client  1] Round 1 | loss=1.0252 | time=19.5s
  [Client  2] Round 1 | loss=0.9284 | time=9.9s
  [Client  3] Round 1 | loss=0.9840 | time=9.9s
  [Client  4] Round 1 | loss=0.9727 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 6 | loss=1.0222
  [Client  0] Round 1 | loss=1.1580 | time=12.4s
  [Client  1] Round 1 | loss=0.9959 | time=19.5s
  [Client  2] Round 1 | loss=0.8992 | time=9.9s
  [Client  3] Round 1 | loss=0.9316 | time=9.9s
  [Client  4] Round 1 | loss=0.9482 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.9871
  [Client  0] Round 1 | loss=1.1227 | time=12.4s
  [Client  1] Round 1 | loss=0.9363 | time=19.5s
  [Client  2] Round 1 | loss=0.8597 | time=9.9s
  [Client  3] Round 1 | loss=0.9014 | time=9.9s
  [Client  4] Round 1 | loss=0.9091 | time=22.3s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.9443
  [Client  0] Round 1 | loss=1.1078 | time=12.4s
  [Client  1] Round 1 | loss=0.8970 | time=19.5s
  [Client  2] Round 1 | loss=0.8153 | time=9.9s
  [Client  3] Round 1 | loss=0.8452 | time=9.9s
  [Client  4] Round 1 | loss=0.8654 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.9049
  [Client  0] Round 1 | loss=1.0886 | time=12.4s
  [Client  1] Round 1 | loss=0.8332 | time=19.5s
  [Client  2] Round 1 | loss=0.7578 | time=9.9s
  [Client  3] Round 1 | loss=0.8300 | time=9.9s
  [Client  4] Round 1 | loss=0.8301 | time=22.2s
  [Edge 0] G-Round 1 | E-Round 10 | loss=0.8644
  [Client  5] Round 1 | loss=1.2686 | time=34.7s
  [Client  6] Round 1 | loss=1.4229 | time=37.8s
  [Client  7] Round 1 | loss=1.3883 | time=32.8s
  [Client  8] Round 1 | loss=1.7990 | time=29.9s
  [Client  9] Round 1 | loss=1.4055 | time=44.9s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.4390
  [Client  5] Round 1 | loss=1.1085 | time=13.9s
  [Client  6] Round 1 | loss=1.1424 | time=27.0s
  [Client  7] Round 1 | loss=1.2420 | time=13.8s
  [Client  8] Round 1 | loss=1.5564 | time=12.6s
  [Client  9] Round 1 | loss=1.3418 | time=29.7s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.2662
  [Client  5] Round 1 | loss=1.0210 | time=14.0s
  [Client  6] Round 1 | loss=1.0510 | time=27.0s
  [Client  7] Round 1 | loss=1.0554 | time=13.9s
  [Client  8] Round 1 | loss=1.3821 | time=12.6s
  [Client  9] Round 1 | loss=1.1754 | time=29.7s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.1282
  [Client  5] Round 1 | loss=0.9163 | time=14.0s
  [Client  6] Round 1 | loss=0.9571 | time=27.1s
  [Client  7] Round 1 | loss=0.9006 | time=13.9s
  [Client  8] Round 1 | loss=1.2831 | time=12.6s
  [Client  9] Round 1 | loss=1.1350 | time=29.7s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.0398
  [Client  5] Round 1 | loss=0.8738 | time=14.0s
  [Client  6] Round 1 | loss=0.8797 | time=27.0s
  [Client  7] Round 1 | loss=0.8237 | time=13.9s
  [Client  8] Round 1 | loss=1.2000 | time=12.6s
  [Client  9] Round 1 | loss=1.0324 | time=29.7s
  [Edge 1] G-Round 1 | E-Round 5 | loss=0.9590
  [Client  5] Round 1 | loss=0.8373 | time=14.0s
  [Client  6] Round 1 | loss=0.8160 | time=27.1s
  [Client  7] Round 1 | loss=0.7620 | time=13.9s
  [Client  8] Round 1 | loss=1.1463 | time=12.6s
  [Client  9] Round 1 | loss=0.9778 | time=29.8s
  [Edge 1] G-Round 1 | E-Round 6 | loss=0.9036
