
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.6139 | time=20.1s
  [Client  1] Round 1 | loss=1.3017 | time=19.3s
  [Client  2] Round 1 | loss=1.3035 | time=13.9s
  [Client  3] Round 1 | loss=1.3692 | time=13.8s
  [Client  4] Round 1 | loss=1.3215 | time=21.0s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.3690
  [Client  0] Round 1 | loss=1.4226 | time=6.4s
  [Client  1] Round 1 | loss=1.2243 | time=10.1s
  [Client  2] Round 1 | loss=1.1825 | time=5.2s
  [Client  3] Round 1 | loss=1.2429 | time=5.1s
  [Client  4] Round 1 | loss=1.1753 | time=11.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.2395
  [Client  0] Round 1 | loss=1.3941 | time=6.4s
  [Client  1] Round 1 | loss=1.1750 | time=10.1s
  [Client  2] Round 1 | loss=1.0510 | time=5.2s
  [Client  3] Round 1 | loss=1.1255 | time=5.1s
  [Client  4] Round 1 | loss=1.1165 | time=11.5s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1708
  [Client  0] Round 1 | loss=1.2902 | time=6.9s
  [Client  1] Round 1 | loss=1.0991 | time=10.1s
  [Client  2] Round 1 | loss=1.0099 | time=5.6s
  [Client  3] Round 1 | loss=1.0832 | time=5.2s
  [Client  4] Round 1 | loss=1.0507 | time=11.5s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.1023
  [Client  0] Round 1 | loss=1.1970 | time=6.5s
  [Client  1] Round 1 | loss=1.0522 | time=10.1s
  [Client  2] Round 1 | loss=0.9495 | time=5.2s
  [Client  3] Round 1 | loss=0.9876 | time=5.1s
  [Client  4] Round 1 | loss=0.9966 | time=11.5s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.0373
  [Client  0] Round 1 | loss=1.1776 | time=6.5s
  [Client  1] Round 1 | loss=0.9996 | time=10.1s
  [Client  2] Round 1 | loss=0.9034 | time=5.2s
  [Client  3] Round 1 | loss=0.9417 | time=5.2s
  [Client  4] Round 1 | loss=0.9524 | time=11.6s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.9945
  [Client  0] Round 1 | loss=1.1728 | time=6.5s
  [Client  1] Round 1 | loss=0.9534 | time=10.2s
  [Client  2] Round 1 | loss=0.8492 | time=5.2s
  [Client  3] Round 1 | loss=0.9102 | time=5.2s
  [Client  4] Round 1 | loss=0.9307 | time=11.6s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.9635
  [Client  0] Round 1 | loss=1.0939 | time=6.5s
  [Client  1] Round 1 | loss=0.9162 | time=10.1s
  [Client  2] Round 1 | loss=0.8492 | time=5.2s
  [Client  3] Round 1 | loss=0.8923 | time=5.2s
  [Client  4] Round 1 | loss=0.8712 | time=11.5s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.9201
  [Client  0] Round 1 | loss=1.1019 | time=6.5s
  [Client  1] Round 1 | loss=0.8636 | time=10.1s
  [Client  2] Round 1 | loss=0.7659 | time=5.2s
  [Client  3] Round 1 | loss=0.8203 | time=5.2s
  [Client  4] Round 1 | loss=0.8412 | time=11.6s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.8778
  [Client  0] Round 1 | loss=1.0281 | time=6.5s
  [Client  1] Round 1 | loss=0.8114 | time=10.1s
  [Client  2] Round 1 | loss=0.7312 | time=5.2s
  [Client  3] Round 1 | loss=0.8224 | time=5.2s
  [Client  4] Round 1 | loss=0.8084 | time=11.5s
  [Edge 0] G-Round 1 | E-Round 10 | loss=0.8374
  [Client  5] Round 1 | loss=1.2051 | time=18.9s
