
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.5503 | time=19.9s
  [Client  1] Round 1 | loss=1.2997 | time=19.2s
  [Client  2] Round 1 | loss=1.2917 | time=13.9s
  [Client  3] Round 1 | loss=1.3285 | time=13.8s
  [Client  4] Round 1 | loss=1.2740 | time=21.1s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.3365
  [Client  0] Round 1 | loss=1.3972 | time=6.3s
  [Client  1] Round 1 | loss=1.1752 | time=10.0s
  [Client  2] Round 1 | loss=1.1477 | time=5.1s
  [Client  3] Round 1 | loss=1.1725 | time=5.0s
  [Client  4] Round 1 | loss=1.1629 | time=11.4s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.2045
  [Client  0] Round 1 | loss=1.3100 | time=6.4s
  [Client  1] Round 1 | loss=1.1199 | time=10.0s
  [Client  2] Round 1 | loss=1.2564 | time=5.1s
  [Client  3] Round 1 | loss=1.0549 | time=5.0s
  [Client  4] Round 1 | loss=1.0602 | time=11.4s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1432
  [Client  0] Round 1 | loss=1.2817 | time=6.4s
  [Client  1] Round 1 | loss=1.0270 | time=10.0s
  [Client  2] Round 1 | loss=0.9523 | time=5.1s
  [Client  3] Round 1 | loss=0.9944 | time=5.0s
  [Client  4] Round 1 | loss=1.0007 | time=11.5s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.0473
  [Client  0] Round 1 | loss=1.1619 | time=6.4s
  [Client  1] Round 1 | loss=0.9836 | time=10.1s
  [Client  2] Round 1 | loss=0.9295 | time=5.1s
  [Client  3] Round 1 | loss=0.9363 | time=5.1s
  [Client  4] Round 1 | loss=0.9278 | time=11.5s
  [Edge 0] G-Round 1 | E-Round 5 | loss=0.9830
  [Client  0] Round 1 | loss=1.1225 | time=6.4s
  [Client  1] Round 1 | loss=0.9297 | time=10.1s
  [Client  2] Round 1 | loss=0.8224 | time=5.1s
