
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.8836 | time=15.3s
  [Client  1] Round 1 | loss=1.9153 | time=9.6s
  [Client  2] Round 1 | loss=1.6470 | time=12.7s
  [Client  3] Round 1 | loss=1.6500 | time=13.0s
  [Client  4] Round 1 | loss=1.7241 | time=11.6s
  [Client  5] Round 1 | loss=1.8462 | time=12.5s
  [Client  6] Round 1 | loss=1.7968 | time=8.2s
  [Client  7] Round 1 | loss=1.6827 | time=12.0s
  [Client  8] Round 1 | loss=1.5526 | time=10.5s
  [Client  9] Round 1 | loss=1.8182 | time=10.3s
  [Client 10] Round 1 | loss=1.5027 | time=11.8s
  [Client 11] Round 1 | loss=1.8493 | time=11.9s
  [Client 12] Round 1 | loss=1.5881 | time=9.8s
  [Client 13] Round 1 | loss=1.9815 | time=10.3s
  [Client 14] Round 1 | loss=1.9459 | time=14.3s
  [Client 15] Round 1 | loss=1.8813 | time=9.7s
  [Client 16] Round 1 | loss=1.8477 | time=11.4s
  [Client 17] Round 1 | loss=1.8394 | time=12.3s
  [Client 18] Round 1 | loss=1.8917 | time=12.3s
  [Client 19] Round 1 | loss=1.2953 | time=10.7s
  [Client 20] Round 1 | loss=1.9405 | time=12.4s
  [Client 21] Round 1 | loss=1.8857 | time=12.7s
  [Client 22] Round 1 | loss=1.9080 | time=12.8s
  [Client 23] Round 1 | loss=1.5114 | time=13.2s
  [Client 24] Round 1 | loss=1.5230 | time=11.1s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.7423
  [Client  0] Round 1 | loss=1.8445 | time=1.5s
  [Client  1] Round 1 | loss=1.7156 | time=0.6s
  [Client  2] Round 1 | loss=1.5719 | time=2.1s
  [Client  3] Round 1 | loss=1.5257 | time=2.6s
  [Client  4] Round 1 | loss=1.6626 | time=1.6s
  [Client  5] Round 1 | loss=1.7834 | time=1.3s
  [Client  6] Round 1 | loss=1.6578 | time=2.7s
  [Client  7] Round 1 | loss=1.6745 | time=3.4s
  [Client  8] Round 1 | loss=1.3695 | time=1.7s
  [Client  9] Round 1 | loss=1.6196 | time=1.1s
  [Client 10] Round 1 | loss=1.4618 | time=1.7s
  [Client 11] Round 1 | loss=1.7245 | time=2.1s
  [Client 12] Round 1 | loss=1.4331 | time=1.4s
  [Client 13] Round 1 | loss=1.8367 | time=1.4s
  [Client 14] Round 1 | loss=1.7829 | time=3.1s
  [Client 15] Round 1 | loss=1.7489 | time=1.0s
  [Client 16] Round 1 | loss=1.7175 | time=2.0s
  [Client 17] Round 1 | loss=1.7052 | time=1.7s
  [Client 18] Round 1 | loss=1.7221 | time=2.0s
  [Client 19] Round 1 | loss=1.2995 | time=2.3s
  [Client 20] Round 1 | loss=1.7176 | time=1.3s
  [Client 21] Round 1 | loss=1.6780 | time=2.1s
  [Client 22] Round 1 | loss=1.7503 | time=1.8s
  [Client 23] Round 1 | loss=1.3404 | time=2.6s
  [Client 24] Round 1 | loss=1.3754 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.6211
  [Client  0] Round 1 | loss=1.7762 | time=1.5s
  [Client  1] Round 1 | loss=1.7920 | time=0.6s
  [Client  2] Round 1 | loss=1.5371 | time=2.1s
  [Client  3] Round 1 | loss=1.4098 | time=2.6s
  [Client  4] Round 1 | loss=1.5060 | time=1.6s
  [Client  5] Round 1 | loss=1.6556 | time=1.3s
  [Client  6] Round 1 | loss=1.5729 | time=2.7s
  [Client  7] Round 1 | loss=1.6143 | time=3.4s
  [Client  8] Round 1 | loss=1.3651 | time=1.7s
  [Client  9] Round 1 | loss=1.5251 | time=1.1s
  [Client 10] Round 1 | loss=1.3246 | time=1.7s
  [Client 11] Round 1 | loss=1.6193 | time=2.1s
  [Client 12] Round 1 | loss=1.3265 | time=1.4s
  [Client 13] Round 1 | loss=1.7396 | time=1.4s
  [Client 14] Round 1 | loss=1.7502 | time=3.1s
  [Client 15] Round 1 | loss=1.6157 | time=1.0s
  [Client 16] Round 1 | loss=1.6075 | time=2.0s
  [Client 17] Round 1 | loss=1.6734 | time=1.7s
  [Client 18] Round 1 | loss=1.6176 | time=2.0s
  [Client 19] Round 1 | loss=1.1446 | time=2.3s
  [Client 20] Round 1 | loss=1.7617 | time=1.3s
  [Client 21] Round 1 | loss=1.6419 | time=2.2s
  [Client 22] Round 1 | loss=1.7262 | time=1.8s
  [Client 23] Round 1 | loss=1.2903 | time=2.6s
  [Client 24] Round 1 | loss=1.3759 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.5480
  [Client  0] Round 1 | loss=1.6508 | time=1.5s
  [Client  1] Round 1 | loss=1.6125 | time=0.6s
  [Client  2] Round 1 | loss=1.4642 | time=2.1s
  [Client  3] Round 1 | loss=1.3949 | time=2.6s
  [Client  4] Round 1 | loss=1.5017 | time=1.7s
  [Client  5] Round 1 | loss=1.6071 | time=1.3s
  [Client  6] Round 1 | loss=1.5085 | time=2.7s
  [Client  7] Round 1 | loss=1.5226 | time=3.4s
  [Client  8] Round 1 | loss=1.2529 | time=1.7s
  [Client  9] Round 1 | loss=1.4722 | time=1.1s
  [Client 10] Round 1 | loss=1.3191 | time=1.7s
