
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.9422 | time=15.4s
  [Client  1] Round 1 | loss=1.8768 | time=9.6s
  [Client  2] Round 1 | loss=1.6614 | time=12.6s
  [Client  3] Round 1 | loss=1.6424 | time=12.9s
  [Client  4] Round 1 | loss=1.7499 | time=11.6s
  [Client  5] Round 1 | loss=1.9221 | time=12.6s
  [Client  6] Round 1 | loss=1.8618 | time=8.2s
  [Client  7] Round 1 | loss=1.7274 | time=11.5s
  [Client  8] Round 1 | loss=1.5217 | time=10.5s
  [Client  9] Round 1 | loss=1.9098 | time=10.3s
  [Client 10] Round 1 | loss=1.6152 | time=11.7s
  [Client 11] Round 1 | loss=1.8782 | time=11.9s
  [Client 12] Round 1 | loss=1.5785 | time=9.9s
  [Client 13] Round 1 | loss=1.9816 | time=10.3s
  [Client 14] Round 1 | loss=1.9227 | time=14.3s
  [Client 15] Round 1 | loss=1.8972 | time=9.6s
  [Client 16] Round 1 | loss=1.8406 | time=11.4s
  [Client 17] Round 1 | loss=1.8544 | time=12.3s
  [Client 18] Round 1 | loss=1.8673 | time=12.2s
  [Client 19] Round 1 | loss=1.3500 | time=10.7s
  [Client 20] Round 1 | loss=1.8659 | time=12.3s
  [Client 21] Round 1 | loss=1.9251 | time=12.7s
  [Client 22] Round 1 | loss=1.8971 | time=12.8s
  [Client 23] Round 1 | loss=1.4762 | time=13.1s
  [Client 24] Round 1 | loss=1.5007 | time=11.1s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.7574
  [Client  0] Round 1 | loss=1.8394 | time=1.5s
  [Client  1] Round 1 | loss=1.8937 | time=0.6s
  [Client  2] Round 1 | loss=1.6392 | time=2.1s
  [Client  3] Round 1 | loss=1.5313 | time=2.6s
  [Client  4] Round 1 | loss=1.6476 | time=1.6s
  [Client  5] Round 1 | loss=1.7676 | time=1.3s
  [Client  6] Round 1 | loss=1.6276 | time=2.7s
  [Client  7] Round 1 | loss=1.6247 | time=3.4s
  [Client  8] Round 1 | loss=1.4367 | time=1.7s
  [Client  9] Round 1 | loss=1.5699 | time=1.1s
  [Client 10] Round 1 | loss=1.3270 | time=1.7s
  [Client 11] Round 1 | loss=1.7023 | time=2.1s
  [Client 12] Round 1 | loss=1.4543 | time=1.4s
  [Client 13] Round 1 | loss=1.8853 | time=1.4s
  [Client 14] Round 1 | loss=1.8450 | time=3.1s
  [Client 15] Round 1 | loss=1.7704 | time=1.0s
  [Client 16] Round 1 | loss=1.7703 | time=2.0s
  [Client 17] Round 1 | loss=1.7865 | time=1.7s
  [Client 18] Round 1 | loss=1.7702 | time=2.0s
  [Client 19] Round 1 | loss=1.2926 | time=2.3s
  [Client 20] Round 1 | loss=1.8490 | time=1.3s
  [Client 21] Round 1 | loss=1.7003 | time=2.2s
  [Client 22] Round 1 | loss=1.7927 | time=1.8s
  [Client 23] Round 1 | loss=1.4213 | time=2.6s
  [Client 24] Round 1 | loss=1.4595 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.6427
  [Client  0] Round 1 | loss=1.8389 | time=1.5s
  [Client  1] Round 1 | loss=1.6851 | time=0.6s
  [Client  2] Round 1 | loss=1.5443 | time=2.1s
  [Client  3] Round 1 | loss=1.4283 | time=2.6s
  [Client  4] Round 1 | loss=1.5206 | time=1.6s
  [Client  5] Round 1 | loss=1.7961 | time=1.3s
  [Client  6] Round 1 | loss=1.6414 | time=2.7s
  [Client  7] Round 1 | loss=1.6805 | time=3.4s
  [Client  8] Round 1 | loss=1.3631 | time=1.7s
  [Client  9] Round 1 | loss=1.6103 | time=1.1s
  [Client 10] Round 1 | loss=1.4715 | time=1.7s
  [Client 11] Round 1 | loss=1.6534 | time=2.1s
  [Client 12] Round 1 | loss=1.3645 | time=1.4s
  [Client 13] Round 1 | loss=1.7745 | time=1.4s
  [Client 14] Round 1 | loss=1.7115 | time=3.1s
  [Client 15] Round 1 | loss=1.6337 | time=1.0s
  [Client 16] Round 1 | loss=1.6138 | time=2.0s
  [Client 17] Round 1 | loss=1.7138 | time=1.7s
  [Client 18] Round 1 | loss=1.6455 | time=2.0s
  [Client 19] Round 1 | loss=1.1555 | time=2.3s
  [Client 20] Round 1 | loss=1.6632 | time=1.3s
  [Client 21] Round 1 | loss=1.6784 | time=2.2s
  [Client 22] Round 1 | loss=1.7101 | time=1.8s
  [Client 23] Round 1 | loss=1.2726 | time=2.6s
  [Client 24] Round 1 | loss=1.2645 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.5695
  [Client  0] Round 1 | loss=1.6492 | time=1.5s
  [Client  1] Round 1 | loss=1.6683 | time=0.6s
  [Client  2] Round 1 | loss=1.4855 | time=2.1s
  [Client  3] Round 1 | loss=1.4207 | time=2.6s
  [Client  4] Round 1 | loss=1.5237 | time=1.6s
  [Client  5] Round 1 | loss=1.5772 | time=1.3s
  [Client  6] Round 1 | loss=1.4916 | time=2.7s
  [Client  7] Round 1 | loss=1.5035 | time=3.4s
  [Client  8] Round 1 | loss=1.3064 | time=1.7s
  [Client  9] Round 1 | loss=1.4362 | time=1.1s
  [Client 10] Round 1 | loss=1.2331 | time=1.7s
  [Client 11] Round 1 | loss=1.5525 | time=2.1s
  [Client 12] Round 1 | loss=1.3439 | time=1.4s
  [Client 13] Round 1 | loss=1.7355 | time=1.4s
  [Client 14] Round 1 | loss=1.6817 | time=3.1s
  [Client 15] Round 1 | loss=1.5963 | time=1.0s
  [Client 16] Round 1 | loss=1.5804 | time=2.0s
  [Client 17] Round 1 | loss=1.5687 | time=1.7s
  [Client 18] Round 1 | loss=1.5959 | time=2.0s
  [Client 19] Round 1 | loss=1.1637 | time=2.3s
  [Client 20] Round 1 | loss=1.6307 | time=1.3s
  [Client 21] Round 1 | loss=1.5251 | time=2.2s
  [Client 22] Round 1 | loss=1.5891 | time=1.8s
  [Client 23] Round 1 | loss=1.2325 | time=2.6s
  [Client 24] Round 1 | loss=1.2989 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.4863
  [Client  0] Round 1 | loss=1.6320 | time=1.5s
  [Client  1] Round 1 | loss=1.5816 | time=0.6s
  [Client  2] Round 1 | loss=1.4523 | time=2.1s
  [Client  3] Round 1 | loss=1.3230 | time=2.6s
  [Client  4] Round 1 | loss=1.4125 | time=1.7s
  [Client  5] Round 1 | loss=1.6002 | time=1.3s
  [Client  6] Round 1 | loss=1.4942 | time=2.7s
  [Client  7] Round 1 | loss=1.5478 | time=3.5s
  [Client  8] Round 1 | loss=1.2360 | time=1.7s
  [Client  9] Round 1 | loss=1.4295 | time=1.1s
  [Client 10] Round 1 | loss=1.2835 | time=1.7s
  [Client 11] Round 1 | loss=1.4960 | time=2.1s
  [Client 12] Round 1 | loss=1.2245 | time=1.4s
  [Client 13] Round 1 | loss=1.6245 | time=1.4s
  [Client 14] Round 1 | loss=1.5840 | time=3.1s
  [Client 15] Round 1 | loss=1.5492 | time=1.0s
  [Client 16] Round 1 | loss=1.5131 | time=2.0s
  [Client 17] Round 1 | loss=1.5269 | time=1.7s
  [Client 18] Round 1 | loss=1.5117 | time=2.0s
  [Client 19] Round 1 | loss=1.0593 | time=2.3s
  [Client 20] Round 1 | loss=1.5780 | time=1.3s
  [Client 21] Round 1 | loss=1.5136 | time=2.2s
  [Client 22] Round 1 | loss=1.5148 | time=1.8s
  [Client 23] Round 1 | loss=1.1837 | time=2.6s
  [Client 24] Round 1 | loss=1.1652 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.4352
  [Client 25] Round 1 | loss=1.7273 | time=9.3s
  [Client 26] Round 1 | loss=1.7801 | time=11.7s
  [Client 27] Round 1 | loss=1.2187 | time=12.2s
  [Client 28] Round 1 | loss=2.0874 | time=6.2s
  [Client 29] Round 1 | loss=1.8170 | time=10.9s
  [Client 30] Round 1 | loss=1.9374 | time=10.8s
  [Client 31] Round 1 | loss=1.9990 | time=9.5s
  [Client 32] Round 1 | loss=1.8546 | time=11.4s
  [Client 33] Round 1 | loss=2.1596 | time=14.4s
  [Client 34] Round 1 | loss=1.2828 | time=13.0s
  [Client 35] Round 1 | loss=1.1637 | time=12.5s
  [Client 36] Round 1 | loss=1.6208 | time=11.9s
  [Client 37] Round 1 | loss=1.6876 | time=11.6s
  [Client 38] Round 1 | loss=1.8635 | time=11.5s
  [Client 39] Round 1 | loss=1.5046 | time=10.6s
  [Client 40] Round 1 | loss=1.7973 | time=10.1s
  [Client 41] Round 1 | loss=2.0148 | time=10.6s
  [Client 42] Round 1 | loss=1.7462 | time=9.9s
  [Client 43] Round 1 | loss=2.0077 | time=10.3s
  [Client 44] Round 1 | loss=1.9024 | time=14.4s
  [Client 45] Round 1 | loss=1.6857 | time=11.1s
  [Client 46] Round 1 | loss=1.6860 | time=9.0s
  [Client 47] Round 1 | loss=1.7530 | time=12.0s
  [Client 48] Round 1 | loss=1.6750 | time=9.6s
  [Client 49] Round 1 | loss=2.1378 | time=9.0s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.7105
  [Client 25] Round 1 | loss=1.5084 | time=1.9s
  [Client 26] Round 1 | loss=1.6138 | time=1.3s
  [Client 27] Round 1 | loss=1.3476 | time=2.1s
  [Client 28] Round 1 | loss=2.0338 | time=0.2s
  [Client 29] Round 1 | loss=1.6918 | time=1.9s
  [Client 30] Round 1 | loss=1.8528 | time=1.1s
  [Client 31] Round 1 | loss=1.9233 | time=2.0s
  [Client 32] Round 1 | loss=1.6978 | time=1.6s
  [Client 33] Round 1 | loss=1.9937 | time=1.8s
  [Client 34] Round 1 | loss=1.1008 | time=4.5s
  [Client 35] Round 1 | loss=1.0586 | time=1.7s
  [Client 36] Round 1 | loss=1.5776 | time=1.3s
  [Client 37] Round 1 | loss=1.5468 | time=2.0s
  [Client 38] Round 1 | loss=1.7336 | time=2.4s
  [Client 39] Round 1 | loss=1.2346 | time=1.1s
  [Client 40] Round 1 | loss=1.7658 | time=1.1s
  [Client 41] Round 1 | loss=1.9434 | time=0.7s
  [Client 42] Round 1 | loss=1.7794 | time=2.4s
  [Client 43] Round 1 | loss=1.9170 | time=1.4s
  [Client 44] Round 1 | loss=1.9505 | time=3.1s
  [Client 45] Round 1 | loss=1.5386 | time=1.2s
  [Client 46] Round 1 | loss=1.4395 | time=0.5s
  [Client 47] Round 1 | loss=1.6110 | time=2.1s
  [Client 48] Round 1 | loss=1.6040 | time=2.0s
  [Client 49] Round 1 | loss=1.9194 | time=0.8s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.6099
  [Client 25] Round 1 | loss=1.4348 | time=1.9s
  [Client 26] Round 1 | loss=1.4581 | time=1.3s
  [Client 27] Round 1 | loss=1.0829 | time=2.1s
  [Client 28] Round 1 | loss=1.8335 | time=0.2s
  [Client 29] Round 1 | loss=1.5323 | time=1.9s
  [Client 30] Round 1 | loss=1.7249 | time=1.1s
  [Client 31] Round 1 | loss=1.7980 | time=2.0s
  [Client 32] Round 1 | loss=1.5853 | time=1.6s
  [Client 33] Round 1 | loss=1.8777 | time=1.8s
  [Client 34] Round 1 | loss=1.1186 | time=4.6s
  [Client 35] Round 1 | loss=1.1559 | time=1.7s
  [Client 36] Round 1 | loss=1.4128 | time=1.3s
  [Client 37] Round 1 | loss=1.5236 | time=2.0s
  [Client 38] Round 1 | loss=1.6468 | time=2.4s
  [Client 39] Round 1 | loss=1.2253 | time=1.1s
  [Client 40] Round 1 | loss=1.5707 | time=1.1s
  [Client 41] Round 1 | loss=1.8012 | time=0.7s
  [Client 42] Round 1 | loss=1.5880 | time=2.4s
  [Client 43] Round 1 | loss=1.6735 | time=1.4s
  [Client 44] Round 1 | loss=1.7633 | time=3.1s
  [Client 45] Round 1 | loss=1.4162 | time=1.2s
  [Client 46] Round 1 | loss=1.3547 | time=0.5s
  [Client 47] Round 1 | loss=1.5296 | time=2.1s
  [Client 48] Round 1 | loss=1.4293 | time=2.0s
  [Client 49] Round 1 | loss=1.8690 | time=0.8s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.4991
  [Client 25] Round 1 | loss=1.3963 | time=1.9s
  [Client 26] Round 1 | loss=1.4704 | time=1.3s
  [Client 27] Round 1 | loss=1.2283 | time=2.1s
  [Client 28] Round 1 | loss=1.7550 | time=0.2s
  [Client 29] Round 1 | loss=1.5308 | time=2.0s
  [Client 30] Round 1 | loss=1.6642 | time=1.1s
  [Client 31] Round 1 | loss=1.7355 | time=2.0s
  [Client 32] Round 1 | loss=1.5600 | time=1.6s
  [Client 33] Round 1 | loss=1.8564 | time=1.8s
  [Client 34] Round 1 | loss=1.0116 | time=4.6s
  [Client 35] Round 1 | loss=0.9674 | time=1.7s
  [Client 36] Round 1 | loss=1.4387 | time=1.3s
  [Client 37] Round 1 | loss=1.4370 | time=2.0s
  [Client 38] Round 1 | loss=1.5973 | time=2.4s
  [Client 39] Round 1 | loss=1.1052 | time=1.1s
  [Client 40] Round 1 | loss=1.6012 | time=1.1s
  [Client 41] Round 1 | loss=1.7519 | time=0.7s
  [Client 42] Round 1 | loss=1.5983 | time=2.4s
  [Client 43] Round 1 | loss=1.6494 | time=1.4s
  [Client 44] Round 1 | loss=1.7437 | time=3.1s
  [Client 45] Round 1 | loss=1.4235 | time=1.2s
  [Client 46] Round 1 | loss=1.3701 | time=0.5s
  [Client 47] Round 1 | loss=1.5017 | time=2.1s
  [Client 48] Round 1 | loss=1.4530 | time=2.0s
  [Client 49] Round 1 | loss=1.7162 | time=0.8s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.4651
  [Client 25] Round 1 | loss=1.3168 | time=1.9s
  [Client 26] Round 1 | loss=1.3939 | time=1.3s
  [Client 27] Round 1 | loss=1.0643 | time=2.1s
  [Client 28] Round 1 | loss=1.6397 | time=0.2s
  [Client 29] Round 1 | loss=1.4387 | time=2.0s
  [Client 30] Round 1 | loss=1.6028 | time=1.1s
  [Client 31] Round 1 | loss=1.6724 | time=2.0s
  [Client 32] Round 1 | loss=1.4732 | time=1.6s
  [Client 33] Round 1 | loss=1.7687 | time=1.8s
  [Client 34] Round 1 | loss=1.0135 | time=4.6s
  [Client 35] Round 1 | loss=1.0286 | time=1.7s
  [Client 36] Round 1 | loss=1.3300 | time=1.3s
  [Client 37] Round 1 | loss=1.4414 | time=2.0s
  [Client 38] Round 1 | loss=1.5663 | time=2.4s
  [Client 39] Round 1 | loss=1.0974 | time=1.1s
  [Client 40] Round 1 | loss=1.4969 | time=1.1s
  [Client 41] Round 1 | loss=1.7017 | time=0.7s
  [Client 42] Round 1 | loss=1.5399 | time=2.4s
  [Client 43] Round 1 | loss=1.5537 | time=1.4s
  [Client 44] Round 1 | loss=1.6513 | time=3.1s
  [Client 45] Round 1 | loss=1.3365 | time=1.2s
  [Client 46] Round 1 | loss=1.2405 | time=0.5s
  [Client 47] Round 1 | loss=1.4385 | time=2.1s
  [Client 48] Round 1 | loss=1.3392 | time=2.0s
  [Client 49] Round 1 | loss=1.6653 | time=0.8s
  [Edge 1] G-Round 1 | E-Round 5 | loss=1.4023
[Round   1] Phase 2: Cloud aggregating...
  [Cloud] acc=0.3315 | loss=1.8148 | time=933.7s | comm=5285.0MB (total=5285MB)

[Round   2] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 2 | loss=1.5573 | time=1.5s
  [Client  1] Round 2 | loss=1.5739 | time=0.6s
  [Client  2] Round 2 | loss=1.4327 | time=2.1s
  [Client  3] Round 2 | loss=1.3347 | time=2.6s
  [Client  4] Round 2 | loss=1.3897 | time=1.7s
  [Client  5] Round 2 | loss=1.4643 | time=1.3s
  [Client  6] Round 2 | loss=1.4269 | time=2.7s
  [Client  7] Round 2 | loss=1.4857 | time=3.5s
  [Client  8] Round 2 | loss=1.2326 | time=1.7s
  [Client  9] Round 2 | loss=1.3775 | time=1.1s
  [Client 10] Round 2 | loss=1.1811 | time=1.7s
  [Client 11] Round 2 | loss=1.4408 | time=2.1s
  [Client 12] Round 2 | loss=1.2682 | time=1.4s
  [Client 13] Round 2 | loss=1.6047 | time=1.4s
  [Client 14] Round 2 | loss=1.5827 | time=3.1s
  [Client 15] Round 2 | loss=1.5601 | time=1.0s
  [Client 16] Round 2 | loss=1.4891 | time=2.0s
  [Client 17] Round 2 | loss=1.4639 | time=1.7s
  [Client 18] Round 2 | loss=1.4792 | time=2.0s
  [Client 19] Round 2 | loss=1.1845 | time=2.3s
  [Client 20] Round 2 | loss=1.5277 | time=1.3s
  [Client 21] Round 2 | loss=1.4512 | time=2.2s
  [Client 22] Round 2 | loss=1.4604 | time=1.8s
  [Client 23] Round 2 | loss=1.1646 | time=2.6s
  [Client 24] Round 2 | loss=1.1783 | time=1.3s
  [Edge 0] G-Round 2 | E-Round 1 | loss=1.4073
  [Client  0] Round 2 | loss=1.5970 | time=1.5s
  [Client  1] Round 2 | loss=1.4684 | time=0.6s
  [Client  2] Round 2 | loss=1.3844 | time=2.1s
  [Client  3] Round 2 | loss=1.2834 | time=2.6s
  [Client  4] Round 2 | loss=1.3626 | time=1.7s
  [Client  5] Round 2 | loss=1.4536 | time=1.3s
  [Client  6] Round 2 | loss=1.4001 | time=2.7s
  [Client  7] Round 2 | loss=1.4724 | time=3.4s
  [Client  8] Round 2 | loss=1.1972 | time=1.7s
  [Client  9] Round 2 | loss=1.3454 | time=1.1s
  [Client 10] Round 2 | loss=1.1963 | time=1.7s
  [Client 11] Round 2 | loss=1.4081 | time=2.1s
  [Client 12] Round 2 | loss=1.2036 | time=1.4s
  [Client 13] Round 2 | loss=1.4722 | time=1.4s
  [Client 14] Round 2 | loss=1.5123 | time=3.1s
  [Client 15] Round 2 | loss=1.4866 | time=1.0s
  [Client 16] Round 2 | loss=1.4615 | time=2.0s
  [Client 17] Round 2 | loss=1.4596 | time=1.7s
  [Client 18] Round 2 | loss=1.4506 | time=2.0s
  [Client 19] Round 2 | loss=1.0352 | time=2.3s
  [Client 20] Round 2 | loss=1.4698 | time=1.3s
  [Client 21] Round 2 | loss=1.4120 | time=2.2s
  [Client 22] Round 2 | loss=1.4079 | time=1.8s
  [Client 23] Round 2 | loss=1.1294 | time=2.6s
  [Client 24] Round 2 | loss=1.0973 | time=1.3s
  [Edge 0] G-Round 2 | E-Round 2 | loss=1.3633
  [Client  0] Round 2 | loss=1.5036 | time=1.5s
  [Client  1] Round 2 | loss=1.4686 | time=0.6s
  [Client  2] Round 2 | loss=1.3646 | time=2.1s
  [Client  3] Round 2 | loss=1.2445 | time=2.6s
  [Client  4] Round 2 | loss=1.3198 | time=1.7s
  [Client  5] Round 2 | loss=1.4194 | time=1.3s
  [Client  6] Round 2 | loss=1.3620 | time=2.7s
  [Client  7] Round 2 | loss=1.4467 | time=3.4s
  [Client  8] Round 2 | loss=1.1764 | time=1.7s
  [Client  9] Round 2 | loss=1.3271 | time=1.1s
  [Client 10] Round 2 | loss=1.1416 | time=1.7s
  [Client 11] Round 2 | loss=1.3833 | time=2.1s
  [Client 12] Round 2 | loss=1.1485 | time=1.4s
  [Client 13] Round 2 | loss=1.5001 | time=1.4s
  [Client 14] Round 2 | loss=1.4909 | time=3.1s
  [Client 15] Round 2 | loss=1.4427 | time=1.0s
  [Client 16] Round 2 | loss=1.4110 | time=2.0s
  [Client 17] Round 2 | loss=1.3879 | time=1.7s
  [Client 18] Round 2 | loss=1.3912 | time=2.0s
  [Client 19] Round 2 | loss=1.0251 | time=2.3s
  [Client 20] Round 2 | loss=1.4509 | time=1.3s
  [Client 21] Round 2 | loss=1.3607 | time=2.2s
  [Client 22] Round 2 | loss=1.3531 | time=1.8s
  [Client 23] Round 2 | loss=1.1023 | time=2.6s
  [Client 24] Round 2 | loss=1.1087 | time=1.3s
  [Edge 0] G-Round 2 | E-Round 3 | loss=1.3292
  [Client  0] Round 2 | loss=1.5289 | time=1.5s
  [Client  1] Round 2 | loss=1.4242 | time=0.6s
  [Client  2] Round 2 | loss=1.3318 | time=2.1s
  [Client  3] Round 2 | loss=1.2444 | time=2.6s
  [Client  4] Round 2 | loss=1.2825 | time=1.7s
  [Client  5] Round 2 | loss=1.3728 | time=1.3s
  [Client  6] Round 2 | loss=1.3456 | time=2.7s
  [Client  7] Round 2 | loss=1.4076 | time=3.5s
  [Client  8] Round 2 | loss=1.1743 | time=1.7s
  [Client  9] Round 2 | loss=1.3135 | time=1.1s
  [Client 10] Round 2 | loss=1.1643 | time=1.7s
  [Client 11] Round 2 | loss=1.3588 | time=2.1s
  [Client 12] Round 2 | loss=1.0652 | time=1.4s
  [Client 13] Round 2 | loss=1.5004 | time=1.4s
  [Client 14] Round 2 | loss=1.4372 | time=3.1s
  [Client 15] Round 2 | loss=1.4282 | time=1.0s
  [Client 16] Round 2 | loss=1.4414 | time=2.0s
  [Client 17] Round 2 | loss=1.3468 | time=1.7s
  [Client 18] Round 2 | loss=1.3978 | time=2.0s
  [Client 19] Round 2 | loss=1.0352 | time=2.3s
  [Client 20] Round 2 | loss=1.4030 | time=1.3s
  [Client 21] Round 2 | loss=1.3442 | time=2.2s
  [Client 22] Round 2 | loss=1.3458 | time=1.8s
  [Client 23] Round 2 | loss=1.0657 | time=2.6s
  [Client 24] Round 2 | loss=1.0433 | time=1.3s
  [Edge 0] G-Round 2 | E-Round 4 | loss=1.3086
  [Client  0] Round 2 | loss=1.4693 | time=1.5s
  [Client  1] Round 2 | loss=1.3881 | time=0.6s
  [Client  2] Round 2 | loss=1.3073 | time=2.1s
  [Client  3] Round 2 | loss=1.2194 | time=2.6s
  [Client  4] Round 2 | loss=1.2781 | time=1.7s
  [Client  5] Round 2 | loss=1.3753 | time=1.3s
  [Client  6] Round 2 | loss=1.3194 | time=2.7s
  [Client  7] Round 2 | loss=1.3918 | time=3.5s
  [Client  8] Round 2 | loss=1.1304 | time=1.7s
  [Client  9] Round 2 | loss=1.2955 | time=1.1s
  [Client 10] Round 2 | loss=1.1522 | time=1.7s
  [Client 11] Round 2 | loss=1.3273 | time=2.1s
  [Client 12] Round 2 | loss=1.0986 | time=1.4s
  [Client 13] Round 2 | loss=1.4372 | time=1.4s
  [Client 14] Round 2 | loss=1.4365 | time=3.1s
  [Client 15] Round 2 | loss=1.3657 | time=1.0s
  [Client 16] Round 2 | loss=1.3827 | time=2.0s
  [Client 17] Round 2 | loss=1.3352 | time=1.7s
  [Client 18] Round 2 | loss=1.3754 | time=2.0s
  [Client 19] Round 2 | loss=1.0065 | time=2.3s
  [Client 20] Round 2 | loss=1.3842 | time=1.3s
  [Client 21] Round 2 | loss=1.3392 | time=2.2s
  [Client 22] Round 2 | loss=1.3308 | time=1.8s
  [Client 23] Round 2 | loss=1.0762 | time=2.6s
  [Client 24] Round 2 | loss=1.0555 | time=1.3s
  [Edge 0] G-Round 2 | E-Round 5 | loss=1.2892
  [Client 25] Round 2 | loss=1.2729 | time=1.9s
  [Client 26] Round 2 | loss=1.3726 | time=1.3s
  [Client 27] Round 2 | loss=1.0613 | time=2.1s
  [Client 28] Round 2 | loss=1.5496 | time=0.2s
  [Client 29] Round 2 | loss=1.4204 | time=2.0s
  [Client 30] Round 2 | loss=1.5738 | time=1.1s
  [Client 31] Round 2 | loss=1.6324 | time=2.0s
  [Client 32] Round 2 | loss=1.4187 | time=1.6s
  [Client 33] Round 2 | loss=1.7198 | time=1.8s
  [Client 34] Round 2 | loss=0.9760 | time=4.6s
  [Client 35] Round 2 | loss=1.0074 | time=1.7s
  [Client 36] Round 2 | loss=1.2747 | time=1.3s
  [Client 37] Round 2 | loss=1.4049 | time=2.0s
  [Client 38] Round 2 | loss=1.5373 | time=2.4s
  [Client 39] Round 2 | loss=1.0613 | time=1.1s
  [Client 40] Round 2 | loss=1.4458 | time=1.1s
  [Client 41] Round 2 | loss=1.6502 | time=0.7s
  [Client 42] Round 2 | loss=1.4777 | time=2.4s
  [Client 43] Round 2 | loss=1.4772 | time=1.4s
  [Client 44] Round 2 | loss=1.6294 | time=3.1s
  [Client 45] Round 2 | loss=1.3223 | time=1.2s
  [Client 46] Round 2 | loss=1.1768 | time=0.5s
  [Client 47] Round 2 | loss=1.3569 | time=2.1s
  [Client 48] Round 2 | loss=1.2931 | time=2.0s
  [Client 49] Round 2 | loss=1.5915 | time=0.8s
  [Edge 1] G-Round 2 | E-Round 1 | loss=1.3621
  [Client 25] Round 2 | loss=1.1979 | time=1.9s
  [Client 26] Round 2 | loss=1.3601 | time=1.3s
  [Client 27] Round 2 | loss=1.0630 | time=2.1s
  [Client 28] Round 2 | loss=1.5009 | time=0.2s
  [Client 29] Round 2 | loss=1.4340 | time=2.0s
  [Client 30] Round 2 | loss=1.5433 | time=1.1s
  [Client 31] Round 2 | loss=1.6052 | time=2.0s
  [Client 32] Round 2 | loss=1.4034 | time=1.6s
  [Client 33] Round 2 | loss=1.6887 | time=1.8s
