
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=2.0349 | time=23.1s
  [Client  1] Round 1 | loss=2.0140 | time=16.9s
  [Client  2] Round 1 | loss=2.0221 | time=16.8s
  [Client  3] Round 1 | loss=2.0626 | time=17.0s
  [Client  4] Round 1 | loss=2.0229 | time=16.8s
  [Edge 0] G-Round 1 | E-Round 1 | loss=2.0313
  [Client  0] Round 1 | loss=1.7168 | time=8.8s
  [Client  1] Round 1 | loss=1.7072 | time=8.8s
  [Client  2] Round 1 | loss=1.7188 | time=8.8s
  [Client  3] Round 1 | loss=1.7568 | time=8.8s
  [Client  4] Round 1 | loss=1.6916 | time=8.8s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.7182
  [Client  0] Round 1 | loss=1.5415 | time=8.8s
  [Client  1] Round 1 | loss=1.5357 | time=8.8s
  [Client  2] Round 1 | loss=1.5226 | time=8.8s
  [Client  3] Round 1 | loss=1.5582 | time=8.8s
  [Client  4] Round 1 | loss=1.5616 | time=8.8s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.5439
  [Client  0] Round 1 | loss=1.4061 | time=8.8s
  [Client  1] Round 1 | loss=1.4039 | time=8.8s
  [Client  2] Round 1 | loss=1.4168 | time=8.8s
  [Client  3] Round 1 | loss=1.4210 | time=8.8s
  [Client  4] Round 1 | loss=1.3999 | time=8.8s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.4095
  [Client  0] Round 1 | loss=1.3137 | time=8.8s
  [Client  1] Round 1 | loss=1.2972 | time=8.8s
  [Client  2] Round 1 | loss=1.2958 | time=8.8s
  [Client  3] Round 1 | loss=1.3444 | time=8.8s
  [Client  4] Round 1 | loss=1.3382 | time=8.8s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.3178
  [Client  5] Round 1 | loss=2.0318 | time=17.2s
  [Client  6] Round 1 | loss=2.0259 | time=16.9s
  [Client  7] Round 1 | loss=2.0279 | time=16.8s
  [Client  8] Round 1 | loss=2.0193 | time=17.2s
  [Client  9] Round 1 | loss=2.0408 | time=16.8s
  [Edge 1] G-Round 1 | E-Round 1 | loss=2.0291
  [Client  5] Round 1 | loss=1.7188 | time=8.8s
  [Client  6] Round 1 | loss=1.7100 | time=8.8s
  [Client  7] Round 1 | loss=1.7244 | time=8.8s
  [Client  8] Round 1 | loss=1.6871 | time=8.8s
  [Client  9] Round 1 | loss=1.7111 | time=8.8s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.7103
  [Client  5] Round 1 | loss=1.5485 | time=8.8s
  [Client  6] Round 1 | loss=1.5256 | time=8.8s
  [Client  7] Round 1 | loss=1.5272 | time=8.8s
  [Client  8] Round 1 | loss=1.5232 | time=8.8s
  [Client  9] Round 1 | loss=1.5637 | time=8.8s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.5376
  [Client  5] Round 1 | loss=1.4179 | time=8.8s
  [Client  6] Round 1 | loss=1.4162 | time=8.9s
  [Client  7] Round 1 | loss=1.4175 | time=8.8s
  [Client  8] Round 1 | loss=1.3915 | time=8.8s
  [Client  9] Round 1 | loss=1.4478 | time=8.8s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.4182
  [Client  5] Round 1 | loss=1.3158 | time=8.9s
  [Client  6] Round 1 | loss=1.3320 | time=8.9s
  [Client  7] Round 1 | loss=1.3362 | time=8.9s
  [Client  8] Round 1 | loss=1.3145 | time=8.9s
  [Client  9] Round 1 | loss=1.3509 | time=8.9s
  [Edge 1] G-Round 1 | E-Round 5 | loss=1.3299
[Round   1] Phase 2: Cloud aggregating...
  [Cloud] acc=0.5412 | loss=1.2600 | time=534.1s | comm=1090.6MB (total=1091MB)

[Round   2] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 2 | loss=1.2388 | time=8.8s
  [Client  1] Round 2 | loss=1.2396 | time=8.8s
  [Client  2] Round 2 | loss=1.2276 | time=8.8s
  [Client  3] Round 2 | loss=1.2666 | time=8.8s
