
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 20 edges...
  [Client  0] Round 1 | loss=1.7799 | time=15.2s
  [Client  1] Round 1 | loss=1.4664 | time=9.0s
  [Client  2] Round 1 | loss=1.8695 | time=11.2s
  [Client  3] Round 1 | loss=1.7281 | time=12.7s
  [Client  4] Round 1 | loss=2.0196 | time=11.2s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.8096
  [Client  0] Round 1 | loss=1.7698 | time=1.0s
  [Client  1] Round 1 | loss=1.5416 | time=0.5s
  [Client  2] Round 1 | loss=1.6945 | time=0.8s
  [Client  3] Round 1 | loss=1.7101 | time=1.3s
  [Client  4] Round 1 | loss=1.8687 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.7430
  [Client  0] Round 1 | loss=1.6739 | time=1.0s
  [Client  1] Round 1 | loss=1.5750 | time=0.5s
  [Client  2] Round 1 | loss=1.5711 | time=0.8s
  [Client  3] Round 1 | loss=1.5492 | time=1.3s
  [Client  4] Round 1 | loss=1.8458 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.6549
  [Client  0] Round 1 | loss=1.6237 | time=1.0s
  [Client  1] Round 1 | loss=1.2128 | time=0.5s
  [Client  2] Round 1 | loss=1.5857 | time=0.8s
  [Client  3] Round 1 | loss=1.6250 | time=1.3s
  [Client  4] Round 1 | loss=1.7490 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.6093
  [Client  0] Round 1 | loss=1.7169 | time=1.0s
  [Client  1] Round 1 | loss=1.7040 | time=0.5s
  [Client  2] Round 1 | loss=1.4666 | time=0.8s
  [Client  3] Round 1 | loss=1.4268 | time=1.3s
  [Client  4] Round 1 | loss=1.7107 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.5901
  [Client  5] Round 1 | loss=1.4157 | time=10.9s
  [Client  6] Round 1 | loss=2.1653 | time=7.9s
  [Client  7] Round 1 | loss=1.7322 | time=6.9s
  [Client  8] Round 1 | loss=1.8667 | time=10.2s
  [Client  9] Round 1 | loss=2.0216 | time=11.0s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.8409
  [Client  5] Round 1 | loss=0.9843 | time=0.7s
  [Client  6] Round 1 | loss=1.9243 | time=0.5s
  [Client  7] Round 1 | loss=2.6331 | time=0.3s
  [Client  8] Round 1 | loss=1.8265 | time=1.1s
  [Client  9] Round 1 | loss=2.0117 | time=0.8s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.7721
  [Client  5] Round 1 | loss=1.1604 | time=0.7s
  [Client  6] Round 1 | loss=1.7976 | time=0.5s
  [Client  7] Round 1 | loss=1.8211 | time=0.3s
  [Client  8] Round 1 | loss=1.6058 | time=1.1s
  [Client  9] Round 1 | loss=1.8238 | time=0.8s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.6084
  [Client  5] Round 1 | loss=0.8644 | time=0.7s
  [Client  6] Round 1 | loss=1.5285 | time=0.5s
  [Client  7] Round 1 | loss=1.7608 | time=0.3s
