
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Client  0] Round 1 | loss=1.8796 | time=17.7s
  [Client  1] Round 1 | loss=1.2896 | time=13.1s
  [Client  2] Round 1 | loss=1.7459 | time=14.5s
  [Client  3] Round 1 | loss=1.4977 | time=13.3s
  [Client  4] Round 1 | loss=1.3531 | time=11.0s
  [Client  5] Round 1 | loss=1.6674 | time=15.7s
  [Client  6] Round 1 | loss=1.5343 | time=14.2s
  [Client  7] Round 1 | loss=2.0477 | time=14.0s
  [Client  8] Round 1 | loss=1.6513 | time=13.2s
  [Client  9] Round 1 | loss=1.8095 | time=15.6s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.6400
  [Client  0] Round 1 | loss=1.7053 | time=3.0s
  [Client  1] Round 1 | loss=1.2180 | time=4.2s
  [Client  2] Round 1 | loss=1.5540 | time=6.1s
  [Client  3] Round 1 | loss=1.4388 | time=4.6s
  [Client  4] Round 1 | loss=1.2748 | time=2.3s
  [Client  5] Round 1 | loss=1.4896 | time=5.3s
  [Client  6] Round 1 | loss=1.3038 | time=5.9s
  [Client  7] Round 1 | loss=1.7163 | time=2.7s
  [Client  8] Round 1 | loss=1.5845 | time=3.4s
  [Client  9] Round 1 | loss=1.6922 | time=4.4s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.4877
  [Client  0] Round 1 | loss=1.6048 | time=3.0s
  [Client  1] Round 1 | loss=1.0210 | time=4.2s
  [Client  2] Round 1 | loss=1.5633 | time=6.1s
  [Client  3] Round 1 | loss=1.2374 | time=4.6s
  [Client  4] Round 1 | loss=1.0570 | time=2.3s
  [Client  5] Round 1 | loss=1.3786 | time=5.3s
  [Client  6] Round 1 | loss=1.2492 | time=5.9s
  [Client  7] Round 1 | loss=1.6575 | time=2.7s
  [Client  8] Round 1 | loss=1.4584 | time=3.4s
  [Client  9] Round 1 | loss=1.5001 | time=4.5s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.3721
  [Client  0] Round 1 | loss=1.4908 | time=3.0s
  [Client  1] Round 1 | loss=0.9774 | time=4.2s
  [Client  2] Round 1 | loss=1.3841 | time=6.1s
  [Client  3] Round 1 | loss=1.1819 | time=4.6s
  [Client  4] Round 1 | loss=1.1014 | time=2.3s
  [Client  5] Round 1 | loss=1.2568 | time=5.3s
  [Client  6] Round 1 | loss=1.1093 | time=5.9s
  [Client  7] Round 1 | loss=1.4532 | time=2.7s
  [Client  8] Round 1 | loss=1.3289 | time=3.4s
  [Client  9] Round 1 | loss=1.4265 | time=4.5s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.2634
  [Client  0] Round 1 | loss=1.4311 | time=3.0s
  [Client  1] Round 1 | loss=0.9340 | time=4.2s
  [Client  2] Round 1 | loss=1.3782 | time=6.1s
  [Client  3] Round 1 | loss=1.1223 | time=4.6s
  [Client  4] Round 1 | loss=1.0097 | time=2.3s
  [Client  5] Round 1 | loss=1.2147 | time=5.3s
  [Client  6] Round 1 | loss=1.1014 | time=5.9s
  [Client  7] Round 1 | loss=1.3980 | time=2.7s
  [Client  8] Round 1 | loss=1.2441 | time=3.4s
  [Client  9] Round 1 | loss=1.3706 | time=4.5s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.2196
  [Client 10] Round 1 | loss=1.7739 | time=15.5s
  [Client 11] Round 1 | loss=1.0823 | time=15.4s
  [Client 12] Round 1 | loss=1.2497 | time=14.5s
  [Client 13] Round 1 | loss=1.4673 | time=14.6s
  [Client 14] Round 1 | loss=1.8279 | time=13.8s
  [Client 15] Round 1 | loss=1.5497 | time=15.8s
  [Client 16] Round 1 | loss=1.8186 | time=11.3s
  [Client 17] Round 1 | loss=1.7082 | time=10.8s
  [Client 18] Round 1 | loss=1.5172 | time=14.5s
  [Client 19] Round 1 | loss=1.2391 | time=15.3s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.4769
  [Client 10] Round 1 | loss=1.7174 | time=4.4s
  [Client 11] Round 1 | loss=0.9672 | time=5.9s
  [Client 12] Round 1 | loss=1.2474 | time=5.8s
  [Client 13] Round 1 | loss=1.3127 | time=5.1s
  [Client 14] Round 1 | loss=1.6156 | time=5.8s
  [Client 15] Round 1 | loss=1.3887 | time=5.2s
  [Client 16] Round 1 | loss=1.7445 | time=1.6s
  [Client 17] Round 1 | loss=1.5799 | time=2.7s
  [Client 18] Round 1 | loss=1.4120 | time=3.5s
  [Client 19] Round 1 | loss=1.1451 | time=5.6s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.3637
  [Client 10] Round 1 | loss=1.5813 | time=4.4s
  [Client 11] Round 1 | loss=0.9192 | time=5.9s
  [Client 12] Round 1 | loss=1.0687 | time=5.8s
  [Client 13] Round 1 | loss=1.3003 | time=5.1s
  [Client 14] Round 1 | loss=1.5785 | time=5.9s
  [Client 15] Round 1 | loss=1.3241 | time=5.2s
  [Client 16] Round 1 | loss=1.5771 | time=1.6s
  [Client 17] Round 1 | loss=1.6972 | time=2.7s
  [Client 18] Round 1 | loss=1.3324 | time=3.5s
  [Client 19] Round 1 | loss=1.0642 | time=5.6s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.2932
  [Client 10] Round 1 | loss=1.5308 | time=4.4s
  [Client 11] Round 1 | loss=0.8579 | time=5.9s
  [Client 12] Round 1 | loss=1.0193 | time=5.8s
