
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 10 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 58] Round 1 | loss=1.7876 | time=14.2s
  [Client 87] Round 1 | loss=1.5982 | time=9.4s
  [Client 84] Round 1 | loss=1.9417 | time=12.4s
  [Client 98] Round 1 | loss=1.9615 | time=12.2s
  [Client 30] Round 1 | loss=1.8800 | time=10.5s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.8548
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 27] Round 1 | loss=1.4062 | time=13.2s
  [Client 98] Round 1 | loss=1.9507 | time=0.9s
  [Client 11] Round 1 | loss=1.6775 | time=11.2s
  [Client 51] Round 1 | loss=1.4617 | time=6.9s
  [Client 30] Round 1 | loss=1.8224 | time=0.7s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.6295
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 27] Round 1 | loss=1.3325 | time=1.8s
  [Client 84] Round 1 | loss=1.8884 | time=0.9s
  [Client 98] Round 1 | loss=1.9392 | time=0.9s
  [Client 87] Round 1 | loss=1.5710 | time=0.6s
  [Client 11] Round 1 | loss=1.6727 | time=0.7s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.6201
  [Edge 0] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 98] Round 1 | loss=1.8939 | time=0.9s
  [Client 30] Round 1 | loss=1.7727 | time=0.7s
  [Client 87] Round 1 | loss=1.4985 | time=0.6s
  [Client 27] Round 1 | loss=1.3394 | time=1.8s
  [Client 11] Round 1 | loss=1.6811 | time=0.7s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.5794
  [Edge 0] G-Round 1 | E-Round 5 | Selected 5/8 clients
  [Client 27] Round 1 | loss=1.3131 | time=1.8s
  [Client 87] Round 1 | loss=1.6650 | time=0.6s
  [Client 51] Round 1 | loss=1.3648 | time=0.3s
  [Client 11] Round 1 | loss=1.6497 | time=0.7s
  [Client 98] Round 1 | loss=1.9145 | time=0.9s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.5459
  [Edge 1] G-Round 1 | E-Round 1 | Selected 37/54 clients
  [Client 72] Round 1 | loss=1.8239 | time=11.7s
  [Client 36] Round 1 | loss=1.5182 | time=10.1s
  [Client 63] Round 1 | loss=1.9468 | time=11.5s
  [Client 94] Round 1 | loss=1.8501 | time=11.3s
  [Client 10] Round 1 | loss=1.7676 | time=9.4s
  [Client 75] Round 1 | loss=1.9243 | time=9.2s
  [Client 97] Round 1 | loss=1.7935 | time=9.8s
