
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 68/98 clients
  [Client 12] Round 1 | loss=1.6748 | time=14.3s
  [Client 98] Round 1 | loss=1.8994 | time=11.9s
  [Client 21] Round 1 | loss=1.8207 | time=7.6s
  [Client 63] Round 1 | loss=1.8917 | time=11.7s
  [Client 13] Round 1 | loss=1.3670 | time=11.1s
  [Client 83] Round 1 | loss=1.8575 | time=11.5s
  [Client 49] Round 1 | loss=1.8867 | time=11.1s
  [Client 79] Round 1 | loss=1.9903 | time=11.1s
  [Client 32] Round 1 | loss=1.8046 | time=9.2s
  [Client 48] Round 1 | loss=1.6127 | time=9.7s
  [Client 33] Round 1 | loss=1.8620 | time=9.7s
  [Client 99] Round 1 | loss=1.9533 | time=11.6s
  [Client 76] Round 1 | loss=2.0037 | time=10.9s
  [Client 50] Round 1 | loss=2.0204 | time=11.5s
  [Client 24] Round 1 | loss=1.7606 | time=11.9s
  [Client 89] Round 1 | loss=1.9039 | time=9.6s
  [Client 66] Round 1 | loss=1.8849 | time=10.3s
  [Client 64] Round 1 | loss=1.6675 | time=8.0s
  [Client 85] Round 1 | loss=1.7065 | time=10.6s
  [Client 57] Round 1 | loss=1.6267 | time=11.9s
  [Client 42] Round 1 | loss=1.9565 | time=10.5s
  [Client 27] Round 1 | loss=1.4490 | time=13.1s
  [Client  3] Round 1 | loss=1.7507 | time=13.0s
  [Client 62] Round 1 | loss=1.7154 | time=12.5s
  [Client 56] Round 1 | loss=1.8055 | time=11.9s
  [Client 81] Round 1 | loss=1.7047 | time=11.3s
  [Client 51] Round 1 | loss=1.6561 | time=6.9s
  [Client  7] Round 1 | loss=1.8895 | time=7.1s
  [Client 93] Round 1 | loss=1.7338 | time=7.5s
  [Client 10] Round 1 | loss=1.7749 | time=9.4s
  [Client 29] Round 1 | loss=1.6920 | time=11.3s
  [Client 80] Round 1 | loss=1.8170 | time=9.5s
  [Client  1] Round 1 | loss=1.5079 | time=8.9s
  [Client 23] Round 1 | loss=1.5809 | time=9.4s
  [Client 73] Round 1 | loss=2.0467 | time=9.6s
  [Client 65] Round 1 | loss=1.7703 | time=9.6s
  [Client  8] Round 1 | loss=1.7769 | time=10.6s
  [Client 72] Round 1 | loss=1.7960 | time=12.0s
  [Client 44] Round 1 | loss=1.3992 | time=9.6s
  [Client 60] Round 1 | loss=1.6795 | time=12.0s
  [Client 55] Round 1 | loss=1.9039 | time=12.3s
