
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 20 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 3/5 clients
  [Client 44] Round 1 | loss=1.4115 | time=14.4s
  [Client 95] Round 1 | loss=1.0310 | time=11.1s
  [Client 10] Round 1 | loss=1.7827 | time=9.2s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4372
  [Edge 0] G-Round 1 | E-Round 2 | Selected 3/5 clients
  [Client  3] Round 1 | loss=1.7761 | time=12.6s
  [Client 95] Round 1 | loss=1.0691 | time=0.8s
  [Client 44] Round 1 | loss=1.4045 | time=1.0s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.4883
  [Edge 0] G-Round 1 | E-Round 3 | Selected 3/5 clients
  [Client  3] Round 1 | loss=1.7296 | time=1.3s
  [Client 10] Round 1 | loss=1.8129 | time=1.0s
  [Client 44] Round 1 | loss=1.3447 | time=1.0s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.6413
  [Edge 0] G-Round 1 | E-Round 4 | Selected 3/5 clients
  [Client 63] Round 1 | loss=1.8114 | time=11.3s
  [Client 10] Round 1 | loss=1.7648 | time=1.0s
  [Client  3] Round 1 | loss=1.7031 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.7499
  [Edge 0] G-Round 1 | E-Round 5 | Selected 3/5 clients
  [Client 95] Round 1 | loss=1.0099 | time=0.8s
  [Client 63] Round 1 | loss=1.7426 | time=0.8s
  [Client  3] Round 1 | loss=1.7257 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.5477
  [Edge 1] G-Round 1 | E-Round 1 | Selected 4/7 clients
  [Client 98] Round 1 | loss=1.9061 | time=12.4s
  [Client 84] Round 1 | loss=1.8199 | time=11.7s
  [Client 87] Round 1 | loss=1.6400 | time=9.3s
  [Client 27] Round 1 | loss=1.4732 | time=13.0s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.6609
  [Edge 1] G-Round 1 | E-Round 2 | Selected 4/7 clients
  [Client 84] Round 1 | loss=1.7458 | time=0.9s
  [Client 30] Round 1 | loss=1.7635 | time=11.0s
  [Client 11] Round 1 | loss=1.7526 | time=10.6s
  [Client 98] Round 1 | loss=1.8204 | time=0.9s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.7721
  [Edge 1] G-Round 1 | E-Round 3 | Selected 4/7 clients
  [Client 98] Round 1 | loss=1.7725 | time=0.9s
  [Client 27] Round 1 | loss=1.4282 | time=1.8s
  [Client 58] Round 1 | loss=1.8429 | time=9.5s
  [Client 87] Round 1 | loss=1.6431 | time=0.6s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.6022
  [Edge 1] G-Round 1 | E-Round 4 | Selected 4/7 clients
  [Client 84] Round 1 | loss=1.6920 | time=0.9s
  [Client 30] Round 1 | loss=1.6479 | time=0.7s
  [Client 27] Round 1 | loss=1.3917 | time=1.8s
  [Client 87] Round 1 | loss=1.6006 | time=0.6s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.5319
  [Edge 1] G-Round 1 | E-Round 5 | Selected 4/7 clients
  [Client 87] Round 1 | loss=1.6676 | time=0.6s
  [Client 30] Round 1 | loss=1.6044 | time=0.7s
  [Client 98] Round 1 | loss=1.7769 | time=0.9s
  [Client 84] Round 1 | loss=1.7210 | time=0.9s
  [Edge 1] G-Round 1 | E-Round 5 | loss=1.7010
  [Edge 2] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 93] Round 1 | loss=1.8907 | time=7.3s
  [Client 56] Round 1 | loss=1.8202 | time=11.6s
  [Client 90] Round 1 | loss=2.0213 | time=11.9s
  [Client 62] Round 1 | loss=1.7209 | time=12.5s
  [Client 25] Round 1 | loss=1.8907 | time=9.3s
  [Edge 2] G-Round 1 | E-Round 1 | loss=1.8532
  [Edge 2] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 56] Round 1 | loss=1.7426 | time=0.8s
  [Client 90] Round 1 | loss=1.9647 | time=0.9s
  [Client 25] Round 1 | loss=1.8353 | time=1.0s
  [Client 57] Round 1 | loss=1.7045 | time=11.9s
  [Client 93] Round 1 | loss=1.8453 | time=0.3s
  [Edge 2] G-Round 1 | E-Round 2 | loss=1.8156
  [Edge 2] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 62] Round 1 | loss=1.5764 | time=1.3s
  [Client 57] Round 1 | loss=1.6820 | time=0.9s
  [Client 93] Round 1 | loss=1.7495 | time=0.3s
  [Client 49] Round 1 | loss=1.9420 | time=11.1s
  [Client 90] Round 1 | loss=1.9708 | time=0.9s
  [Edge 2] G-Round 1 | E-Round 3 | loss=1.7661
  [Edge 2] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 90] Round 1 | loss=1.9706 | time=0.9s
  [Client 49] Round 1 | loss=1.9007 | time=0.8s
  [Client 62] Round 1 | loss=1.5912 | time=1.3s
  [Client 57] Round 1 | loss=1.6348 | time=0.9s
  [Client 93] Round 1 | loss=1.7014 | time=0.3s
  [Edge 2] G-Round 1 | E-Round 4 | loss=1.7490
  [Edge 2] G-Round 1 | E-Round 5 | Selected 5/8 clients
