
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 20 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 3/5 clients
  [Client 44] Round 1 | loss=1.4375 | time=13.9s
  [Client 95] Round 1 | loss=1.0412 | time=11.1s
  [Client 10] Round 1 | loss=1.8062 | time=9.2s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4579
  [Edge 0] G-Round 1 | E-Round 2 | Selected 3/5 clients
  [Client  3] Round 1 | loss=1.7387 | time=12.6s
  [Client 95] Round 1 | loss=1.0495 | time=0.8s
  [Client 44] Round 1 | loss=1.4508 | time=1.0s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.4813
  [Edge 0] G-Round 1 | E-Round 3 | Selected 3/5 clients
  [Client  3] Round 1 | loss=1.6743 | time=1.3s
  [Client 10] Round 1 | loss=1.7901 | time=1.0s
  [Client 44] Round 1 | loss=1.3927 | time=1.0s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.6256
  [Edge 0] G-Round 1 | E-Round 4 | Selected 3/5 clients
  [Client 63] Round 1 | loss=1.7999 | time=11.4s
  [Client 10] Round 1 | loss=1.7413 | time=1.0s
  [Client  3] Round 1 | loss=1.6822 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.7307
  [Edge 0] G-Round 1 | E-Round 5 | Selected 3/5 clients
  [Client 95] Round 1 | loss=1.0741 | time=0.8s
  [Client 63] Round 1 | loss=1.7468 | time=0.8s
  [Client  3] Round 1 | loss=1.6702 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.5393
  [Edge 1] G-Round 1 | E-Round 1 | Selected 4/7 clients
  [Client 98] Round 1 | loss=1.9224 | time=12.4s
  [Client 84] Round 1 | loss=1.8947 | time=11.8s
  [Client 87] Round 1 | loss=1.6009 | time=9.4s
  [Client 27] Round 1 | loss=1.5323 | time=13.0s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.7006
  [Edge 1] G-Round 1 | E-Round 2 | Selected 4/7 clients
  [Client 84] Round 1 | loss=1.8416 | time=0.9s
  [Client 30] Round 1 | loss=1.7900 | time=10.9s
  [Client 11] Round 1 | loss=1.8813 | time=10.6s
  [Client 98] Round 1 | loss=1.8767 | time=0.9s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.8496
  [Edge 1] G-Round 1 | E-Round 3 | Selected 4/7 clients
  [Client 98] Round 1 | loss=1.8643 | time=0.9s
  [Client 27] Round 1 | loss=1.5455 | time=1.8s
  [Client 58] Round 1 | loss=1.8599 | time=9.6s
  [Client 87] Round 1 | loss=1.5851 | time=0.6s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.6724
  [Edge 1] G-Round 1 | E-Round 4 | Selected 4/7 clients
  [Client 84] Round 1 | loss=1.8689 | time=0.9s
  [Client 30] Round 1 | loss=1.7590 | time=0.7s
  [Client 27] Round 1 | loss=1.5177 | time=1.8s
  [Client 87] Round 1 | loss=1.5545 | time=0.6s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.6415
  [Edge 1] G-Round 1 | E-Round 5 | Selected 4/7 clients
  [Client 87] Round 1 | loss=1.6276 | time=0.6s
  [Client 30] Round 1 | loss=1.7041 | time=0.7s
  [Client 98] Round 1 | loss=1.8639 | time=0.9s
  [Client 84] Round 1 | loss=1.8376 | time=0.9s
  [Edge 1] G-Round 1 | E-Round 5 | loss=1.7752
  [Edge 2] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 93] Round 1 | loss=1.7349 | time=7.3s
  [Client 56] Round 1 | loss=1.8670 | time=11.7s
  [Client 90] Round 1 | loss=2.0223 | time=11.9s
  [Client 62] Round 1 | loss=1.7774 | time=12.5s
  [Client 25] Round 1 | loss=1.9368 | time=9.2s
  [Edge 2] G-Round 1 | E-Round 1 | loss=1.8781
  [Edge 2] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 56] Round 1 | loss=1.8375 | time=0.8s
  [Client 90] Round 1 | loss=1.9927 | time=0.9s
  [Client 25] Round 1 | loss=1.8776 | time=1.0s
  [Client 57] Round 1 | loss=1.6791 | time=11.9s
  [Client 93] Round 1 | loss=1.6362 | time=0.3s
  [Edge 2] G-Round 1 | E-Round 2 | loss=1.8301
  [Edge 2] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 62] Round 1 | loss=1.6993 | time=1.3s
  [Client 57] Round 1 | loss=1.6518 | time=0.9s
  [Client 93] Round 1 | loss=1.6419 | time=0.3s
  [Client 49] Round 1 | loss=1.8791 | time=11.1s
  [Client 90] Round 1 | loss=1.9673 | time=0.9s
  [Edge 2] G-Round 1 | E-Round 3 | loss=1.7762
  [Edge 2] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 90] Round 1 | loss=1.9621 | time=0.9s
  [Client 49] Round 1 | loss=1.8493 | time=0.8s
  [Client 62] Round 1 | loss=1.7215 | time=1.2s
  [Client 57] Round 1 | loss=1.6346 | time=0.9s
  [Client 93] Round 1 | loss=1.6355 | time=0.3s
  [Edge 2] G-Round 1 | E-Round 4 | loss=1.7720
  [Edge 2] G-Round 1 | E-Round 5 | Selected 5/8 clients
  [Client 15] Round 1 | loss=1.7684 | time=8.6s
  [Client 57] Round 1 | loss=1.6492 | time=0.9s
  [Client 93] Round 1 | loss=1.6317 | time=0.3s
  [Client 56] Round 1 | loss=1.8158 | time=0.8s
  [Client 25] Round 1 | loss=1.9094 | time=1.0s
  [Edge 2] G-Round 1 | E-Round 5 | loss=1.7744
  [Edge 3] G-Round 1 | E-Round 1 | Selected 4/6 clients
  [Client 71] Round 1 | loss=1.6790 | time=9.4s
  [Client 70] Round 1 | loss=2.2132 | time=6.8s
  [Client 47] Round 1 | loss=1.7440 | time=11.4s
  [Client 79] Round 1 | loss=1.9713 | time=11.8s
  [Edge 3] G-Round 1 | E-Round 1 | loss=1.8496
  [Edge 3] G-Round 1 | E-Round 2 | Selected 4/6 clients
  [Client 70] Round 1 | loss=2.1691 | time=0.3s
  [Client 28] Round 1 | loss=1.7472 | time=11.9s
  [Client 47] Round 1 | loss=1.6864 | time=1.2s
  [Client 79] Round 1 | loss=1.9212 | time=1.1s
  [Edge 3] G-Round 1 | E-Round 2 | loss=1.8126
  [Edge 3] G-Round 1 | E-Round 3 | Selected 4/6 clients
  [Client 71] Round 1 | loss=1.7014 | time=0.6s
  [Client 29] Round 1 | loss=1.6963 | time=11.0s
  [Client 47] Round 1 | loss=1.6890 | time=1.2s
  [Client 79] Round 1 | loss=1.9065 | time=1.1s
  [Edge 3] G-Round 1 | E-Round 3 | loss=1.7408
  [Edge 3] G-Round 1 | E-Round 4 | Selected 4/6 clients
  [Client 29] Round 1 | loss=1.6315 | time=2.2s
  [Client 70] Round 1 | loss=2.1295 | time=0.3s
  [Client 71] Round 1 | loss=1.6781 | time=0.6s
  [Client 79] Round 1 | loss=1.8915 | time=1.1s
  [Edge 3] G-Round 1 | E-Round 4 | loss=1.7368
  [Edge 3] G-Round 1 | E-Round 5 | Selected 4/6 clients
  [Client 47] Round 1 | loss=1.6580 | time=1.2s
  [Client 70] Round 1 | loss=2.0993 | time=0.3s
  [Client 71] Round 1 | loss=1.7080 | time=0.6s
  [Client 29] Round 1 | loss=1.6772 | time=2.2s
  [Edge 3] G-Round 1 | E-Round 5 | loss=1.7003
  [Edge 4] G-Round 1 | E-Round 1 | Selected 4/6 clients
  [Client 52] Round 1 | loss=1.9172 | time=5.9s
  [Client 69] Round 1 | loss=1.9752 | time=10.3s
  [Client 38] Round 1 | loss=1.8857 | time=6.3s
  [Client 17] Round 1 | loss=2.0988 | time=6.7s
  [Edge 4] G-Round 1 | E-Round 1 | loss=1.9702
  [Edge 4] G-Round 1 | E-Round 2 | Selected 4/6 clients
  [Client 52] Round 1 | loss=1.9739 | time=0.4s
  [Client 48] Round 1 | loss=1.6463 | time=9.7s
  [Client 69] Round 1 | loss=1.9692 | time=1.4s
  [Client 38] Round 1 | loss=1.8139 | time=0.2s
  [Edge 4] G-Round 1 | E-Round 2 | loss=1.8373
  [Edge 4] G-Round 1 | E-Round 3 | Selected 4/6 clients
  [Client 38] Round 1 | loss=1.8263 | time=0.2s
  [Client 69] Round 1 | loss=1.9347 | time=1.4s
  [Client 17] Round 1 | loss=2.0327 | time=0.3s
  [Client 52] Round 1 | loss=1.8861 | time=0.4s
  [Edge 4] G-Round 1 | E-Round 3 | loss=1.9272
  [Edge 4] G-Round 1 | E-Round 4 | Selected 4/6 clients
  [Client 52] Round 1 | loss=1.8489 | time=0.4s
  [Client 48] Round 1 | loss=1.5919 | time=1.3s
  [Client 17] Round 1 | loss=2.0279 | time=0.3s
  [Client 89] Round 1 | loss=1.9645 | time=9.7s
  [Edge 4] G-Round 1 | E-Round 4 | loss=1.7657
  [Edge 4] G-Round 1 | E-Round 5 | Selected 4/6 clients
  [Client 17] Round 1 | loss=1.9796 | time=0.3s
  [Client 38] Round 1 | loss=1.7906 | time=0.2s
  [Client 89] Round 1 | loss=1.9366 | time=0.6s
  [Client 69] Round 1 | loss=1.9751 | time=1.4s
  [Edge 4] G-Round 1 | E-Round 5 | loss=1.9521
  [Edge 5] G-Round 1 | E-Round 1 | Selected 2/4 clients
  [Client 60] Round 1 | loss=1.7737 | time=13.0s
  [Client 82] Round 1 | loss=1.8880 | time=9.3s
  [Edge 5] G-Round 1 | E-Round 1 | loss=1.8193
  [Edge 5] G-Round 1 | E-Round 2 | Selected 2/4 clients
  [Client 60] Round 1 | loss=1.7214 | time=0.8s
  [Client 88] Round 1 | loss=1.9011 | time=9.4s
  [Edge 5] G-Round 1 | E-Round 2 | loss=1.8386
  [Edge 5] G-Round 1 | E-Round 3 | Selected 2/4 clients
  [Client 60] Round 1 | loss=1.7144 | time=0.8s
  [Client 88] Round 1 | loss=1.8865 | time=1.6s
  [Edge 5] G-Round 1 | E-Round 3 | loss=1.8266
  [Edge 5] G-Round 1 | E-Round 4 | Selected 2/4 clients
  [Client 92] Round 1 | loss=1.8743 | time=9.9s
  [Client 60] Round 1 | loss=1.7240 | time=0.8s
  [Edge 5] G-Round 1 | E-Round 4 | loss=1.7882
  [Edge 5] G-Round 1 | E-Round 5 | Selected 2/4 clients
  [Client 82] Round 1 | loss=1.9033 | time=0.6s
  [Client 92] Round 1 | loss=1.8371 | time=0.6s
  [Edge 5] G-Round 1 | E-Round 5 | loss=1.8682
  [Edge 6] G-Round 1 | E-Round 1 | Selected 6/9 clients
  [Client 16] Round 1 | loss=1.9706 | time=11.2s
  [Client 94] Round 1 | loss=1.8183 | time=10.7s
  [Client 55] Round 1 | loss=1.9029 | time=9.5s
  [Client  6] Round 1 | loss=2.0093 | time=9.1s
  [Client  2] Round 1 | loss=1.7931 | time=11.3s
  [Client 33] Round 1 | loss=1.8235 | time=9.7s
  [Edge 6] G-Round 1 | E-Round 1 | loss=1.8695
  [Edge 6] G-Round 1 | E-Round 2 | Selected 6/9 clients
  [Client 53] Round 1 | loss=1.7132 | time=9.1s
  [Client 33] Round 1 | loss=1.7964 | time=1.4s
  [Client 16] Round 1 | loss=1.9024 | time=0.8s
  [Client  2] Round 1 | loss=1.7397 | time=0.8s
  [Client 20] Round 1 | loss=1.6310 | time=11.3s
  [Client 96] Round 1 | loss=1.8903 | time=12.2s
  [Edge 6] G-Round 1 | E-Round 2 | loss=1.7778
  [Edge 6] G-Round 1 | E-Round 3 | Selected 6/9 clients
  [Client 20] Round 1 | loss=1.4838 | time=1.0s
  [Client 94] Round 1 | loss=1.7321 | time=1.1s
  [Client 96] Round 1 | loss=1.8219 | time=0.9s
  [Client 16] Round 1 | loss=1.9096 | time=0.8s
  [Client  6] Round 1 | loss=1.8917 | time=0.5s
  [Client 53] Round 1 | loss=1.6912 | time=0.8s
  [Edge 6] G-Round 1 | E-Round 3 | loss=1.7372
  [Edge 6] G-Round 1 | E-Round 4 | Selected 6/9 clients
  [Client 55] Round 1 | loss=1.8664 | time=0.9s
  [Client  2] Round 1 | loss=1.7516 | time=0.8s
  [Client 16] Round 1 | loss=1.8798 | time=0.8s
  [Client 53] Round 1 | loss=1.7126 | time=0.8s
  [Client 96] Round 1 | loss=1.8036 | time=0.9s
  [Client  6] Round 1 | loss=1.9177 | time=0.5s
  [Edge 6] G-Round 1 | E-Round 4 | loss=1.8169
  [Edge 6] G-Round 1 | E-Round 5 | Selected 6/9 clients
  [Client 96] Round 1 | loss=1.7835 | time=0.9s
  [Client 16] Round 1 | loss=1.8898 | time=0.8s
  [Client 55] Round 1 | loss=1.8503 | time=0.9s
  [Client  6] Round 1 | loss=1.7898 | time=0.5s
  [Client 53] Round 1 | loss=1.7081 | time=0.8s
  [Client 33] Round 1 | loss=1.6961 | time=1.4s
  [Edge 6] G-Round 1 | E-Round 5 | loss=1.7767
  [Edge 7] G-Round 1 | E-Round 1 | Selected 6/9 clients
  [Client 14] Round 1 | loss=2.2981 | time=8.7s
  [Client 61] Round 1 | loss=1.3395 | time=9.9s
  [Client 32] Round 1 | loss=1.6668 | time=11.4s
  [Client 26] Round 1 | loss=1.8079 | time=9.7s
  [Client 37] Round 1 | loss=1.9657 | time=12.7s
  [Client 24] Round 1 | loss=1.7245 | time=12.0s
  [Edge 7] G-Round 1 | E-Round 1 | loss=1.7912
  [Edge 7] G-Round 1 | E-Round 2 | Selected 6/9 clients
  [Client 24] Round 1 | loss=1.6725 | time=1.7s
  [Client 26] Round 1 | loss=1.7582 | time=0.9s
  [Client 36] Round 1 | loss=1.5072 | time=10.0s
  [Client 61] Round 1 | loss=1.2852 | time=0.6s
  [Client 14] Round 1 | loss=2.0885 | time=0.5s
  [Client 42] Round 1 | loss=1.7522 | time=10.5s
  [Edge 7] G-Round 1 | E-Round 2 | loss=1.6568
  [Edge 7] G-Round 1 | E-Round 3 | Selected 6/9 clients
  [Client 19] Round 1 | loss=1.3697 | time=11.7s
  [Client 24] Round 1 | loss=1.6938 | time=1.7s
  [Client 14] Round 1 | loss=2.2590 | time=0.5s
  [Client 37] Round 1 | loss=1.8948 | time=1.4s
  [Client 61] Round 1 | loss=1.2358 | time=0.6s
  [Client 42] Round 1 | loss=1.7365 | time=0.7s
  [Edge 7] G-Round 1 | E-Round 3 | loss=1.6549
  [Edge 7] G-Round 1 | E-Round 4 | Selected 6/9 clients
  [Client 24] Round 1 | loss=1.6697 | time=1.7s
  [Client 19] Round 1 | loss=1.2707 | time=1.7s
  [Client 26] Round 1 | loss=1.7466 | time=0.9s
  [Client 36] Round 1 | loss=1.4754 | time=1.1s
  [Client 61] Round 1 | loss=1.2429 | time=0.6s
  [Client 37] Round 1 | loss=1.8925 | time=1.4s
  [Edge 7] G-Round 1 | E-Round 4 | loss=1.5654
  [Edge 7] G-Round 1 | E-Round 5 | Selected 6/9 clients
  [Client 26] Round 1 | loss=1.7419 | time=0.9s
  [Client 14] Round 1 | loss=2.1315 | time=0.5s
  [Client 42] Round 1 | loss=1.7554 | time=0.7s
  [Client 37] Round 1 | loss=1.8865 | time=1.4s
  [Client 36] Round 1 | loss=1.5158 | time=1.1s
  [Client 24] Round 1 | loss=1.6929 | time=1.7s
  [Edge 7] G-Round 1 | E-Round 5 | loss=1.7537
  [Edge 8] G-Round 1 | E-Round 1 | Selected 1/2 clients
  [Client  5] Round 1 | loss=1.2744 | time=10.5s
  [Edge 8] G-Round 1 | E-Round 1 | loss=1.2744
  [Edge 8] G-Round 1 | E-Round 2 | Selected 1/2 clients
  [Client  5] Round 1 | loss=1.3121 | time=0.7s
  [Edge 8] G-Round 1 | E-Round 2 | loss=1.3121
  [Edge 8] G-Round 1 | E-Round 3 | Selected 1/2 clients
  [Client 31] Round 1 | loss=1.0297 | time=9.2s
  [Edge 8] G-Round 1 | E-Round 3 | loss=1.0297
  [Edge 8] G-Round 1 | E-Round 4 | Selected 1/2 clients
  [Client 31] Round 1 | loss=1.1135 | time=1.0s
  [Edge 8] G-Round 1 | E-Round 4 | loss=1.1135
  [Edge 8] G-Round 1 | E-Round 5 | Selected 1/2 clients
  [Client 31] Round 1 | loss=0.9363 | time=1.0s
  [Edge 8] G-Round 1 | E-Round 5 | loss=0.9363
  [Edge 9] G-Round 1 | E-Round 1 | Selected 2/3 clients
  [Client 13] Round 1 | loss=1.3773 | time=11.2s
  [Client 74] Round 1 | loss=1.6252 | time=11.5s
  [Edge 9] G-Round 1 | E-Round 1 | loss=1.4619
  [Edge 9] G-Round 1 | E-Round 2 | Selected 2/3 clients
