
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 10 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 10/10 clients
  [Client 64] Round 1 | loss=1.7796 | time=8.9s
  [Client 23] Round 1 | loss=1.7880 | time=11.7s
  [Client 48] Round 1 | loss=1.5975 | time=12.0s
  [Client 58] Round 1 | loss=1.8445 | time=9.5s
  [Client 98] Round 1 | loss=1.8220 | time=11.9s
  [Client 47] Round 1 | loss=1.8032 | time=11.2s
  [Client 30] Round 1 | loss=1.7617 | time=10.8s
  [Client 53] Round 1 | loss=1.7147 | time=10.9s
  [Client 11] Round 1 | loss=1.7630 | time=10.6s
  [Client 49] Round 1 | loss=1.9028 | time=11.1s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.7667
  [Edge 0] G-Round 1 | E-Round 2 | Selected 10/10 clients
  [Client 53] Round 1 | loss=1.6546 | time=0.8s
  [Client 98] Round 1 | loss=1.7366 | time=0.9s
  [Client 49] Round 1 | loss=1.8068 | time=0.8s
  [Client 48] Round 1 | loss=1.5685 | time=1.3s
  [Client 11] Round 1 | loss=1.7763 | time=0.7s
  [Client 30] Round 1 | loss=1.6700 | time=0.7s
  [Client 64] Round 1 | loss=1.7439 | time=0.3s
  [Client 23] Round 1 | loss=1.6848 | time=0.5s
  [Client 58] Round 1 | loss=1.7672 | time=0.6s
  [Client 47] Round 1 | loss=1.7419 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.7059
  [Edge 0] G-Round 1 | E-Round 3 | Selected 10/10 clients
  [Client 98] Round 1 | loss=1.7132 | time=0.9s
  [Client 64] Round 1 | loss=1.6894 | time=0.3s
  [Client 30] Round 1 | loss=1.6251 | time=0.7s
  [Client 53] Round 1 | loss=1.6595 | time=0.8s
  [Client 23] Round 1 | loss=1.6156 | time=0.5s
  [Client 11] Round 1 | loss=1.7657 | time=0.7s
  [Client 48] Round 1 | loss=1.5946 | time=1.3s
  [Client 58] Round 1 | loss=1.8216 | time=0.6s
  [Client 47] Round 1 | loss=1.7029 | time=1.2s
  [Client 49] Round 1 | loss=1.8236 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.6961
  [Edge 0] G-Round 1 | E-Round 4 | Selected 10/10 clients
  [Client 98] Round 1 | loss=1.7054 | time=0.9s
  [Client 48] Round 1 | loss=1.5843 | time=1.3s
  [Client 64] Round 1 | loss=1.6608 | time=0.3s
  [Client 30] Round 1 | loss=1.6208 | time=0.7s
  [Client 49] Round 1 | loss=1.8202 | time=0.8s
  [Client 11] Round 1 | loss=1.7245 | time=0.7s
  [Client 47] Round 1 | loss=1.7125 | time=1.2s
  [Client 23] Round 1 | loss=1.6589 | time=0.5s
  [Client 53] Round 1 | loss=1.6607 | time=0.8s
  [Client 58] Round 1 | loss=1.7666 | time=0.6s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.6882
  [Edge 0] G-Round 1 | E-Round 5 | Selected 10/10 clients
  [Client 58] Round 1 | loss=1.7488 | time=0.6s
  [Client 53] Round 1 | loss=1.6461 | time=0.8s
  [Client 64] Round 1 | loss=1.6692 | time=0.3s
  [Client 47] Round 1 | loss=1.7296 | time=1.2s
  [Client 98] Round 1 | loss=1.7057 | time=0.9s
  [Client 11] Round 1 | loss=1.7175 | time=0.7s
  [Client 49] Round 1 | loss=1.8202 | time=0.8s
  [Client 30] Round 1 | loss=1.5814 | time=0.7s
  [Client 23] Round 1 | loss=1.6626 | time=0.5s
  [Client 48] Round 1 | loss=1.5433 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.6778
  [Edge 1] G-Round 1 | E-Round 1 | Selected 10/10 clients
  [Client 67] Round 1 | loss=1.7979 | time=9.0s
  [Client 54] Round 1 | loss=1.9196 | time=11.6s
  [Client 20] Round 1 | loss=1.5736 | time=9.5s
  [Client 79] Round 1 | loss=1.9839 | time=10.6s
  [Client 40] Round 1 | loss=1.9755 | time=10.3s
  [Client 65] Round 1 | loss=1.5951 | time=7.8s
  [Client 12] Round 1 | loss=1.6580 | time=9.2s
  [Client 31] Round 1 | loss=1.0343 | time=9.9s
  [Client 89] Round 1 | loss=1.9049 | time=9.4s
  [Client 26] Round 1 | loss=1.9241 | time=12.0s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.7483
  [Edge 1] G-Round 1 | E-Round 2 | Selected 10/10 clients
  [Client 89] Round 1 | loss=1.9148 | time=0.6s
  [Client 65] Round 1 | loss=1.5541 | time=0.4s
  [Client 67] Round 1 | loss=1.6930 | time=1.5s
  [Client 31] Round 1 | loss=1.0625 | time=1.0s
  [Client 26] Round 1 | loss=1.8280 | time=0.9s
  [Client 54] Round 1 | loss=1.9283 | time=1.2s
  [Client 20] Round 1 | loss=1.4665 | time=1.0s
  [Client 40] Round 1 | loss=1.9063 | time=0.7s
  [Client 12] Round 1 | loss=1.7257 | time=0.6s
  [Client 79] Round 1 | loss=1.9011 | time=1.1s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.7001
  [Edge 1] G-Round 1 | E-Round 3 | Selected 10/10 clients
  [Client 89] Round 1 | loss=1.8669 | time=0.6s
  [Client 31] Round 1 | loss=0.9762 | time=1.0s
  [Client 26] Round 1 | loss=1.8377 | time=0.9s
  [Client 67] Round 1 | loss=1.7206 | time=1.5s
  [Client 54] Round 1 | loss=1.9144 | time=1.2s
  [Client 12] Round 1 | loss=1.6500 | time=0.6s
  [Client 79] Round 1 | loss=1.9103 | time=1.1s
  [Client 20] Round 1 | loss=1.4459 | time=1.0s
  [Client 40] Round 1 | loss=1.8868 | time=0.7s
  [Client 65] Round 1 | loss=1.5648 | time=0.4s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.6847
  [Edge 1] G-Round 1 | E-Round 4 | Selected 10/10 clients
  [Client 20] Round 1 | loss=1.4818 | time=1.0s
  [Client 26] Round 1 | loss=1.7912 | time=0.9s
  [Client 12] Round 1 | loss=1.6086 | time=0.6s
  [Client 79] Round 1 | loss=1.9052 | time=1.1s
  [Client 89] Round 1 | loss=1.8664 | time=0.6s
  [Client 65] Round 1 | loss=1.5538 | time=0.4s
  [Client 31] Round 1 | loss=1.1401 | time=1.0s
  [Client 67] Round 1 | loss=1.6903 | time=1.5s
  [Client 40] Round 1 | loss=1.8869 | time=0.7s
  [Client 54] Round 1 | loss=1.8796 | time=1.2s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.6877
  [Edge 1] G-Round 1 | E-Round 5 | Selected 10/10 clients
  [Client 26] Round 1 | loss=1.7861 | time=0.9s
  [Client 31] Round 1 | loss=0.9826 | time=1.0s
  [Client 20] Round 1 | loss=1.5743 | time=1.0s
  [Client 65] Round 1 | loss=1.5464 | time=0.4s
  [Client 54] Round 1 | loss=1.9201 | time=1.2s
  [Client 89] Round 1 | loss=1.9013 | time=0.6s
  [Client 79] Round 1 | loss=1.9228 | time=1.1s
  [Client 67] Round 1 | loss=1.6873 | time=1.5s
  [Client 12] Round 1 | loss=1.6901 | time=0.6s
  [Client 40] Round 1 | loss=1.8533 | time=0.7s
  [Edge 1] G-Round 1 | E-Round 5 | loss=1.6927
  [Edge 2] G-Round 1 | E-Round 1 | Selected 10/10 clients
  [Client 62] Round 1 | loss=1.6329 | time=11.7s
  [Client 83] Round 1 | loss=1.8561 | time=11.4s
  [Client 60] Round 1 | loss=1.7164 | time=11.5s
  [Client  3] Round 1 | loss=1.6587 | time=12.5s
  [Client 74] Round 1 | loss=1.6676 | time=12.4s
  [Client 81] Round 1 | loss=1.7558 | time=10.0s
