
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/5 clients
  [Client  2] Round 1 | loss=1.3434 | time=20.3s
  [Client  3] Round 1 | loss=1.3843 | time=13.6s
  [Client  4] Round 1 | loss=1.3020 | time=21.1s
  [Client  6] Round 1 | loss=1.2934 | time=19.4s
  [Client  5] Round 1 | loss=1.2484 | time=18.6s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.3048
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/5 clients
  [Client  6] Round 1 | loss=1.1640 | time=13.8s
  [Client  4] Round 1 | loss=1.1273 | time=11.4s
  [Client  3] Round 1 | loss=1.1724 | time=5.0s
  [Client  5] Round 1 | loss=1.1311 | time=7.1s
  [Client  2] Round 1 | loss=1.1968 | time=5.1s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.1535
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/5 clients
  [Client  4] Round 1 | loss=1.0576 | time=11.4s
  [Client  2] Round 1 | loss=1.0515 | time=5.1s
  [Client  5] Round 1 | loss=0.9941 | time=7.2s
  [Client  6] Round 1 | loss=1.0293 | time=13.9s
  [Client  3] Round 1 | loss=1.0785 | time=5.0s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.0394
  [Edge 0] G-Round 1 | E-Round 4 | Selected 5/5 clients
  [Client  2] Round 1 | loss=1.0571 | time=5.1s
  [Client  4] Round 1 | loss=0.9812 | time=11.4s
  [Client  3] Round 1 | loss=0.9916 | time=5.0s
  [Client  6] Round 1 | loss=0.9423 | time=13.9s
  [Client  5] Round 1 | loss=0.9767 | time=7.2s
  [Edge 0] G-Round 1 | E-Round 4 | loss=0.9780
  [Edge 0] G-Round 1 | E-Round 5 | Selected 5/5 clients
  [Client  4] Round 1 | loss=0.9424 | time=11.4s
  [Client  3] Round 1 | loss=0.9178 | time=5.1s
  [Client  2] Round 1 | loss=0.9510 | time=5.1s
  [Client  6] Round 1 | loss=0.8562 | time=14.0s
  [Client  5] Round 1 | loss=0.9202 | time=7.2s
  [Edge 0] G-Round 1 | E-Round 5 | loss=0.9086
  [Edge 0] G-Round 1 | E-Round 6 | Selected 5/5 clients
  [Client  6] Round 1 | loss=0.8306 | time=13.9s
  [Client  3] Round 1 | loss=0.8454 | time=5.0s
  [Client  5] Round 1 | loss=0.8846 | time=7.2s
  [Client  4] Round 1 | loss=0.8762 | time=11.5s
  [Client  2] Round 1 | loss=0.8894 | time=5.1s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.8606
  [Edge 0] G-Round 1 | E-Round 7 | Selected 5/5 clients
  [Client  2] Round 1 | loss=0.8638 | time=5.1s
  [Client  4] Round 1 | loss=0.8310 | time=11.5s
  [Client  6] Round 1 | loss=0.7304 | time=14.0s
  [Client  5] Round 1 | loss=0.8393 | time=7.2s
  [Client  3] Round 1 | loss=0.8358 | time=5.0s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.8040
  [Edge 0] G-Round 1 | E-Round 8 | Selected 5/5 clients
  [Client  2] Round 1 | loss=0.7790 | time=5.1s
  [Client  3] Round 1 | loss=0.7857 | time=5.0s
  [Client  6] Round 1 | loss=0.6940 | time=14.1s
  [Client  5] Round 1 | loss=0.8227 | time=7.2s
  [Client  4] Round 1 | loss=0.8033 | time=11.5s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.7659
  [Edge 0] G-Round 1 | E-Round 9 | Selected 5/5 clients
  [Client  3] Round 1 | loss=0.7571 | time=5.1s
  [Client  5] Round 1 | loss=0.7790 | time=7.2s
  [Client  4] Round 1 | loss=0.7532 | time=11.5s
  [Client  2] Round 1 | loss=0.7608 | time=5.1s
  [Client  6] Round 1 | loss=0.6574 | time=14.0s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.7276
  [Edge 0] G-Round 1 | E-Round 10 | Selected 5/5 clients
  [Client  2] Round 1 | loss=0.7504 | time=5.1s
  [Client  4] Round 1 | loss=0.7068 | time=11.4s
  [Client  5] Round 1 | loss=0.7713 | time=7.2s
  [Client  6] Round 1 | loss=0.6122 | time=13.9s
  [Client  3] Round 1 | loss=0.7020 | time=5.0s
  [Edge 0] G-Round 1 | E-Round 10 | loss=0.6913
  [Edge 1] G-Round 1 | E-Round 1 | Selected 5/5 clients
  [Client  1] Round 1 | loss=1.2970 | time=19.3s
  [Client  8] Round 1 | loss=1.7023 | time=15.6s
  [Client  7] Round 1 | loss=1.3758 | time=17.7s
  [Client  0] Round 1 | loss=1.5679 | time=15.0s
  [Client  9] Round 1 | loss=1.4538 | time=23.6s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.4582
  [Edge 1] G-Round 1 | E-Round 2 | Selected 5/5 clients
  [Client  1] Round 1 | loss=1.2278 | time=10.1s
  [Client  7] Round 1 | loss=1.0988 | time=7.1s
  [Client  0] Round 1 | loss=1.3973 | time=6.4s
  [Client  8] Round 1 | loss=1.5328 | time=6.5s
  [Client  9] Round 1 | loss=1.2366 | time=15.4s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.2777
  [Edge 1] G-Round 1 | E-Round 3 | Selected 5/5 clients
  [Client  9] Round 1 | loss=1.1086 | time=15.4s
  [Client  0] Round 1 | loss=1.2424 | time=6.4s
  [Client  7] Round 1 | loss=0.9361 | time=7.1s
  [Client  1] Round 1 | loss=1.1114 | time=10.1s
  [Client  8] Round 1 | loss=1.3690 | time=6.5s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.1380
  [Edge 1] G-Round 1 | E-Round 4 | Selected 5/5 clients
  [Client  1] Round 1 | loss=1.0213 | time=10.1s
  [Client  9] Round 1 | loss=1.0475 | time=15.4s
  [Client  7] Round 1 | loss=0.8518 | time=7.2s
  [Client  8] Round 1 | loss=1.2812 | time=6.5s
  [Client  0] Round 1 | loss=1.1632 | time=6.4s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.0605
  [Edge 1] G-Round 1 | E-Round 5 | Selected 5/5 clients
  [Client  9] Round 1 | loss=0.9858 | time=15.4s
  [Client  7] Round 1 | loss=0.8024 | time=7.1s
  [Client  8] Round 1 | loss=1.1682 | time=6.5s
  [Client  1] Round 1 | loss=0.9669 | time=10.1s
  [Client  0] Round 1 | loss=1.1673 | time=6.4s
  [Edge 1] G-Round 1 | E-Round 5 | loss=1.0042
  [Edge 1] G-Round 1 | E-Round 6 | Selected 5/5 clients
  [Client  8] Round 1 | loss=1.1111 | time=6.5s
  [Client  9] Round 1 | loss=0.9292 | time=15.5s
  [Client  7] Round 1 | loss=0.7141 | time=7.2s
  [Client  0] Round 1 | loss=1.0054 | time=6.4s
  [Client  1] Round 1 | loss=0.8964 | time=10.1s
  [Edge 1] G-Round 1 | E-Round 6 | loss=0.9247
  [Edge 1] G-Round 1 | E-Round 7 | Selected 5/5 clients
  [Client  0] Round 1 | loss=0.9987 | time=6.4s
  [Client  1] Round 1 | loss=0.8540 | time=10.1s
  [Client  7] Round 1 | loss=0.6403 | time=7.1s
  [Client  9] Round 1 | loss=0.8708 | time=15.4s
  [Client  8] Round 1 | loss=1.0769 | time=6.5s
  [Edge 1] G-Round 1 | E-Round 7 | loss=0.8781
  [Edge 1] G-Round 1 | E-Round 8 | Selected 5/5 clients
  [Client  7] Round 1 | loss=0.6036 | time=7.1s
  [Client  0] Round 1 | loss=0.9368 | time=6.4s
  [Client  8] Round 1 | loss=0.9659 | time=6.5s
  [Client  1] Round 1 | loss=0.8001 | time=10.1s
  [Client  9] Round 1 | loss=0.8443 | time=15.4s
  [Edge 1] G-Round 1 | E-Round 8 | loss=0.8270
  [Edge 1] G-Round 1 | E-Round 9 | Selected 5/5 clients
  [Client  9] Round 1 | loss=0.8134 | time=15.4s
  [Client  1] Round 1 | loss=0.7638 | time=10.1s
  [Client  8] Round 1 | loss=0.9680 | time=6.5s
  [Client  7] Round 1 | loss=0.5720 | time=7.2s
  [Client  0] Round 1 | loss=0.9336 | time=6.4s
  [Edge 1] G-Round 1 | E-Round 9 | loss=0.8034
  [Edge 1] G-Round 1 | E-Round 10 | Selected 5/5 clients
  [Client  8] Round 1 | loss=0.8918 | time=6.5s
  [Client  0] Round 1 | loss=0.8830 | time=6.4s
  [Client  7] Round 1 | loss=0.5473 | time=7.2s
  [Client  9] Round 1 | loss=0.7626 | time=15.5s
  [Client  1] Round 1 | loss=0.7229 | time=10.1s
  [Edge 1] G-Round 1 | E-Round 10 | loss=0.7553
[Round   1] Phase 2: Cloud aggregating...
  [Cloud] acc=0.5024 | loss=1.3889 | time=986.3s | comm=2139.2MB (total=2139MB)

[Round   2] Phase 1: Cloud broadcasting to 2 edges...
  [Edge 0] G-Round 2 | E-Round 1 | Selected 5/5 clients
  [Client  3] Round 2 | loss=0.7022 | time=5.1s
  [Client  5] Round 2 | loss=0.7811 | time=7.2s
  [Client  6] Round 2 | loss=0.6896 | time=14.1s
  [Client  2] Round 2 | loss=0.6923 | time=5.1s
  [Client  4] Round 2 | loss=0.7561 | time=11.6s
  [Edge 0] G-Round 2 | E-Round 1 | loss=0.7246
  [Edge 0] G-Round 2 | E-Round 2 | Selected 5/5 clients
  [Client  4] Round 2 | loss=0.6574 | time=11.5s
  [Client  3] Round 2 | loss=0.6770 | time=5.1s
  [Client  6] Round 2 | loss=0.6258 | time=14.0s
  [Client  2] Round 2 | loss=0.6937 | time=5.1s
  [Client  5] Round 2 | loss=0.7536 | time=7.2s
  [Edge 0] G-Round 2 | E-Round 2 | loss=0.6699
  [Edge 0] G-Round 2 | E-Round 3 | Selected 5/5 clients
  [Client  5] Round 2 | loss=0.7127 | time=7.2s
  [Client  6] Round 2 | loss=0.5861 | time=14.1s
  [Client  2] Round 2 | loss=0.6973 | time=5.1s
  [Client  4] Round 2 | loss=0.6236 | time=11.6s
  [Client  3] Round 2 | loss=0.5955 | time=5.1s
  [Edge 0] G-Round 2 | E-Round 3 | loss=0.6318
  [Edge 0] G-Round 2 | E-Round 4 | Selected 5/5 clients
  [Client  2] Round 2 | loss=0.6305 | time=5.1s
  [Client  3] Round 2 | loss=0.5840 | time=5.1s
  [Client  6] Round 2 | loss=0.5418 | time=14.1s
  [Client  5] Round 2 | loss=0.6690 | time=7.2s
  [Client  4] Round 2 | loss=0.6008 | time=11.5s
  [Edge 0] G-Round 2 | E-Round 4 | loss=0.5945
  [Edge 0] G-Round 2 | E-Round 5 | Selected 5/5 clients
  [Client  4] Round 2 | loss=0.5709 | time=11.5s
  [Client  2] Round 2 | loss=0.6188 | time=5.1s
  [Client  6] Round 2 | loss=0.5234 | time=14.0s
  [Client  3] Round 2 | loss=0.6234 | time=5.0s
  [Client  5] Round 2 | loss=0.6720 | time=7.2s
  [Edge 0] G-Round 2 | E-Round 5 | loss=0.5842
  [Edge 0] G-Round 2 | E-Round 6 | Selected 5/5 clients
  [Client  5] Round 2 | loss=0.6285 | time=7.2s
  [Client  6] Round 2 | loss=0.5075 | time=14.0s
  [Client  2] Round 2 | loss=0.6032 | time=5.1s
  [Client  4] Round 2 | loss=0.5551 | time=11.5s
  [Client  3] Round 2 | loss=0.5401 | time=5.1s
  [Edge 0] G-Round 2 | E-Round 6 | loss=0.5558
  [Edge 0] G-Round 2 | E-Round 7 | Selected 5/5 clients
  [Client  3] Round 2 | loss=0.5098 | time=5.1s
  [Client  2] Round 2 | loss=0.5780 | time=5.1s
  [Client  4] Round 2 | loss=0.5087 | time=11.5s
  [Client  5] Round 2 | loss=0.6016 | time=7.2s
  [Client  6] Round 2 | loss=0.4673 | time=14.1s
  [Edge 0] G-Round 2 | E-Round 7 | loss=0.5191
  [Edge 0] G-Round 2 | E-Round 8 | Selected 5/5 clients
  [Client  2] Round 2 | loss=0.5715 | time=5.1s
  [Client  6] Round 2 | loss=0.4546 | time=14.1s
  [Client  3] Round 2 | loss=0.5322 | time=5.1s
  [Client  5] Round 2 | loss=0.6115 | time=7.2s
  [Client  4] Round 2 | loss=0.5030 | time=11.5s
  [Edge 0] G-Round 2 | E-Round 8 | loss=0.5170
  [Edge 0] G-Round 2 | E-Round 9 | Selected 5/5 clients
  [Client  6] Round 2 | loss=0.4293 | time=14.0s
  [Client  3] Round 2 | loss=0.4845 | time=5.1s
  [Client  4] Round 2 | loss=0.4832 | time=11.5s
  [Client  2] Round 2 | loss=0.4906 | time=5.1s
  [Client  5] Round 2 | loss=0.5895 | time=7.2s
  [Edge 0] G-Round 2 | E-Round 9 | loss=0.4845
  [Edge 0] G-Round 2 | E-Round 10 | Selected 5/5 clients
  [Client  2] Round 2 | loss=0.5068 | time=5.1s
  [Client  3] Round 2 | loss=0.4716 | time=5.1s
  [Client  4] Round 2 | loss=0.4444 | time=11.6s
  [Client  5] Round 2 | loss=0.5661 | time=7.2s
  [Client  6] Round 2 | loss=0.4216 | time=14.0s
  [Edge 0] G-Round 2 | E-Round 10 | loss=0.4680
  [Edge 1] G-Round 2 | E-Round 1 | Selected 5/5 clients
  [Client  9] Round 2 | loss=0.8262 | time=15.4s
  [Client  8] Round 2 | loss=0.9400 | time=6.5s
  [Client  0] Round 2 | loss=0.9556 | time=6.4s
  [Client  7] Round 2 | loss=0.6509 | time=7.2s
  [Client  1] Round 2 | loss=0.7884 | time=10.1s
  [Edge 1] G-Round 2 | E-Round 1 | loss=0.8246
  [Edge 1] G-Round 2 | E-Round 2 | Selected 5/5 clients
  [Client  7] Round 2 | loss=0.5276 | time=7.2s
  [Client  0] Round 2 | loss=0.8438 | time=6.4s
  [Client  1] Round 2 | loss=0.7353 | time=10.1s
  [Client  8] Round 2 | loss=0.9193 | time=6.5s
  [Client  9] Round 2 | loss=0.7729 | time=15.5s
  [Edge 1] G-Round 2 | E-Round 2 | loss=0.7568
  [Edge 1] G-Round 2 | E-Round 3 | Selected 5/5 clients
  [Client  8] Round 2 | loss=0.8305 | time=6.6s
  [Client  7] Round 2 | loss=0.5178 | time=7.2s
  [Client  1] Round 2 | loss=0.6695 | time=10.2s
  [Client  0] Round 2 | loss=0.7762 | time=6.4s
  [Client  9] Round 2 | loss=0.7289 | time=15.5s
  [Edge 1] G-Round 2 | E-Round 3 | loss=0.7037
  [Edge 1] G-Round 2 | E-Round 4 | Selected 5/5 clients
  [Client  9] Round 2 | loss=0.6643 | time=15.5s
  [Client  1] Round 2 | loss=0.6399 | time=10.1s
  [Client  8] Round 2 | loss=0.7717 | time=6.5s
  [Client  0] Round 2 | loss=0.8625 | time=6.4s
  [Client  7] Round 2 | loss=0.4543 | time=7.2s
  [Edge 1] G-Round 2 | E-Round 4 | loss=0.6689
  [Edge 1] G-Round 2 | E-Round 5 | Selected 5/5 clients
  [Client  1] Round 2 | loss=0.6177 | time=10.1s
  [Client  0] Round 2 | loss=0.7439 | time=6.4s
  [Client  8] Round 2 | loss=0.7326 | time=6.5s
  [Client  7] Round 2 | loss=0.4302 | time=7.2s
  [Client  9] Round 2 | loss=0.6648 | time=15.5s
  [Edge 1] G-Round 2 | E-Round 5 | loss=0.6382
  [Edge 1] G-Round 2 | E-Round 6 | Selected 5/5 clients
