
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 10 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 1/1 clients
  [Client  6] Round 1 | loss=1.3246 | time=25.0s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.3246
  [Edge 0] G-Round 1 | E-Round 2 | Selected 1/1 clients
  [Client  6] Round 1 | loss=0.9901 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 2 | loss=0.9901
  [Edge 0] G-Round 1 | E-Round 3 | Selected 1/1 clients
  [Client  6] Round 1 | loss=0.8291 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 3 | loss=0.8291
  [Edge 0] G-Round 1 | E-Round 4 | Selected 1/1 clients
  [Client  6] Round 1 | loss=0.7015 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 4 | loss=0.7015
  [Edge 0] G-Round 1 | E-Round 5 | Selected 1/1 clients
  [Client  6] Round 1 | loss=0.6186 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 5 | loss=0.6186
  [Edge 0] G-Round 1 | E-Round 6 | Selected 1/1 clients
  [Client  6] Round 1 | loss=0.5823 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 6 | loss=0.5823
  [Edge 0] G-Round 1 | E-Round 7 | Selected 1/1 clients
  [Client  6] Round 1 | loss=0.5107 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 7 | loss=0.5107
  [Edge 0] G-Round 1 | E-Round 8 | Selected 1/1 clients
  [Client  6] Round 1 | loss=0.4737 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 8 | loss=0.4737
  [Edge 0] G-Round 1 | E-Round 9 | Selected 1/1 clients
  [Client  6] Round 1 | loss=0.4089 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 9 | loss=0.4089
  [Edge 0] G-Round 1 | E-Round 10 | Selected 1/1 clients
  [Client  6] Round 1 | loss=0.3724 | time=13.9s
  [Edge 0] G-Round 1 | E-Round 10 | loss=0.3724
  [Edge 1] G-Round 1 | E-Round 1 | Selected 1/1 clients
  [Client  5] Round 1 | loss=1.2794 | time=18.4s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.2794
  [Edge 1] G-Round 1 | E-Round 2 | Selected 1/1 clients
  [Client  5] Round 1 | loss=1.1403 | time=7.2s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.1403
  [Edge 1] G-Round 1 | E-Round 3 | Selected 1/1 clients
  [Client  5] Round 1 | loss=1.0087 | time=7.2s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.0087
  [Edge 1] G-Round 1 | E-Round 4 | Selected 1/1 clients
  [Client  5] Round 1 | loss=0.9005 | time=7.2s
  [Edge 1] G-Round 1 | E-Round 4 | loss=0.9005
  [Edge 1] G-Round 1 | E-Round 5 | Selected 1/1 clients
  [Client  5] Round 1 | loss=0.8485 | time=7.2s
  [Edge 1] G-Round 1 | E-Round 5 | loss=0.8485
  [Edge 1] G-Round 1 | E-Round 6 | Selected 1/1 clients
  [Client  5] Round 1 | loss=0.7829 | time=7.2s
  [Edge 1] G-Round 1 | E-Round 6 | loss=0.7829
  [Edge 1] G-Round 1 | E-Round 7 | Selected 1/1 clients
  [Client  5] Round 1 | loss=0.7524 | time=7.2s
  [Edge 1] G-Round 1 | E-Round 7 | loss=0.7524
  [Edge 1] G-Round 1 | E-Round 8 | Selected 1/1 clients
  [Client  5] Round 1 | loss=0.7279 | time=7.2s
  [Edge 1] G-Round 1 | E-Round 8 | loss=0.7279
  [Edge 1] G-Round 1 | E-Round 9 | Selected 1/1 clients
  [Client  5] Round 1 | loss=0.6835 | time=7.2s
  [Edge 1] G-Round 1 | E-Round 9 | loss=0.6835
  [Edge 1] G-Round 1 | E-Round 10 | Selected 1/1 clients
  [Client  5] Round 1 | loss=0.6377 | time=7.2s
  [Edge 1] G-Round 1 | E-Round 10 | loss=0.6377
  [Edge 2] G-Round 1 | E-Round 1 | Selected 1/1 clients
  [Client  3] Round 1 | loss=1.3918 | time=13.7s
  [Edge 2] G-Round 1 | E-Round 1 | loss=1.3918
  [Edge 2] G-Round 1 | E-Round 2 | Selected 1/1 clients
  [Client  3] Round 1 | loss=1.1152 | time=5.0s
  [Edge 2] G-Round 1 | E-Round 2 | loss=1.1152
  [Edge 2] G-Round 1 | E-Round 3 | Selected 1/1 clients
  [Client  3] Round 1 | loss=1.0336 | time=5.0s
  [Edge 2] G-Round 1 | E-Round 3 | loss=1.0336
  [Edge 2] G-Round 1 | E-Round 4 | Selected 1/1 clients
  [Client  3] Round 1 | loss=0.9295 | time=5.0s
  [Edge 2] G-Round 1 | E-Round 4 | loss=0.9295
  [Edge 2] G-Round 1 | E-Round 5 | Selected 1/1 clients
  [Client  3] Round 1 | loss=0.8609 | time=5.0s
  [Edge 2] G-Round 1 | E-Round 5 | loss=0.8609
  [Edge 2] G-Round 1 | E-Round 6 | Selected 1/1 clients
  [Client  3] Round 1 | loss=0.7885 | time=5.0s
  [Edge 2] G-Round 1 | E-Round 6 | loss=0.7885
  [Edge 2] G-Round 1 | E-Round 7 | Selected 1/1 clients
  [Client  3] Round 1 | loss=0.7582 | time=5.0s
  [Edge 2] G-Round 1 | E-Round 7 | loss=0.7582
  [Edge 2] G-Round 1 | E-Round 8 | Selected 1/1 clients
  [Client  3] Round 1 | loss=0.6861 | time=5.0s
  [Edge 2] G-Round 1 | E-Round 8 | loss=0.6861
  [Edge 2] G-Round 1 | E-Round 9 | Selected 1/1 clients
  [Client  3] Round 1 | loss=0.6163 | time=5.0s
  [Edge 2] G-Round 1 | E-Round 9 | loss=0.6163
  [Edge 2] G-Round 1 | E-Round 10 | Selected 1/1 clients
  [Client  3] Round 1 | loss=0.6018 | time=5.0s
  [Edge 2] G-Round 1 | E-Round 10 | loss=0.6018
  [Edge 3] G-Round 1 | E-Round 1 | Selected 1/1 clients
  [Client  4] Round 1 | loss=1.3027 | time=21.0s
  [Edge 3] G-Round 1 | E-Round 1 | loss=1.3027
  [Edge 3] G-Round 1 | E-Round 2 | Selected 1/1 clients
  [Client  4] Round 1 | loss=1.0538 | time=11.4s
  [Edge 3] G-Round 1 | E-Round 2 | loss=1.0538
  [Edge 3] G-Round 1 | E-Round 3 | Selected 1/1 clients
  [Client  4] Round 1 | loss=0.9584 | time=11.4s
  [Edge 3] G-Round 1 | E-Round 3 | loss=0.9584
  [Edge 3] G-Round 1 | E-Round 4 | Selected 1/1 clients
  [Client  4] Round 1 | loss=0.8814 | time=11.4s
  [Edge 3] G-Round 1 | E-Round 4 | loss=0.8814
  [Edge 3] G-Round 1 | E-Round 5 | Selected 1/1 clients
  [Client  4] Round 1 | loss=0.8042 | time=11.4s
  [Edge 3] G-Round 1 | E-Round 5 | loss=0.8042
  [Edge 3] G-Round 1 | E-Round 6 | Selected 1/1 clients
  [Client  4] Round 1 | loss=0.7318 | time=11.4s
  [Edge 3] G-Round 1 | E-Round 6 | loss=0.7318
  [Edge 3] G-Round 1 | E-Round 7 | Selected 1/1 clients
  [Client  4] Round 1 | loss=0.6813 | time=11.4s
  [Edge 3] G-Round 1 | E-Round 7 | loss=0.6813
  [Edge 3] G-Round 1 | E-Round 8 | Selected 1/1 clients
  [Client  4] Round 1 | loss=0.6147 | time=11.4s
  [Edge 3] G-Round 1 | E-Round 8 | loss=0.6147
  [Edge 3] G-Round 1 | E-Round 9 | Selected 1/1 clients
  [Client  4] Round 1 | loss=0.5747 | time=11.4s
  [Edge 3] G-Round 1 | E-Round 9 | loss=0.5747
  [Edge 3] G-Round 1 | E-Round 10 | Selected 1/1 clients
  [Client  4] Round 1 | loss=0.4966 | time=11.4s
  [Edge 3] G-Round 1 | E-Round 10 | loss=0.4966
  [Edge 4] G-Round 1 | E-Round 1 | Selected 1/1 clients
  [Client  2] Round 1 | loss=1.3150 | time=14.1s
  [Edge 4] G-Round 1 | E-Round 1 | loss=1.3150
  [Edge 4] G-Round 1 | E-Round 2 | Selected 1/1 clients
  [Client  2] Round 1 | loss=1.1093 | time=5.1s
  [Edge 4] G-Round 1 | E-Round 2 | loss=1.1093
  [Edge 4] G-Round 1 | E-Round 3 | Selected 1/1 clients
  [Client  2] Round 1 | loss=0.9210 | time=5.1s
  [Edge 4] G-Round 1 | E-Round 3 | loss=0.9210
  [Edge 4] G-Round 1 | E-Round 4 | Selected 1/1 clients
  [Client  2] Round 1 | loss=0.8830 | time=5.1s
  [Edge 4] G-Round 1 | E-Round 4 | loss=0.8830
  [Edge 4] G-Round 1 | E-Round 5 | Selected 1/1 clients
  [Client  2] Round 1 | loss=0.8047 | time=5.1s
  [Edge 4] G-Round 1 | E-Round 5 | loss=0.8047
  [Edge 4] G-Round 1 | E-Round 6 | Selected 1/1 clients
  [Client  2] Round 1 | loss=0.7846 | time=5.1s
  [Edge 4] G-Round 1 | E-Round 6 | loss=0.7846
  [Edge 4] G-Round 1 | E-Round 7 | Selected 1/1 clients
