
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 10 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 58] Round 1 | loss=1.9129 | time=14.5s
  [Client 87] Round 1 | loss=1.5832 | time=9.7s
  [Client 84] Round 1 | loss=1.8549 | time=12.1s
  [Client 98] Round 1 | loss=1.8670 | time=12.3s
  [Client 30] Round 1 | loss=1.8355 | time=10.3s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.8206
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 27] Round 1 | loss=1.3167 | time=13.0s
  [Client 98] Round 1 | loss=1.7986 | time=0.9s
  [Client 11] Round 1 | loss=1.6843 | time=11.2s
  [Client 51] Round 1 | loss=1.6283 | time=7.0s
  [Client 30] Round 1 | loss=1.5971 | time=0.7s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.5374
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 27] Round 1 | loss=1.1442 | time=1.8s
  [Client 84] Round 1 | loss=1.7680 | time=0.9s
  [Client 98] Round 1 | loss=1.8212 | time=0.9s
  [Client 87] Round 1 | loss=1.4939 | time=0.6s
  [Client 11] Round 1 | loss=1.4552 | time=0.7s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.4652
  [Edge 0] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 98] Round 1 | loss=1.6057 | time=0.9s
  [Client 30] Round 1 | loss=1.4476 | time=0.7s
  [Client 87] Round 1 | loss=1.2784 | time=0.6s
  [Client 27] Round 1 | loss=1.1094 | time=1.8s
  [Client 11] Round 1 | loss=1.4619 | time=0.7s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.3276
  [Edge 0] G-Round 1 | E-Round 5 | Selected 5/8 clients
  [Client 27] Round 1 | loss=1.1097 | time=1.8s
  [Client 87] Round 1 | loss=1.1810 | time=0.6s
  [Client 51] Round 1 | loss=1.3897 | time=0.3s
  [Client 11] Round 1 | loss=1.4623 | time=0.7s
  [Client 98] Round 1 | loss=1.6221 | time=0.9s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.3028
  [Edge 0] G-Round 1 | E-Round 6 | Selected 5/8 clients
  [Client 30] Round 1 | loss=1.3519 | time=0.7s
  [Client 84] Round 1 | loss=1.6335 | time=0.9s
  [Client 98] Round 1 | loss=1.5929 | time=0.9s
  [Client 58] Round 1 | loss=1.4420 | time=0.6s
  [Client 87] Round 1 | loss=1.1470 | time=0.6s
  [Edge 0] G-Round 1 | E-Round 6 | loss=1.4613
  [Edge 0] G-Round 1 | E-Round 7 | Selected 5/8 clients
  [Client 98] Round 1 | loss=1.4234 | time=0.9s
  [Client 30] Round 1 | loss=1.2977 | time=0.7s
  [Client 87] Round 1 | loss=1.1563 | time=0.6s
  [Client 58] Round 1 | loss=1.4226 | time=0.6s
  [Client 51] Round 1 | loss=1.4822 | time=0.3s
  [Edge 0] G-Round 1 | E-Round 7 | loss=1.3486
  [Edge 0] G-Round 1 | E-Round 8 | Selected 5/8 clients
  [Client 98] Round 1 | loss=1.5112 | time=0.9s
  [Client 51] Round 1 | loss=1.2909 | time=0.3s
  [Client 87] Round 1 | loss=1.0812 | time=0.6s
  [Client 84] Round 1 | loss=1.5908 | time=0.9s
  [Client 27] Round 1 | loss=1.1223 | time=1.8s
  [Edge 0] G-Round 1 | E-Round 8 | loss=1.2969
  [Edge 0] G-Round 1 | E-Round 9 | Selected 5/8 clients
  [Client 51] Round 1 | loss=1.2406 | time=0.3s
  [Client 87] Round 1 | loss=1.1980 | time=0.6s
  [Client 27] Round 1 | loss=1.0175 | time=1.8s
  [Client 58] Round 1 | loss=1.4060 | time=0.6s
  [Client 98] Round 1 | loss=1.4666 | time=0.9s
  [Edge 0] G-Round 1 | E-Round 9 | loss=1.2085
  [Edge 0] G-Round 1 | E-Round 10 | Selected 5/8 clients
  [Client 84] Round 1 | loss=1.6060 | time=0.9s
  [Client 58] Round 1 | loss=1.3118 | time=0.6s
  [Client 98] Round 1 | loss=1.5374 | time=0.9s
  [Client 30] Round 1 | loss=1.2264 | time=0.7s
  [Client 87] Round 1 | loss=1.0530 | time=0.6s
  [Edge 0] G-Round 1 | E-Round 10 | loss=1.3809
  [Edge 1] G-Round 1 | E-Round 1 | Selected 37/54 clients
  [Client 65] Round 1 | loss=1.6711 | time=8.1s
  [Client 40] Round 1 | loss=1.9820 | time=10.3s
  [Client 96] Round 1 | loss=1.9625 | time=12.1s
  [Client  7] Round 1 | loss=1.9719 | time=7.7s
  [Client 83] Round 1 | loss=1.8696 | time=11.4s
  [Client 75] Round 1 | loss=1.9439 | time=9.0s
  [Client 80] Round 1 | loss=1.9413 | time=9.1s
  [Client 43] Round 1 | loss=2.1514 | time=11.0s
  [Client 42] Round 1 | loss=1.9486 | time=10.8s
  [Client 72] Round 1 | loss=1.7720 | time=12.2s
  [Client 20] Round 1 | loss=1.6498 | time=8.4s
  [Client 81] Round 1 | loss=1.7966 | time=10.0s
  [Client 19] Round 1 | loss=1.4939 | time=11.7s
  [Client 53] Round 1 | loss=1.7664 | time=11.1s
  [Client 36] Round 1 | loss=1.6144 | time=9.9s
  [Client 99] Round 1 | loss=1.9205 | time=10.9s
  [Client 97] Round 1 | loss=1.8069 | time=10.8s
  [Client 73] Round 1 | loss=2.0669 | time=9.2s
  [Client 37] Round 1 | loss=1.9170 | time=12.6s
  [Client 86] Round 1 | loss=2.0628 | time=7.7s
  [Client 21] Round 1 | loss=1.7978 | time=7.6s
  [Client 26] Round 1 | loss=1.9395 | time=9.6s
  [Client  2] Round 1 | loss=1.8206 | time=11.2s
  [Client 16] Round 1 | loss=2.0493 | time=11.3s
  [Client 44] Round 1 | loss=1.4095 | time=9.3s
  [Client  9] Round 1 | loss=2.0256 | time=10.9s
  [Client 85] Round 1 | loss=1.6848 | time=11.8s
  [Client 94] Round 1 | loss=1.7834 | time=8.8s
  [Client  6] Round 1 | loss=2.1042 | time=9.0s
  [Client 22] Round 1 | loss=1.7527 | time=10.5s
  [Client 41] Round 1 | loss=2.0344 | time=10.6s
  [Client  4] Round 1 | loss=2.0268 | time=11.1s
  [Client 46] Round 1 | loss=1.9867 | time=10.2s
  [Client 50] Round 1 | loss=2.0641 | time=11.4s
  [Client 63] Round 1 | loss=1.8966 | time=11.6s
  [Client 10] Round 1 | loss=1.7588 | time=9.3s
  [Client 45] Round 1 | loss=1.7328 | time=10.0s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.8531
  [Edge 1] G-Round 1 | E-Round 2 | Selected 37/54 clients
  [Client 95] Round 1 | loss=1.0593 | time=12.4s
  [Client 81] Round 1 | loss=1.7008 | time=0.7s
  [Client 16] Round 1 | loss=1.8606 | time=0.8s
  [Client 19] Round 1 | loss=1.2072 | time=1.6s
  [Client 46] Round 1 | loss=1.7294 | time=0.7s
  [Client 63] Round 1 | loss=1.7774 | time=0.8s
  [Client 72] Round 1 | loss=1.8266 | time=1.6s
  [Client 85] Round 1 | loss=1.6479 | time=1.5s
  [Client  9] Round 1 | loss=1.9226 | time=0.8s
  [Client 78] Round 1 | loss=1.4453 | time=12.4s
  [Client  2] Round 1 | loss=1.6647 | time=0.8s
  [Client 91] Round 1 | loss=1.8409 | time=8.4s
  [Client 53] Round 1 | loss=1.6648 | time=0.8s
  [Client 45] Round 1 | loss=1.7722 | time=0.7s
  [Client 23] Round 1 | loss=1.7444 | time=9.1s
  [Client 14] Round 1 | loss=2.2254 | time=8.7s
  [Client 37] Round 1 | loss=1.7926 | time=1.3s
  [Client  4] Round 1 | loss=1.8168 | time=1.2s
  [Client 32] Round 1 | loss=1.6513 | time=9.2s
  [Client 21] Round 1 | loss=1.8324 | time=0.4s
  [Client 26] Round 1 | loss=1.7213 | time=0.9s
  [Client  6] Round 1 | loss=1.9446 | time=0.5s
  [Client 20] Round 1 | loss=1.4468 | time=1.0s
  [Client 40] Round 1 | loss=1.7822 | time=0.7s
  [Client 86] Round 1 | loss=1.8921 | time=0.4s
  [Client 97] Round 1 | loss=1.8207 | time=1.0s
  [Client 83] Round 1 | loss=1.7833 | time=1.6s
  [Client 22] Round 1 | loss=1.8009 | time=0.7s
  [Client  7] Round 1 | loss=1.7968 | time=0.3s
  [Client 41] Round 1 | loss=2.0298 | time=0.7s
  [Client 59] Round 1 | loss=1.9424 | time=9.9s
  [Client 50] Round 1 | loss=1.9201 | time=1.6s
  [Client 24] Round 1 | loss=1.7161 | time=11.8s
  [Client 80] Round 1 | loss=1.6678 | time=0.5s
  [Client 75] Round 1 | loss=1.9644 | time=0.6s
  [Client 65] Round 1 | loss=1.7459 | time=0.4s
  [Client 39] Round 1 | loss=2.0019 | time=8.5s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.7289
  [Edge 1] G-Round 1 | E-Round 3 | Selected 37/54 clients
  [Client 32] Round 1 | loss=1.5098 | time=0.8s
  [Client  9] Round 1 | loss=1.8640 | time=0.8s
  [Client 63] Round 1 | loss=1.6751 | time=0.8s
  [Client 33] Round 1 | loss=1.6836 | time=9.7s
  [Client 95] Round 1 | loss=1.1475 | time=0.8s
  [Client 40] Round 1 | loss=1.7639 | time=0.7s
  [Client 26] Round 1 | loss=1.6892 | time=0.9s
  [Client 39] Round 1 | loss=1.9886 | time=0.5s
  [Client 10] Round 1 | loss=1.6412 | time=1.0s
  [Client 85] Round 1 | loss=1.5528 | time=1.5s
  [Client 94] Round 1 | loss=1.6145 | time=1.1s
  [Client 22] Round 1 | loss=1.5742 | time=0.7s
  [Client 42] Round 1 | loss=1.7755 | time=0.7s
  [Client 91] Round 1 | loss=1.8447 | time=0.4s
  [Client 75] Round 1 | loss=1.9107 | time=0.6s
  [Client 43] Round 1 | loss=1.9347 | time=0.8s
  [Client 96] Round 1 | loss=1.7892 | time=0.9s
  [Client  6] Round 1 | loss=1.7972 | time=0.5s
  [Client 72] Round 1 | loss=1.6777 | time=1.6s
  [Client  2] Round 1 | loss=1.6648 | time=0.8s
  [Client 81] Round 1 | loss=1.6330 | time=0.7s
  [Client 86] Round 1 | loss=1.7964 | time=0.4s
  [Client 50] Round 1 | loss=1.8517 | time=1.6s
  [Client 55] Round 1 | loss=1.7915 | time=12.1s
  [Client 78] Round 1 | loss=1.4034 | time=1.3s
  [Client 83] Round 1 | loss=1.7416 | time=1.6s
  [Client 23] Round 1 | loss=1.6742 | time=0.5s
  [Client 12] Round 1 | loss=1.4571 | time=9.3s
  [Client 59] Round 1 | loss=1.7379 | time=0.7s
  [Client 54] Round 1 | loss=1.7872 | time=10.9s
  [Client 16] Round 1 | loss=1.8051 | time=0.8s
  [Client 18] Round 1 | loss=1.7944 | time=11.4s
  [Client  4] Round 1 | loss=1.8492 | time=1.2s
  [Client  3] Round 1 | loss=1.6064 | time=14.8s
  [Client 14] Round 1 | loss=1.8975 | time=0.5s
  [Client 65] Round 1 | loss=1.5264 | time=0.4s
  [Client 53] Round 1 | loss=1.6165 | time=0.8s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.6976
  [Edge 1] G-Round 1 | E-Round 4 | Selected 37/54 clients
  [Client 83] Round 1 | loss=1.7705 | time=1.6s
  [Client  2] Round 1 | loss=1.4594 | time=0.8s
  [Client 33] Round 1 | loss=1.6205 | time=1.4s
  [Client 55] Round 1 | loss=1.6149 | time=0.9s
  [Client 39] Round 1 | loss=2.4054 | time=0.5s
  [Client 53] Round 1 | loss=1.5962 | time=0.8s
  [Client 94] Round 1 | loss=1.5303 | time=1.1s
  [Client 80] Round 1 | loss=1.6679 | time=0.5s
  [Client 24] Round 1 | loss=1.7053 | time=1.7s
  [Client 41] Round 1 | loss=1.9006 | time=0.7s
