
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 10 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 8/8 clients
  [Client 58] Round 1 | loss=1.8915 | time=14.2s
  [Client 87] Round 1 | loss=1.6012 | time=9.5s
  [Client 84] Round 1 | loss=1.7701 | time=12.4s
  [Client 98] Round 1 | loss=1.8199 | time=12.2s
  [Client 30] Round 1 | loss=1.7135 | time=10.5s
  [Client 27] Round 1 | loss=1.5247 | time=13.2s
  [Client 11] Round 1 | loss=1.8500 | time=11.3s
  [Client 51] Round 1 | loss=1.7179 | time=6.8s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.7044
  [Edge 0] G-Round 1 | E-Round 2 | Selected 8/8 clients
  [Client 27] Round 1 | loss=1.2090 | time=1.8s
  [Client 98] Round 1 | loss=2.0016 | time=0.9s
  [Client 11] Round 1 | loss=1.6144 | time=0.7s
  [Client 51] Round 1 | loss=1.6100 | time=0.3s
  [Client 30] Round 1 | loss=1.6763 | time=0.7s
  [Client 58] Round 1 | loss=1.6956 | time=0.6s
  [Client 87] Round 1 | loss=1.5722 | time=0.6s
  [Client 84] Round 1 | loss=1.9888 | time=0.9s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.6130
  [Edge 0] G-Round 1 | E-Round 3 | Selected 8/8 clients
  [Client 27] Round 1 | loss=1.1564 | time=1.8s
  [Client 84] Round 1 | loss=1.7010 | time=0.9s
  [Client 98] Round 1 | loss=1.6752 | time=0.9s
  [Client 87] Round 1 | loss=1.3108 | time=0.6s
  [Client 11] Round 1 | loss=1.4819 | time=0.7s
  [Client 30] Round 1 | loss=1.4593 | time=0.7s
  [Client 51] Round 1 | loss=1.3866 | time=0.3s
  [Client 58] Round 1 | loss=1.6271 | time=0.6s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.4375
  [Edge 0] G-Round 1 | E-Round 4 | Selected 8/8 clients
  [Client 98] Round 1 | loss=1.6602 | time=0.9s
  [Client 30] Round 1 | loss=1.4030 | time=0.7s
  [Client 87] Round 1 | loss=1.3036 | time=0.6s
  [Client 27] Round 1 | loss=1.1064 | time=1.8s
  [Client 11] Round 1 | loss=1.4491 | time=0.7s
  [Client 58] Round 1 | loss=1.5264 | time=0.6s
  [Client 51] Round 1 | loss=1.2704 | time=0.3s
  [Client 84] Round 1 | loss=1.6636 | time=0.9s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.3918
  [Edge 0] G-Round 1 | E-Round 5 | Selected 8/8 clients
  [Client 27] Round 1 | loss=1.0803 | time=1.8s
  [Client 87] Round 1 | loss=1.2934 | time=0.6s
  [Client 51] Round 1 | loss=1.2416 | time=0.3s
  [Client 11] Round 1 | loss=1.4328 | time=0.7s
  [Client 98] Round 1 | loss=1.5991 | time=0.9s
  [Client 30] Round 1 | loss=1.3633 | time=0.7s
  [Client 58] Round 1 | loss=1.4300 | time=0.6s
  [Client 84] Round 1 | loss=1.6018 | time=0.9s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.3505
  [Edge 0] G-Round 1 | E-Round 6 | Selected 8/8 clients
  [Client 30] Round 1 | loss=1.3055 | time=0.7s
  [Client 84] Round 1 | loss=1.5291 | time=0.9s
  [Client 98] Round 1 | loss=1.5478 | time=0.9s
  [Client 58] Round 1 | loss=1.4305 | time=0.6s
  [Client 87] Round 1 | loss=1.2700 | time=0.6s
  [Client 27] Round 1 | loss=1.0606 | time=1.8s
  [Client 11] Round 1 | loss=1.4059 | time=0.7s
  [Client 51] Round 1 | loss=1.2177 | time=0.3s
  [Edge 0] G-Round 1 | E-Round 6 | loss=1.3158
  [Edge 0] G-Round 1 | E-Round 7 | Selected 8/8 clients
  [Client 98] Round 1 | loss=1.5215 | time=0.9s
  [Client 30] Round 1 | loss=1.2934 | time=0.7s
  [Client 87] Round 1 | loss=1.2708 | time=0.6s
  [Client 58] Round 1 | loss=1.4017 | time=0.6s
  [Client 51] Round 1 | loss=1.2049 | time=0.3s
  [Client 11] Round 1 | loss=1.3952 | time=0.7s
  [Client 27] Round 1 | loss=1.0473 | time=1.8s
  [Client 84] Round 1 | loss=1.5044 | time=0.9s
  [Edge 0] G-Round 1 | E-Round 7 | loss=1.2995
  [Edge 0] G-Round 1 | E-Round 8 | Selected 8/8 clients
  [Client 98] Round 1 | loss=1.4843 | time=0.9s
  [Client 51] Round 1 | loss=1.1851 | time=0.3s
  [Client 87] Round 1 | loss=1.1936 | time=0.6s
  [Client 84] Round 1 | loss=1.4743 | time=0.9s
  [Client 27] Round 1 | loss=1.0110 | time=1.8s
  [Client 30] Round 1 | loss=1.2721 | time=0.7s
  [Client 11] Round 1 | loss=1.3559 | time=0.7s
  [Client 58] Round 1 | loss=1.3856 | time=0.6s
  [Edge 0] G-Round 1 | E-Round 8 | loss=1.2640
  [Edge 0] G-Round 1 | E-Round 9 | Selected 8/8 clients
  [Client 51] Round 1 | loss=1.1706 | time=0.3s
  [Client 87] Round 1 | loss=1.1753 | time=0.6s
  [Client 27] Round 1 | loss=1.0094 | time=1.8s
  [Client 58] Round 1 | loss=1.3834 | time=0.6s
  [Client 98] Round 1 | loss=1.4483 | time=0.9s
  [Client 30] Round 1 | loss=1.2352 | time=0.7s
  [Client 11] Round 1 | loss=1.3571 | time=0.7s
  [Client 84] Round 1 | loss=1.4583 | time=0.9s
  [Edge 0] G-Round 1 | E-Round 9 | loss=1.2502
  [Edge 0] G-Round 1 | E-Round 10 | Selected 8/8 clients
  [Client 84] Round 1 | loss=1.4407 | time=0.9s
  [Client 58] Round 1 | loss=1.3192 | time=0.6s
  [Client 98] Round 1 | loss=1.4155 | time=0.9s
  [Client 30] Round 1 | loss=1.2171 | time=0.7s
  [Client 87] Round 1 | loss=1.2306 | time=0.6s
  [Client 51] Round 1 | loss=1.1562 | time=0.3s
  [Client 11] Round 1 | loss=1.3209 | time=0.7s
  [Client 27] Round 1 | loss=0.9707 | time=1.8s
  [Edge 0] G-Round 1 | E-Round 10 | loss=1.2246
  [Edge 1] G-Round 1 | E-Round 1 | Selected 54/54 clients
  [Client 65] Round 1 | loss=1.8115 | time=8.1s
  [Client 40] Round 1 | loss=1.9977 | time=10.5s
  [Client 96] Round 1 | loss=1.9448 | time=12.3s
