
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 10 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 7/10 clients
  [Client 64] Round 1 | loss=1.8991 | time=9.2s
  [Client 23] Round 1 | loss=1.7963 | time=11.7s
  [Client 48] Round 1 | loss=1.6192 | time=12.2s
  [Client 58] Round 1 | loss=1.7799 | time=9.6s
  [Client 98] Round 1 | loss=1.9064 | time=12.0s
  [Client 47] Round 1 | loss=1.8214 | time=11.3s
  [Client 30] Round 1 | loss=1.9075 | time=10.9s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.7960
  [Edge 0] G-Round 1 | E-Round 2 | Selected 7/10 clients
  [Client 53] Round 1 | loss=2.0020 | time=11.1s
  [Client 98] Round 1 | loss=1.9583 | time=0.9s
  [Client 49] Round 1 | loss=1.8231 | time=11.3s
  [Client 48] Round 1 | loss=1.5880 | time=1.3s
  [Client 11] Round 1 | loss=1.8686 | time=10.7s
  [Client 30] Round 1 | loss=1.7810 | time=0.7s
  [Client 64] Round 1 | loss=1.6263 | time=0.3s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.8058
  [Edge 0] G-Round 1 | E-Round 3 | Selected 7/10 clients
  [Client 98] Round 1 | loss=1.7861 | time=0.9s
  [Client 64] Round 1 | loss=1.8554 | time=0.3s
  [Client 30] Round 1 | loss=1.6329 | time=0.7s
  [Client 53] Round 1 | loss=1.7830 | time=0.8s
  [Client 23] Round 1 | loss=1.7905 | time=0.5s
  [Client 11] Round 1 | loss=1.6186 | time=0.7s
  [Client 48] Round 1 | loss=1.5624 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.6912
  [Edge 0] G-Round 1 | E-Round 4 | Selected 7/10 clients
  [Client 98] Round 1 | loss=1.7455 | time=0.9s
  [Client 48] Round 1 | loss=1.4080 | time=1.3s
  [Client 64] Round 1 | loss=1.6314 | time=0.3s
  [Client 30] Round 1 | loss=1.5739 | time=0.7s
  [Client 49] Round 1 | loss=1.8850 | time=0.8s
  [Client 11] Round 1 | loss=1.7029 | time=0.7s
  [Client 47] Round 1 | loss=1.7698 | time=1.2s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.6653
  [Edge 0] G-Round 1 | E-Round 5 | Selected 7/10 clients
  [Client 58] Round 1 | loss=1.6483 | time=0.6s
  [Client 53] Round 1 | loss=1.8430 | time=0.8s
  [Client 64] Round 1 | loss=1.6641 | time=0.3s
  [Client 47] Round 1 | loss=1.6007 | time=1.2s
  [Client 98] Round 1 | loss=1.6595 | time=0.9s
  [Client 11] Round 1 | loss=1.6433 | time=0.7s
  [Client 49] Round 1 | loss=1.6291 | time=0.8s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.6652
  [Edge 0] G-Round 1 | E-Round 6 | Selected 7/10 clients
  [Client 58] Round 1 | loss=1.6165 | time=0.6s
  [Client 49] Round 1 | loss=1.7917 | time=0.8s
  [Client 23] Round 1 | loss=1.6571 | time=0.5s
  [Client 64] Round 1 | loss=1.5056 | time=0.3s
  [Client 48] Round 1 | loss=1.4770 | time=1.3s
  [Client 53] Round 1 | loss=1.6729 | time=0.8s
