
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 10 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 28] Round 1 | loss=2.1783 | time=8.7s
  [Client 26] Round 1 | loss=1.6767 | time=14.3s
  [Client  3] Round 1 | loss=1.6651 | time=12.9s
  [Client  4] Round 1 | loss=1.7158 | time=11.8s
  [Client 46] Round 1 | loss=1.5268 | time=8.8s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.6838
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 28] Round 1 | loss=2.2660 | time=0.2s
  [Client 18] Round 1 | loss=1.8387 | time=11.4s
  [Client  3] Round 1 | loss=1.4176 | time=2.6s
  [Client  4] Round 1 | loss=1.6274 | time=1.6s
  [Client 26] Round 1 | loss=1.4174 | time=1.3s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.5910
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client  3] Round 1 | loss=1.3729 | time=2.6s
  [Client 46] Round 1 | loss=1.2359 | time=0.5s
  [Client 26] Round 1 | loss=1.3786 | time=1.3s
  [Client 40] Round 1 | loss=1.5456 | time=10.3s
  [Client  4] Round 1 | loss=1.4578 | time=1.6s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.4095
  [Edge 0] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 26] Round 1 | loss=1.2833 | time=1.2s
  [Client 46] Round 1 | loss=1.1745 | time=0.5s
  [Client  4] Round 1 | loss=1.5083 | time=1.6s
  [Client 40] Round 1 | loss=1.4446 | time=1.0s
  [Client 28] Round 1 | loss=2.0214 | time=0.2s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.4154
  [Edge 0] G-Round 1 | E-Round 5 | Selected 5/8 clients
  [Client 46] Round 1 | loss=1.1668 | time=0.5s
  [Client 18] Round 1 | loss=1.5707 | time=2.0s
  [Client 16] Round 1 | loss=1.6123 | time=11.5s
  [Client 26] Round 1 | loss=1.2767 | time=1.3s
  [Client  4] Round 1 | loss=1.3612 | time=1.6s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.4587
  [Edge 1] G-Round 1 | E-Round 1 | Selected 11/16 clients
  [Client 41] Round 1 | loss=1.9493 | time=10.4s
  [Client  0] Round 1 | loss=1.9180 | time=10.2s
  [Client 22] Round 1 | loss=1.9341 | time=13.3s
  [Client  7] Round 1 | loss=1.6558 | time=11.5s
  [Client  5] Round 1 | loss=1.8745 | time=12.2s
  [Client 49] Round 1 | loss=2.1288 | time=10.9s
  [Client 13] Round 1 | loss=2.0776 | time=9.8s
  [Client 20] Round 1 | loss=1.9599 | time=13.0s
  [Client 48] Round 1 | loss=1.7309 | time=11.0s
  [Client 14] Round 1 | loss=1.9640 | time=14.3s
  [Client  6] Round 1 | loss=1.7807 | time=8.1s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.8644
  [Edge 1] G-Round 1 | E-Round 2 | Selected 11/16 clients
  [Client  6] Round 1 | loss=1.6843 | time=2.7s
  [Client 42] Round 1 | loss=1.6854 | time=9.7s
  [Client 44] Round 1 | loss=1.8078 | time=14.1s
  [Client 41] Round 1 | loss=1.9063 | time=0.7s
  [Client 22] Round 1 | loss=1.8784 | time=1.8s
  [Client  7] Round 1 | loss=1.5874 | time=3.4s
  [Client 20] Round 1 | loss=1.8653 | time=1.3s
  [Client 48] Round 1 | loss=1.4740 | time=2.0s
  [Client  9] Round 1 | loss=1.9071 | time=10.2s
  [Client  5] Round 1 | loss=1.8346 | time=1.3s
  [Client 14] Round 1 | loss=1.8533 | time=3.1s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.7429
  [Edge 1] G-Round 1 | E-Round 3 | Selected 11/16 clients
  [Client 13] Round 1 | loss=1.7179 | time=1.4s
  [Client  6] Round 1 | loss=1.5374 | time=2.7s
  [Client 22] Round 1 | loss=1.6588 | time=1.8s
  [Client 42] Round 1 | loss=1.5580 | time=2.4s
  [Client  0] Round 1 | loss=1.6706 | time=1.5s
  [Client  7] Round 1 | loss=1.5222 | time=3.4s
  [Client 41] Round 1 | loss=1.6609 | time=0.7s
  [Client 33] Round 1 | loss=1.8549 | time=14.0s
  [Client  9] Round 1 | loss=1.5608 | time=1.1s
  [Client 20] Round 1 | loss=1.6311 | time=1.3s
  [Client  1] Round 1 | loss=1.6144 | time=9.5s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.6185
  [Edge 1] G-Round 1 | E-Round 4 | Selected 11/16 clients
  [Client  0] Round 1 | loss=1.5551 | time=1.5s
  [Client 44] Round 1 | loss=1.6522 | time=3.1s
  [Client 13] Round 1 | loss=1.7050 | time=1.4s
  [Client 41] Round 1 | loss=1.5802 | time=0.7s
  [Client  9] Round 1 | loss=1.5105 | time=1.1s
  [Client  6] Round 1 | loss=1.5057 | time=2.7s
  [Client 20] Round 1 | loss=1.5414 | time=1.3s
  [Client  1] Round 1 | loss=1.5164 | time=0.6s
  [Client 49] Round 1 | loss=1.7937 | time=0.8s
  [Client  7] Round 1 | loss=1.4403 | time=3.4s
  [Client 42] Round 1 | loss=1.4721 | time=2.4s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.5496
  [Edge 1] G-Round 1 | E-Round 5 | Selected 11/16 clients
  [Client 22] Round 1 | loss=1.5636 | time=1.8s
  [Client  7] Round 1 | loss=1.3829 | time=3.4s
  [Client  6] Round 1 | loss=1.4263 | time=2.7s
