
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 5 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.8965 | time=16.2s
  [Client 34] Round 1 | loss=1.3042 | time=13.3s
  [Client 10] Round 1 | loss=1.6379 | time=11.8s
  [Client 12] Round 1 | loss=1.6154 | time=10.3s
  [Client 45] Round 1 | loss=1.7343 | time=11.1s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5647
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.9243 | time=2.4s
  [Client 30] Round 1 | loss=2.0459 | time=10.8s
  [Client 10] Round 1 | loss=1.6154 | time=1.7s
  [Client 12] Round 1 | loss=1.5273 | time=1.4s
  [Client 34] Round 1 | loss=1.1478 | time=4.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.5227
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 10] Round 1 | loss=1.4244 | time=1.7s
  [Client 45] Round 1 | loss=1.4418 | time=1.2s
  [Client 34] Round 1 | loss=1.0367 | time=4.6s
  [Client 39] Round 1 | loss=1.2481 | time=10.6s
  [Client 12] Round 1 | loss=1.4402 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.2302
  [Edge 0] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 34] Round 1 | loss=0.8716 | time=4.5s
  [Client 45] Round 1 | loss=1.3724 | time=1.2s
  [Client 12] Round 1 | loss=1.4501 | time=1.4s
  [Client 39] Round 1 | loss=1.1048 | time=1.1s
  [Client 38] Round 1 | loss=1.6428 | time=2.4s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.2015
  [Edge 0] G-Round 1 | E-Round 5 | Selected 5/8 clients
  [Client 45] Round 1 | loss=1.2921 | time=1.2s
  [Client 30] Round 1 | loss=1.7467 | time=1.1s
  [Client 25] Round 1 | loss=1.4984 | time=11.0s
  [Client 34] Round 1 | loss=0.8762 | time=4.5s
  [Client 12] Round 1 | loss=1.2480 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.1871
  [Edge 1] G-Round 1 | E-Round 1 | Selected 24/35 clients
  [Client  0] Round 1 | loss=1.9904 | time=10.2s
  [Client  4] Round 1 | loss=1.7278 | time=11.7s
  [Client 11] Round 1 | loss=1.9036 | time=11.9s
  [Client  9] Round 1 | loss=1.9481 | time=10.8s
  [Client 22] Round 1 | loss=1.8388 | time=12.9s
  [Client 48] Round 1 | loss=1.7072 | time=9.6s
  [Client 31] Round 1 | loss=2.0660 | time=10.9s
  [Client  5] Round 1 | loss=1.9009 | time=12.3s
  [Client 40] Round 1 | loss=1.8574 | time=10.7s
  [Client 46] Round 1 | loss=1.7016 | time=8.9s
  [Client 29] Round 1 | loss=1.8430 | time=10.9s
  [Client 28] Round 1 | loss=2.0755 | time=6.2s
  [Client 32] Round 1 | loss=1.8990 | time=11.4s
  [Client 26] Round 1 | loss=1.7810 | time=11.9s
  [Client 33] Round 1 | loss=2.2118 | time=14.1s
  [Client 13] Round 1 | loss=1.9966 | time=9.8s
  [Client 20] Round 1 | loss=1.9790 | time=12.4s
  [Client 47] Round 1 | loss=1.7380 | time=12.0s
  [Client 44] Round 1 | loss=1.9847 | time=14.4s
  [Client  7] Round 1 | loss=1.7365 | time=11.6s
  [Client  3] Round 1 | loss=1.6983 | time=13.0s
  [Client 41] Round 1 | loss=2.0770 | time=10.6s
  [Client 18] Round 1 | loss=1.8802 | time=12.7s
  [Client 49] Round 1 | loss=2.1546 | time=9.0s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.8819
  [Edge 1] G-Round 1 | E-Round 2 | Selected 24/35 clients
  [Client 22] Round 1 | loss=1.9385 | time=1.8s
  [Client 28] Round 1 | loss=2.2857 | time=0.2s
  [Client 16] Round 1 | loss=1.8901 | time=11.5s
  [Client 41] Round 1 | loss=1.8294 | time=0.7s
  [Client  9] Round 1 | loss=1.7723 | time=1.1s
  [Client  7] Round 1 | loss=1.6194 | time=3.4s
  [Client 40] Round 1 | loss=1.8323 | time=1.0s
  [Client  6] Round 1 | loss=1.8042 | time=8.2s
  [Client 48] Round 1 | loss=1.6562 | time=2.0s
  [Client 29] Round 1 | loss=1.7896 | time=1.9s
  [Client 49] Round 1 | loss=2.1040 | time=0.8s
  [Client 36] Round 1 | loss=1.6824 | time=11.9s
  [Client 19] Round 1 | loss=1.3690 | time=10.8s
  [Client 20] Round 1 | loss=1.9054 | time=1.3s
  [Client 44] Round 1 | loss=1.8714 | time=3.1s
  [Client 47] Round 1 | loss=1.6878 | time=2.0s
  [Client  4] Round 1 | loss=1.8200 | time=1.6s
  [Client 14] Round 1 | loss=1.9919 | time=14.5s
  [Client 24] Round 1 | loss=1.5295 | time=10.1s
  [Client 21] Round 1 | loss=1.8982 | time=12.7s
  [Client 42] Round 1 | loss=1.7372 | time=9.9s
  [Client  5] Round 1 | loss=1.9507 | time=1.3s
  [Client 18] Round 1 | loss=1.9258 | time=2.0s
  [Client  8] Round 1 | loss=1.5897 | time=11.6s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.7829
  [Edge 1] G-Round 1 | E-Round 3 | Selected 24/35 clients
  [Client 11] Round 1 | loss=1.7578 | time=2.1s
  [Client 48] Round 1 | loss=1.5966 | time=2.0s
  [Client 19] Round 1 | loss=1.1861 | time=2.3s
  [Client 24] Round 1 | loss=1.3478 | time=1.3s
  [Client 44] Round 1 | loss=1.9078 | time=3.1s
  [Client  8] Round 1 | loss=1.3355 | time=1.7s
  [Client  0] Round 1 | loss=1.9533 | time=1.5s
  [Client 36] Round 1 | loss=1.4159 | time=1.3s
  [Client 14] Round 1 | loss=1.8401 | time=3.1s
  [Client 18] Round 1 | loss=1.6790 | time=2.0s
  [Client 16] Round 1 | loss=1.7222 | time=2.0s
  [Client  1] Round 1 | loss=1.8425 | time=8.3s
  [Client 29] Round 1 | loss=1.6039 | time=1.9s
  [Client  4] Round 1 | loss=1.5441 | time=1.6s
  [Client 33] Round 1 | loss=2.0183 | time=1.8s
  [Client 46] Round 1 | loss=1.4145 | time=0.5s
  [Client 15] Round 1 | loss=1.8037 | time=8.4s
  [Client 26] Round 1 | loss=1.5545 | time=1.3s
  [Client  9] Round 1 | loss=1.6991 | time=1.1s
  [Client 13] Round 1 | loss=1.9150 | time=1.4s
  [Client 40] Round 1 | loss=1.6597 | time=1.1s
  [Client 21] Round 1 | loss=1.7275 | time=2.1s
  [Client 28] Round 1 | loss=1.9045 | time=0.2s
  [Client 31] Round 1 | loss=1.9385 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.6888
  [Edge 1] G-Round 1 | E-Round 4 | Selected 24/35 clients
  [Client  1] Round 1 | loss=1.6835 | time=0.6s
  [Client 44] Round 1 | loss=1.7593 | time=3.1s
  [Client 13] Round 1 | loss=1.7484 | time=1.4s
  [Client  3] Round 1 | loss=1.4545 | time=2.6s
  [Client  6] Round 1 | loss=1.6320 | time=2.7s
  [Client 22] Round 1 | loss=1.6868 | time=1.8s
  [Client  9] Round 1 | loss=1.5370 | time=1.1s
  [Client 42] Round 1 | loss=1.5891 | time=2.4s
  [Client  5] Round 1 | loss=1.8029 | time=1.3s
  [Client 48] Round 1 | loss=1.4824 | time=2.0s
  [Client 28] Round 1 | loss=1.9314 | time=0.2s
  [Client 16] Round 1 | loss=1.6614 | time=2.0s
  [Client 31] Round 1 | loss=1.7968 | time=2.0s
  [Client 14] Round 1 | loss=1.7316 | time=3.1s
  [Client 24] Round 1 | loss=1.3628 | time=1.3s
  [Client 15] Round 1 | loss=1.6251 | time=1.0s
  [Client 41] Round 1 | loss=1.7145 | time=0.7s
  [Client  4] Round 1 | loss=1.6148 | time=1.6s
  [Client 21] Round 1 | loss=1.6220 | time=2.2s
  [Client 46] Round 1 | loss=1.2372 | time=0.5s
  [Client 18] Round 1 | loss=1.6742 | time=2.0s
  [Client 32] Round 1 | loss=1.6253 | time=1.6s
  [Client 19] Round 1 | loss=1.1969 | time=2.3s
  [Client 47] Round 1 | loss=1.5200 | time=2.1s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.6075
  [Edge 1] G-Round 1 | E-Round 5 | Selected 24/35 clients
  [Client  7] Round 1 | loss=1.6056 | time=3.4s
  [Client 48] Round 1 | loss=1.3931 | time=2.0s
  [Client 22] Round 1 | loss=1.6135 | time=1.8s
  [Client 15] Round 1 | loss=1.6057 | time=1.0s
  [Client 49] Round 1 | loss=1.7371 | time=0.8s
  [Client 11] Round 1 | loss=1.5629 | time=2.1s
  [Client 36] Round 1 | loss=1.3069 | time=1.3s
  [Client 24] Round 1 | loss=1.2467 | time=1.3s
  [Client  3] Round 1 | loss=1.3963 | time=2.6s
  [Client 26] Round 1 | loss=1.4166 | time=1.3s
  [Client 32] Round 1 | loss=1.5368 | time=1.6s
  [Client 28] Round 1 | loss=1.6998 | time=0.2s
