
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 5 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.8660 | time=16.5s
  [Client 34] Round 1 | loss=1.2546 | time=13.2s
  [Client 10] Round 1 | loss=1.4325 | time=11.8s
  [Client 12] Round 1 | loss=1.5794 | time=10.3s
  [Client 45] Round 1 | loss=1.6849 | time=11.0s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.4979
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.7552 | time=2.4s
  [Client 30] Round 1 | loss=1.9359 | time=10.8s
  [Client 10] Round 1 | loss=1.5528 | time=1.7s
  [Client 12] Round 1 | loss=1.4397 | time=1.4s
  [Client 34] Round 1 | loss=1.0418 | time=4.6s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.4114
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 10] Round 1 | loss=1.3650 | time=1.7s
  [Client 45] Round 1 | loss=1.3710 | time=1.2s
  [Client 34] Round 1 | loss=1.0431 | time=4.5s
  [Client 39] Round 1 | loss=1.1341 | time=10.6s
  [Client 12] Round 1 | loss=1.3046 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1830
  [Edge 0] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 34] Round 1 | loss=0.8975 | time=4.6s
  [Client 45] Round 1 | loss=1.3556 | time=1.2s
  [Client 12] Round 1 | loss=1.3071 | time=1.4s
  [Client 39] Round 1 | loss=1.0540 | time=1.1s
  [Client 38] Round 1 | loss=1.5899 | time=2.4s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.1747
  [Edge 0] G-Round 1 | E-Round 5 | Selected 5/8 clients
  [Client 45] Round 1 | loss=1.2698 | time=1.2s
  [Client 30] Round 1 | loss=1.6925 | time=1.1s
  [Client 25] Round 1 | loss=1.4988 | time=11.0s
  [Client 34] Round 1 | loss=0.8279 | time=4.6s
  [Client 12] Round 1 | loss=1.1952 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.1495
  [Edge 1] G-Round 1 | E-Round 1 | Selected 24/35 clients
  [Client  0] Round 1 | loss=1.8632 | time=10.3s
  [Client  4] Round 1 | loss=1.6923 | time=11.7s
  [Client 11] Round 1 | loss=1.8399 | time=11.9s
  [Client  9] Round 1 | loss=1.7975 | time=10.8s
  [Client 22] Round 1 | loss=1.8836 | time=12.9s
  [Client 48] Round 1 | loss=1.6984 | time=9.7s
  [Client 31] Round 1 | loss=2.0064 | time=11.0s
  [Client  5] Round 1 | loss=1.8466 | time=12.4s
  [Client 40] Round 1 | loss=1.7493 | time=10.8s
  [Client 46] Round 1 | loss=1.5439 | time=9.0s
  [Client 29] Round 1 | loss=1.7371 | time=10.9s
  [Client 28] Round 1 | loss=2.1457 | time=6.2s
  [Client 32] Round 1 | loss=1.7990 | time=11.5s
  [Client 26] Round 1 | loss=1.6851 | time=11.9s
  [Client 33] Round 1 | loss=2.0459 | time=14.2s
  [Client 13] Round 1 | loss=2.0403 | time=9.9s
  [Client 20] Round 1 | loss=1.8590 | time=12.4s
  [Client 47] Round 1 | loss=1.6780 | time=12.0s
  [Client 44] Round 1 | loss=1.8897 | time=14.5s
  [Client  7] Round 1 | loss=1.6447 | time=11.7s
  [Client  3] Round 1 | loss=1.6387 | time=13.0s
  [Client 41] Round 1 | loss=1.8966 | time=10.6s
  [Client 18] Round 1 | loss=1.8608 | time=12.7s
  [Client 49] Round 1 | loss=2.1299 | time=9.0s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.8100
  [Edge 1] G-Round 1 | E-Round 2 | Selected 24/35 clients
  [Client 22] Round 1 | loss=1.7548 | time=1.8s
  [Client 28] Round 1 | loss=1.9907 | time=0.2s
  [Client 16] Round 1 | loss=1.7433 | time=11.5s
  [Client 41] Round 1 | loss=1.8676 | time=0.7s
  [Client  9] Round 1 | loss=1.6314 | time=1.1s
  [Client  7] Round 1 | loss=1.6801 | time=3.4s
  [Client 40] Round 1 | loss=1.6080 | time=1.0s
  [Client  6] Round 1 | loss=1.7196 | time=8.2s
  [Client 48] Round 1 | loss=1.5393 | time=2.0s
  [Client 29] Round 1 | loss=1.6578 | time=1.9s
  [Client 49] Round 1 | loss=1.8824 | time=0.8s
  [Client 36] Round 1 | loss=1.4453 | time=12.0s
  [Client 19] Round 1 | loss=1.2647 | time=10.8s
  [Client 20] Round 1 | loss=1.7319 | time=1.3s
  [Client 44] Round 1 | loss=1.8461 | time=3.1s
  [Client 47] Round 1 | loss=1.6012 | time=2.0s
  [Client  4] Round 1 | loss=1.6477 | time=1.6s
  [Client 14] Round 1 | loss=1.7761 | time=14.5s
  [Client 24] Round 1 | loss=1.3913 | time=10.1s
  [Client 21] Round 1 | loss=1.7436 | time=12.8s
  [Client 42] Round 1 | loss=1.6807 | time=9.9s
