
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 5 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.8655 | time=15.9s
  [Client 34] Round 1 | loss=1.2987 | time=13.2s
  [Client 10] Round 1 | loss=1.6547 | time=11.7s
  [Client 12] Round 1 | loss=1.6472 | time=10.3s
  [Client 45] Round 1 | loss=1.7659 | time=11.0s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5656
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.9490 | time=2.4s
  [Client 30] Round 1 | loss=2.0986 | time=10.8s
  [Client 10] Round 1 | loss=1.6274 | time=1.7s
  [Client 12] Round 1 | loss=1.5747 | time=1.4s
  [Client 34] Round 1 | loss=1.1258 | time=4.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.5321
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 10] Round 1 | loss=1.4224 | time=1.7s
  [Client 45] Round 1 | loss=1.4190 | time=1.2s
  [Client 34] Round 1 | loss=1.0521 | time=4.5s
  [Client 39] Round 1 | loss=1.2263 | time=10.6s
  [Client 12] Round 1 | loss=1.4306 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.2305
  [Edge 0] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 34] Round 1 | loss=0.9335 | time=4.5s
  [Client 45] Round 1 | loss=1.4027 | time=1.2s
  [Client 12] Round 1 | loss=1.4494 | time=1.4s
  [Client 39] Round 1 | loss=1.1329 | time=1.1s
  [Client 38] Round 1 | loss=1.6715 | time=2.4s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.2407
  [Edge 0] G-Round 1 | E-Round 5 | Selected 5/8 clients
  [Client 45] Round 1 | loss=1.3864 | time=1.2s
  [Client 30] Round 1 | loss=1.7910 | time=1.1s
  [Client 25] Round 1 | loss=1.5777 | time=11.1s
  [Client 34] Round 1 | loss=0.8830 | time=4.5s
  [Client 12] Round 1 | loss=1.3083 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.2290
  [Edge 1] G-Round 1 | E-Round 1 | Selected 24/35 clients
  [Client  0] Round 1 | loss=1.9531 | time=10.3s
  [Client  4] Round 1 | loss=1.7245 | time=11.7s
  [Client 11] Round 1 | loss=1.8829 | time=12.0s
  [Client  9] Round 1 | loss=1.9335 | time=10.8s
  [Client 22] Round 1 | loss=1.8563 | time=12.9s
  [Client 48] Round 1 | loss=1.7102 | time=9.6s
  [Client 31] Round 1 | loss=2.0348 | time=11.0s
  [Client  5] Round 1 | loss=1.8975 | time=12.2s
  [Client 40] Round 1 | loss=1.8237 | time=10.8s
  [Client 46] Round 1 | loss=1.6727 | time=9.0s
  [Client 29] Round 1 | loss=1.8495 | time=10.8s
  [Client 28] Round 1 | loss=2.0552 | time=6.2s
  [Client 32] Round 1 | loss=1.8644 | time=11.4s
  [Client 26] Round 1 | loss=1.7886 | time=11.8s
  [Client 33] Round 1 | loss=2.1855 | time=14.1s
  [Client 13] Round 1 | loss=1.9785 | time=9.8s
  [Client 20] Round 1 | loss=1.9314 | time=12.3s
  [Client 47] Round 1 | loss=1.7290 | time=12.0s
  [Client 44] Round 1 | loss=1.9451 | time=14.3s
