
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 5 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.8757 | time=16.6s
  [Client 34] Round 1 | loss=1.2761 | time=13.2s
  [Client 10] Round 1 | loss=1.4247 | time=11.7s
  [Client 12] Round 1 | loss=1.6173 | time=10.2s
  [Client 45] Round 1 | loss=1.7927 | time=11.0s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5237
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.8299 | time=2.4s
  [Client 30] Round 1 | loss=2.0812 | time=10.8s
  [Client 10] Round 1 | loss=1.6740 | time=1.7s
  [Client 12] Round 1 | loss=1.4433 | time=1.4s
  [Client 34] Round 1 | loss=1.0720 | time=4.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.4729
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 10] Round 1 | loss=1.3560 | time=1.7s
  [Client 45] Round 1 | loss=1.3930 | time=1.2s
  [Client 34] Round 1 | loss=1.0364 | time=4.5s
  [Client 39] Round 1 | loss=1.1308 | time=10.6s
  [Client 12] Round 1 | loss=1.3314 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.1844
  [Edge 0] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 34] Round 1 | loss=0.9015 | time=4.5s
  [Client 45] Round 1 | loss=1.3802 | time=1.2s
  [Client 12] Round 1 | loss=1.2906 | time=1.4s
  [Client 39] Round 1 | loss=1.0533 | time=1.1s
  [Client 38] Round 1 | loss=1.5961 | time=2.4s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.1782
  [Edge 0] G-Round 1 | E-Round 5 | Selected 5/8 clients
  [Client 45] Round 1 | loss=1.3287 | time=1.2s
  [Client 30] Round 1 | loss=1.7272 | time=1.1s
  [Client 25] Round 1 | loss=1.4889 | time=11.0s
  [Client 34] Round 1 | loss=0.8540 | time=4.5s
  [Client 12] Round 1 | loss=1.2472 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.1773
  [Edge 1] G-Round 1 | E-Round 1 | Selected 24/35 clients
  [Client  0] Round 1 | loss=1.8469 | time=10.2s
  [Client  4] Round 1 | loss=1.7770 | time=11.6s
  [Client 11] Round 1 | loss=1.8958 | time=11.9s
  [Client  9] Round 1 | loss=1.9112 | time=10.8s
  [Client 22] Round 1 | loss=1.9210 | time=12.8s
  [Client 48] Round 1 | loss=1.6806 | time=9.6s
  [Client 31] Round 1 | loss=2.0539 | time=10.9s
  [Client  5] Round 1 | loss=1.9214 | time=12.1s
  [Client 40] Round 1 | loss=1.7928 | time=10.8s
  [Client 46] Round 1 | loss=1.7075 | time=9.1s
  [Client 29] Round 1 | loss=1.8171 | time=10.9s
  [Client 28] Round 1 | loss=2.1676 | time=6.1s
  [Client 32] Round 1 | loss=1.8709 | time=11.4s
  [Client 26] Round 1 | loss=1.8003 | time=11.8s
  [Client 33] Round 1 | loss=2.1229 | time=14.1s
  [Client 13] Round 1 | loss=1.9685 | time=9.8s
  [Client 20] Round 1 | loss=1.8897 | time=12.3s
  [Client 47] Round 1 | loss=1.7482 | time=11.9s
  [Client 44] Round 1 | loss=1.9139 | time=14.3s
  [Client  7] Round 1 | loss=1.6657 | time=11.6s
  [Client  3] Round 1 | loss=1.6777 | time=13.0s
  [Client 41] Round 1 | loss=1.9684 | time=10.5s
  [Client 18] Round 1 | loss=1.9341 | time=12.6s
  [Client 49] Round 1 | loss=2.1303 | time=8.9s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.8559
  [Edge 1] G-Round 1 | E-Round 2 | Selected 24/35 clients
  [Client 22] Round 1 | loss=1.7441 | time=1.8s
  [Client 28] Round 1 | loss=2.0543 | time=0.2s
  [Client 16] Round 1 | loss=1.7809 | time=11.4s
  [Client 41] Round 1 | loss=1.9401 | time=0.7s
  [Client  9] Round 1 | loss=1.6128 | time=1.1s
  [Client  7] Round 1 | loss=1.6958 | time=3.4s
  [Client 40] Round 1 | loss=1.6231 | time=1.0s
  [Client  6] Round 1 | loss=1.7338 | time=8.2s
  [Client 48] Round 1 | loss=1.6011 | time=2.0s
  [Client 29] Round 1 | loss=1.6841 | time=1.9s
  [Client 49] Round 1 | loss=1.9812 | time=0.8s
