
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 5 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.9362 | time=16.9s
  [Client 34] Round 1 | loss=1.2945 | time=13.0s
  [Client 10] Round 1 | loss=1.5169 | time=11.6s
  [Client 12] Round 1 | loss=1.5964 | time=10.0s
  [Client 45] Round 1 | loss=1.7343 | time=10.9s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5490
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.8267 | time=2.4s
  [Client 30] Round 1 | loss=2.0693 | time=10.7s
  [Client 10] Round 1 | loss=1.5836 | time=1.6s
  [Client 12] Round 1 | loss=1.4922 | time=1.4s
  [Client 34] Round 1 | loss=1.0885 | time=4.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.4706
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 10] Round 1 | loss=1.3943 | time=1.6s
  [Client 45] Round 1 | loss=1.3834 | time=1.2s
  [Client 34] Round 1 | loss=1.0529 | time=4.5s
