
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 5 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.8993 | time=15.8s
  [Client 34] Round 1 | loss=1.3282 | time=13.1s
  [Client 10] Round 1 | loss=1.4565 | time=11.7s
  [Client 12] Round 1 | loss=1.6186 | time=10.1s
  [Client 45] Round 1 | loss=1.7595 | time=11.0s
  [Edge 0] G-Round 1 | E-Round 1 | loss=1.5514
  [Edge 0] G-Round 1 | E-Round 2 | Selected 5/8 clients
  [Client 38] Round 1 | loss=1.8794 | time=2.4s
  [Client 30] Round 1 | loss=2.1342 | time=10.8s
  [Client 10] Round 1 | loss=1.7479 | time=1.7s
  [Client 12] Round 1 | loss=1.5422 | time=1.4s
  [Client 34] Round 1 | loss=1.1242 | time=4.5s
  [Edge 0] G-Round 1 | E-Round 2 | loss=1.5337
  [Edge 0] G-Round 1 | E-Round 3 | Selected 5/8 clients
  [Client 10] Round 1 | loss=1.4067 | time=1.7s
  [Client 45] Round 1 | loss=1.3973 | time=1.2s
  [Client 34] Round 1 | loss=1.0494 | time=4.5s
  [Client 39] Round 1 | loss=1.1633 | time=10.5s
  [Client 12] Round 1 | loss=1.3485 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.2054
  [Edge 0] G-Round 1 | E-Round 4 | Selected 5/8 clients
  [Client 34] Round 1 | loss=0.9087 | time=4.5s
  [Client 45] Round 1 | loss=1.3473 | time=1.2s
  [Client 12] Round 1 | loss=1.2726 | time=1.4s
  [Client 39] Round 1 | loss=1.0975 | time=1.1s
  [Client 38] Round 1 | loss=1.6088 | time=2.4s
  [Edge 0] G-Round 1 | E-Round 4 | loss=1.1827
  [Edge 0] G-Round 1 | E-Round 5 | Selected 5/8 clients
  [Client 45] Round 1 | loss=1.2889 | time=1.2s
  [Client 30] Round 1 | loss=1.7285 | time=1.1s
  [Client 25] Round 1 | loss=1.5531 | time=10.9s
  [Client 34] Round 1 | loss=0.8725 | time=4.5s
  [Client 12] Round 1 | loss=1.2337 | time=1.4s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.1913
  [Edge 1] G-Round 1 | E-Round 1 | Selected 24/35 clients
  [Client  0] Round 1 | loss=1.8666 | time=10.3s
  [Client  4] Round 1 | loss=1.7782 | time=11.5s
  [Client 11] Round 1 | loss=1.8760 | time=11.8s
  [Client  9] Round 1 | loss=1.8653 | time=10.8s
  [Client 22] Round 1 | loss=1.9305 | time=12.8s
  [Client 48] Round 1 | loss=1.6900 | time=9.5s
  [Client 31] Round 1 | loss=2.0398 | time=10.9s
  [Client  5] Round 1 | loss=1.9077 | time=12.1s
  [Client 40] Round 1 | loss=1.8248 | time=10.7s
  [Client 46] Round 1 | loss=1.5682 | time=9.0s
  [Client 29] Round 1 | loss=1.7970 | time=10.8s
  [Client 28] Round 1 | loss=2.1615 | time=6.1s
  [Client 32] Round 1 | loss=1.8605 | time=11.3s
  [Client 26] Round 1 | loss=1.7738 | time=11.6s
  [Client 33] Round 1 | loss=2.1046 | time=14.1s
  [Client 13] Round 1 | loss=1.9980 | time=9.7s
  [Client 20] Round 1 | loss=1.9382 | time=12.3s
  [Client 47] Round 1 | loss=1.7227 | time=12.0s
  [Client 44] Round 1 | loss=1.9222 | time=14.2s
  [Client  7] Round 1 | loss=1.6718 | time=11.5s
  [Client  3] Round 1 | loss=1.6818 | time=12.9s
  [Client 41] Round 1 | loss=1.9264 | time=10.5s
  [Client 18] Round 1 | loss=1.9595 | time=12.6s
  [Client 49] Round 1 | loss=2.1220 | time=8.9s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.8533
  [Edge 1] G-Round 1 | E-Round 2 | Selected 24/35 clients
  [Client 22] Round 1 | loss=1.7311 | time=1.8s
  [Client 28] Round 1 | loss=1.9736 | time=0.2s
  [Client 16] Round 1 | loss=1.7492 | time=11.4s
  [Client 41] Round 1 | loss=1.9178 | time=0.7s
  [Client  9] Round 1 | loss=1.6587 | time=1.1s
  [Client  7] Round 1 | loss=1.6819 | time=3.4s
  [Client 40] Round 1 | loss=1.6491 | time=1.0s
  [Client  6] Round 1 | loss=1.6829 | time=8.2s
  [Client 48] Round 1 | loss=1.5757 | time=2.0s
  [Client 29] Round 1 | loss=1.7266 | time=1.9s
  [Client 49] Round 1 | loss=1.9347 | time=0.8s
  [Client 36] Round 1 | loss=1.5380 | time=11.8s
  [Client 19] Round 1 | loss=1.3252 | time=10.7s
  [Client 20] Round 1 | loss=1.7795 | time=1.3s
  [Client 44] Round 1 | loss=1.7980 | time=3.1s
  [Client 47] Round 1 | loss=1.5538 | time=2.0s
  [Client  4] Round 1 | loss=1.6670 | time=1.6s
  [Client 14] Round 1 | loss=1.8172 | time=14.6s
  [Client 24] Round 1 | loss=1.4666 | time=10.1s
  [Client 21] Round 1 | loss=1.7168 | time=12.6s
  [Client 42] Round 1 | loss=1.7134 | time=9.8s
  [Client  5] Round 1 | loss=1.7585 | time=1.3s
  [Client 18] Round 1 | loss=1.7280 | time=2.0s
  [Client  8] Round 1 | loss=1.4192 | time=11.5s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.6746
  [Edge 1] G-Round 1 | E-Round 3 | Selected 24/35 clients
  [Client 11] Round 1 | loss=1.6671 | time=2.1s
  [Client 48] Round 1 | loss=1.4173 | time=2.0s
  [Client 19] Round 1 | loss=1.1374 | time=2.3s
  [Client 24] Round 1 | loss=1.2251 | time=1.3s
  [Client 44] Round 1 | loss=1.7038 | time=3.1s
  [Client  8] Round 1 | loss=1.3989 | time=1.7s
  [Client  0] Round 1 | loss=1.7285 | time=1.5s
  [Client 36] Round 1 | loss=1.3015 | time=1.3s
  [Client 14] Round 1 | loss=1.7309 | time=3.1s
  [Client 18] Round 1 | loss=1.6691 | time=2.0s
  [Client 16] Round 1 | loss=1.6028 | time=2.0s
  [Client  1] Round 1 | loss=1.5923 | time=8.4s
  [Client 29] Round 1 | loss=1.4856 | time=1.9s
  [Client  4] Round 1 | loss=1.5260 | time=1.7s
  [Client 33] Round 1 | loss=1.8637 | time=1.8s
  [Client 46] Round 1 | loss=1.2433 | time=0.5s
  [Client 15] Round 1 | loss=1.7835 | time=8.5s
  [Client 26] Round 1 | loss=1.4322 | time=1.3s
  [Client  9] Round 1 | loss=1.5988 | time=1.1s
  [Client 13] Round 1 | loss=1.7392 | time=1.4s
  [Client 40] Round 1 | loss=1.5783 | time=1.0s
  [Client 21] Round 1 | loss=1.6303 | time=2.1s
  [Client 28] Round 1 | loss=1.8130 | time=0.2s
  [Client 31] Round 1 | loss=1.8362 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.5799
  [Edge 1] G-Round 1 | E-Round 4 | Selected 24/35 clients
  [Client  1] Round 1 | loss=1.6630 | time=0.6s
  [Client 44] Round 1 | loss=1.7298 | time=3.1s
  [Client 13] Round 1 | loss=1.7137 | time=1.4s
  [Client  3] Round 1 | loss=1.3545 | time=2.6s
  [Client  6] Round 1 | loss=1.5555 | time=2.7s
  [Client 22] Round 1 | loss=1.5522 | time=1.8s
  [Client  9] Round 1 | loss=1.4639 | time=1.1s
