2026-04-09 01:43:17,167 INFO    MainThread:1569288 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-04-09 01:43:17,168 INFO    MainThread:1569288 [wandb_setup.py:_flush():81] Configure stats pid to 1569288
2026-04-09 01:43:17,168 INFO    MainThread:1569288 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-04-09 01:43:17,168 INFO    MainThread:1569288 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /cephyr/users/ziangg/Alvis/tf-dpfl/fedavg/wandb/run-20260409_014317-6m9s7ovm/logs/debug.log
2026-04-09 01:43:17,168 INFO    MainThread:1569288 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /cephyr/users/ziangg/Alvis/tf-dpfl/fedavg/wandb/run-20260409_014317-6m9s7ovm/logs/debug-internal.log
2026-04-09 01:43:17,168 INFO    MainThread:1569288 [wandb_init.py:init():844] calling init triggers
2026-04-09 01:43:17,168 INFO    MainThread:1569288 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'seed': 42, 'data': {'dataset': 'cifar10', 'img_size': 32, 'batch_size': 256, 'shuffle_buffer': 10000, 'num_classes': 10}, 'training': {'local_epochs': 2, 'learning_rate': 0.01, 'lr_decay': 0.992}, 'federation': {'edge_assignment': 'histogram', 'client_fraction': 0.7, 'warmup_rounds': 5, 'n_clients': 10, 'n_edges': 2, 'edge_rounds': 2, 'n_rounds': 2, 'partition': 'noniid', 'alpha': 0.5}, 'model': {'arch': 'wideresnet28_4'}, 'wandb': {'enabled': True, 'entity': '3445339138-kth-royal-institute-of-technology', 'project': 'HierFL-cifar10', 'run_name': 'fedprox_test'}, '_wandb': {}}
2026-04-09 01:43:17,168 INFO    MainThread:1569288 [wandb_init.py:init():892] starting backend
2026-04-09 01:43:17,386 INFO    MainThread:1569288 [wandb_init.py:init():895] sending inform_init request
2026-04-09 01:43:17,393 INFO    MainThread:1569288 [wandb_init.py:init():903] backend started and connected
2026-04-09 01:43:17,394 INFO    MainThread:1569288 [wandb_init.py:init():973] updated telemetry
2026-04-09 01:43:17,402 INFO    MainThread:1569288 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-04-09 01:43:18,074 INFO    MainThread:1569288 [wandb_init.py:init():1042] starting run threads in backend
2026-04-09 01:43:18,553 INFO    MainThread:1569288 [wandb_run.py:_console_start():2524] atexit reg
2026-04-09 01:43:18,553 INFO    MainThread:1569288 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-04-09 01:43:18,553 INFO    MainThread:1569288 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-04-09 01:43:18,553 INFO    MainThread:1569288 [wandb_run.py:_redirect():2465] Redirects installed.
2026-04-09 01:43:18,555 INFO    MainThread:1569288 [wandb_init.py:init():1082] run started, returning control to user process
2026-04-09 01:43:18,773 INFO    wandb-AsyncioManager-main:1569288 [service_client.py:_forward_responses():134] Reached EOF.
2026-04-09 01:43:18,773 INFO    wandb-AsyncioManager-main:1569288 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
