
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 4/6
  [Client  5] Round 1 | FedDyn(α=0.1) | loss=1.2879
  [Client  4] Round 1 | FedDyn(α=0.1) | loss=1.4231
  [Client  9] Round 1 | FedDyn(α=0.1) | loss=1.5314
  [Client  0] Round 1 | FedDyn(α=0.1) | loss=1.5677
  [Edge 0] G1 | E1 | loss=1.4629
  [Edge 0] G1 | E2 | Selected 4/6
  [Client  3] Round 1 | FedDyn(α=0.1) | loss=1.2110
  [Client  9] Round 1 | FedDyn(α=0.1) | loss=1.5662
  [Client  5] Round 1 | FedDyn(α=0.1) | loss=1.1390
  [Client  6] Round 1 | FedDyn(α=0.1) | loss=1.3128
  [Edge 0] G1 | E2 | loss=1.3640
  [Edge 1] G1 | E1 | Selected 2/4
  [Client  1] Round 1 | FedDyn(α=0.1) | loss=1.3795
  [Client  2] Round 1 | FedDyn(α=0.1) | loss=1.3725
  [Edge 1] G1 | E1 | loss=1.3772
  [Edge 1] G1 | E2 | Selected 2/4
  [Client  7] Round 1 | FedDyn(α=0.1) | loss=1.4972
  [Client  1] Round 1 | FedDyn(α=0.1) | loss=1.2907
  [Edge 1] G1 | E2 | loss=1.3763
  [Cloud] acc=0.2349 | loss=2.6900 | time=224.3s | comm=461.4MB (total=461MB)

[Round   2] Broadcasting to 2 edges...
  [Edge 0] G2 | E1 | Selected 4/6
  [Client  4] Round 2 | FedDyn(α=0.1) | loss=1.4536
  [Client  0] Round 2 | FedDyn(α=0.1) | loss=1.6069
  [Client  5] Round 2 | FedDyn(α=0.1) | loss=1.4244
  [Client  6] Round 2 | FedDyn(α=0.1) | loss=1.4450
  [Edge 0] G2 | E1 | loss=1.4701
  [Edge 0] G2 | E2 | Selected 4/6
  [Client  0] Round 2 | FedDyn(α=0.1) | loss=1.4980
  [Client  4] Round 2 | FedDyn(α=0.1) | loss=1.3881
  [Client  6] Round 2 | FedDyn(α=0.1) | loss=1.3454
  [Client  3] Round 2 | FedDyn(α=0.1) | loss=1.4930
  [Edge 0] G2 | E2 | loss=1.4051
  [Edge 1] G2 | E1 | Selected 2/4
  [Client  7] Round 2 | FedDyn(α=0.1) | loss=1.1495
