
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 68/98
  [Client 12] Round 1 | FedDyn(α=0.1) | loss=1.6495
  [Client 98] Round 1 | FedDyn(α=0.1) | loss=1.9279
  [Client 21] Round 1 | FedDyn(α=0.1) | loss=1.8638
  [Client 63] Round 1 | FedDyn(α=0.1) | loss=1.9174
  [Client 13] Round 1 | FedDyn(α=0.1) | loss=1.3552
  [Client 83] Round 1 | FedDyn(α=0.1) | loss=1.9186
  [Client 49] Round 1 | FedDyn(α=0.1) | loss=1.8441
  [Client 79] Round 1 | FedDyn(α=0.1) | loss=2.0111
  [Client 32] Round 1 | FedDyn(α=0.1) | loss=1.7837
  [Client 48] Round 1 | FedDyn(α=0.1) | loss=1.7043
  [Client 33] Round 1 | FedDyn(α=0.1) | loss=1.8572
  [Client 99] Round 1 | FedDyn(α=0.1) | loss=1.9597
  [Client 76] Round 1 | FedDyn(α=0.1) | loss=1.9871
  [Client 50] Round 1 | FedDyn(α=0.1) | loss=1.9836
  [Client 24] Round 1 | FedDyn(α=0.1) | loss=1.7635
  [Client 89] Round 1 | FedDyn(α=0.1) | loss=1.9586
  [Client 66] Round 1 | FedDyn(α=0.1) | loss=1.9069
  [Client 64] Round 1 | FedDyn(α=0.1) | loss=1.8866
  [Client 85] Round 1 | FedDyn(α=0.1) | loss=1.6438
  [Client 57] Round 1 | FedDyn(α=0.1) | loss=1.6910
  [Client 42] Round 1 | FedDyn(α=0.1) | loss=1.9110
  [Client 27] Round 1 | FedDyn(α=0.1) | loss=1.4507
  [Client  3] Round 1 | FedDyn(α=0.1) | loss=1.7552
  [Client 62] Round 1 | FedDyn(α=0.1) | loss=1.7379
  [Client 56] Round 1 | FedDyn(α=0.1) | loss=1.9978
  [Client 81] Round 1 | FedDyn(α=0.1) | loss=1.6790
  [Client 51] Round 1 | FedDyn(α=0.1) | loss=1.6225
  [Client  7] Round 1 | FedDyn(α=0.1) | loss=1.7960
  [Client 93] Round 1 | FedDyn(α=0.1) | loss=1.8527
  [Client 10] Round 1 | FedDyn(α=0.1) | loss=1.8126
  [Client 29] Round 1 | FedDyn(α=0.1) | loss=1.7325
  [Client 80] Round 1 | FedDyn(α=0.1) | loss=1.9187
  [Client  1] Round 1 | FedDyn(α=0.1) | loss=1.4321
  [Client 23] Round 1 | FedDyn(α=0.1) | loss=1.7569
  [Client 73] Round 1 | FedDyn(α=0.1) | loss=2.0401
  [Client 65] Round 1 | FedDyn(α=0.1) | loss=1.5867
  [Client  8] Round 1 | FedDyn(α=0.1) | loss=1.9266
  [Client 72] Round 1 | FedDyn(α=0.1) | loss=1.8394
  [Client 44] Round 1 | FedDyn(α=0.1) | loss=1.5334
  [Client 60] Round 1 | FedDyn(α=0.1) | loss=1.7637
  [Client 55] Round 1 | FedDyn(α=0.1) | loss=2.0091
  [Client 43] Round 1 | FedDyn(α=0.1) | loss=1.9940
  [Client 91] Round 1 | FedDyn(α=0.1) | loss=1.8367
  [Client 46] Round 1 | FedDyn(α=0.1) | loss=2.0259
  [Client 70] Round 1 | FedDyn(α=0.1) | loss=2.2020
  [Client 16] Round 1 | FedDyn(α=0.1) | loss=2.1389
  [Client 84] Round 1 | FedDyn(α=0.1) | loss=1.9076
  [Client  9] Round 1 | FedDyn(α=0.1) | loss=1.9757
  [Client 14] Round 1 | FedDyn(α=0.1) | loss=2.3071
  [Client 69] Round 1 | FedDyn(α=0.1) | loss=2.0057
  [Client 35] Round 1 | FedDyn(α=0.1) | loss=1.5635
  [Client 67] Round 1 | FedDyn(α=0.1) | loss=1.8909
  [Client 52] Round 1 | FedDyn(α=0.1) | loss=1.9575
  [Client 97] Round 1 | FedDyn(α=0.1) | loss=1.8623
  [Client 25] Round 1 | FedDyn(α=0.1) | loss=1.9343
  [Client  6] Round 1 | FedDyn(α=0.1) | loss=2.1243
  [Client 77] Round 1 | FedDyn(α=0.1) | loss=1.5907
  [Client 36] Round 1 | FedDyn(α=0.1) | loss=1.6688
  [Client 59] Round 1 | FedDyn(α=0.1) | loss=1.9818
  [Client 95] Round 1 | FedDyn(α=0.1) | loss=1.1031
