
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 68/98
  [Client 12] Round 1 | FedAvg | loss=2.2110
  [Client 98] Round 1 | FedAvg | loss=2.2147
  [Client 21] Round 1 | FedAvg | loss=2.7074
  [Client 63] Round 1 | FedAvg | loss=2.3399
  [Client 13] Round 1 | FedAvg | loss=1.7717
  [Client 83] Round 1 | FedAvg | loss=2.2162
  [Client 49] Round 1 | FedAvg | loss=2.5931
  [Client 79] Round 1 | FedAvg | loss=2.5127
  [Client 32] Round 1 | FedAvg | loss=2.3112
  [Client 48] Round 1 | FedAvg | loss=1.8141
  [Client 33] Round 1 | FedAvg | loss=2.0765
  [Client 99] Round 1 | FedAvg | loss=2.1875
  [Client 76] Round 1 | FedAvg | loss=2.5574
  [Client 50] Round 1 | FedAvg | loss=2.3947
  [Client 24] Round 1 | FedAvg | loss=2.0432
  [Client 89] Round 1 | FedAvg | loss=2.6183
  [Client 66] Round 1 | FedAvg | loss=2.2118
  [Client 64] Round 1 | FedAvg | loss=3.0897
  [Client 85] Round 1 | FedAvg | loss=2.2312
  [Client 57] Round 1 | FedAvg | loss=2.4528
  [Client 42] Round 1 | FedAvg | loss=2.5219
  [Client 27] Round 1 | FedAvg | loss=1.6785
  [Client  3] Round 1 | FedAvg | loss=2.3309
  [Client 62] Round 1 | FedAvg | loss=1.9705
  [Client 56] Round 1 | FedAvg | loss=2.3119
  [Client 81] Round 1 | FedAvg | loss=2.1642
  [Client 51] Round 1 | FedAvg | loss=2.5725
  [Client  7] Round 1 | FedAvg | loss=2.9988
  [Client 93] Round 1 | FedAvg | loss=2.6684
  [Client 10] Round 1 | FedAvg | loss=2.1670
  [Client 29] Round 1 | FedAvg | loss=1.9542
  [Client 80] Round 1 | FedAvg | loss=2.8568
  [Client  1] Round 1 | FedAvg | loss=2.0650
  [Client 23] Round 1 | FedAvg | loss=2.3433
  [Client 73] Round 1 | FedAvg | loss=2.4579
  [Client 65] Round 1 | FedAvg | loss=3.0043
  [Client  8] Round 1 | FedAvg | loss=2.3316
  [Client 72] Round 1 | FedAvg | loss=2.2339
  [Client 44] Round 1 | FedAvg | loss=1.7876
  [Client 60] Round 1 | FedAvg | loss=2.2868
  [Client 55] Round 1 | FedAvg | loss=2.4036
  [Client 43] Round 1 | FedAvg | loss=2.4980
  [Client 91] Round 1 | FedAvg | loss=2.9891
  [Client 46] Round 1 | FedAvg | loss=2.6933
  [Client 70] Round 1 | FedAvg | loss=4.0124
  [Client 16] Round 1 | FedAvg | loss=2.7217
  [Client 84] Round 1 | FedAvg | loss=2.6516
  [Client  9] Round 1 | FedAvg | loss=2.4211
  [Client 14] Round 1 | FedAvg | loss=2.9665
  [Client 69] Round 1 | FedAvg | loss=2.3011
  [Client 35] Round 1 | FedAvg | loss=2.2986
  [Client 67] Round 1 | FedAvg | loss=2.0544
  [Client 52] Round 1 | FedAvg | loss=2.3657
  [Client 97] Round 1 | FedAvg | loss=2.3828
  [Client 25] Round 1 | FedAvg | loss=2.3659
  [Client  6] Round 1 | FedAvg | loss=2.8959
  [Client 77] Round 1 | FedAvg | loss=2.3515
  [Client 36] Round 1 | FedAvg | loss=1.8385
  [Client 59] Round 1 | FedAvg | loss=2.4436
  [Client 95] Round 1 | FedAvg | loss=1.5594
  [Client 15] Round 1 | FedAvg | loss=2.0263
  [Client 40] Round 1 | FedAvg | loss=2.5369
  [Client 30] Round 1 | FedAvg | loss=2.3262
  [Client 90] Round 1 | FedAvg | loss=2.5935
  [Client  0] Round 1 | FedAvg | loss=2.2913
  [Client 71] Round 1 | FedAvg | loss=2.3571
  [Client 53] Round 1 | FedAvg | loss=2.1916
  [Client 96] Round 1 | FedAvg | loss=2.4977
  [Edge 0] G1 | E1 | loss=2.2747
  [Edge 0] G1 | E2 | Selected 68/98
  [Client 86] Round 1 | FedAvg | loss=1.9484
  [Client 96] Round 1 | FedAvg | loss=1.8030
  [Client 48] Round 1 | FedAvg | loss=1.4836
  [Client 34] Round 1 | FedAvg | loss=1.6172
  [Client 70] Round 1 | FedAvg | loss=2.1082
  [Client 36] Round 1 | FedAvg | loss=1.5217
  [Client 66] Round 1 | FedAvg | loss=1.7553
  [Client 79] Round 1 | FedAvg | loss=1.9146
  [Client 39] Round 1 | FedAvg | loss=2.0188
  [Client 20] Round 1 | FedAvg | loss=1.5179
  [Client 87] Round 1 | FedAvg | loss=1.5002
  [Client 68] Round 1 | FedAvg | loss=1.6059
  [Client 52] Round 1 | FedAvg | loss=1.7919
  [Client 65] Round 1 | FedAvg | loss=1.7891
  [Client 18] Round 1 | FedAvg | loss=1.8014
  [Client 49] Round 1 | FedAvg | loss=1.8444
  [Client 97] Round 1 | FedAvg | loss=1.8417
  [Client 60] Round 1 | FedAvg | loss=1.7023
  [Client 54] Round 1 | FedAvg | loss=1.7871
  [Client 13] Round 1 | FedAvg | loss=1.3752
  [Client 91] Round 1 | FedAvg | loss=1.8174
  [Client 32] Round 1 | FedAvg | loss=1.7435
  [Client  8] Round 1 | FedAvg | loss=1.7504
  [Client 42] Round 1 | FedAvg | loss=1.8431
  [Client 93] Round 1 | FedAvg | loss=2.0907
  [Client 40] Round 1 | FedAvg | loss=1.9337
  [Client 10] Round 1 | FedAvg | loss=1.6962
  [Client 82] Round 1 | FedAvg | loss=1.8306
  [Client 77] Round 1 | FedAvg | loss=1.5981
  [Client 44] Round 1 | FedAvg | loss=1.3674
  [Client 45] Round 1 | FedAvg | loss=1.7966
  [Client 61] Round 1 | FedAvg | loss=1.5363
  [Client 43] Round 1 | FedAvg | loss=1.9103
  [Client  4] Round 1 | FedAvg | loss=1.8302
  [Client 71] Round 1 | FedAvg | loss=1.8870
  [Client 80] Round 1 | FedAvg | loss=1.8780
  [Client 64] Round 1 | FedAvg | loss=1.8705
  [Client 16] Round 1 | FedAvg | loss=1.9681
  [Client 22] Round 1 | FedAvg | loss=1.7137
  [Client 14] Round 1 | FedAvg | loss=2.0408
  [Client 84] Round 1 | FedAvg | loss=1.7410
  [Client 59] Round 1 | FedAvg | loss=1.7932
  [Client 69] Round 1 | FedAvg | loss=1.8740
  [Client 62] Round 1 | FedAvg | loss=1.5939
  [Client 98] Round 1 | FedAvg | loss=1.7657
  [Client 23] Round 1 | FedAvg | loss=1.7378
  [Client 76] Round 1 | FedAvg | loss=1.8852
  [Client  9] Round 1 | FedAvg | loss=1.8691
  [Client 25] Round 1 | FedAvg | loss=1.8114
  [Client 58] Round 1 | FedAvg | loss=1.8214
  [Client  2] Round 1 | FedAvg | loss=1.7938
  [Client 19] Round 1 | FedAvg | loss=1.3619
  [Client 83] Round 1 | FedAvg | loss=1.8183
  [Client 78] Round 1 | FedAvg | loss=1.3857
  [Client 51] Round 1 | FedAvg | loss=1.8348
  [Client 57] Round 1 | FedAvg | loss=1.6527
  [Client 92] Round 1 | FedAvg | loss=1.8109
  [Client 46] Round 1 | FedAvg | loss=1.8632
  [Client 24] Round 1 | FedAvg | loss=1.6943
  [Client 17] Round 1 | FedAvg | loss=2.1103
  [Client 30] Round 1 | FedAvg | loss=1.8230
  [Client 33] Round 1 | FedAvg | loss=1.7042
  [Client 89] Round 1 | FedAvg | loss=1.8990
  [Client  1] Round 1 | FedAvg | loss=1.5488
  [Client 15] Round 1 | FedAvg | loss=1.6340
  [Client 63] Round 1 | FedAvg | loss=1.8073
  [Client 38] Round 1 | FedAvg | loss=2.1701
  [Client 75] Round 1 | FedAvg | loss=2.0254
  [Edge 0] G1 | E2 | loss=1.7310
  [Edge 0] G1 | E3 | Selected 68/98
  [Client 34] Round 1 | FedAvg | loss=1.5060
  [Client 37] Round 1 | FedAvg | loss=1.7153
  [Client 86] Round 1 | FedAvg | loss=1.8641
  [Client 43] Round 1 | FedAvg | loss=1.7277
  [Client 17] Round 1 | FedAvg | loss=1.9549
  [Client 84] Round 1 | FedAvg | loss=1.6404
  [Client 70] Round 1 | FedAvg | loss=1.9814
  [Client 62] Round 1 | FedAvg | loss=1.5129
  [Client  7] Round 1 | FedAvg | loss=1.8798
  [Client 54] Round 1 | FedAvg | loss=1.7229
  [Client  0] Round 1 | FedAvg | loss=1.6401
