
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 35/50
  [Client 67] Round 1 | FedAvg | loss=1.8009
  [Client 20] Round 1 | FedAvg | loss=1.4399
  [Client 47] Round 1 | FedAvg | loss=1.7168
  [Client 49] Round 1 | FedAvg | loss=1.9850
  [Client 98] Round 1 | FedAvg | loss=1.8647
  [Client 42] Round 1 | FedAvg | loss=1.8940
  [Client 89] Round 1 | FedAvg | loss=2.0021
  [Client 15] Round 1 | FedAvg | loss=1.7178
  [Client  6] Round 1 | FedAvg | loss=2.0415
  [Client 41] Round 1 | FedAvg | loss=2.0554
  [Client 26] Round 1 | FedAvg | loss=1.7980
  [Client 88] Round 1 | FedAvg | loss=1.9305
  [Client 53] Round 1 | FedAvg | loss=1.7901
  [Client 93] Round 1 | FedAvg | loss=1.9960
  [Client 28] Round 1 | FedAvg | loss=1.8418
  [Client 87] Round 1 | FedAvg | loss=1.5276
  [Client 84] Round 1 | FedAvg | loss=1.8529
  [Client 80] Round 1 | FedAvg | loss=1.9801
  [Client 30] Round 1 | FedAvg | loss=1.8549
  [Client  8] Round 1 | FedAvg | loss=1.8734
  [Client 61] Round 1 | FedAvg | loss=1.6639
  [Client 99] Round 1 | FedAvg | loss=1.8731
  [Client 63] Round 1 | FedAvg | loss=1.8342
  [Client 83] Round 1 | FedAvg | loss=1.9075
  [Client 69] Round 1 | FedAvg | loss=1.9922
  [Client 65] Round 1 | FedAvg | loss=1.6676
  [Client 79] Round 1 | FedAvg | loss=2.0811
  [Client 62] Round 1 | FedAvg | loss=1.6846
  [Client 48] Round 1 | FedAvg | loss=1.6077
  [Client 71] Round 1 | FedAvg | loss=1.8699
  [Client 74] Round 1 | FedAvg | loss=1.6416
  [Client 40] Round 1 | FedAvg | loss=2.0222
  [Client 46] Round 1 | FedAvg | loss=1.9777
  [Client 11] Round 1 | FedAvg | loss=1.7714
  [Client 64] Round 1 | FedAvg | loss=1.8448
  [Edge 0] G1 | E1 | loss=1.8348
  [Edge 0] G1 | E2 | Selected 35/50
  [Client 54] Round 1 | FedAvg | loss=1.9304
  [Client 89] Round 1 | FedAvg | loss=1.9336
  [Client 74] Round 1 | FedAvg | loss=1.7465
  [Client 55] Round 1 | FedAvg | loss=1.8314
  [Client 80] Round 1 | FedAvg | loss=2.0095
  [Client  1] Round 1 | FedAvg | loss=1.8165
  [Client 30] Round 1 | FedAvg | loss=1.8026
  [Client 48] Round 1 | FedAvg | loss=1.5687
  [Client 41] Round 1 | FedAvg | loss=2.0614
  [Client 44] Round 1 | FedAvg | loss=1.5357
  [Client 69] Round 1 | FedAvg | loss=1.9259
  [Client 42] Round 1 | FedAvg | loss=1.8879
  [Client 84] Round 1 | FedAvg | loss=1.8644
  [Client 20] Round 1 | FedAvg | loss=1.6332
  [Client 83] Round 1 | FedAvg | loss=1.9055
  [Client  6] Round 1 | FedAvg | loss=1.9425
  [Client  3] Round 1 | FedAvg | loss=1.6733
  [Client 64] Round 1 | FedAvg | loss=1.9140
  [Client 15] Round 1 | FedAvg | loss=1.7285
  [Client  9] Round 1 | FedAvg | loss=2.0288
  [Client 62] Round 1 | FedAvg | loss=1.6906
  [Client 49] Round 1 | FedAvg | loss=1.9061
  [Client 71] Round 1 | FedAvg | loss=1.8205
  [Client 46] Round 1 | FedAvg | loss=1.9208
  [Client 67] Round 1 | FedAvg | loss=1.7117
  [Client 26] Round 1 | FedAvg | loss=1.7677
  [Client  7] Round 1 | FedAvg | loss=2.0848
  [Client 63] Round 1 | FedAvg | loss=1.8216
  [Client 58] Round 1 | FedAvg | loss=1.9744
  [Client 12] Round 1 | FedAvg | loss=1.9256
  [Client 79] Round 1 | FedAvg | loss=1.8809
  [Client 23] Round 1 | FedAvg | loss=1.9013
  [Client 87] Round 1 | FedAvg | loss=1.6370
  [Client 81] Round 1 | FedAvg | loss=1.8437
  [Client 93] Round 1 | FedAvg | loss=1.9154
  [Edge 0] G1 | E2 | loss=1.8190
  [Edge 0] G1 | E3 | Selected 35/50
  [Client 62] Round 1 | FedAvg | loss=1.5432
  [Client 15] Round 1 | FedAvg | loss=1.5895
  [Client 60] Round 1 | FedAvg | loss=1.7720
  [Client  6] Round 1 | FedAvg | loss=1.6239
  [Client 74] Round 1 | FedAvg | loss=1.5945
  [Client 11] Round 1 | FedAvg | loss=1.5630
  [Client 87] Round 1 | FedAvg | loss=1.4284
  [Client 40] Round 1 | FedAvg | loss=1.8798
  [Client 61] Round 1 | FedAvg | loss=1.4825
