
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 35/50
  [Client 67] Round 1 | FedAvg | loss=1.4822
  [Client 20] Round 1 | FedAvg | loss=1.1320
  [Client 47] Round 1 | FedAvg | loss=1.3049
  [Client 49] Round 1 | FedAvg | loss=1.6934
  [Client 98] Round 1 | FedAvg | loss=1.5723
  [Client 42] Round 1 | FedAvg | loss=1.6722
  [Client 89] Round 1 | FedAvg | loss=1.6881
  [Client 15] Round 1 | FedAvg | loss=1.4140
  [Client  6] Round 1 | FedAvg | loss=1.6418
  [Client 41] Round 1 | FedAvg | loss=1.8092
  [Client 26] Round 1 | FedAvg | loss=1.6989
  [Client 88] Round 1 | FedAvg | loss=1.6587
  [Client 53] Round 1 | FedAvg | loss=1.7296
  [Client 93] Round 1 | FedAvg | loss=2.0593
  [Client 28] Round 1 | FedAvg | loss=1.3957
  [Client 87] Round 1 | FedAvg | loss=1.1385
  [Client 84] Round 1 | FedAvg | loss=1.5229
  [Client 80] Round 1 | FedAvg | loss=1.7331
  [Client 30] Round 1 | FedAvg | loss=1.5903
  [Client  8] Round 1 | FedAvg | loss=1.5418
  [Client 61] Round 1 | FedAvg | loss=1.2726
  [Client 99] Round 1 | FedAvg | loss=1.5445
  [Client 63] Round 1 | FedAvg | loss=1.5747
  [Client 83] Round 1 | FedAvg | loss=1.7423
  [Client 69] Round 1 | FedAvg | loss=1.7347
  [Client 65] Round 1 | FedAvg | loss=1.4850
  [Client 79] Round 1 | FedAvg | loss=1.7768
  [Client 62] Round 1 | FedAvg | loss=1.3911
  [Client 48] Round 1 | FedAvg | loss=1.2796
  [Client 71] Round 1 | FedAvg | loss=1.6491
  [Client 74] Round 1 | FedAvg | loss=1.3130
  [Client 40] Round 1 | FedAvg | loss=1.8322
  [Client 46] Round 1 | FedAvg | loss=1.8477
  [Client 11] Round 1 | FedAvg | loss=1.5269
  [Client 64] Round 1 | FedAvg | loss=1.7184
  [Edge 0] G1 | E1 | loss=1.5577
  [Edge 0] G1 | E2 | Selected 35/50
  [Client 54] Round 1 | FedAvg | loss=1.4459
  [Client 89] Round 1 | FedAvg | loss=1.4927
  [Client 74] Round 1 | FedAvg | loss=1.1440
  [Client 55] Round 1 | FedAvg | loss=1.4366
  [Client 80] Round 1 | FedAvg | loss=1.5447
  [Client  1] Round 1 | FedAvg | loss=1.1769
  [Client 30] Round 1 | FedAvg | loss=1.3253
  [Client 48] Round 1 | FedAvg | loss=1.0845
  [Client 41] Round 1 | FedAvg | loss=1.6515
  [Client 44] Round 1 | FedAvg | loss=1.0214
  [Client 69] Round 1 | FedAvg | loss=1.5391
  [Client 42] Round 1 | FedAvg | loss=1.3382
  [Client 84] Round 1 | FedAvg | loss=1.4245
  [Client 20] Round 1 | FedAvg | loss=1.0046
  [Client 83] Round 1 | FedAvg | loss=1.5680
  [Client  6] Round 1 | FedAvg | loss=1.4310
  [Client  3] Round 1 | FedAvg | loss=1.2307
  [Client 64] Round 1 | FedAvg | loss=1.3011
  [Client 15] Round 1 | FedAvg | loss=1.2787
  [Client  9] Round 1 | FedAvg | loss=1.5178
  [Client 62] Round 1 | FedAvg | loss=1.2854
  [Client 49] Round 1 | FedAvg | loss=1.6072
  [Client 71] Round 1 | FedAvg | loss=1.4424
  [Client 46] Round 1 | FedAvg | loss=1.5316
  [Client 67] Round 1 | FedAvg | loss=1.3311
  [Client 26] Round 1 | FedAvg | loss=1.4110
  [Client  7] Round 1 | FedAvg | loss=1.5722
  [Client 63] Round 1 | FedAvg | loss=1.3166
  [Client 58] Round 1 | FedAvg | loss=1.3905
  [Client 12] Round 1 | FedAvg | loss=1.1676
  [Client 79] Round 1 | FedAvg | loss=1.5742
  [Client 23] Round 1 | FedAvg | loss=1.4070
  [Client 87] Round 1 | FedAvg | loss=1.0770
  [Client 81] Round 1 | FedAvg | loss=1.2177
  [Client 93] Round 1 | FedAvg | loss=1.4961
  [Edge 0] G1 | E2 | loss=1.3595
  [Edge 0] G1 | E3 | Selected 35/50
  [Client 62] Round 1 | FedAvg | loss=1.1628
  [Client 15] Round 1 | FedAvg | loss=1.1401
  [Client 60] Round 1 | FedAvg | loss=1.3192
  [Client  6] Round 1 | FedAvg | loss=1.1876
  [Client 74] Round 1 | FedAvg | loss=1.0082
  [Client 11] Round 1 | FedAvg | loss=1.1359
  [Client 87] Round 1 | FedAvg | loss=0.8641
  [Client 40] Round 1 | FedAvg | loss=1.3857
  [Client 61] Round 1 | FedAvg | loss=0.9949
  [Client 84] Round 1 | FedAvg | loss=1.1420
  [Client 26] Round 1 | FedAvg | loss=1.2569
  [Client 80] Round 1 | FedAvg | loss=1.2767
  [Client 23] Round 1 | FedAvg | loss=1.0806
  [Client 22] Round 1 | FedAvg | loss=1.1141
  [Client  3] Round 1 | FedAvg | loss=1.0477
  [Client 41] Round 1 | FedAvg | loss=1.3840
  [Client 99] Round 1 | FedAvg | loss=1.2378
  [Client 89] Round 1 | FedAvg | loss=1.1536
  [Client  7] Round 1 | FedAvg | loss=1.0697
  [Client 79] Round 1 | FedAvg | loss=1.4165
  [Client 98] Round 1 | FedAvg | loss=1.1776
  [Client 71] Round 1 | FedAvg | loss=1.2612
  [Client 55] Round 1 | FedAvg | loss=1.1643
  [Client  9] Round 1 | FedAvg | loss=1.2202
  [Client 64] Round 1 | FedAvg | loss=1.0035
  [Client 12] Round 1 | FedAvg | loss=0.9396
  [Client 30] Round 1 | FedAvg | loss=1.1233
  [Client 54] Round 1 | FedAvg | loss=1.4271
  [Client  8] Round 1 | FedAvg | loss=1.2343
  [Client 65] Round 1 | FedAvg | loss=1.0826
  [Client 93] Round 1 | FedAvg | loss=1.3902
  [Client 67] Round 1 | FedAvg | loss=1.1776
