
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 35/50
  [Client 67] Round 1 | FedDyn(α=0.1) | loss=2.7651
  [Client 20] Round 1 | FedDyn(α=0.1) | loss=2.4856
  [Client 47] Round 1 | FedDyn(α=0.1) | loss=2.6564
  [Client 49] Round 1 | FedDyn(α=0.1) | loss=3.0966
  [Client 98] Round 1 | FedDyn(α=0.1) | loss=3.3555
  [Client 42] Round 1 | FedDyn(α=0.1) | loss=3.1885
  [Client 89] Round 1 | FedDyn(α=0.1) | loss=3.4811
  [Client 15] Round 1 | FedDyn(α=0.1) | loss=2.6263
  [Client  6] Round 1 | FedDyn(α=0.1) | loss=3.2839
  [Client 41] Round 1 | FedDyn(α=0.1) | loss=3.5025
  [Client 26] Round 1 | FedDyn(α=0.1) | loss=3.1719
  [Client 88] Round 1 | FedDyn(α=0.1) | loss=2.9629
  [Client 53] Round 1 | FedDyn(α=0.1) | loss=3.9191
  [Client 93] Round 1 | FedDyn(α=0.1) | loss=4.2217
  [Client 28] Round 1 | FedDyn(α=0.1) | loss=2.7792
  [Client 87] Round 1 | FedDyn(α=0.1) | loss=2.8492
  [Client 84] Round 1 | FedDyn(α=0.1) | loss=3.0528
  [Client 80] Round 1 | FedDyn(α=0.1) | loss=3.3364
  [Client 30] Round 1 | FedDyn(α=0.1) | loss=3.1853
  [Client  8] Round 1 | FedDyn(α=0.1) | loss=3.0381
  [Client 61] Round 1 | FedDyn(α=0.1) | loss=2.9912
  [Client 99] Round 1 | FedDyn(α=0.1) | loss=2.9544
  [Client 63] Round 1 | FedDyn(α=0.1) | loss=2.9798
  [Client 83] Round 1 | FedDyn(α=0.1) | loss=3.0472
  [Client 69] Round 1 | FedDyn(α=0.1) | loss=3.1362
  [Client 65] Round 1 | FedDyn(α=0.1) | loss=3.3188
  [Client 79] Round 1 | FedDyn(α=0.1) | loss=3.3606
  [Client 62] Round 1 | FedDyn(α=0.1) | loss=2.7067
  [Client 48] Round 1 | FedDyn(α=0.1) | loss=2.6795
  [Client 71] Round 1 | FedDyn(α=0.1) | loss=3.4252
  [Client 74] Round 1 | FedDyn(α=0.1) | loss=2.6452
  [Client 40] Round 1 | FedDyn(α=0.1) | loss=3.4666
  [Client 46] Round 1 | FedDyn(α=0.1) | loss=3.3839
  [Client 11] Round 1 | FedDyn(α=0.1) | loss=2.9963
  [Client 64] Round 1 | FedDyn(α=0.1) | loss=4.3860
  [Edge 0] G1 | E1 | loss=3.0525
  [Edge 0] G1 | E2 | Selected 35/50
  [Client 54] Round 1 | FedDyn(α=0.1) | loss=2.0390
  [Client 89] Round 1 | FedDyn(α=0.1) | loss=1.4572
  [Client 74] Round 1 | FedDyn(α=0.1) | loss=1.0300
  [Client 55] Round 1 | FedDyn(α=0.1) | loss=1.7677
  [Client 80] Round 1 | FedDyn(α=0.1) | loss=1.4260
  [Client  1] Round 1 | FedDyn(α=0.1) | loss=1.3537
  [Client 30] Round 1 | FedDyn(α=0.1) | loss=1.1996
  [Client 48] Round 1 | FedDyn(α=0.1) | loss=0.9881
  [Client 41] Round 1 | FedDyn(α=0.1) | loss=1.4694
  [Client 44] Round 1 | FedDyn(α=0.1) | loss=1.3113
  [Client 69] Round 1 | FedDyn(α=0.1) | loss=1.3643
  [Client 42] Round 1 | FedDyn(α=0.1) | loss=1.3499
  [Client 84] Round 1 | FedDyn(α=0.1) | loss=1.2093
  [Client 20] Round 1 | FedDyn(α=0.1) | loss=0.8701
  [Client 83] Round 1 | FedDyn(α=0.1) | loss=1.4459
  [Client  6] Round 1 | FedDyn(α=0.1) | loss=1.3579
  [Client  3] Round 1 | FedDyn(α=0.1) | loss=1.6562
  [Client 64] Round 1 | FedDyn(α=0.1) | loss=0.6545
  [Client 15] Round 1 | FedDyn(α=0.1) | loss=1.1301
  [Client  9] Round 1 | FedDyn(α=0.1) | loss=1.8446
  [Client 62] Round 1 | FedDyn(α=0.1) | loss=1.0740
  [Client 49] Round 1 | FedDyn(α=0.1) | loss=1.2960
  [Client 71] Round 1 | FedDyn(α=0.1) | loss=1.3900
  [Client 46] Round 1 | FedDyn(α=0.1) | loss=1.5022
  [Client 67] Round 1 | FedDyn(α=0.1) | loss=1.1408
  [Client 26] Round 1 | FedDyn(α=0.1) | loss=1.2497
  [Client  7] Round 1 | FedDyn(α=0.1) | loss=1.6584
  [Client 63] Round 1 | FedDyn(α=0.1) | loss=1.2889
  [Client 58] Round 1 | FedDyn(α=0.1) | loss=1.6332
  [Client 12] Round 1 | FedDyn(α=0.1) | loss=1.3533
  [Client 79] Round 1 | FedDyn(α=0.1) | loss=1.3960
  [Client 23] Round 1 | FedDyn(α=0.1) | loss=1.6977
  [Client 87] Round 1 | FedDyn(α=0.1) | loss=0.9045
  [Client 81] Round 1 | FedDyn(α=0.1) | loss=1.4484
  [Client 93] Round 1 | FedDyn(α=0.1) | loss=1.0529
  [Edge 0] G1 | E2 | loss=1.3450
  [Edge 0] G1 | E3 | Selected 35/50
  [Client 62] Round 1 | FedDyn(α=0.1) | loss=1.2521
  [Client 15] Round 1 | FedDyn(α=0.1) | loss=1.2399
  [Client 60] Round 1 | FedDyn(α=0.1) | loss=1.7133
  [Client  6] Round 1 | FedDyn(α=0.1) | loss=1.4272
  [Client 74] Round 1 | FedDyn(α=0.1) | loss=1.1949
  [Client 11] Round 1 | FedDyn(α=0.1) | loss=1.2235
  [Client 87] Round 1 | FedDyn(α=0.1) | loss=1.2803
  [Client 40] Round 1 | FedDyn(α=0.1) | loss=1.3830
  [Client 61] Round 1 | FedDyn(α=0.1) | loss=0.9379
  [Client 84] Round 1 | FedDyn(α=0.1) | loss=1.2974
  [Client 26] Round 1 | FedDyn(α=0.1) | loss=1.3257
  [Client 80] Round 1 | FedDyn(α=0.1) | loss=1.5041
  [Client 23] Round 1 | FedDyn(α=0.1) | loss=1.4028
  [Client 22] Round 1 | FedDyn(α=0.1) | loss=1.4315
  [Client  3] Round 1 | FedDyn(α=0.1) | loss=1.4537
  [Client 41] Round 1 | FedDyn(α=0.1) | loss=1.5410
  [Client 99] Round 1 | FedDyn(α=0.1) | loss=1.0696
  [Client 89] Round 1 | FedDyn(α=0.1) | loss=1.3996
  [Client  7] Round 1 | FedDyn(α=0.1) | loss=1.2616
  [Client 79] Round 1 | FedDyn(α=0.1) | loss=1.5666
  [Client 98] Round 1 | FedDyn(α=0.1) | loss=1.0380
  [Client 71] Round 1 | FedDyn(α=0.1) | loss=1.3012
  [Client 55] Round 1 | FedDyn(α=0.1) | loss=1.5177
  [Client  9] Round 1 | FedDyn(α=0.1) | loss=1.6508
  [Client 64] Round 1 | FedDyn(α=0.1) | loss=1.2486
  [Client 12] Round 1 | FedDyn(α=0.1) | loss=1.2356
  [Client 30] Round 1 | FedDyn(α=0.1) | loss=1.4014
