
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 35/50
  [Client 67] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.3430
  [Client 20] Round 1 | FedProx(ref=edge,μ=1.0) | loss=5.8190
  [Client 47] Round 1 | FedProx(ref=edge,μ=1.0) | loss=5.8833
  [Client 49] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.6049
  [Client 98] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.8434
  [Client 42] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.1937
  [Client 89] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.7276
  [Client 15] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.3104
  [Client  6] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.5487
  [Client 41] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.5530
  [Client 26] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.8671
  [Client 88] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.5226
  [Client 53] Round 1 | FedProx(ref=edge,μ=1.0) | loss=8.1462
  [Client 93] Round 1 | FedProx(ref=edge,μ=1.0) | loss=9.2681
  [Client 28] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.2088
  [Client 87] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.1036
  [Client 84] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.7934
  [Client 80] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.6910
  [Client 30] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.5994
  [Client  8] Round 1 | FedProx(ref=edge,μ=1.0) | loss=7.2314
  [Client 61] Round 1 | FedProx(ref=edge,μ=1.0) | loss=5.7776
  [Client 99] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.6760
  [Client 63] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.9791
  [Client 83] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.4901
  [Client 69] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.7053
  [Client 65] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.8886
  [Client 79] Round 1 | FedProx(ref=edge,μ=1.0) | loss=7.1366
  [Client 62] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.0159
  [Client 48] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.1185
  [Client 71] Round 1 | FedProx(ref=edge,μ=1.0) | loss=7.3108
  [Client 74] Round 1 | FedProx(ref=edge,μ=1.0) | loss=5.9089
  [Client 40] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.9769
  [Client 46] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.7208
  [Client 11] Round 1 | FedProx(ref=edge,μ=1.0) | loss=6.4398
  [Client 64] Round 1 | FedProx(ref=edge,μ=1.0) | loss=7.4001
  [Edge 0] G1 | E1 | loss=6.5852
  [Edge 0] G1 | E2 | Selected 35/50
  [Client 54] Round 1 | FedProx(ref=edge,μ=1.0) | loss=5.3250
  [Client 89] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.5293
  [Client 74] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.6493
  [Client 55] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.3289
  [Client 80] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.4390
  [Client  1] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.8468
  [Client 30] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.2754
  [Client 48] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.8915
  [Client 41] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.6197
  [Client 44] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.5560
  [Client 69] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.7628
  [Client 42] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.1834
  [Client 84] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.4628
  [Client 20] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.7402
  [Client 83] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.6679
  [Client  6] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.1502
  [Client  3] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.0895
  [Client 64] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.3426
  [Client 15] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.2156
  [Client  9] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.4848
  [Client 62] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.0283
  [Client 49] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.4925
  [Client 71] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.6330
  [Client 46] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.3645
  [Client 67] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.3750
  [Client 26] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.5176
  [Client  7] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.1490
  [Client 63] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.4709
  [Client 58] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.1370
  [Client 12] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.5918
  [Client 79] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.9169
  [Client 23] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.1973
  [Client 87] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.4204
  [Client 81] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.1266
  [Client 93] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.6935
  [Edge 0] G1 | E2 | loss=4.3080
  [Edge 0] G1 | E3 | Selected 35/50
  [Client 62] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.4914
  [Client 15] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.5798
  [Client 60] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.9044
  [Client  6] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.5559
  [Client 74] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.1981
  [Client 11] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.6719
  [Client 87] Round 1 | FedProx(ref=edge,μ=1.0) | loss=2.9181
  [Client 40] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.0027
  [Client 61] Round 1 | FedProx(ref=edge,μ=1.0) | loss=2.8438
  [Client 84] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.8580
  [Client 26] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.8160
  [Client 80] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.7596
  [Client 23] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.6206
  [Client 22] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.5280
  [Client  3] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.5142
  [Client 41] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.8633
  [Client 99] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.9040
  [Client 89] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.6736
  [Client  7] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.4723
  [Client 79] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.3140
  [Client 98] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.8781
  [Client 71] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.0858
  [Client 55] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.6886
  [Client  9] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.0193
  [Client 64] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.1456
  [Client 12] Round 1 | FedProx(ref=edge,μ=1.0) | loss=2.9765
  [Client 30] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.5560
  [Client 54] Round 1 | FedProx(ref=edge,μ=1.0) | loss=5.8488
  [Client  8] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.8211
  [Client 65] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.4534
  [Client 93] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.7925
  [Client 67] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.7286
  [Client 20] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.0739
  [Client 83] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.0272
  [Client 44] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.0674
  [Edge 0] G1 | E3 | loss=3.7560
  [Edge 0] G1 | E4 | Selected 35/50
  [Client 69] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.5941
  [Client  1] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.0922
  [Client 89] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.2523
  [Client 26] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.4145
  [Client 79] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.7342
  [Client 98] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.3263
  [Client 44] Round 1 | FedProx(ref=edge,μ=1.0) | loss=2.7100
  [Client 74] Round 1 | FedProx(ref=edge,μ=1.0) | loss=2.7054
  [Client 40] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.4623
  [Client 48] Round 1 | FedProx(ref=edge,μ=1.0) | loss=2.8700
  [Client 83] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.5216
  [Client 20] Round 1 | FedProx(ref=edge,μ=1.0) | loss=2.6596
  [Client 81] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.1204
  [Client 99] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.4037
  [Client 49] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.5804
  [Client  3] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.0451
  [Client 87] Round 1 | FedProx(ref=edge,μ=1.0) | loss=2.4918
  [Client 55] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.2582
  [Client 47] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.0477
  [Client 61] Round 1 | FedProx(ref=edge,μ=1.0) | loss=2.2990
  [Client 30] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.0901
  [Client 41] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.4942
  [Client 80] Round 1 | FedProx(ref=edge,μ=1.0) | loss=3.4106
  [Client 93] Round 1 | FedProx(ref=edge,μ=1.0) | loss=4.4334
