
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 35/50
  [Client 67] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=61.1288
  [Client 20] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=61.6893
  [Client 47] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=72.4342
  [Client 49] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=57.8115
  [Client 98] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=61.4562
  [Client 42] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=55.4904
  [Client 89] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=60.4163
  [Client 15] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=56.3567
  [Client  6] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=49.4128
  [Client 41] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=56.8121
  [Client 26] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=67.9227
  [Client 88] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=63.4498
  [Client 53] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=73.9571
  [Client 93] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=75.0508
  [Client 28] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=61.2951
  [Client 87] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=60.3095
  [Client 84] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=57.7873
  [Client 80] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=55.9429
  [Client 30] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=54.1979
  [Client  8] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=62.0586
  [Client 61] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=54.0044
  [Client 99] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=66.3402
  [Client 63] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=71.3695
  [Client 83] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=54.0029
  [Client 69] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=58.7359
  [Client 65] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=60.0821
  [Client 79] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=56.0688
  [Client 62] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=54.7407
  [Client 48] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=62.6141
  [Client 71] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=59.7986
  [Client 74] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=55.3211
  [Client 40] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=57.0523
  [Client 46] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=63.6509
  [Client 11] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=51.5219
  [Client 64] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=53.3980
  [Edge 0] G1 | E1 | loss=60.4070
  [Edge 0] G1 | E2 | Selected 35/50
  [Client 54] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=81.9896
  [Client 89] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=62.6979
  [Client 74] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=70.3594
  [Client 55] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=79.6518
  [Client 80] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=62.2790
  [Client  1] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=47.2998
  [Client 30] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=73.7518
  [Client 48] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=71.6634
  [Client 41] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=51.8471
  [Client 44] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=79.7445
  [Client 69] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=67.5401
  [Client 42] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=56.4354
  [Client 84] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=71.8669
  [Client 20] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=71.3270
  [Client 83] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=58.9713
  [Client  6] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=52.6351
  [Client  3] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=63.3832
  [Client 64] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=53.0937
  [Client 15] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=72.5904
  [Client  9] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=56.3926
  [Client 62] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=61.1729
  [Client 49] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=52.8787
  [Client 71] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=65.3933
  [Client 46] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=70.3289
  [Client 67] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=76.1654
  [Client 26] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=57.3364
  [Client  7] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=33.9660
  [Client 63] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=69.6237
  [Client 58] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=58.2658
  [Client 12] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=78.6732
  [Client 79] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=55.8421
  [Client 23] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=54.3241
  [Client 87] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=66.0311
  [Client 81] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=61.2875
  [Client 93] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=58.0730
  [Edge 0] G1 | E2 | loss=65.5118
  [Edge 0] G1 | E3 | Selected 35/50
  [Client 62] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=8.7809
