
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6674
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8502
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8559
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6198
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6723
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8459
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6470
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3806
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6471
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6483
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1232
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4139
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2296
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9573
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0975
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3581
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5924
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3570
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5124
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1258
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6004
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0390
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5043
