
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8727
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8450
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9957
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0281
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1932
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8149
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3812
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4513
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8198
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6244
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2025
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0603
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9114
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1871
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1162
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3209
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0580
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2892
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9643
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4965
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5901
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0887
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6637
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3915
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5166
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1147
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4619
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5848
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3791
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1618
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1228
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2934
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7136
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0965
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1232
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4475
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1236
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1817
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1163
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2891
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8854
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2494
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5929
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8650
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0596
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2152
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4293
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3293
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5553
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1217
  [Edge 0] G1 | E1 | loss=1.8279
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 50/50
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1010
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1492
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1662
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8562
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9002
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0333
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2347
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8548
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9664
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2621
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8583
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8849
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0858
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1842
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.3157
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0477
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2014
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1125
